transDate,close,high,low,open,volume,event
04/07/2016,12.97,12.97,10.95,11.791,1763800,
05/07/2016,13.812,13.812,12.97,13.223,1911550,
06/07/2016,14.739,14.739,12.886,14.065,2315490,
07/07/2016,13.729,14.234,13.729,13.897,1099950,
08/07/2016,12.802,12.802,12.802,12.802,14800,
11/07/2016,11.959,12.129,11.959,11.959,2380750,
12/07/2016,11.202,11.202,11.202,11.202,752980,
13/07/2016,10.95,10.95,10.444,10.444,3154250,
14/07/2016,10.191,11.37,10.191,10.95,1932590,
15/07/2016,9.517,9.517,9.517,9.517,886880,
18/07/2016,8.928,8.928,8.928,8.928,565810,
19/07/2016,8.675,8.759,8.338,8.338,3598940,
20/07/2016,9.011,9.011,8.423,8.59,1199870,
21/07/2016,8.507,9.096,8.423,8.928,1127800,
22/07/2016,8.001,8.253,7.917,8.086,349850,
25/07/2016,7.665,8.001,7.496,8.001,490050,
26/07/2016,7.327,7.58,7.159,7.496,251940,
27/07/2016,7.496,7.496,7.074,7.074,412830,
28/07/2016,7.58,7.749,7.244,7.244,770770,
29/07/2016,7.665,7.665,7.327,7.411,234120,
01/08/2016,7.58,7.749,7.496,7.665,151450,
02/08/2016,7.159,7.58,7.074,7.58,166420,
03/08/2016,7.244,7.244,6.99,7.159,200750,
04/08/2016,7.074,7.327,7.074,7.159,159020,
05/08/2016,7.074,7.074,6.906,7.074,162740,
08/08/2016,7.074,7.074,6.738,6.99,130940,
09/08/2016,7.496,7.496,6.738,6.99,1663340,
10/08/2016,7.749,7.832,7.411,7.496,988710,
11/08/2016,7.411,7.749,7.244,7.749,514940,
12/08/2016,7.159,7.411,6.99,7.327,201930,
15/08/2016,6.99,7.159,6.99,7.159,175120,
16/08/2016,7.074,7.074,6.906,6.99,296780,
17/08/2016,7.244,7.411,6.738,6.99,826250,
18/08/2016,6.99,7.244,6.99,7.159,390500,
19/08/2016,6.99,7.074,6.906,6.99,247680,
22/08/2016,6.99,7.074,6.906,6.906,221540,
23/08/2016,6.99,7.074,6.906,6.99,220150,
24/08/2016,7.074,7.244,6.906,6.99,437270,
25/08/2016,7.411,7.496,6.99,6.99,1069900,
26/08/2016,7.327,7.58,7.244,7.411,599480,
29/08/2016,6.99,7.58,6.99,7.327,539780,
30/08/2016,6.99,7.074,6.906,6.99,197840,
31/08/2016,6.99,7.074,6.906,6.99,279300,
01/09/2016,6.906,7.159,6.906,6.99,356420,
05/09/2016,6.99,6.99,6.906,6.906,241730,
06/09/2016,7.074,7.074,6.906,6.99,212920,
07/09/2016,6.99,7.074,6.906,7.074,131760,
08/09/2016,6.99,7.074,6.906,6.99,220740,
09/09/2016,6.99,7.074,6.906,6.99,171190,
12/09/2016,6.906,7.074,6.873,6.99,257530,
13/09/2016,6.948,6.982,6.873,6.906,220310,
14/09/2016,6.915,6.974,6.839,6.948,214690,
15/09/2016,6.931,6.931,6.906,6.915,243720,
16/09/2016,6.881,6.931,6.864,6.931,132610,
19/09/2016,6.864,6.906,6.745,6.881,183170,
20/09/2016,6.78,6.864,6.738,6.864,179410,
21/09/2016,6.823,6.823,6.738,6.78,260710,
22/09/2016,6.864,6.99,6.745,6.823,476980,
23/09/2016,6.864,6.864,6.738,6.823,81820,
26/09/2016,6.797,6.823,6.745,6.823,163630,
27/09/2016,6.764,6.797,6.696,6.797,463490,
28/09/2016,6.771,6.78,6.738,6.764,368280,
29/09/2016,6.78,6.788,6.745,6.745,277940,
30/09/2016,6.755,6.78,6.738,6.78,307170,
03/10/2016,6.78,6.78,6.738,6.755,224780,
04/10/2016,6.805,6.823,6.755,6.771,295160,
05/10/2016,6.805,6.823,6.771,6.805,197970,
06/10/2016,6.78,6.823,6.738,6.805,230850,
07/10/2016,6.814,6.823,6.738,6.78,141700,
10/10/2016,6.738,6.805,6.738,6.78,365910,
11/10/2016,6.738,6.755,6.738,6.738,192610,
12/10/2016,6.696,6.738,6.696,6.738,222350,
13/10/2016,6.738,6.738,6.663,6.696,162080,
14/10/2016,6.679,6.764,6.679,6.738,226180,
17/10/2016,6.67,6.696,6.637,6.687,184770,
18/10/2016,6.653,6.696,6.637,6.67,175950,
