transDate,close,high,low,open,volume,event
03/01/2017,11.568,11.568,11.568,11.568,26500,
04/01/2017,13.263,13.263,13.263,13.263,11410,
05/01/2017,11.445,15.14,11.445,15.14,17470,
06/01/2017,12.536,13.263,12.536,13.202,10100,
09/01/2017,11.021,11.021,11.021,11.021,3000,
10/01/2017,10.295,10.295,9.387,9.387,9200,
11/01/2017,8.841,9.447,8.841,9.387,7700,
12/01/2017,9.387,9.387,9.144,9.144,9700,
13/01/2017,9.387,9.387,9.387,9.387,100,
16/01/2017,8.539,8.66,8.539,8.66,6400,
17/01/2017,8.66,8.66,8.66,8.66,10000,
18/01/2017,8.66,8.66,8.66,8.66,0,
19/01/2017,8.66,8.66,8.66,8.66,0,
20/01/2017,8.66,8.66,8.66,8.66,0,
23/01/2017,8.237,8.479,8.237,8.479,5100,
24/01/2017,8.357,8.357,8.357,8.357,10,
25/01/2017,8.479,8.479,8.479,8.479,900,
02/02/2017,8.479,8.479,8.237,8.237,600,
03/02/2017,8.479,8.479,8.357,8.357,1977,
06/02/2017,8.479,8.479,8.479,8.479,2000,
07/02/2017,8.479,8.479,8.479,8.479,4,
08/02/2017,8.479,8.479,8.479,8.479,0,
09/02/2017,8.781,8.781,8.6,8.6,2100,
10/02/2017,8.539,8.6,8.539,8.6,2400,
13/02/2017,9.084,9.084,9.084,9.084,300,
14/02/2017,9.084,9.084,9.084,9.084,0,
15/02/2017,9.084,9.084,9.084,9.084,1500,
16/02/2017,8.721,8.721,8.66,8.721,4510,
17/02/2017,8.721,8.781,8.721,8.781,2500,
20/02/2017,8.841,8.841,8.841,8.841,5200,
21/02/2017,8.841,9.084,8.781,8.781,5240,
22/02/2017,8.841,8.841,8.841,8.841,200,
23/02/2017,9.689,9.932,8.841,9.689,2360,
24/02/2017,8.841,8.841,8.841,8.841,100,
27/02/2017,8.903,8.903,8.903,8.903,3400,
28/02/2017,9.084,9.084,8.903,8.903,3833,
01/03/2017,9.084,9.084,9.084,9.084,200,
02/03/2017,9.084,9.084,9.084,9.084,0,
03/03/2017,9.084,9.084,9.084,9.084,0,
06/03/2017,8.963,8.963,8.963,8.963,100,
07/03/2017,9.508,9.689,8.539,8.539,5454,
08/03/2017,9.327,9.327,8.539,8.539,260,
09/03/2017,8.963,8.963,8.963,8.963,0,
10/03/2017,8.963,8.963,8.963,8.963,0,
13/03/2017,8.963,8.963,8.963,8.963,0,
14/03/2017,9.327,9.327,9.327,9.327,240,
15/03/2017,9.023,9.023,9.023,9.023,100,
16/03/2017,7.753,7.753,7.753,7.753,114,
17/03/2017,8.903,8.903,8.903,8.903,120,
20/03/2017,7.69,10.235,7.69,10.235,205,
21/03/2017,8.237,8.237,8.237,8.237,100,
22/03/2017,8.539,9.447,7.993,7.993,1200,
23/03/2017,8.6,8.6,7.873,7.873,200,
24/03/2017,9.387,9.387,7.934,7.934,600,
27/03/2017,7.873,7.873,7.873,7.873,110,
28/03/2017,9.023,9.023,9.023,9.023,100,
29/03/2017,9.689,9.689,9.689,9.689,1000,
30/03/2017,9.387,9.387,9.144,9.144,4000,
31/03/2017,10.719,10.719,10.719,10.719,186,
03/04/2017,10.658,10.84,10.658,10.84,200,
04/04/2017,10.781,10.781,10.781,10.781,0,
05/04/2017,10.781,10.781,10.781,10.781,34,
07/04/2017,9.689,9.689,9.689,9.689,1800,
10/04/2017,9.689,9.689,9.689,9.689,0,
11/04/2017,10.295,10.295,9.689,9.689,12256,
12/04/2017,10.173,10.173,10.173,10.173,0,
13/04/2017,9.811,9.811,9.811,9.811,100,
14/04/2017,9.144,9.144,9.144,9.144,100,
17/04/2017,7.873,7.873,7.873,7.873,100,
18/04/2017,7.873,7.873,7.873,7.873,0,
19/04/2017,7.873,7.873,7.873,7.873,0,
20/04/2017,7.873,7.873,7.873,7.873,0,
21/04/2017,7.873,7.873,7.873,7.873,20,DIVIDEND
24/04/2017,9.018,9.018,9.018,9.018,100,
25/04/2017,10.307,10.307,10.307,10.307,100,
26/04/2017,9.018,9.018,9.018,9.018,100,
27/04/2017,10.307,10.307,10.307,10.307,100,
28/04/2017,9.018,9.018,9.018,9.018,100,
03/05/2017,10.307,10.307,7.801,10.307,1200,
04/05/2017,8.803,11.236,8.66,8.66,1600,
05/05/2017,10.879,10.879,10.879,10.879,0,
08/05/2017,10.091,10.091,9.376,9.376,300,
09/05/2017,8.589,8.589,8.589,8.589,100,
10/05/2017,9.877,9.877,9.877,9.877,400,
11/05/2017,9.877,9.877,9.877,9.877,0,
12/05/2017,8.731,8.731,8.731,8.731,100,
15/05/2017,10.02,10.02,10.02,10.02,100,
16/05/2017,10.736,10.736,8.66,8.66,2010,
17/05/2017,9.59,10.664,9.376,9.376,3300,
18/05/2017,9.376,9.376,9.376,9.376,100,
19/05/2017,10.378,10.664,8.088,8.088,700,
22/05/2017,9.734,9.734,9.018,9.018,200,
23/05/2017,9.376,9.376,9.376,9.376,0,
24/05/2017,10.664,10.664,9.089,9.089,200,
25/05/2017,10.378,10.449,8.731,8.731,3900,
26/05/2017,10.378,10.378,10.378,10.378,0,
29/05/2017,10.378,10.378,10.378,10.378,0,
30/05/2017,9.806,9.806,9.806,9.806,100,
31/05/2017,9.806,9.806,9.806,9.806,0,
01/06/2017,11.165,11.165,8.446,8.446,220,
02/06/2017,9.806,9.806,9.806,9.806,0,
05/06/2017,10.95,10.95,8.947,8.947,200,
06/06/2017,9.949,9.949,9.949,9.949,0,
07/06/2017,9.949,9.949,9.949,9.949,0,
08/06/2017,10.664,10.664,10.664,10.664,100,
09/06/2017,10.664,10.664,10.664,10.664,0,
12/06/2017,10.378,10.378,10.378,10.378,2000,
13/06/2017,10.378,10.378,10.378,10.378,0,
14/06/2017,10.378,10.378,10.378,10.378,3500,
15/06/2017,8.947,8.947,8.947,8.947,100,
16/06/2017,8.947,8.947,8.947,8.947,0,
19/06/2017,8.947,8.947,8.947,8.947,0,
20/06/2017,10.163,10.163,10.163,10.163,100,
21/06/2017,10.378,10.378,10.378,10.378,4500,
22/06/2017,10.378,10.378,9.949,10.378,2400,
23/06/2017,10.378,10.378,10.378,10.378,3600,
26/06/2017,10.02,10.02,10.02,10.02,200,
27/06/2017,10.091,10.091,10.091,10.091,100,
28/06/2017,10.091,10.091,10.091,10.091,0,
29/06/2017,10.091,10.091,10.091,10.091,0,
30/06/2017,10.091,10.091,10.091,10.091,87,
03/07/2017,10.091,10.091,10.091,10.091,0,
04/07/2017,10.307,10.307,10.307,10.307,2000,
05/07/2017,10.307,10.307,10.307,10.307,1500,
06/07/2017,10.307,10.307,10.307,10.307,0,
07/07/2017,9.376,9.376,9.376,9.376,100,
10/07/2017,10.307,10.307,10.307,10.307,200,
11/07/2017,10.307,10.307,10.307,10.307,0,
12/07/2017,10.307,10.307,10.307,10.307,0,
13/07/2017,10.307,10.307,10.307,10.307,0,
14/07/2017,10.307,10.307,10.307,10.307,0,
17/07/2017,10.307,10.307,10.307,10.307,0,
18/07/2017,10.307,10.307,10.307,10.307,0,
19/07/2017,10.307,10.307,10.307,10.307,500,
20/07/2017,10.091,10.378,10.091,10.378,702,
21/07/2017,10.307,10.307,10.307,10.307,0,
24/07/2017,10.163,10.163,10.163,10.163,200,
25/07/2017,8.731,8.731,8.731,8.731,100,
26/07/2017,10.02,10.02,10.02,10.02,300,
27/07/2017,10.02,10.02,8.589,8.589,200,
28/07/2017,9.304,9.304,9.304,9.304,0,
31/07/2017,8.017,8.017,8.017,8.017,100,
01/08/2017,8.017,8.017,8.017,8.017,0,
02/08/2017,8.017,8.017,8.017,8.017,0,
03/08/2017,8.017,8.017,8.017,8.017,0,
04/08/2017,8.017,8.017,8.017,8.017,0,
07/08/2017,9.161,9.161,9.161,9.161,22900,
08/08/2017,9.161,9.161,9.161,9.161,0,
09/08/2017,9.161,9.304,7.873,7.873,1639,
10/08/2017,9.304,9.304,7.801,7.801,200,
11/08/2017,8.589,8.589,8.589,8.589,0,
14/08/2017,9.877,9.877,9.734,9.734,1800,
15/08/2017,8.66,8.66,8.66,8.66,100,
16/08/2017,8.66,8.66,8.66,8.66,0,
17/08/2017,9.949,9.949,9.949,9.949,100,
18/08/2017,9.089,9.161,8.589,8.589,2100,
21/08/2017,9.304,9.376,7.801,7.801,5100,
22/08/2017,9.304,9.304,9.304,9.304,0,
23/08/2017,8.088,8.088,8.088,8.088,100,
24/08/2017,8.088,8.088,8.088,8.088,39,
25/08/2017,8.088,8.088,8.088,8.088,0,
28/08/2017,9.232,9.232,9.232,9.232,100,
29/08/2017,10.378,10.592,10.378,10.592,2000,
30/08/2017,10.02,10.378,10.02,10.378,3500,
31/08/2017,10.307,10.307,10.307,10.307,0,
01/09/2017,9.376,9.376,9.376,9.376,1000,
05/09/2017,9.304,9.376,8.088,8.088,5600,
06/09/2017,8.017,8.017,8.017,8.017,100,
07/09/2017,9.161,9.161,6.942,6.942,200,
08/09/2017,9.232,9.232,9.232,9.232,4100,
11/09/2017,10.378,10.378,9.949,9.949,13200,
