transDate,close,high,low,open,volume,event
15/02/2012,3.978,3.978,3.751,3.978,57520.0,
16/02/2012,3.863,3.978,3.863,3.92,40310.0,
17/02/2012,3.807,3.886,3.807,3.807,38440.0,
20/02/2012,3.751,3.818,3.751,3.784,27100.0,
21/02/2012,3.637,3.739,3.637,3.739,25160.0,
22/02/2012,3.637,3.649,3.626,3.637,8540.0,
23/02/2012,3.614,3.637,3.604,3.637,4700.0,
24/02/2012,3.581,3.581,3.581,3.581,20.0,
27/02/2012,3.717,3.717,3.489,3.489,7900.0,
28/02/2012,3.863,3.863,3.717,3.751,11640.0,
29/02/2012,3.841,3.863,3.693,3.717,5060.0,
01/03/2012,3.978,3.978,3.751,3.852,12310.0,
02/03/2012,4.148,4.171,3.852,4.001,8190.0,
05/03/2012,4.319,4.319,4.148,4.148,3160.0,
06/03/2012,4.103,4.479,4.103,4.479,9240.0,
07/03/2012,3.898,4.103,3.898,4.103,5880.0,
08/03/2012,3.706,3.841,3.706,3.706,19060.0,
09/03/2012,3.841,3.841,3.547,3.547,12200.0,
12/03/2012,3.978,3.978,3.671,3.841,7480.0,
13/03/2012,4.126,4.137,3.807,4.126,4180.0,
14/03/2012,3.92,4.217,3.92,3.92,11120.0,
15/03/2012,3.978,3.978,3.739,3.818,1430.0,
16/03/2012,4.081,4.081,4.069,4.069,13460.0,
19/03/2012,3.932,4.081,3.886,3.886,2930.0,
20/03/2012,3.739,3.978,3.739,3.967,6550.0,
21/03/2012,3.92,3.92,3.592,3.592,4820.0,
22/03/2012,3.978,3.978,3.978,3.978,500.0,
23/03/2012,3.967,3.99,3.863,3.978,205040.0,
26/03/2012,3.773,3.978,3.773,3.773,1250.0,
27/03/2012,3.955,3.955,3.682,3.682,370.0,
28/03/2012,4.035,4.069,3.955,3.955,69550.0,
29/03/2012,4.001,4.013,3.967,4.013,143090.0,
30/03/2012,3.886,4.013,3.886,3.978,5730.0,
03/04/2012,3.886,4.081,3.784,4.047,61270.0,
04/04/2012,3.92,3.92,3.875,3.875,1730.0,
05/04/2012,3.955,3.955,3.863,3.863,1090.0,
06/04/2012,3.978,3.978,3.91,3.91,1240.0,
09/04/2012,4.013,4.013,3.796,3.818,3020.0,
10/04/2012,4.024,4.035,3.829,3.829,10150.0,
11/04/2012,4.013,4.024,3.841,4.013,2320.0,
12/04/2012,4.035,4.035,3.829,4.013,8590.0,
13/04/2012,4.047,4.069,4.024,4.024,75110.0,
16/04/2012,4.148,4.148,3.863,4.069,330.0,
17/04/2012,4.148,4.148,4.148,4.148,120.0,
18/04/2012,4.205,4.205,4.171,4.171,970.0,
19/04/2012,4.001,4.013,4.001,4.013,660.0,
20/04/2012,3.841,4.148,3.807,4.148,12560.0,
23/04/2012,3.841,3.841,3.841,3.841,310.0,
24/04/2012,3.693,3.863,3.659,3.659,70130.0,
25/04/2012,3.751,3.875,3.727,3.875,630.0,
26/04/2012,3.659,3.875,3.659,3.807,2960.0,
27/04/2012,3.592,3.592,3.592,3.592,20.0,
02/05/2012,3.659,3.762,3.659,3.751,40.0,
03/05/2012,3.671,3.671,3.659,3.659,5070.0,
04/05/2012,3.852,3.852,3.818,3.852,170.0,
07/05/2012,4.035,4.035,4.035,4.035,1630.0,
08/05/2012,4.228,4.228,4.228,4.228,8240.0,
09/05/2012,4.433,4.433,4.047,4.228,3000.0,
10/05/2012,4.433,4.433,4.217,4.433,46220.0,
11/05/2012,4.627,4.627,4.421,4.433,25430.0,
14/05/2012,4.398,4.41,4.398,4.398,1320.0,
15/05/2012,4.228,4.398,4.217,4.398,28060.0,
16/05/2012,4.319,4.319,4.261,4.273,5450.0,
17/05/2012,4.534,4.534,4.319,4.319,7680.0,
18/05/2012,4.648,4.75,4.319,4.75,23160.0,
21/05/2012,4.66,4.864,4.66,4.864,5260.0,
22/05/2012,4.66,4.66,4.637,4.66,490.0,
23/05/2012,4.546,4.546,4.546,4.546,30.0,
24/05/2012,4.66,4.66,4.319,4.319,33470.0,
25/05/2012,4.893,4.893,4.893,4.893,6480.0,DIVIDEND
28/05/2012,5.115,5.132,4.893,4.893,10420.0,
29/05/2012,5.353,5.353,5.132,5.132,16840.0,
30/05/2012,5.592,5.592,5.216,5.592,31520.0,
31/05/2012,5.813,5.813,5.457,5.457,12120.0,
01/06/2012,6.052,6.052,5.933,5.95,10060.0,
04/06/2012,6.205,6.205,5.762,6.137,1100.0,
05/06/2012,6.205,6.205,5.899,5.916,3770.0,
06/06/2012,6.137,6.513,5.899,6.205,7880.0,
07/06/2012,6.393,6.393,5.831,5.847,7000.0,
08/06/2012,6.103,6.103,6.087,6.087,630.0,
11/06/2012,6.035,6.035,5.813,5.813,5280.0,
12/06/2012,5.762,5.933,5.762,5.933,230.0,
13/06/2012,5.49,5.728,5.49,5.644,12720.0,
14/06/2012,5.712,5.712,5.216,5.216,23130.0,
15/06/2012,5.728,5.796,5.457,5.457,90630.0,
18/06/2012,5.779,5.899,5.779,5.899,44490.0,
19/06/2012,5.712,5.779,5.506,5.745,4860.0,
20/06/2012,5.968,5.983,5.438,5.779,9610.0,
21/06/2012,5.933,5.933,5.933,5.933,38000.0,
22/06/2012,5.659,5.916,5.659,5.916,2100.0,
25/06/2012,5.625,5.916,5.625,5.916,12210.0,
26/06/2012,5.592,5.592,5.457,5.457,10010.0,
27/06/2012,5.61,5.61,5.61,5.61,10.0,
28/06/2012,5.693,5.745,5.61,5.693,20050.0,
29/06/2012,5.693,5.693,5.472,5.693,71030.0,
02/07/2012,5.625,5.625,5.625,5.625,40.0,
03/07/2012,5.762,5.796,5.762,5.796,11010.0,
04/07/2012,5.796,5.796,5.506,5.506,5100.0,
05/07/2012,5.796,5.796,5.796,5.796,30.0,
06/07/2012,5.899,5.899,5.899,5.899,10.0,
09/07/2012,5.779,5.847,5.779,5.847,17080.0,
10/07/2012,5.796,5.796,5.796,5.796,33300.0,
11/07/2012,5.762,5.796,5.762,5.796,3570.0,
12/07/2012,5.659,5.693,5.49,5.49,1750.0,
13/07/2012,5.625,5.625,5.388,5.625,6440.0,
16/07/2012,5.625,5.796,5.625,5.796,38000.0,
17/07/2012,5.677,5.779,5.677,5.779,13510.0,
18/07/2012,5.693,5.693,5.422,5.457,310.0,
19/07/2012,5.712,5.712,5.625,5.625,16020.0,
20/07/2012,5.625,5.625,5.457,5.472,38690.0,
23/07/2012,5.745,5.745,5.745,5.745,13500.0,
24/07/2012,5.745,5.745,5.745,5.745,0.0,
25/07/2012,5.625,5.728,5.472,5.728,10060.0,
26/07/2012,5.49,5.54,5.353,5.457,19290.0,
27/07/2012,5.54,5.745,5.37,5.745,63060.0,
30/07/2012,5.745,5.745,5.575,5.592,19410.0,
31/07/2012,5.95,5.95,5.745,5.745,34540.0,
01/08/2012,6.188,6.188,5.881,5.881,6850.0,
02/08/2012,6.495,6.495,6.188,6.309,9390.0,
03/08/2012,6.648,6.734,6.188,6.309,20910.0,
06/08/2012,6.325,6.821,6.325,6.821,7920.0,
07/08/2012,6.632,6.632,6.325,6.547,21470.0,
08/08/2012,6.955,6.955,6.955,6.955,750.0,DIVIDEND
09/08/2012,7.288,7.288,7.288,7.288,110.0,
10/08/2012,7.647,7.647,7.647,7.647,3560.0,
13/08/2012,7.978,8.005,7.978,8.005,630.0,
14/08/2012,8.336,8.336,7.978,8.184,3800.0,
15/08/2012,8.67,8.67,7.978,8.67,2650.0,
16/08/2012,8.9,8.926,8.286,8.926,670.0,
17/08/2012,8.9,8.926,8.9,8.926,20.0,
20/08/2012,8.9,8.9,8.9,8.9,0.0,
21/08/2012,8.72,8.72,8.72,8.72,50.0,
22/08/2012,8.72,8.72,8.72,8.72,0.0,
23/08/2012,8.72,8.72,8.72,8.72,0.0,
24/08/2012,8.72,8.72,8.72,8.72,0.0,
27/08/2012,8.797,8.797,8.286,8.286,2490.0,
28/08/2012,8.362,8.362,8.362,8.362,10.0,
29/08/2012,8.516,8.67,7.953,7.953,25740.0,
30/08/2012,8.643,8.67,8.568,8.568,770.0,
31/08/2012,8.643,8.67,8.643,8.67,70.0,
04/09/2012,8.643,8.643,8.643,8.643,500.0,
05/09/2012,8.592,8.67,8.233,8.67,350.0,
06/09/2012,8.44,8.516,8.44,8.516,850.0,
07/09/2012,8.568,8.568,8.08,8.44,400.0,
10/09/2012,8.44,8.516,8.44,8.516,18200.0,
11/09/2012,8.414,8.414,8.414,8.414,300.0,
12/09/2012,8.286,8.286,8.184,8.184,16010.0,
13/09/2012,8.184,8.184,8.158,8.158,310.0,
14/09/2012,8.184,8.184,7.8,8.158,20010.0,
17/09/2012,7.774,8.44,7.774,8.44,50.0,
18/09/2012,8.158,8.158,7.392,7.774,80.0,
19/09/2012,7.774,8.414,7.774,8.312,580.0,
20/09/2012,7.697,7.749,7.392,7.392,20920.0,
21/09/2012,7.314,7.774,7.314,7.749,740.0,
24/09/2012,7.569,7.647,7.288,7.314,3030.0,
25/09/2012,7.647,7.8,7.647,7.8,8370.0,
26/09/2012,7.544,7.672,7.544,7.672,6270.0,
27/09/2012,7.722,7.749,7.722,7.749,18520.0,
28/09/2012,7.672,7.722,7.647,7.672,10710.0,
