transDate,close,high,low,open,volume,event
08/04/2015,7.316,7.665,7.316,7.665,70100,
09/04/2015,6.62,6.62,6.62,6.62,44300,
10/04/2015,6.968,7.107,6.62,6.62,271100,
13/04/2015,6.829,6.968,6.411,6.968,69000,
14/04/2015,6.341,6.759,6.341,6.759,289900,
15/04/2015,5.853,6.271,5.853,6.271,119300,
16/04/2015,6.132,6.132,5.784,5.853,147200,
17/04/2015,6.341,6.341,6.132,6.341,111100,
20/04/2015,6.271,6.341,6.062,6.132,379000,
21/04/2015,6.062,6.202,5.993,6.062,67000,
22/04/2015,5.853,6.202,5.853,6.202,70400,
23/04/2015,5.574,5.853,5.296,5.853,93800,
24/04/2015,5.435,5.714,5.435,5.574,31100,
27/04/2015,5.714,5.714,5.714,5.714,400,
04/05/2015,5.156,5.644,5.156,5.365,101500,
05/05/2015,5.087,5.156,4.669,4.878,42600,
06/05/2015,4.599,5.087,4.599,5.087,46300,
07/05/2015,4.39,4.947,4.251,4.599,175200,
08/05/2015,4.808,4.808,4.181,4.251,148500,
11/05/2015,5.017,5.226,4.878,5.087,80100,
12/05/2015,5.017,5.435,4.738,5.365,53600,
13/05/2015,4.669,5.226,4.669,5.017,42100,
14/05/2015,4.878,4.947,4.669,4.947,29000,
15/05/2015,4.878,4.878,4.738,4.808,45600,
18/05/2015,4.529,4.878,4.529,4.738,39800,
19/05/2015,4.878,4.878,4.181,4.181,36200,
20/05/2015,5.156,5.156,4.878,4.878,216400,
21/05/2015,5.087,5.087,4.947,4.947,12100,
22/05/2015,5.156,5.156,4.878,4.878,22000,
25/05/2015,5.087,5.087,4.878,5.017,22600,
26/05/2015,5.017,5.087,5.017,5.017,1700,
27/05/2015,4.947,5.087,4.529,4.878,39200,
28/05/2015,4.947,5.017,4.808,4.808,18300,
29/05/2015,5.365,5.365,5.017,5.087,81700,
01/06/2015,5.853,5.853,5.365,5.365,194300,
02/06/2015,5.853,6.202,5.784,6.132,42400,
03/06/2015,5.784,6.062,5.784,5.853,58000,
04/06/2015,6.062,6.062,5.784,5.993,54300,
05/06/2015,5.784,6.062,5.784,5.784,19700,
08/06/2015,6.341,6.341,5.784,5.853,455500,
09/06/2015,6.62,6.968,6.411,6.968,62700,
10/06/2015,6.62,6.689,6.411,6.689,18400,
11/06/2015,6.411,6.62,6.271,6.62,14500,
12/06/2015,6.62,6.968,6.271,6.411,93400,
15/06/2015,6.759,7.177,6.55,6.62,28500,
16/06/2015,6.62,6.759,6.62,6.759,9200,
17/06/2015,6.55,6.898,6.411,6.898,5100,
18/06/2015,6.411,6.829,6.271,6.829,6600,
19/06/2015,6.132,6.341,5.853,6.341,47700,
22/06/2015,5.923,5.923,5.714,5.714,39100,
23/06/2015,5.853,6.132,5.574,6.132,13900,
24/06/2015,5.714,5.923,5.574,5.923,15500,
25/06/2015,5.435,5.784,5.365,5.714,13400,
26/06/2015,5.505,5.505,5.505,5.505,9100,
29/06/2015,5.296,5.505,5.226,5.505,24300,
30/06/2015,5.714,5.784,5.226,5.226,101300,
01/07/2015,5.784,6.062,5.574,5.993,5200,
02/07/2015,5.644,5.644,5.435,5.505,4200,
03/07/2015,5.923,5.923,5.505,5.714,35400,
06/07/2015,5.714,5.993,5.574,5.853,104700,
07/07/2015,5.226,5.853,5.226,5.714,109800,
08/07/2015,5.226,5.435,5.226,5.435,191300,
09/07/2015,5.226,5.574,5.156,5.226,26800,
10/07/2015,5.226,5.435,5.156,5.435,3600,
13/07/2015,5.226,5.226,5.156,5.226,5800,
14/07/2015,5.296,5.296,5.087,5.087,29500,
15/07/2015,5.226,5.226,5.017,5.226,9500,
16/07/2015,5.574,5.574,5.156,5.226,35600,
17/07/2015,5.574,5.574,5.365,5.365,64900,
20/07/2015,5.365,5.574,5.365,5.365,35500,
21/07/2015,5.365,5.365,5.156,5.296,5100,
22/07/2015,5.365,5.505,5.156,5.365,11100,
23/07/2015,5.365,5.365,4.878,5.296,63700,
24/07/2015,5.365,5.365,4.947,4.947,25800,
27/07/2015,5.296,5.505,4.878,4.947,141900,
28/07/2015,5.296,5.296,5.296,5.296,0,
29/07/2015,4.947,5.156,4.947,5.087,7800,
30/07/2015,5.156,5.156,4.947,4.947,38100,
31/07/2015,5.156,5.296,5.156,5.156,19000,
03/08/2015,5.087,5.087,4.669,4.878,44800,
04/08/2015,5.087,5.226,4.878,5.087,44700,
05/08/2015,5.017,5.087,4.878,4.878,59000,
06/08/2015,5.017,5.087,4.738,4.738,42200,
07/08/2015,5.226,5.226,5.087,5.087,2100,
10/08/2015,5.226,5.226,4.947,5.087,11400,
11/08/2015,5.226,5.226,5.226,5.226,0,
12/08/2015,4.947,4.947,4.738,4.738,15600,
13/08/2015,4.947,4.947,4.947,4.947,0,
14/08/2015,5.017,5.017,4.669,4.669,800,
17/08/2015,4.669,4.669,4.669,4.669,3400,
18/08/2015,4.808,4.808,4.808,4.808,14100,
19/08/2015,4.599,4.808,4.39,4.39,15100,
20/08/2015,4.738,4.738,4.738,4.738,900,
21/08/2015,4.738,4.738,4.738,4.738,0,
24/08/2015,5.156,5.156,4.529,4.529,496500,
25/08/2015,5.365,5.644,5.365,5.644,900,
26/08/2015,5.156,5.156,5.156,5.156,100,
27/08/2015,5.644,5.644,5.226,5.226,133400,
28/08/2015,5.435,5.574,5.087,5.574,1100,
31/08/2015,4.947,4.947,4.947,4.947,300,
01/09/2015,5.087,5.435,4.947,4.947,165100,
03/09/2015,5.226,5.226,4.878,4.947,12800,
04/09/2015,5.226,5.226,5.226,5.226,0,
07/09/2015,5.226,5.226,5.226,5.226,12400,
08/09/2015,5.296,5.296,4.947,5.087,4500,
09/09/2015,5.574,5.574,5.574,5.574,100,
10/09/2015,5.365,5.365,5.156,5.156,1000,
11/09/2015,5.365,5.365,4.947,5.365,1700,
14/09/2015,5.365,5.365,5.365,5.365,0,
15/09/2015,5.365,5.365,5.365,5.365,0,
16/09/2015,5.365,5.365,5.226,5.226,600,
17/09/2015,5.784,5.853,5.365,5.365,624000,
18/09/2015,5.435,6.271,5.365,6.271,9100,
21/09/2015,5.784,5.784,5.435,5.435,1100,
22/09/2015,5.923,5.993,5.784,5.784,15000,
23/09/2015,6.48,6.48,6.202,6.202,109300,
24/09/2015,7.107,7.107,6.968,6.968,358200,
25/09/2015,7.804,7.804,7.665,7.665,1109900,
28/09/2015,8.292,8.501,7.038,8.362,324800,
29/09/2015,8.362,8.362,7.595,7.595,200200,
30/09/2015,8.571,8.571,8.222,8.292,70000,
01/10/2015,8.431,8.71,7.735,8.571,119000,
02/10/2015,7.595,8.292,7.595,8.292,260100,
05/10/2015,7.665,8.222,7.595,7.595,177300,
06/10/2015,8.083,8.083,7.735,7.735,184100,
07/10/2015,8.153,8.292,8.083,8.292,313600,
08/10/2015,8.222,8.64,8.083,8.64,237400,
09/10/2015,8.362,8.362,8.292,8.292,224600,
12/10/2015,8.64,8.71,8.362,8.362,231200,
13/10/2015,8.71,8.71,8.64,8.64,220100,
14/10/2015,8.78,8.78,8.71,8.71,255200,
15/10/2015,8.78,8.78,8.78,8.78,118900,
16/10/2015,8.919,9.059,8.78,8.849,193100,
19/10/2015,8.501,8.989,8.501,8.919,205800,
20/10/2015,9.268,9.337,8.501,8.501,233700,
21/10/2015,8.78,8.78,8.71,8.71,296500,
22/10/2015,9.477,9.477,8.292,8.78,170300,
23/10/2015,10.034,10.034,8.849,9.477,245200,
26/10/2015,9.059,11.01,9.059,10.173,1818900,
27/10/2015,9.964,9.964,8.153,8.153,898500,
28/10/2015,10.94,10.94,10.034,10.87,173400,
29/10/2015,11.985,11.985,10.591,10.591,195600,
30/10/2015,10.801,13.17,10.801,12.891,978800,
02/11/2015,9.895,11.706,9.895,11.149,363500,
03/11/2015,9.059,10.452,9.059,9.895,307700,
04/11/2015,9.755,9.755,8.153,8.571,1094000,
05/11/2015,10.591,10.661,9.407,10.104,284400,
06/11/2015,10.452,11.428,10.104,10.591,243500,
09/11/2015,11.288,11.288,10.243,10.452,282500,
10/11/2015,12.194,12.194,10.87,11.288,252000,
11/11/2015,13.17,13.239,11.915,12.194,757800,
12/11/2015,14.285,14.285,12.821,13.17,629700,
13/11/2015,13.1,15.678,12.891,14.354,1326600,
16/11/2015,11.846,13.588,11.846,13.1,629600,
17/11/2015,11.288,11.846,11.01,11.149,721200,
18/11/2015,10.522,11.637,10.452,11.149,670600,
19/11/2015,10.591,11.079,10.173,10.382,717200,
20/11/2015,9.825,10.94,9.686,10.591,677300,
23/11/2015,9.895,10.173,9.477,9.825,671000,
24/11/2015,9.407,10.243,9.128,9.895,763600,
25/11/2015,9.268,10.104,9.268,10.104,490600,
26/11/2015,9.059,9.755,8.919,9.268,519700,
27/11/2015,9.128,9.128,8.71,9.059,537300,
30/11/2015,9.198,9.477,8.919,9.128,566300,
01/12/2015,9.268,9.337,8.71,9.198,530400,
02/12/2015,9.198,9.477,8.989,9.268,430300,
03/12/2015,9.407,9.477,8.989,9.198,240100,
04/12/2015,9.268,9.546,9.198,9.407,487200,
07/12/2015,9.825,9.825,9.059,9.268,410000,
08/12/2015,9.895,10.173,9.616,9.825,218600,
09/12/2015,9.825,10.173,9.755,9.895,236100,
10/12/2015,9.825,9.964,9.686,9.825,209400,
11/12/2015,9.825,10.104,9.546,9.964,251300,
14/12/2015,9.895,9.895,9.686,9.825,201900,
15/12/2015,9.895,10.104,9.755,9.895,204100,
16/12/2015,9.964,10.243,9.755,9.895,520300,
17/12/2015,9.895,10.173,8.989,9.964,613000,
18/12/2015,9.825,10.173,9.755,9.895,293100,
21/12/2015,9.825,9.964,9.755,9.964,219600,
22/12/2015,9.825,10.034,9.825,9.825,274500,
23/12/2015,9.895,10.034,9.755,9.825,211000,
24/12/2015,9.895,9.964,9.616,9.895,220400,
25/12/2015,9.825,9.964,9.825,9.895,236000,
28/12/2015,9.825,9.964,9.755,9.825,239000,
29/12/2015,9.895,9.895,9.686,9.825,205100,
30/12/2015,9.964,10.173,9.825,9.895,200000,
31/12/2015,10.034,10.173,9.964,9.964,217500,
04/01/2016,9.964,10.034,9.686,10.034,214200,
05/01/2016,9.964,10.034,9.616,9.964,609200,
06/01/2016,9.895,10.104,9.616,9.964,209200,
07/01/2016,10.591,10.661,9.755,9.895,1520800,
08/01/2016,11.637,11.637,10.382,10.591,2545300,
11/01/2016,10.801,11.985,10.731,11.637,1503200,
12/01/2016,10.382,10.591,10.104,10.591,528200,
13/01/2016,10.452,10.452,9.895,10.104,459700,
14/01/2016,10.382,10.452,10.104,10.452,269900,
15/01/2016,10.173,10.661,10.173,10.382,158600,
18/01/2016,10.104,10.313,10.034,10.173,166200,
19/01/2016,10.452,10.452,9.825,10.104,502200,
20/01/2016,10.382,10.731,10.173,10.731,219800,
21/01/2016,10.313,10.522,10.104,10.243,227900,
22/01/2016,10.243,10.591,10.104,10.382,260900,
25/01/2016,10.522,10.661,10.104,10.313,248900,
26/01/2016,10.382,10.522,10.173,10.382,223400,
27/01/2016,10.382,10.522,10.243,10.382,237800,
28/01/2016,10.243,10.522,10.243,10.382,360600,
29/01/2016,10.313,10.313,9.964,10.243,246600,
01/02/2016,10.452,10.522,10.104,10.313,409700,
02/02/2016,10.452,10.661,10.382,10.452,155800,
03/02/2016,10.452,10.591,10.313,10.452,171300,
04/02/2016,10.522,10.522,10.243,10.452,173300,
05/02/2016,10.522,10.591,10.243,10.522,171200,
15/02/2016,10.452,10.801,10.243,10.522,338700,
16/02/2016,10.452,10.591,10.173,10.452,163200,
17/02/2016,10.382,10.661,10.313,10.452,172700,
18/02/2016,10.731,10.801,10.243,10.382,436100,
19/02/2016,10.801,11.01,10.522,10.731,486600,
22/02/2016,10.661,11.01,10.591,10.801,417500,
23/02/2016,10.591,10.801,10.452,10.661,194500,
24/02/2016,10.661,10.661,10.382,10.591,247800,
25/02/2016,10.661,10.731,10.034,10.104,339900,
26/02/2016,11.497,11.497,10.452,10.801,1267300,
29/02/2016,12.124,12.403,11.219,11.497,1483900,
01/03/2016,12.264,12.403,11.915,12.124,753600,
02/03/2016,11.846,12.403,11.428,12.194,1264600,
03/03/2016,11.846,11.985,11.706,11.985,539600,
04/03/2016,12.264,12.543,11.637,11.846,1208000,
07/03/2016,12.891,13.17,12.055,12.264,1401700,
08/03/2016,12.543,12.891,12.473,12.891,569800,
09/03/2016,12.473,12.543,12.264,12.543,359900,
10/03/2016,13.17,13.17,12.334,12.473,1103500,
11/03/2016,13.309,13.309,13.03,13.17,590900,
14/03/2016,13.1,13.309,12.961,13.239,302900,
15/03/2016,13.1,13.17,12.891,13.17,188200,
16/03/2016,14.4,14.4,14.4,14.4,100500,DIVIDEND
17/03/2016,15.8,15.8,15.4,15.8,664300,
18/03/2016,17.3,17.3,17.2,17.3,1094200,
21/03/2016,18.5,18.5,17.9,18.0,509600,
22/03/2016,19.1,19.1,18.4,18.6,1290200,
23/03/2016,19.1,19.3,18.9,19.1,240500,
24/03/2016,19.0,19.2,18.9,19.1,202800,
25/03/2016,19.0,19.1,18.8,18.8,307500,
28/03/2016,18.8,19.0,18.8,18.9,123300,
29/03/2016,18.6,18.8,18.5,18.8,216900,
30/03/2016,18.6,18.7,18.5,18.6,301100,
31/03/2016,18.7,18.7,18.4,18.6,409200,
01/04/2016,18.7,18.8,18.6,18.7,235400,
04/04/2016,18.8,18.9,18.7,18.7,354800,
05/04/2016,20.0,20.0,18.7,18.8,1289124,
06/04/2016,21.6,21.6,19.7,20.0,1613100,
07/04/2016,21.6,21.9,21.3,21.6,625000,
08/04/2016,19.8,21.6,19.5,21.6,1104900,
11/04/2016,20.1,20.3,19.6,19.6,501500,
12/04/2016,20.5,20.6,19.8,20.1,711524,
13/04/2016,21.0,21.0,20.1,20.5,629300,
14/04/2016,21.0,21.3,20.7,21.0,373400,
15/04/2016,22.0,22.0,20.5,21.0,1564130,
19/04/2016,21.7,22.0,21.7,21.8,357500,
20/04/2016,21.8,22.0,21.5,21.6,419700,
21/04/2016,21.8,22.0,20.5,21.0,711600,
22/04/2016,21.9,22.0,21.5,21.6,302300,
25/04/2016,22.5,22.7,21.4,21.7,1097700,
26/04/2016,22.2,22.6,22.0,22.6,373700,
27/04/2016,22.1,22.3,21.9,22.0,290300,
28/04/2016,22.0,22.1,21.7,21.7,375000,
29/04/2016,22.2,22.2,21.5,21.8,429000,
04/05/2016,22.2,22.5,22.0,22.1,366100,
05/05/2016,21.9,22.4,21.9,22.2,296300,
06/05/2016,21.8,22.3,21.5,21.9,427500,
09/05/2016,21.7,22.1,21.5,21.8,242900,
10/05/2016,22.4,22.6,21.5,21.7,1202700,
11/05/2016,22.2,22.7,22.2,22.4,750900,
12/05/2016,22.5,23.0,21.9,22.3,912100,
13/05/2016,22.3,22.7,22.0,22.5,724100,
16/05/2016,22.2,22.7,22.0,22.0,826900,
17/05/2016,22.2,22.4,21.8,22.2,530000,
18/05/2016,22.2,22.5,21.8,22.0,522200,
19/05/2016,22.2,22.5,21.9,21.9,719100,
20/05/2016,22.1,22.5,22.0,22.5,243800,
23/05/2016,22.2,22.2,21.8,22.2,310000,
24/05/2016,22.2,22.3,21.8,22.0,188900,
25/05/2016,22.4,22.9,21.9,22.1,1101706,
26/05/2016,22.0,22.8,22.0,22.3,703800,
27/05/2016,22.1,22.4,21.8,22.1,676600,
