transDate,close,high,low,open,volume,event
12/01/2017,6.747,12.4,6.747,12.4,112300,
13/01/2017,6.109,6.565,6.109,6.109,81800,
16/01/2017,5.562,6.109,5.562,6.109,3100,
17/01/2017,5.106,5.197,5.015,5.015,103900,
18/01/2017,5.288,5.288,4.65,4.65,73600,
19/01/2017,5.744,5.744,5.015,5.106,58600,
20/01/2017,6.291,6.291,5.835,6.109,70500,
23/01/2017,5.744,6.2,5.744,5.835,62500,
24/01/2017,5.288,5.653,5.288,5.288,29000,
25/01/2017,5.653,5.653,5.197,5.197,52300,
02/02/2017,5.835,5.926,5.835,5.926,2700,
03/02/2017,5.288,5.471,5.288,5.471,77900,
06/02/2017,5.015,5.106,4.924,5.106,56200,
07/02/2017,5.106,5.106,4.924,4.924,35500,
08/02/2017,5.015,5.379,5.015,5.288,28300,
09/02/2017,4.924,5.106,4.924,5.015,29100,
10/02/2017,4.468,4.924,4.468,4.924,69200,
13/02/2017,4.103,4.559,4.103,4.376,85900,
14/02/2017,3.921,4.103,3.738,3.829,118900,
15/02/2017,4.285,4.285,3.921,3.921,48000,
16/02/2017,4.194,4.559,4.194,4.376,75600,
17/02/2017,3.921,4.194,3.921,4.194,20500,
20/02/2017,4.285,4.285,3.921,3.921,136900,
21/02/2017,4.194,4.65,4.194,4.65,97400,
22/02/2017,4.012,4.194,4.012,4.103,33500,
23/02/2017,4.012,4.103,4.012,4.103,72500,
24/02/2017,3.829,4.012,3.829,4.012,96900,
27/02/2017,3.921,4.103,3.738,3.921,31000,
28/02/2017,4.012,4.012,3.921,3.921,48400,
01/03/2017,4.285,4.285,3.921,3.921,83600,
02/03/2017,4.65,4.65,4.194,4.194,221700,
03/03/2017,5.106,5.106,4.924,5.106,75600,
06/03/2017,5.288,5.562,5.197,5.562,285000,
07/03/2017,5.288,5.379,5.106,5.288,82000,
08/03/2017,5.744,5.744,5.288,5.288,130200,
09/03/2017,5.379,6.2,5.379,5.926,131100,
10/03/2017,5.744,5.744,4.924,5.197,50500,
13/03/2017,6.291,6.291,5.471,6.2,224600,
14/03/2017,6.291,6.474,6.2,6.474,99000,
15/03/2017,6.382,6.565,6.2,6.382,96600,
16/03/2017,5.926,6.382,5.835,6.382,113300,
17/03/2017,5.379,6.291,5.379,6.291,44600,
20/03/2017,5.835,5.835,5.562,5.562,34500,
21/03/2017,5.653,6.109,5.653,6.109,15400,
22/03/2017,5.653,6.018,5.653,5.926,34700,
23/03/2017,5.562,6.018,5.562,5.562,87000,
