transDate,close,high,low,open,volume,event
03/11/2015,8.563,11.988,6.652,6.652,24200,
04/11/2015,8.563,8.563,8.563,8.563,0,
05/11/2015,8.563,8.563,8.563,8.563,0,
06/11/2015,9.221,9.485,9.221,9.485,500,
09/11/2015,9.287,9.287,9.287,9.287,0,
10/11/2015,9.287,9.287,9.287,9.287,0,
11/11/2015,9.287,9.287,9.287,9.287,0,
12/11/2015,9.287,9.287,9.287,9.287,0,
13/11/2015,7.904,7.904,7.904,7.904,100,
16/11/2015,7.904,7.904,7.904,7.904,0,
17/11/2015,7.904,7.904,7.904,7.904,0,
18/11/2015,7.904,7.904,7.904,7.904,0,
19/11/2015,6.85,6.85,6.85,6.85,100,
20/11/2015,6.85,6.85,6.85,6.85,0,
23/11/2015,6.85,6.85,6.85,6.85,0,
24/11/2015,6.85,6.85,6.85,6.85,0,
25/11/2015,6.85,6.85,6.85,6.85,0,
26/11/2015,6.85,6.85,6.85,6.85,0,
27/11/2015,5.928,5.928,5.928,5.928,100,
30/11/2015,5.928,5.928,5.928,5.928,0,
01/12/2015,5.928,5.928,5.928,5.928,0,
02/12/2015,5.928,5.928,5.928,5.928,0,
03/12/2015,5.928,5.928,5.928,5.928,0,
04/12/2015,5.928,5.928,5.928,5.928,0,
07/12/2015,5.928,5.928,5.928,5.928,0,
08/12/2015,5.928,5.928,5.928,5.928,0,
09/12/2015,5.928,5.928,5.928,5.928,0,
10/12/2015,6.784,6.784,6.784,6.784,100,
11/12/2015,6.784,6.784,6.784,6.784,0,
14/12/2015,6.784,6.784,6.784,6.784,0,
15/12/2015,6.784,6.784,6.784,6.784,0,
16/12/2015,6.916,6.916,6.916,6.916,200,
17/12/2015,6.916,6.916,6.916,6.916,0,
18/12/2015,6.916,6.916,6.916,6.916,0,
21/12/2015,6.916,6.916,6.916,6.916,0,
22/12/2015,6.916,6.916,6.916,6.916,0,
23/12/2015,6.916,6.916,6.916,6.916,0,
24/12/2015,6.916,6.916,6.916,6.916,0,
25/12/2015,6.916,6.916,6.916,6.916,0,
28/12/2015,6.916,6.916,6.916,6.916,0,
29/12/2015,6.916,6.916,6.916,6.916,0,
30/12/2015,6.916,6.916,6.916,6.916,0,
31/12/2015,6.916,6.916,6.916,6.916,0,
04/01/2016,6.916,6.916,6.916,6.916,0,
05/01/2016,6.916,6.916,6.916,6.916,0,
06/01/2016,6.916,6.916,6.916,6.916,0,
07/01/2016,6.916,6.916,6.916,6.916,0,
08/01/2016,6.916,6.916,6.916,6.916,0,
11/01/2016,6.916,6.916,6.916,6.916,0,
12/01/2016,6.916,6.916,6.916,6.916,0,
13/01/2016,6.916,6.916,6.916,6.916,0,
14/01/2016,6.916,6.916,6.916,6.916,0,
15/01/2016,6.652,6.652,6.652,6.652,1900,
18/01/2016,6.652,6.652,6.652,6.652,0,
19/01/2016,6.652,6.652,6.652,6.652,0,
20/01/2016,6.652,6.652,6.652,6.652,0,
21/01/2016,6.652,6.652,6.652,6.652,0,
22/01/2016,6.652,6.652,6.652,6.652,0,
25/01/2016,6.652,6.652,6.652,6.652,0,
26/01/2016,6.652,6.652,6.652,6.652,0,
27/01/2016,6.652,6.652,6.652,6.652,0,
28/01/2016,6.652,6.652,6.652,6.652,0,
29/01/2016,6.652,6.652,6.652,6.652,0,
01/02/2016,6.652,6.652,6.652,6.652,0,
02/02/2016,6.652,6.652,6.652,6.652,0,
03/02/2016,6.652,6.652,6.652,6.652,0,
04/02/2016,6.652,6.652,6.652,6.652,0,
05/02/2016,6.652,6.652,6.652,6.652,0,
15/02/2016,6.652,6.652,6.652,6.652,0,
16/02/2016,6.652,6.652,6.652,6.652,0,
17/02/2016,6.652,6.652,6.652,6.652,0,
18/02/2016,6.652,6.652,6.652,6.652,0,
19/02/2016,6.652,6.652,6.652,6.652,0,
22/02/2016,7.641,7.641,7.641,7.641,100,
23/02/2016,8.694,8.694,7.706,7.706,4100,
24/02/2016,8.826,8.826,6.784,7.904,129800,
25/02/2016,8.892,8.892,8.892,8.892,11800,
26/02/2016,7.706,9.419,7.706,7.706,800,
29/02/2016,7.904,7.904,7.904,7.904,0,
01/03/2016,7.904,7.904,7.904,7.904,0,
02/03/2016,7.904,7.904,7.904,7.904,1500,
03/03/2016,8.233,8.233,8.233,8.233,5000,
04/03/2016,8.563,8.563,8.365,8.365,3000,
07/03/2016,7.904,7.904,7.904,7.904,300,
08/03/2016,9.024,9.024,7.641,7.641,300,
09/03/2016,8.563,8.563,8.563,8.563,0,
10/03/2016,7.772,7.772,7.772,7.772,5000,
11/03/2016,7.772,7.772,7.772,7.772,0,
14/03/2016,7.772,7.772,7.772,7.772,0,
