transDate,close,high,low,open,volume,event
27/12/2006,47.655,60.071,47.252,48.857,57000,
28/12/2006,45.095,49.221,43.746,49.221,88200,
29/12/2006,44.406,46.828,41.334,46.828,58500,
02/01/2007,41.452,44.702,40.635,42.27,41300,
03/01/2007,40.665,41.246,39.591,40.665,73500,
04/01/2007,43.815,43.815,39.454,39.857,70000,
05/01/2007,44.997,44.997,44.997,44.997,54100,
08/01/2007,48.049,49.172,46.444,46.444,117800,
09/01/2007,51.003,52.598,49.408,49.408,148700,
10/01/2007,52.874,54.065,50.885,51.121,163500,
11/01/2007,53.169,56.428,51.663,52.214,158100,
12/01/2007,53.071,58.644,51.722,53.15,99500,
15/01/2007,51.2,55.828,50.245,51.436,72800,
16/01/2007,49.526,50.727,48.729,49.526,86900,
17/01/2007,47.655,51.259,44.692,47.655,108900,
18/01/2007,46.769,47.006,44.199,45.804,73400,
19/01/2007,49.526,49.93,47.134,47.134,123800,
22/01/2007,48.837,53.642,48.039,48.916,139000,
23/01/2007,47.655,48.453,47.252,47.813,50100,
24/01/2007,46.966,48.167,46.966,47.685,46000,
25/01/2007,46.572,48.985,45.765,46.897,41100,
26/01/2007,45.095,46.71,43.481,45.253,50300,
29/01/2007,41.452,47.143,41.452,42.831,237800,
30/01/2007,46.474,46.474,40.94,42.299,334900,
31/01/2007,48.049,48.049,48.049,48.049,8900,
01/02/2007,49.92,52.559,44.731,47.842,186600,
02/02/2007,46.572,52.194,45.529,47.38,78600,
05/02/2007,45.489,47.498,45.086,45.489,123500,
06/02/2007,45.883,46.523,43.471,45.479,59800,
07/02/2007,45.883,46.287,45.076,45.726,73300,
08/02/2007,44.406,48.443,43.599,45.371,54800,
09/02/2007,43.323,46.07,42.841,43.806,48200,
12/02/2007,44.406,44.564,43.599,43.756,70600,
13/02/2007,46.178,46.582,44.17,44.17,68700,
14/02/2007,47.655,49.654,46.858,46.858,87400,
15/02/2007,47.655,48.857,47.252,47.734,99100,
26/02/2007,49.92,52.716,48.886,48.886,115700,
27/02/2007,51.003,51.801,49.408,49.812,149600,
28/02/2007,49.526,51.604,47.931,50.402,86700,
01/03/2007,48.049,49.733,45.558,47.646,54400,
02/03/2007,48.345,48.423,45.627,47.547,64300,
05/03/2007,47.36,48.561,46.553,47.518,82100,
06/03/2007,46.769,47.409,44.997,46.769,73000,
07/03/2007,46.474,47.36,44.948,46.316,84600,
08/03/2007,48.049,50.777,44.849,46.208,123100,
09/03/2007,51.003,51.239,47.813,47.813,184400,
12/03/2007,53.957,54.991,50.786,50.786,295100,
13/03/2007,53.957,57.925,52.529,53.484,223000,
14/03/2007,52.185,58.161,49.398,53.14,81900,
15/03/2007,48.443,52.047,48.118,48.443,69700,
16/03/2007,52.874,52.874,46.119,48.098,137100,
19/03/2007,51.2,53.435,50.964,51.2,119000,
20/03/2007,48.837,53.642,47.232,49.398,78000,
