transDate,close,high,low,open,volume,event
15/11/2007,5.54,5.671,4.755,5.671,1306330.0,
16/11/2007,5.279,5.279,5.279,5.279,248510.0,
19/11/2007,5.017,5.017,5.017,5.017,120480.0,
20/11/2007,4.799,4.799,4.799,4.799,58710.0,
21/11/2007,4.974,4.974,4.581,4.581,728080.0,
22/11/2007,4.974,4.974,4.799,4.974,266040.0,
23/11/2007,4.799,4.972,4.799,4.842,106370.0,
26/11/2007,4.755,4.799,4.667,4.712,135430.0,
27/11/2007,4.581,4.712,4.581,4.712,262120.0,
28/11/2007,4.667,4.667,4.625,4.625,131020.0,
29/11/2007,4.667,4.712,4.625,4.667,128110.0,
30/11/2007,4.625,4.625,4.581,4.625,114720.0,
03/12/2007,4.625,4.667,4.625,4.667,68710.0,
04/12/2007,4.581,4.625,4.581,4.581,125040.0,
05/12/2007,4.537,4.581,4.494,4.494,112160.0,
06/12/2007,4.581,4.667,4.537,4.667,76580.0,
07/12/2007,4.45,4.581,4.45,4.493,133400.0,
10/12/2007,4.253,4.405,4.253,4.363,156420.0,
11/12/2007,4.058,4.211,4.058,4.122,184520.0,
12/12/2007,4.1,4.231,3.861,3.861,307780.0,
13/12/2007,3.948,4.1,3.926,4.1,130410.0,
14/12/2007,3.97,3.991,3.926,3.926,81260.0,
17/12/2007,3.926,3.992,3.926,3.97,87220.0,DIVIDEND
18/12/2007,4.035,4.035,3.904,3.926,104160.0,
19/12/2007,4.232,4.232,4.1,4.144,217360.0,
20/12/2007,4.1,4.253,4.078,4.231,105030.0,
21/12/2007,4.1,4.188,4.035,4.035,114130.0,
24/12/2007,4.144,4.166,4.1,4.166,166920.0,
25/12/2007,4.1,4.166,4.1,4.144,109460.0,
26/12/2007,4.1,4.1,3.97,3.97,157680.0,
27/12/2007,4.1,4.144,4.1,4.1,86100.0,
28/12/2007,4.144,4.144,4.1,4.1,81580.0,
02/01/2008,4.166,4.188,4.144,4.144,174750.0,
03/01/2008,4.188,4.211,4.188,4.211,172390.0,
04/01/2008,4.232,4.232,4.188,4.232,221230.0,
07/01/2008,4.297,4.297,4.232,4.275,434240.0,
08/01/2008,4.493,4.493,4.297,4.297,364540.0,
09/01/2008,4.712,4.712,4.318,4.493,595940.0,
10/01/2008,4.667,4.667,4.493,4.667,476150.0,
11/01/2008,4.625,4.755,4.581,4.625,467570.0,
14/01/2008,4.625,4.667,4.581,4.667,283070.0,
15/01/2008,4.405,4.537,4.405,4.537,306310.0,
16/01/2008,4.581,4.625,4.493,4.493,441980.0,
17/01/2008,4.363,4.537,4.363,4.537,158820.0,
18/01/2008,4.45,4.45,4.275,4.275,141170.0,
21/01/2008,4.363,4.45,4.363,4.405,71040.0,
22/01/2008,4.232,4.275,4.232,4.232,83260.0,
23/01/2008,4.035,4.188,4.035,4.188,119690.0,
24/01/2008,4.058,4.188,4.058,4.188,95130.0,
25/01/2008,4.058,4.1,4.035,4.035,82650.0,
28/01/2008,4.08,4.144,4.058,4.144,41020.0,
29/01/2008,4.166,4.166,4.1,4.1,120000.0,
