transDate,close,high,low,open,volume,event
17/06/2010,6.659,6.659,6.478,6.478,5355,
18/06/2010,7.207,7.391,7.207,7.316,1744,
21/06/2010,7.643,7.94,7.643,7.94,3500,
22/06/2010,7.865,7.865,7.865,7.865,400,
23/06/2010,7.865,7.865,7.865,7.865,355,
24/06/2010,7.24,8.028,7.24,8.028,2773,
25/06/2010,6.583,6.583,6.583,6.583,1980,
28/06/2010,6.583,6.847,6.583,6.847,2543,
29/06/2010,6.328,6.328,5.867,6.042,2938,
30/06/2010,6.109,6.109,5.929,6.034,5088,
01/07/2010,5.85,5.85,5.85,5.85,500,
02/07/2010,6.143,6.143,5.657,5.657,2210,
05/07/2010,6.729,6.729,6.729,6.729,269,
06/07/2010,7.24,7.316,6.918,7.24,12430,
07/07/2010,7.316,7.537,7.316,7.537,5615,
08/07/2010,6.583,6.583,6.583,6.583,10,
09/07/2010,7.169,7.471,7.169,7.357,5410,
12/07/2010,7.278,7.278,7.169,7.207,16000,
13/07/2010,7.353,7.353,6.814,6.814,31613,
14/07/2010,7.463,7.496,6.139,7.496,7588,
15/07/2010,7.424,7.424,7.245,7.245,10802,
16/07/2010,7.902,7.902,7.086,7.086,44485,
19/07/2010,8.668,8.668,8.597,8.668,28500,
20/07/2010,8.597,8.815,8.049,8.74,11800,
21/07/2010,8.049,8.597,7.973,8.523,12600,
22/07/2010,7.316,7.501,7.131,7.24,4900,DIVIDEND
23/07/2010,7.826,7.826,7.643,7.643,10700,
26/07/2010,7.756,7.756,7.756,7.756,3100,
27/07/2010,7.501,7.501,7.501,7.501,200,
28/07/2010,7.68,7.68,7.169,7.169,19400,
29/07/2010,7.501,7.68,7.501,7.68,600,
30/07/2010,6.875,6.948,6.875,6.915,4600,
02/08/2010,6.512,6.583,6.512,6.583,4100,
03/08/2010,6.512,6.512,6.364,6.512,4400,
04/08/2010,7.06,7.06,6.948,6.948,1300,
05/08/2010,7.316,7.316,6.512,6.948,6200,
06/08/2010,5.474,5.474,5.122,5.474,1600,
09/08/2010,5.151,5.151,4.841,5.009,3300,
10/08/2010,5.18,5.326,5.18,5.18,1700,
11/08/2010,5.238,5.238,5.238,5.238,500,
12/08/2010,5.029,5.231,4.803,5.231,2000,
