transDate,close,high,low,open,volume,event
21/11/2016,7.834,7.834,7.834,7.834,0,
22/11/2016,7.834,7.834,7.834,7.834,0,
23/11/2016,7.834,7.834,7.834,7.834,0,
24/11/2016,7.834,7.834,7.834,7.834,0,
25/11/2016,7.834,7.834,7.834,7.834,0,
28/11/2016,7.834,7.834,7.834,7.834,0,
29/11/2016,7.834,7.834,7.834,7.834,0,
30/11/2016,7.834,7.834,7.834,7.834,0,
01/12/2016,7.834,7.834,7.834,7.834,0,
02/12/2016,7.834,7.834,7.834,7.834,0,
05/12/2016,7.834,7.834,7.834,7.834,0,
06/12/2016,7.834,7.834,7.834,7.834,0,
07/12/2016,4.924,4.924,4.924,4.924,5800,
08/12/2016,4.924,4.924,4.924,4.924,0,
09/12/2016,4.85,4.85,4.85,4.85,2200,
12/12/2016,4.85,4.85,4.85,4.85,0,
13/12/2016,4.924,4.924,4.924,4.924,7200,
14/12/2016,4.924,4.924,4.924,4.924,0,
15/12/2016,4.924,4.924,4.924,4.924,0,
16/12/2016,4.924,4.924,4.924,4.924,0,
19/12/2016,4.924,4.924,4.924,4.924,0,
20/12/2016,4.924,4.924,4.924,4.924,0,
21/12/2016,4.924,4.924,4.924,4.924,0,
22/12/2016,4.924,4.924,4.924,4.924,0,
23/12/2016,4.924,4.924,4.924,4.924,0,
26/12/2016,4.924,4.924,4.924,4.924,0,
27/12/2016,4.924,4.924,4.924,4.924,0,
28/12/2016,4.924,4.924,4.924,4.924,0,
29/12/2016,4.924,4.924,4.924,4.924,0,
30/12/2016,4.924,4.924,4.924,4.924,0,
03/01/2017,4.924,4.924,4.924,4.924,0,
04/01/2017,4.924,4.924,4.924,4.924,0,
05/01/2017,4.924,4.924,4.924,4.924,0,
06/01/2017,4.924,4.924,4.924,4.924,0,
09/01/2017,4.924,4.924,4.924,4.924,0,
10/01/2017,4.924,4.924,4.924,4.924,0,
11/01/2017,4.924,4.924,4.924,4.924,0,
12/01/2017,4.924,4.924,4.924,4.924,0,
13/01/2017,4.924,4.924,4.924,4.924,0,
16/01/2017,4.924,4.924,4.924,4.924,0,
