transDate,close,high,low,open,volume,event
20/10/2010,15.078,18.489,15.078,18.489,11760.0,
21/10/2010,15.078,15.078,15.078,15.078,1000.0,
22/10/2010,15.809,15.809,15.809,15.809,2800.0,
25/10/2010,16.541,16.541,16.053,16.541,1530.0,
26/10/2010,16.541,16.931,15.713,16.931,130.0,
27/10/2010,15.713,15.713,15.713,15.713,600.0,
28/10/2010,14.939,14.939,14.939,14.939,670.0,
29/10/2010,14.208,14.591,14.208,14.208,30.0,
01/11/2010,14.591,14.591,14.208,14.208,3500.0,
02/11/2010,14.452,14.591,14.452,14.452,3080.0,
03/11/2010,14.452,14.547,14.4,14.547,1970.0,
04/11/2010,14.4,14.4,14.347,14.4,940.0,
05/11/2010,14.305,14.4,14.156,14.4,24090.0,
08/11/2010,14.305,14.305,14.305,14.305,5120.0,
09/11/2010,14.791,14.791,13.868,14.791,20100.0,
10/11/2010,14.547,14.739,14.113,14.739,18800.0,
11/11/2010,14.008,14.547,13.868,13.868,16960.0,
12/11/2010,14.06,14.113,14.06,14.113,10520.0,
15/11/2010,13.965,14.06,13.965,14.06,12850.0,
16/11/2010,14.008,14.643,13.868,14.643,15050.0,
17/11/2010,14.113,14.591,14.008,14.008,15360.0,
18/11/2010,14.4,14.591,14.113,14.591,14290.0,
19/11/2010,14.452,15.035,14.452,15.035,15110.0,
22/11/2010,13.817,14.547,13.817,14.452,13750.0,
23/11/2010,14.452,14.494,13.138,14.494,13540.0,
24/11/2010,14.494,14.887,13.764,14.887,13460.0,
25/11/2010,14.834,14.939,14.494,14.939,15800.0,
26/11/2010,14.739,14.887,14.695,14.887,15470.0,
29/11/2010,14.834,14.834,14.008,14.008,17990.0,
30/11/2010,14.982,15.565,14.834,15.565,18060.0,
01/12/2010,15.078,15.322,15.035,15.322,21430.0,
02/12/2010,14.547,15.078,14.347,15.078,17970.0,
03/12/2010,13.868,15.035,13.868,14.547,33260.0,
06/12/2010,14.547,14.547,13.868,14.494,25760.0,
07/12/2010,13.912,15.183,13.912,15.183,15810.0,
08/12/2010,14.347,14.547,13.912,14.547,13410.0,
09/12/2010,14.252,14.347,14.208,14.347,17480.0,
10/12/2010,14.591,14.591,14.252,14.305,26170.0,
13/12/2010,15.322,15.574,15.322,15.47,215640.0,
14/12/2010,15.322,15.322,14.591,15.322,378200.0,
15/12/2010,15.957,16.009,14.591,16.009,233660.0,
16/12/2010,15.322,15.374,15.226,15.322,180230.0,
17/12/2010,16.009,16.009,14.591,15.565,193870.0,
20/12/2010,16.783,16.783,15.47,16.635,46740.0,
21/12/2010,16.783,17.463,15.957,16.104,782710.0,
22/12/2010,16.148,17.515,16.148,17.515,735540.0,
23/12/2010,16.836,16.836,16.053,16.836,671190.0,
24/12/2010,17.662,17.662,16.836,16.836,697760.0,
27/12/2010,18.532,18.532,18.002,18.532,279600.0,
28/12/2010,18.437,18.976,18.341,18.976,175180.0,
29/12/2010,17.949,18.437,17.905,18.437,460870.0,
30/12/2010,18.707,18.707,17.644,17.934,527740.0,
31/12/2010,18.659,18.998,18.659,18.803,275770.0,
04/01/2011,18.659,19.482,18.369,18.369,136800.0,
05/01/2011,17.934,18.852,17.886,18.852,244260.0,
06/01/2011,17.934,17.934,17.499,17.934,217830.0,
07/01/2011,18.369,18.466,18.127,18.127,498170.0,
10/01/2011,17.886,18.418,17.886,18.418,108810.0,
11/01/2011,17.596,18.225,17.547,18.225,132160.0,
12/01/2011,18.321,18.369,17.789,17.789,211750.0,
13/01/2011,18.466,18.659,18.127,18.321,171340.0,
14/01/2011,19.384,19.384,18.563,18.611,395150.0,
17/01/2011,20.351,20.351,19.819,19.819,380430.0,
18/01/2011,21.366,21.366,20.448,21.124,659870.0,
19/01/2011,21.27,21.704,20.787,21.366,196730.0,
20/01/2011,22.333,22.333,21.753,21.898,466340.0,
21/01/2011,22.284,23.058,22.139,23.058,222060.0,
