transDate,close,high,low,open,volume,event
23/01/2017,10.0,10.0,10.0,10.0,0,
24/01/2017,10.0,10.0,10.0,10.0,0,
25/01/2017,10.0,10.0,10.0,10.0,0,
02/02/2017,10.0,10.0,10.0,10.0,0,
03/02/2017,10.0,10.0,10.0,10.0,0,
06/02/2017,10.0,10.0,10.0,10.0,0,
07/02/2017,10.0,10.0,10.0,10.0,0,
08/02/2017,10.0,10.0,10.0,10.0,0,
09/02/2017,10.0,10.0,10.0,10.0,0,
10/02/2017,10.0,10.0,10.0,10.0,0,
13/02/2017,10.0,10.0,10.0,10.0,0,
14/02/2017,10.0,10.0,10.0,10.0,0,
15/02/2017,10.0,10.0,10.0,10.0,0,
16/02/2017,10.0,10.0,10.0,10.0,0,
17/02/2017,10.0,10.0,10.0,10.0,0,
20/02/2017,10.0,10.0,10.0,10.0,0,
21/02/2017,10.0,10.0,10.0,10.0,0,
22/02/2017,10.0,10.0,10.0,10.0,0,
23/02/2017,10.0,10.0,10.0,10.0,0,
24/02/2017,10.0,10.0,10.0,10.0,0,
27/02/2017,10.0,10.0,10.0,10.0,0,
28/02/2017,10.0,10.0,10.0,10.0,0,
01/03/2017,10.0,10.0,10.0,10.0,0,
02/03/2017,10.0,10.0,10.0,10.0,0,
03/03/2017,10.0,10.0,10.0,10.0,0,
06/03/2017,10.0,10.0,10.0,10.0,0,
07/03/2017,14.0,14.0,14.0,14.0,100,
08/03/2017,16.1,16.1,16.1,16.1,100,
09/03/2017,16.1,16.1,16.1,16.1,0,
10/03/2017,16.1,16.1,16.1,16.1,0,
13/03/2017,16.1,16.1,16.1,16.1,0,
14/03/2017,16.1,16.1,16.1,16.1,0,
15/03/2017,18.5,18.5,18.5,18.5,100,
16/03/2017,21.2,21.2,21.2,21.2,100,
17/03/2017,24.3,24.3,24.3,24.3,100,
20/03/2017,27.8,27.8,27.8,27.8,100,
21/03/2017,27.8,27.8,27.8,27.8,0,
22/03/2017,31.9,31.9,31.9,31.9,100,
23/03/2017,31.9,31.9,31.9,31.9,400,
24/03/2017,31.9,31.9,31.9,31.9,0,
27/03/2017,31.9,31.9,31.9,31.9,0,
28/03/2017,31.9,31.9,31.9,31.9,0,
29/03/2017,31.9,31.9,31.9,31.9,0,
30/03/2017,35.0,35.0,35.0,35.0,200,
31/03/2017,35.0,35.0,35.0,35.0,0,
03/04/2017,35.0,35.0,35.0,35.0,0,
04/04/2017,35.0,35.0,35.0,35.0,0,
05/04/2017,35.0,35.0,35.0,35.0,0,
07/04/2017,29.8,29.8,29.8,29.8,100,
10/04/2017,29.8,29.8,29.8,29.8,0,
11/04/2017,29.8,29.8,29.8,29.8,0,
12/04/2017,29.8,29.8,29.8,29.8,0,
13/04/2017,29.8,29.8,29.8,29.8,0,
14/04/2017,29.8,29.8,29.8,29.8,0,
17/04/2017,29.8,29.8,29.8,29.8,0,
18/04/2017,29.8,29.8,29.8,29.8,0,
19/04/2017,29.8,29.8,29.8,29.8,0,
20/04/2017,29.8,29.8,29.8,29.8,0,
21/04/2017,29.8,29.8,29.8,29.8,0,
24/04/2017,29.8,29.8,29.8,29.8,0,
25/04/2017,29.8,29.8,29.8,29.8,0,
26/04/2017,29.8,29.8,29.8,29.8,0,
27/04/2017,29.8,29.8,29.8,29.8,0,
28/04/2017,25.4,25.4,25.4,25.4,100,
03/05/2017,25.4,25.4,25.4,25.4,0,
04/05/2017,25.4,25.4,25.4,25.4,0,
05/05/2017,21.6,21.6,21.6,21.6,100,
08/05/2017,18.4,18.4,18.4,18.4,200,
09/05/2017,21.1,21.1,21.1,21.1,200,
10/05/2017,21.1,21.1,21.1,21.1,0,
11/05/2017,21.1,21.1,21.1,21.1,0,
12/05/2017,21.1,21.1,21.1,21.1,0,
15/05/2017,21.1,21.1,21.1,21.1,0,
16/05/2017,21.1,21.1,21.1,21.1,0,
17/05/2017,21.1,21.1,21.1,21.1,0,
18/05/2017,24.2,24.2,24.2,24.2,100,
19/05/2017,27.8,27.8,27.8,27.8,300,
22/05/2017,27.8,27.8,27.8,27.8,0,
23/05/2017,31.8,31.8,31.8,31.8,100,
24/05/2017,31.8,31.8,31.8,31.8,0,
25/05/2017,31.8,31.8,31.8,31.8,0,
26/05/2017,31.8,31.8,31.8,31.8,0,
29/05/2017,31.8,31.8,31.8,31.8,0,
30/05/2017,31.8,31.8,31.8,31.8,0,
31/05/2017,31.8,31.8,31.8,31.8,0,
01/06/2017,31.8,31.8,31.8,31.8,0,
02/06/2017,31.8,31.8,31.8,31.8,0,
05/06/2017,31.8,31.8,31.8,31.8,0,
06/06/2017,31.8,31.8,31.8,31.8,0,
07/06/2017,31.8,31.8,31.8,31.8,0,
08/06/2017,32.0,32.0,32.0,32.0,200,
09/06/2017,32.0,32.0,32.0,32.0,0,
12/06/2017,32.0,32.0,32.0,32.0,0,
13/06/2017,32.0,32.0,32.0,32.0,0,
14/06/2017,32.0,32.0,32.0,32.0,0,
15/06/2017,32.0,32.0,32.0,32.0,0,
16/06/2017,32.0,32.0,32.0,32.0,0,
19/06/2017,32.0,32.0,32.0,32.0,0,
20/06/2017,32.0,32.0,32.0,32.0,0,
21/06/2017,32.0,32.0,32.0,32.0,0,
22/06/2017,32.0,32.0,32.0,32.0,0,
23/06/2017,32.0,32.0,32.0,32.0,0,
26/06/2017,32.0,32.0,32.0,32.0,0,
27/06/2017,32.0,32.0,32.0,32.0,0,
28/06/2017,32.0,32.0,32.0,32.0,0,
29/06/2017,32.0,32.0,32.0,32.0,0,
30/06/2017,32.0,32.0,32.0,32.0,0,
03/07/2017,32.0,32.0,32.0,32.0,0,
04/07/2017,33.0,33.0,31.6,31.6,1100,
05/07/2017,32.0,32.0,32.0,32.0,100,
06/07/2017,32.0,32.0,32.0,32.0,0,
07/07/2017,32.0,32.0,32.0,32.0,300,
10/07/2017,32.0,32.0,32.0,32.0,0,
11/07/2017,32.0,32.0,32.0,32.0,0,
12/07/2017,32.0,32.0,32.0,32.0,0,
13/07/2017,32.0,32.0,32.0,32.0,0,
14/07/2017,32.0,32.0,32.0,32.0,0,
17/07/2017,32.0,32.0,32.0,32.0,0,
18/07/2017,32.0,32.0,32.0,32.0,0,
19/07/2017,32.0,32.0,32.0,32.0,0,
20/07/2017,32.0,32.0,32.0,32.0,0,
21/07/2017,32.0,32.0,32.0,32.0,400,
24/07/2017,32.0,32.0,32.0,32.0,0,
25/07/2017,32.0,32.0,32.0,32.0,0,
26/07/2017,32.0,32.0,32.0,32.0,0,
27/07/2017,32.0,32.0,32.0,32.0,0,
28/07/2017,32.0,32.0,32.0,32.0,0,
31/07/2017,32.0,32.0,32.0,32.0,0,
01/08/2017,32.0,32.0,32.0,32.0,0,
02/08/2017,32.0,32.0,32.0,32.0,0,
03/08/2017,32.0,32.0,32.0,32.0,0,
04/08/2017,32.0,32.0,32.0,32.0,0,
07/08/2017,32.0,32.0,32.0,32.0,0,
08/08/2017,32.0,32.0,32.0,32.0,0,
09/08/2017,32.0,32.0,32.0,32.0,0,
10/08/2017,32.0,32.0,32.0,32.0,0,
11/08/2017,32.0,32.0,32.0,32.0,0,
14/08/2017,32.0,32.0,32.0,32.0,0,
15/08/2017,32.0,32.0,32.0,32.0,0,
16/08/2017,32.0,32.0,32.0,32.0,0,
17/08/2017,32.0,32.0,32.0,32.0,0,
18/08/2017,32.0,32.0,32.0,32.0,0,
21/08/2017,32.0,32.0,32.0,32.0,0,
22/08/2017,32.0,32.0,32.0,32.0,0,
23/08/2017,32.0,32.0,32.0,32.0,0,
24/08/2017,32.0,32.0,32.0,32.0,0,
25/08/2017,32.0,32.0,32.0,32.0,0,
28/08/2017,32.0,32.0,32.0,32.0,0,
29/08/2017,32.0,32.0,32.0,32.0,0,
30/08/2017,32.0,32.0,32.0,32.0,0,
31/08/2017,34.0,34.0,34.0,34.0,100,
01/09/2017,34.0,34.0,34.0,34.0,0,
05/09/2017,34.0,34.0,34.0,34.0,0,
06/09/2017,34.0,34.0,34.0,34.0,0,
07/09/2017,34.0,34.0,34.0,34.0,0,
08/09/2017,34.0,34.0,34.0,34.0,0,
11/09/2017,34.0,34.0,34.0,34.0,0,
12/09/2017,34.0,34.0,34.0,34.0,0,
13/09/2017,34.0,34.0,34.0,34.0,0,
14/09/2017,30.7,30.7,30.7,30.7,7100,
15/09/2017,35.0,35.0,35.0,35.0,100,
18/09/2017,34.1,34.1,34.1,34.1,100,
19/09/2017,39.2,39.2,39.2,39.2,100,
20/09/2017,39.2,39.2,39.2,39.2,0,
21/09/2017,39.2,39.2,39.2,39.2,0,
22/09/2017,39.2,39.2,39.2,39.2,0,
25/09/2017,39.2,39.2,39.2,39.2,0,
26/09/2017,39.2,39.2,39.2,39.2,0,
27/09/2017,45.0,45.0,45.0,45.0,100,
28/09/2017,45.0,45.0,45.0,45.0,0,
29/09/2017,45.0,45.0,45.0,45.0,0,
02/10/2017,45.0,45.0,45.0,45.0,0,
03/10/2017,45.0,45.0,45.0,45.0,0,
04/10/2017,45.0,45.0,45.0,45.0,0,
05/10/2017,45.0,45.0,45.0,45.0,0,
06/10/2017,45.0,45.0,45.0,45.0,0,
09/10/2017,45.0,45.0,45.0,45.0,0,
10/10/2017,45.0,45.0,45.0,45.0,0,
11/10/2017,45.0,45.0,45.0,45.0,0,
12/10/2017,45.0,45.0,45.0,45.0,0,
13/10/2017,45.0,45.0,45.0,45.0,0,
16/10/2017,41.0,41.0,41.0,41.0,100,
17/10/2017,41.0,41.0,41.0,41.0,100,
18/10/2017,41.0,41.0,41.0,41.0,100,
19/10/2017,41.0,41.0,41.0,41.0,0,
20/10/2017,41.0,41.0,41.0,41.0,0,
23/10/2017,41.5,41.7,41.5,41.7,300,
24/10/2017,41.5,41.5,41.5,41.5,2200,
25/10/2017,41.5,41.5,41.5,41.5,2200,
26/10/2017,41.5,41.5,41.5,41.5,6800,
27/10/2017,41.5,41.5,41.5,41.5,0,
30/10/2017,41.5,41.5,41.5,41.5,0,
31/10/2017,41.5,41.5,41.5,41.5,0,
01/11/2017,41.5,41.5,41.5,41.5,0,
02/11/2017,42.1,42.1,42.1,42.1,2300,
