transDate,close,high,low,open,volume,event
26/03/2009,15.7,15.7,15.7,15.7,42920,
27/03/2009,14.9,14.9,14.9,14.9,40520,
30/03/2009,14.2,14.2,14.2,14.2,8460,
31/03/2009,13.7,14.19,13.5,13.5,144860,
01/04/2009,14.4,14.4,14.01,14.4,95370,
02/04/2009,13.8,14.58,13.8,14.19,78870,
03/04/2009,14.5,14.5,14.3,14.4,165060,
07/04/2009,15.2,15.2,14.22,14.71,101570,
08/04/2009,14.5,14.89,14.5,14.6,46220,
09/04/2009,14.2,14.69,14.1,14.69,18190,
10/04/2009,14.4,14.79,14.4,14.5,94670,
13/04/2009,14.7,15.09,14.7,14.99,253170,
14/04/2009,14.5,14.7,14.4,14.7,152080,
15/04/2009,13.9,14.49,13.8,14.19,58860,
16/04/2009,14.5,14.5,13.81,14.21,139370,
17/04/2009,14.0,14.59,14.0,14.29,81000,
20/04/2009,13.3,13.98,13.3,13.98,150360,
21/04/2009,13.6,13.89,12.72,12.72,48780,
22/04/2009,14.2,14.2,13.91,14.1,180530,
23/04/2009,13.8,14.58,13.51,14.19,39530,
24/04/2009,13.7,13.8,13.31,13.8,63630,
27/04/2009,13.7,13.7,13.31,13.31,32690,
28/04/2009,13.2,13.69,13.0,13.69,44520,
29/04/2009,13.8,13.8,13.11,13.11,133970,
04/05/2009,14.5,14.5,14.4,14.5,462960,
05/05/2009,14.7,15.19,14.5,15.09,409040,
06/05/2009,14.2,14.2,13.54,13.63,105900,
07/05/2009,14.2,15.13,14.82,15.02,94500,
08/05/2009,14.5,14.7,13.91,14.01,271610,
11/05/2009,14.7,14.9,14.6,14.9,290880,
12/05/2009,14.6,14.8,14.31,14.31,153570,
13/05/2009,14.3,14.79,14.3,14.69,208370,
14/05/2009,14.5,14.5,14.11,14.3,154510,
15/05/2009,14.7,14.7,14.5,14.6,294450,
18/05/2009,14.6,14.7,14.5,14.7,200050,
19/05/2009,15.3,15.3,14.71,14.81,753400,
20/05/2009,16.0,16.0,16.0,16.0,333900,
21/05/2009,16.8,16.8,16.8,16.8,41120,
22/05/2009,17.0,17.59,16.41,17.59,1201450,
25/05/2009,17.4,17.4,16.71,17.2,609060,
26/05/2009,17.5,18.09,17.21,18.09,246290,
27/05/2009,17.0,17.39,16.8,16.8,191600,
28/05/2009,16.2,16.49,16.2,16.2,167500,
29/05/2009,15.6,16.19,15.4,16.19,175830,
01/06/2009,16.3,16.3,15.91,16.01,64160,
02/06/2009,16.7,17.09,16.7,17.09,256980,
03/06/2009,16.4,16.7,16.4,16.4,107850,DIVIDEND
04/06/2009,17.0,17.2,16.8,16.9,177850,
05/06/2009,17.8,17.8,17.6,17.8,421570,
08/06/2009,18.6,18.6,18.5,18.6,264290,
09/06/2009,18.0,18.6,17.7,18.6,362050,
10/06/2009,17.1,17.2,17.1,17.2,177280,
11/06/2009,17.6,17.8,17.0,17.0,149070,
12/06/2009,17.5,18.0,17.2,17.7,338990,
15/06/2009,16.7,17.5,16.7,16.7,167370,
16/06/2009,15.9,16.0,15.9,16.0,165100,
17/06/2009,16.6,16.6,15.2,15.2,219100,
18/06/2009,17.0,17.4,16.8,17.4,88790,
19/06/2009,16.3,17.0,16.3,17.0,71570,
22/06/2009,15.6,16.0,15.5,16.0,175290,
23/06/2009,15.2,15.4,14.9,14.9,132350,
24/06/2009,15.9,15.9,15.9,15.9,43130,
25/06/2009,15.8,16.5,15.3,16.5,60570,
26/06/2009,15.7,15.9,15.5,15.8,69860,
29/06/2009,15.5,15.7,15.5,15.5,48260,
30/06/2009,15.1,15.2,15.0,15.0,63250,
01/07/2009,14.6,14.8,14.4,14.4,130500,
02/07/2009,15.1,15.1,14.7,15.0,80570,
03/07/2009,15.2,15.3,14.8,14.8,48130,
06/07/2009,15.9,15.9,15.3,15.4,70480,
07/07/2009,15.8,15.9,15.6,15.9,51580,
08/07/2009,15.5,15.8,15.3,15.4,36270,
09/07/2009,16.0,16.0,15.3,15.3,76110,
10/07/2009,15.3,15.7,15.3,15.7,23440,
13/07/2009,15.0,15.6,15.0,15.6,39980,
14/07/2009,15.0,15.2,14.8,15.0,60820,
15/07/2009,15.0,15.2,15.0,15.0,18360,
16/07/2009,15.1,15.7,15.1,15.7,72050,
17/07/2009,15.0,15.1,15.0,15.1,13460,
20/07/2009,14.5,14.8,14.4,14.8,25260,
21/07/2009,15.0,15.0,14.5,14.5,84400,
22/07/2009,15.0,15.2,15.0,15.2,24970,
23/07/2009,15.2,15.2,14.6,14.6,24440,
24/07/2009,15.9,15.9,15.8,15.9,140440,
27/07/2009,16.2,16.5,15.9,16.5,63910,
28/07/2009,15.7,16.1,15.7,16.1,101100,
29/07/2009,15.4,15.9,15.4,15.9,32630,
30/07/2009,15.4,15.7,15.2,15.7,42770,
31/07/2009,15.7,15.7,15.5,15.7,23930,
