transDate,close,high,low,open,volume,event
05/07/2017,15.1,15.1,13.7,14.0,1913900,
06/07/2017,16.15,16.15,16.15,16.15,1510210,
07/07/2017,17.25,17.25,16.15,16.5,2064860,
10/07/2017,16.05,16.05,16.05,16.05,308770,
11/07/2017,14.95,14.95,14.95,14.95,36290,
12/07/2017,13.95,13.95,13.95,13.95,803110,
13/07/2017,13.0,13.0,13.0,13.0,1088250,
14/07/2017,12.55,12.7,12.1,12.1,3256590,
17/07/2017,11.85,13.3,11.7,12.4,2746720,
18/07/2017,11.8,12.0,11.05,11.7,1488330,
19/07/2017,11.05,11.5,11.0,11.1,2023790,
20/07/2017,10.4,11.0,10.3,10.5,2252420,
21/07/2017,10.35,10.45,9.68,10.35,986210,
24/07/2017,10.8,10.9,10.2,10.4,1277440,
25/07/2017,10.5,10.9,10.35,10.85,750310,
26/07/2017,10.5,10.5,10.0,10.25,760090,
27/07/2017,11.2,11.2,10.35,10.5,1962760,
28/07/2017,10.55,11.6,10.45,11.25,1493320,
31/07/2017,10.0,10.6,9.82,10.55,1123740,
01/08/2017,9.5,10.3,9.3,10.05,1552060,
02/08/2017,8.84,9.55,8.84,9.2,998240,
03/08/2017,8.4,8.85,8.23,8.6,1952410,
04/08/2017,7.9,8.45,7.82,8.3,2015670,
07/08/2017,8.45,8.45,7.86,7.9,1697270,
08/08/2017,8.16,8.75,8.1,8.6,897350,
09/08/2017,8.0,8.16,7.8,8.0,774110,
10/08/2017,8.02,8.2,7.85,8.0,611090,
11/08/2017,8.2,8.25,7.85,8.05,468480,
14/08/2017,8.15,8.55,8.07,8.25,994260,
15/08/2017,8.0,8.25,7.92,8.2,239890,
16/08/2017,8.0,8.12,7.86,8.05,253410,
17/08/2017,7.86,8.1,7.83,8.0,219420,
18/08/2017,7.82,8.0,7.72,7.9,778910,
21/08/2017,7.82,7.85,7.72,7.85,464440,
22/08/2017,7.85,7.92,7.75,7.84,296420,
23/08/2017,7.82,8.0,7.76,7.88,489470,
24/08/2017,7.85,7.85,7.72,7.85,545120,
25/08/2017,7.82,7.9,7.72,7.82,214260,
28/08/2017,7.82,7.82,7.3,7.3,411720,
29/08/2017,7.86,7.98,7.73,7.82,390130,
30/08/2017,8.0,8.2,7.8,7.85,1100760,
31/08/2017,8.56,8.56,7.98,8.05,2838340,
01/09/2017,9.1,9.15,8.52,8.7,3026980,
05/09/2017,8.5,9.0,8.47,8.47,1801510,
06/09/2017,7.95,8.5,7.91,8.2,1775820,
07/09/2017,7.82,8.08,7.41,7.95,1063960,
08/09/2017,7.28,7.92,7.28,7.85,1130870,
11/09/2017,6.92,7.0,6.8,6.8,423440,
12/09/2017,6.92,7.05,6.81,7.0,291830,
13/09/2017,6.88,6.95,6.78,6.92,913920,
14/09/2017,6.98,7.0,6.88,7.0,256410,
15/09/2017,7.2,7.25,6.94,7.0,621740,
