transDate,close,high,low,open,volume,event
11/04/2008,5.937,7.543,3.604,7.167,117200.0,
16/04/2008,5.843,5.843,5.843,5.843,1600.0,
17/04/2008,5.742,5.962,5.742,5.742,70900.0,
18/04/2008,5.645,5.776,5.645,5.645,12200.0,
21/04/2008,5.591,5.591,5.591,5.591,800.0,
22/04/2008,12.228,12.228,12.228,12.228,0.0,
23/04/2008,12.228,12.228,12.228,12.228,0.0,
24/04/2008,5.496,5.496,5.496,5.496,900.0,
25/04/2008,11.882,11.882,11.882,11.882,0.0,
28/04/2008,11.882,11.882,11.882,11.882,0.0,
29/04/2008,11.882,11.882,11.882,11.882,0.0,
05/05/2008,11.882,11.882,11.882,11.882,0.0,
06/05/2008,11.882,11.882,11.882,11.882,0.0,
07/05/2008,11.882,11.882,11.882,11.882,0.0,
08/05/2008,11.882,11.882,11.882,11.882,0.0,
09/05/2008,11.882,11.882,11.882,11.882,0.0,
12/05/2008,11.882,11.882,11.882,11.882,0.0,
13/05/2008,11.882,11.882,11.882,11.882,0.0,
14/05/2008,11.882,11.882,11.882,11.882,0.0,
15/05/2008,11.882,11.882,11.882,11.882,0.0,
16/05/2008,5.395,5.395,5.395,5.395,500.0,
19/05/2008,11.536,11.536,11.536,11.536,0.0,
20/05/2008,11.236,11.236,11.236,11.236,0.0,DIVIDEND
21/05/2008,11.236,11.236,11.236,11.236,0.0,
22/05/2008,11.236,11.236,11.236,11.236,0.0,
23/05/2008,11.236,11.236,11.236,11.236,0.0,
26/05/2008,11.236,11.236,11.236,11.236,0.0,
27/05/2008,3.25,3.25,3.25,3.25,0.0,
28/05/2008,3.25,3.25,3.25,3.25,0.0,
29/05/2008,3.25,3.25,3.25,3.25,0.0,
30/05/2008,11.236,11.236,11.236,11.236,0.0,
02/06/2008,11.236,11.236,11.236,11.236,0.0,
03/06/2008,11.236,11.236,11.236,11.236,0.0,
04/06/2008,11.236,11.236,11.236,11.236,0.0,
05/06/2008,11.236,11.236,11.236,11.236,0.0,
06/06/2008,11.236,11.236,11.236,11.236,0.0,
09/06/2008,11.236,11.236,11.236,11.236,0.0,
10/06/2008,11.236,11.236,11.236,11.236,0.0,
11/06/2008,11.236,11.236,11.236,11.236,0.0,
12/06/2008,11.236,11.236,11.236,11.236,0.0,
13/06/2008,5.245,5.245,5.245,5.245,1000.0,
16/06/2008,5.197,5.197,5.197,5.197,800.0,
17/06/2008,5.096,5.096,5.096,5.096,900.0,
18/06/2008,10.348,10.348,10.348,10.348,0.0,
19/06/2008,10.348,10.348,10.348,10.348,0.0,
20/06/2008,10.348,10.348,10.348,10.348,0.0,
23/06/2008,10.348,10.348,10.348,10.348,0.0,
24/06/2008,5.001,5.001,5.001,5.001,5300.0,
25/06/2008,9.949,9.949,9.949,9.949,0.0,
26/06/2008,4.9,4.9,4.9,4.9,8000.0,
27/06/2008,9.554,9.554,9.554,9.554,0.0,
30/06/2008,9.554,9.554,9.554,9.554,0.0,
01/07/2008,9.554,9.554,9.554,9.554,0.0,
02/07/2008,4.804,4.804,4.804,4.804,2100.0,
03/07/2008,9.209,9.209,9.209,9.209,0.0,
04/07/2008,4.75,4.75,4.75,4.75,700.0,
07/07/2008,4.655,4.655,4.655,4.655,1000.0,
08/07/2008,4.655,4.655,4.655,4.655,0.0,
09/07/2008,4.553,4.553,4.553,4.553,100.0,
10/07/2008,4.505,4.505,4.505,4.505,1400.0,
11/07/2008,4.403,4.403,4.403,4.403,600.0,
14/07/2008,4.356,4.356,4.327,4.327,71900.0,
15/07/2008,4.403,4.403,4.118,4.403,45500.0,
16/07/2008,4.356,4.47,4.129,4.356,28100.0,
17/07/2008,4.356,4.661,4.356,4.572,24800.0,
18/07/2008,4.308,4.308,4.308,4.308,8500.0,
21/07/2008,4.255,4.255,4.255,4.255,1000.0,
