transDate,close,high,low,open,volume,event
30/07/2015,7.125,9.254,7.125,7.125,190300,
31/07/2015,6.478,6.478,6.478,6.478,87200,
03/08/2015,5.83,6.015,5.83,5.83,92300,
04/08/2015,6.107,6.385,5.275,5.275,265700,
05/08/2015,6.663,6.663,5.83,6.107,255600,
06/08/2015,6.755,6.848,6.385,6.57,313100,
07/08/2015,6.848,7.403,6.293,6.478,395900,
10/08/2015,6.57,6.755,6.2,6.57,150700,
11/08/2015,6.385,6.57,6.2,6.478,65400,
12/08/2015,6.293,6.478,6.107,6.293,275400,
13/08/2015,6.107,6.385,6.015,6.293,222300,
14/08/2015,6.107,6.385,6.015,6.107,236900,
17/08/2015,6.2,6.478,6.015,6.015,204200,
18/08/2015,6.107,6.293,6.015,6.015,178200,
19/08/2015,5.552,6.107,5.552,6.107,268500,
20/08/2015,4.997,5.46,4.997,5.46,57600,
21/08/2015,4.534,4.534,4.534,4.534,306500,
24/08/2015,4.164,4.164,4.164,4.164,23800,
25/08/2015,3.887,3.979,3.794,3.887,362900,
26/08/2015,4.257,4.257,3.516,3.516,185200,
27/08/2015,4.442,4.534,4.164,4.257,188300,
28/08/2015,4.164,4.442,4.072,4.349,221500,
31/08/2015,3.794,4.164,3.794,4.164,176400,
01/09/2015,4.164,4.164,3.794,3.794,253400,
03/09/2015,4.534,4.534,3.979,4.257,287200,
04/09/2015,4.627,4.719,4.349,4.442,274200,
07/09/2015,4.534,4.719,4.164,4.257,231200,
08/09/2015,4.534,4.534,4.257,4.534,335600,
09/09/2015,4.812,4.812,4.349,4.349,419100,
10/09/2015,4.904,4.997,4.627,4.812,316000,
11/09/2015,4.997,4.997,4.719,4.904,329900,
14/09/2015,4.997,5.09,4.812,4.904,209100,
15/09/2015,4.719,4.997,4.719,4.719,279900,
16/09/2015,4.719,4.904,4.349,4.349,316700,
17/09/2015,4.627,4.812,4.349,4.627,328600,
18/09/2015,5.09,5.09,4.534,4.534,285600,
21/09/2015,4.997,5.182,4.812,4.904,323600,
22/09/2015,5.09,5.09,4.719,4.719,572400,
23/09/2015,5.275,5.367,4.904,4.997,402900,
24/09/2015,5.275,5.367,4.904,4.997,416500,
25/09/2015,5.09,5.182,4.812,4.997,346000,
28/09/2015,4.997,5.182,4.997,4.997,332600,
29/09/2015,4.997,4.997,4.719,4.904,296800,
30/09/2015,4.997,5.09,4.904,4.997,125000,
01/10/2015,5.182,5.46,4.904,4.904,425500,
02/10/2015,5.182,5.182,4.904,4.997,351900,
05/10/2015,5.09,5.182,4.997,4.997,236900,
06/10/2015,5.182,5.275,4.997,4.997,364200,
07/10/2015,5.09,5.182,4.997,5.09,276300,
08/10/2015,4.904,5.09,4.812,4.997,295500,
09/10/2015,4.904,4.997,4.812,4.904,242700,
12/10/2015,5.09,5.09,4.719,4.719,363200,
13/10/2015,5.09,5.09,4.904,4.997,297200,
14/10/2015,5.182,5.182,4.904,4.904,330900,
15/10/2015,5.09,5.182,4.812,4.997,249100,
16/10/2015,5.09,5.09,4.812,4.904,269300,
19/10/2015,5.09,5.182,4.904,4.904,296700,
20/10/2015,4.997,5.09,4.904,5.09,271900,
21/10/2015,5.09,5.09,4.904,5.09,305700,
22/10/2015,5.09,5.09,4.904,4.904,218400,
23/10/2015,4.997,5.09,4.904,4.904,284900,
26/10/2015,4.812,4.904,4.719,4.812,229600,
27/10/2015,4.904,4.904,4.719,4.719,276900,
28/10/2015,4.904,4.997,4.627,4.719,356300,
29/10/2015,5.367,5.367,4.904,4.904,398800,
30/10/2015,5.83,5.83,5.46,5.46,456700,
02/11/2015,6.385,6.385,5.83,6.385,625900,
03/11/2015,6.293,6.94,5.922,6.478,307700,
04/11/2015,6.015,6.57,5.922,6.385,116800,
05/11/2015,5.83,6.015,5.737,5.83,205100,
06/11/2015,5.83,6.2,5.83,5.83,74100,
09/11/2015,5.922,6.015,5.645,6.015,142300,
10/11/2015,5.922,5.922,5.552,5.737,229100,
11/11/2015,6.107,6.107,5.645,5.83,213000,
12/11/2015,6.293,6.293,6.015,6.015,266900,
13/11/2015,6.663,6.663,6.293,6.293,241500,
16/11/2015,6.57,6.755,6.385,6.663,247300,
17/11/2015,6.293,6.478,6.293,6.478,136300,
18/11/2015,6.478,6.478,6.2,6.2,249400,
19/11/2015,6.2,6.478,6.2,6.478,248700,
20/11/2015,6.107,6.2,5.922,6.107,269500,
23/11/2015,6.2,6.385,6.107,6.107,290900,
24/11/2015,6.293,6.385,6.107,6.107,279700,
25/11/2015,6.107,6.385,6.107,6.293,171800,
26/11/2015,6.015,6.2,6.015,6.2,142600,
27/11/2015,5.83,6.107,5.83,6.107,202900,
30/11/2015,5.83,5.922,5.737,5.922,131000,
01/12/2015,5.83,6.015,5.737,5.83,298000,
02/12/2015,5.922,6.015,5.83,5.83,250100,
03/12/2015,5.922,6.015,5.83,5.922,185700,
04/12/2015,6.2,6.2,5.645,5.922,189800,
07/12/2015,6.4,6.4,6.1,6.1,175000,DIVIDEND
08/12/2015,6.2,6.4,6.2,6.3,234700,
09/12/2015,6.8,6.8,6.1,6.1,232700,
10/12/2015,6.7,6.8,6.4,6.8,138000,
11/12/2015,6.4,6.5,6.3,6.4,231100,
14/12/2015,6.1,6.4,6.1,6.4,163000,
15/12/2015,6.2,6.4,6.1,6.1,175300,
16/12/2015,5.9,6.3,5.9,6.2,236400,
17/12/2015,5.9,6.1,5.9,6.0,146800,
18/12/2015,6.2,6.3,5.8,5.9,195000,
21/12/2015,6.2,6.3,6.0,6.2,110500,
22/12/2015,6.1,6.2,6.0,6.1,95900,
23/12/2015,6.0,6.1,5.9,6.0,109600,
24/12/2015,5.8,6.0,5.7,5.9,171500,
25/12/2015,5.6,5.9,5.6,5.9,96200,
28/12/2015,5.7,5.7,5.5,5.6,124300,
29/12/2015,6.1,6.1,5.4,5.6,181500,
30/12/2015,5.8,5.8,5.6,5.8,100400,
31/12/2015,5.6,5.7,5.5,5.7,132200,
04/01/2016,5.6,5.7,5.6,5.6,144600,
05/01/2016,5.6,5.7,5.5,5.5,108100,
06/01/2016,5.5,5.6,5.3,5.5,118700,
07/01/2016,5.1,5.4,5.1,5.3,53200,
08/01/2016,5.1,5.2,5.0,5.0,165800,
11/01/2016,5.1,5.2,5.0,5.0,160700,
12/01/2016,5.2,5.2,5.0,5.0,152000,
13/01/2016,5.3,5.4,5.0,5.0,179100,
14/01/2016,5.1,5.3,5.1,5.2,155100,
15/01/2016,5.1,5.2,5.0,5.0,166400,
18/01/2016,4.7,5.1,4.7,5.0,127500,
19/01/2016,4.8,4.8,4.6,4.6,78800,
20/01/2016,4.9,4.9,4.6,4.7,186400,
21/01/2016,4.9,4.9,4.7,4.7,182400,
22/01/2016,4.8,4.9,4.6,4.8,65700,
25/01/2016,4.8,4.9,4.7,4.7,167800,
26/01/2016,4.7,4.8,4.7,4.8,157800,
27/01/2016,4.7,4.8,4.7,4.8,49400,
28/01/2016,5.1,5.1,4.7,4.7,163100,
29/01/2016,5.2,5.5,5.2,5.2,68600,
01/02/2016,5.0,5.2,5.0,5.2,108200,
02/02/2016,5.1,5.1,4.9,4.9,111400,
03/02/2016,4.9,5.0,4.8,4.9,56696,
04/02/2016,5.0,5.0,4.9,4.9,7408,
05/02/2016,5.0,5.0,5.0,5.0,26332,
15/02/2016,4.8,4.8,4.8,4.8,4000,
16/02/2016,5.1,5.1,4.9,5.0,96688,
