transDate,close,high,low,open,volume,event
04/03/2010,0.0,0.0,0.0,0.0,0,
05/03/2010,5.53,5.53,5.53,5.53,100,
08/03/2010,5.53,5.53,5.53,5.53,0,
09/03/2010,5.53,5.53,5.53,5.53,0,
10/03/2010,5.103,5.103,5.103,5.103,100,
11/03/2010,5.103,5.103,5.103,5.103,0,
12/03/2010,4.677,4.677,4.677,4.677,100,
15/03/2010,4.677,4.677,4.677,4.677,0,
16/03/2010,4.677,4.677,4.677,4.677,0,
17/03/2010,4.677,4.677,4.677,4.677,0,
18/03/2010,4.677,4.677,4.677,4.677,0,
19/03/2010,4.677,4.677,4.677,4.677,0,
22/03/2010,4.677,4.677,4.677,4.677,0,
23/03/2010,4.677,4.677,4.677,4.677,0,
24/03/2010,4.677,4.677,4.677,4.677,0,
25/03/2010,4.677,4.677,4.677,4.677,0,
26/03/2010,4.677,4.677,4.677,4.677,0,
29/03/2010,4.677,4.677,4.677,4.677,0,
30/03/2010,4.677,4.677,4.677,4.677,0,
31/03/2010,4.677,4.677,4.677,4.677,0,
01/04/2010,4.677,4.677,4.677,4.677,0,
02/04/2010,4.677,4.677,4.677,4.677,0,
05/04/2010,4.677,4.677,4.677,4.677,0,
06/04/2010,4.677,4.677,4.677,4.677,0,
07/04/2010,4.677,4.677,4.677,4.677,0,
08/04/2010,3.75,3.75,3.75,3.75,0,
09/04/2010,4.677,4.677,4.677,4.677,0,
12/04/2010,4.677,4.677,4.677,4.677,0,
13/04/2010,4.677,4.677,4.677,4.677,0,
14/04/2010,4.677,4.677,4.677,4.677,0,
15/04/2010,4.677,4.677,4.677,4.677,0,
16/04/2010,4.677,4.677,4.677,4.677,0,
19/04/2010,4.677,4.677,4.677,4.677,0,
20/04/2010,4.677,4.677,4.677,4.677,0,
21/04/2010,4.677,4.677,4.677,4.677,0,
22/04/2010,4.677,4.677,4.677,4.677,0,
26/04/2010,4.677,4.677,4.677,4.677,0,
27/04/2010,4.677,4.677,4.677,4.677,0,
28/04/2010,4.677,4.677,4.677,4.677,0,
29/04/2010,4.677,4.677,4.677,4.677,0,
04/05/2010,4.677,4.677,4.677,4.677,0,
05/05/2010,4.677,4.677,4.677,4.677,0,
06/05/2010,4.677,4.677,4.677,4.677,0,
07/05/2010,4.677,4.677,4.677,4.677,0,
10/05/2010,4.677,4.677,4.677,4.677,0,
11/05/2010,4.677,4.677,4.677,4.677,0,
12/05/2010,4.677,4.677,4.677,4.677,0,
13/05/2010,4.677,4.677,4.677,4.677,0,
14/05/2010,4.677,4.677,4.677,4.677,0,
17/05/2010,4.677,4.677,4.677,4.677,0,
18/05/2010,4.677,4.677,4.677,4.677,0,
19/05/2010,4.677,4.677,4.677,4.677,0,
20/05/2010,4.677,4.677,4.677,4.677,0,
21/05/2010,4.677,4.677,4.677,4.677,0,
24/05/2010,4.677,4.677,4.677,4.677,0,
25/05/2010,4.677,4.677,4.677,4.677,0,
26/05/2010,4.677,4.677,4.677,4.677,0,
27/05/2010,4.677,4.677,4.677,4.677,0,
28/05/2010,4.677,4.677,4.677,4.677,0,
31/05/2010,4.677,4.677,4.677,4.677,0,
01/06/2010,4.677,4.677,4.677,4.677,0,
02/06/2010,4.677,4.677,4.677,4.677,0,
03/06/2010,4.677,4.677,4.677,4.677,0,
04/06/2010,4.677,4.677,4.677,4.677,0,
07/06/2010,4.677,4.677,4.677,4.677,0,
08/06/2010,4.677,4.677,4.677,4.677,0,
09/06/2010,4.677,4.677,4.677,4.677,0,
10/06/2010,4.677,4.677,4.677,4.677,0,
11/06/2010,4.677,4.677,4.677,4.677,0,
14/06/2010,4.677,4.677,4.677,4.677,0,
15/06/2010,4.677,4.677,4.677,4.677,0,
16/06/2010,4.677,4.677,4.677,4.677,0,
17/06/2010,4.677,4.677,4.677,4.677,0,
18/06/2010,4.677,4.677,4.677,4.677,0,
21/06/2010,4.677,4.677,4.677,4.677,0,
22/06/2010,4.677,4.677,4.677,4.677,0,
23/06/2010,4.677,4.677,4.677,4.677,0,
24/06/2010,4.677,4.677,4.677,4.677,0,
25/06/2010,4.677,4.677,4.677,4.677,0,
28/06/2010,4.677,4.677,4.677,4.677,0,
29/06/2010,4.677,4.677,4.677,4.677,0,
30/06/2010,4.677,4.677,4.677,4.677,0,
01/07/2010,4.677,4.677,4.677,4.677,0,
02/07/2010,5.759,5.759,5.759,5.759,0,
05/07/2010,4.363,4.422,4.255,4.255,17000,
06/07/2010,4.083,4.083,3.783,3.783,22700,
07/07/2010,4.109,4.109,4.109,4.109,1800,
08/07/2010,4.109,4.583,4.109,4.583,3100,
09/07/2010,5.056,5.056,5.056,5.056,0,
12/07/2010,4.51,4.51,4.51,4.51,1810,
13/07/2010,4.792,4.874,4.51,4.51,2290,
14/07/2010,5.103,5.103,5.103,5.103,100,
15/07/2010,5.076,6.092,5.076,5.534,940,
16/07/2010,5.556,5.556,5.556,5.556,160,
19/07/2010,5.021,5.021,5.021,5.021,9600,
20/07/2010,4.822,4.962,4.822,4.962,2500,
21/07/2010,4.822,4.932,4.822,4.932,700,
22/07/2010,4.792,4.792,4.792,4.792,4100,
23/07/2010,4.538,4.567,4.538,4.567,500,
26/07/2010,4.538,4.538,4.538,4.538,1300,
27/07/2010,4.538,4.538,4.538,4.538,500,
28/07/2010,4.538,4.538,4.538,4.538,900,
29/07/2010,4.396,4.538,4.396,4.538,1100,
30/07/2010,4.363,4.479,4.363,4.479,600,
02/08/2010,4.422,4.422,4.422,4.422,0,
03/08/2010,4.0,4.255,4.0,4.255,2200,
04/08/2010,5.373,5.373,5.056,5.056,2500,
05/08/2010,5.546,5.582,5.546,5.582,1100,
06/08/2010,4.538,4.538,4.538,4.538,0,
09/08/2010,5.93,5.93,5.93,5.93,1000,
10/08/2010,5.244,5.244,5.244,5.244,1000,
11/08/2010,4.734,5.759,4.734,5.759,4700,
12/08/2010,4.479,4.479,4.479,4.479,0,
13/08/2010,5.513,6.034,5.513,6.034,4000,
16/08/2010,5.233,5.27,5.233,5.27,1100,
17/08/2010,5.233,5.233,5.233,5.233,0,
18/08/2010,5.233,5.233,5.233,5.233,0,
19/08/2010,5.233,5.233,5.233,5.233,0,
20/08/2010,5.546,5.582,5.546,5.582,2100,
23/08/2010,4.812,4.812,4.812,4.812,100,DIVIDEND
24/08/2010,5.233,5.233,5.233,5.233,100,
25/08/2010,5.722,5.722,5.722,5.722,100,
26/08/2010,4.651,4.651,4.651,4.651,0,
27/08/2010,5.722,5.722,5.722,5.722,0,
30/08/2010,5.722,5.722,5.722,5.722,0,
31/08/2010,5.722,5.722,5.722,5.722,0,
01/09/2010,4.199,4.199,4.199,4.199,100,
06/09/2010,3.798,3.798,3.798,3.798,100,
07/09/2010,3.688,4.166,3.688,4.166,6600,
08/09/2010,3.656,3.656,3.319,3.377,900,
09/09/2010,3.401,3.688,3.401,3.688,5100,
10/09/2010,3.459,3.459,3.459,3.459,0,
13/09/2010,3.121,3.147,3.121,3.147,400,
14/09/2010,2.976,2.976,2.976,2.976,500,
15/09/2010,2.976,2.976,2.865,2.865,500,
16/09/2010,3.594,3.594,3.594,3.594,0,
17/09/2010,3.204,3.204,2.637,2.637,3100,
20/09/2010,3.491,3.491,3.491,3.491,4100,
21/09/2010,2.976,3.121,2.976,3.121,300,
22/09/2010,3.033,3.033,3.033,3.033,0,
23/09/2010,3.735,3.735,3.735,3.735,0,
24/09/2010,2.976,2.976,2.976,2.976,1900,
27/09/2010,2.976,2.976,2.976,2.976,1300,
28/09/2010,3.662,3.662,3.662,3.662,0,
29/09/2010,2.976,2.976,2.976,2.976,0,
30/09/2010,2.976,2.976,2.976,2.976,0,
01/10/2010,3.662,3.662,3.662,3.662,0,
04/10/2010,2.976,2.976,2.976,2.976,0,
05/10/2010,3.662,3.662,3.662,3.662,0,
06/10/2010,3.522,3.522,3.522,3.522,100,
07/10/2010,2.865,2.865,2.865,2.865,0,
08/10/2010,2.835,2.835,2.835,2.835,200,
11/10/2010,2.835,2.835,2.835,2.835,0,
12/10/2010,2.721,2.721,2.721,2.721,100,
13/10/2010,2.466,2.466,2.466,2.466,100,
14/10/2010,2.694,2.694,2.694,2.694,100,
15/10/2010,2.439,2.694,2.439,2.694,300,
18/10/2010,2.298,2.298,2.298,2.298,100,
19/10/2010,2.523,2.523,2.523,2.523,1300,
20/10/2010,2.554,2.554,2.554,2.554,700,
21/10/2010,2.825,2.825,2.825,2.825,100,
22/10/2010,2.825,2.825,2.825,2.825,0,
25/10/2010,3.106,3.106,3.106,3.106,3600,
26/10/2010,3.142,3.387,2.825,2.825,1500,
27/10/2010,3.491,3.594,3.002,3.002,300,
28/10/2010,3.173,3.173,3.173,3.173,100,
29/10/2010,3.173,3.173,3.173,3.173,0,
01/11/2010,2.554,2.554,2.554,2.554,1600,
02/11/2010,2.554,2.554,2.554,2.554,0,
03/11/2010,2.554,2.554,2.554,2.554,0,
04/11/2010,2.554,2.554,2.554,2.554,0,
05/11/2010,2.554,2.554,2.554,2.554,0,
08/11/2010,2.554,2.554,2.554,2.554,0,
09/11/2010,2.554,2.554,2.554,2.554,0,
10/11/2010,2.298,2.298,2.298,2.298,100,
11/11/2010,2.523,2.523,2.07,2.07,200,
12/11/2010,2.523,2.523,2.523,2.523,100,
15/11/2010,2.523,2.523,2.523,2.523,0,
16/11/2010,2.298,2.298,2.298,2.298,100,
17/11/2010,2.07,2.07,2.07,2.07,100,
18/11/2010,2.268,2.268,2.268,2.268,100,
19/11/2010,2.794,2.794,2.794,2.794,200,
22/11/2010,2.498,2.498,2.498,2.498,1000,
23/11/2010,3.069,3.069,3.069,3.069,0,
24/11/2010,3.069,3.069,3.069,3.069,0,
25/11/2010,3.069,3.069,3.069,3.069,0,
26/11/2010,2.498,2.498,2.498,2.498,0,
29/11/2010,2.498,2.498,2.498,2.498,0,
30/11/2010,2.498,2.498,2.498,2.498,0,
01/12/2010,2.498,2.498,2.498,2.498,0,
02/12/2010,2.694,2.694,2.694,2.694,1700,
03/12/2010,2.835,2.835,2.835,2.835,500,
06/12/2010,2.835,2.835,2.835,2.835,0,
07/12/2010,2.835,2.835,2.835,2.835,0,
08/12/2010,2.835,2.835,2.835,2.835,0,
09/12/2010,2.835,2.835,2.835,2.835,0,
10/12/2010,2.809,2.809,2.554,2.554,7800,
13/12/2010,2.721,2.856,2.721,2.856,2500,
14/12/2010,2.865,2.865,2.865,2.865,0,
15/12/2010,3.522,3.522,3.522,3.522,0,
16/12/2010,2.865,2.865,2.865,2.865,0,
17/12/2010,3.006,3.006,2.581,2.581,1100,
20/12/2010,2.663,2.663,2.663,2.663,100,
21/12/2010,3.278,3.278,3.278,3.278,0,
22/12/2010,2.918,2.918,2.409,2.409,300,
23/12/2010,3.387,3.387,3.387,3.387,0,
24/12/2010,3.069,3.069,3.069,3.069,100,
27/12/2010,2.268,2.268,2.268,2.268,100,
28/12/2010,2.794,2.794,2.794,2.794,0,
29/12/2010,2.268,2.268,2.268,2.268,0,
30/12/2010,2.519,2.519,2.061,2.061,1100,
31/12/2010,2.576,2.576,2.576,2.576,100,
04/01/2011,2.576,2.576,2.576,2.576,0,
05/01/2011,2.576,2.576,2.576,2.576,800,
06/01/2011,2.576,2.576,2.576,2.576,0,
07/01/2011,2.576,2.576,2.576,2.576,0,
10/01/2011,2.576,2.576,2.576,2.576,0,
11/01/2011,2.576,2.576,2.576,2.576,0,
12/01/2011,2.576,2.576,2.576,2.576,0,
13/01/2011,2.719,2.719,2.319,2.319,400,
14/01/2011,2.748,2.748,2.376,2.376,400,
17/01/2011,2.663,2.663,2.663,2.663,0,
18/01/2011,2.776,2.776,2.776,2.776,400,
19/01/2011,2.776,2.776,2.776,2.776,0,
20/01/2011,2.805,2.805,2.776,2.776,1600,
21/01/2011,3.035,3.035,3.035,3.035,100,
24/01/2011,3.035,3.035,3.035,3.035,0,
25/01/2011,3.035,3.035,3.035,3.035,0,
26/01/2011,3.035,3.035,3.035,3.035,0,
