transDate,close,high,low,open,volume,event
19/04/2010,12.4,12.4,12.4,12.4,764420.0,
20/04/2010,13.023,13.023,13.023,13.023,50000.0,
21/04/2010,13.639,13.639,13.639,13.639,105760.0,
22/04/2010,13.435,14.296,13.435,14.296,273260.0,
26/04/2010,12.775,12.775,12.775,12.775,66960.0,
27/04/2010,12.296,12.535,12.16,12.193,207120.0,
28/04/2010,12.056,12.746,12.056,12.056,168240.0,
29/04/2010,12.506,12.573,12.056,12.573,174170.0,
04/05/2010,12.707,13.052,12.4,13.052,285810.0,
05/05/2010,12.707,12.707,12.092,12.193,1116140.0,
06/05/2010,13.33,13.33,12.573,12.882,462570.0,
07/05/2010,13.983,13.983,13.779,13.983,625780.0,
10/05/2010,13.293,14.124,13.293,14.124,382950.0,
11/05/2010,12.813,13.398,12.677,13.121,453640.0,
12/05/2010,12.193,12.573,12.193,12.573,391360.0,
13/05/2010,11.988,12.573,11.988,12.193,209770.0,
14/05/2010,11.472,11.539,11.366,11.366,137940.0,DIVIDEND
17/05/2010,11.022,11.712,10.918,11.539,114820.0,
18/05/2010,10.469,10.851,10.469,10.678,494880.0,
19/05/2010,9.958,10.025,9.958,10.025,207430.0,
20/05/2010,10.437,10.437,9.471,9.471,389210.0,
21/05/2010,9.92,10.161,9.92,9.92,197810.0,
24/05/2010,9.539,9.92,9.441,9.92,175320.0,
25/05/2010,9.298,9.644,9.195,9.539,104480.0,
26/05/2010,9.748,9.748,9.471,9.613,136690.0,
27/05/2010,9.988,10.057,9.509,10.057,163030.0,
28/05/2010,10.469,10.469,10.302,10.332,233150.0,
31/05/2010,9.988,10.469,9.958,10.093,123800.0,
01/06/2010,10.057,10.057,9.713,9.713,127200.0,
02/06/2010,10.161,10.161,9.644,9.785,143970.0,
03/06/2010,10.13,10.469,9.92,10.469,373470.0,
04/06/2010,9.958,10.13,9.92,10.13,79800.0,
07/06/2010,9.471,9.644,9.471,9.509,243660.0,
08/06/2010,9.441,9.471,9.298,9.471,88120.0,
09/06/2010,9.164,9.644,9.164,9.576,110560.0,
10/06/2010,9.539,9.613,9.298,9.441,165720.0,
11/06/2010,9.509,9.785,9.509,9.785,89000.0,
14/06/2010,9.748,9.816,9.509,9.644,145650.0,
15/06/2010,9.785,9.852,9.681,9.748,201710.0,
16/06/2010,10.265,10.265,9.816,10.093,297320.0,
17/06/2010,10.746,10.746,10.37,10.573,488420.0,
18/06/2010,10.437,10.437,10.437,10.437,308170.0,
21/06/2010,10.678,10.678,10.437,10.505,198340.0,
22/06/2010,10.229,10.64,10.161,10.505,161880.0,
23/06/2010,10.401,10.64,9.92,9.988,294000.0,
24/06/2010,10.332,10.505,10.332,10.401,180830.0,
25/06/2010,10.13,10.505,9.988,10.13,218050.0,
28/06/2010,10.161,10.302,10.025,10.025,32780.0,
29/06/2010,9.92,10.332,9.92,10.332,80120.0,
30/06/2010,9.644,9.883,9.576,9.576,199370.0,
01/07/2010,9.613,9.681,9.471,9.644,87590.0,
02/07/2010,9.852,9.958,9.613,9.613,111260.0,
05/07/2010,9.988,10.13,9.988,10.093,101540.0,
06/07/2010,9.644,9.988,9.644,9.988,104400.0,
07/07/2010,9.644,9.713,9.613,9.644,66470.0,
08/07/2010,9.613,9.816,9.613,9.816,38620.0,
09/07/2010,9.644,9.713,9.644,9.644,48580.0,
12/07/2010,9.613,9.644,9.613,9.644,37410.0,
13/07/2010,9.92,9.958,9.644,9.958,115080.0,
14/07/2010,9.785,10.057,9.785,9.92,99220.0,
15/07/2010,9.681,9.785,9.644,9.785,42580.0,
16/07/2010,9.613,9.681,9.613,9.613,32520.0,
19/07/2010,9.576,9.613,9.471,9.471,89520.0,
20/07/2010,9.576,9.644,9.539,9.576,75040.0,
21/07/2010,9.509,9.576,9.509,9.576,51180.0,
22/07/2010,9.471,9.613,9.471,9.613,45420.0,
23/07/2010,9.336,9.613,9.336,9.613,82600.0,
26/07/2010,9.336,9.471,9.298,9.471,96320.0,
27/07/2010,9.298,9.441,9.298,9.336,52660.0,
28/07/2010,9.022,9.298,9.022,9.298,35520.0,
29/07/2010,9.195,9.195,8.849,9.022,30890.0,
30/07/2010,8.992,9.366,8.992,9.022,108440.0,
02/08/2010,8.992,9.195,8.992,9.195,35220.0,
03/08/2010,8.678,9.127,8.542,9.127,249700.0,
04/08/2010,8.474,8.609,8.438,8.609,51750.0,
05/08/2010,8.333,8.578,8.333,8.578,52380.0,
06/08/2010,8.161,8.474,8.161,8.474,199750.0,
09/08/2010,7.785,8.161,7.785,8.161,129840.0,
10/08/2010,7.403,7.576,7.403,7.508,130000.0,
11/08/2010,7.269,7.545,7.231,7.403,72740.0,
12/08/2010,6.924,6.993,6.924,6.961,268160.0,
13/08/2010,6.615,6.924,6.579,6.615,144340.0,
16/08/2010,6.924,6.924,6.646,6.751,104660.0,
17/08/2010,6.788,6.887,6.714,6.887,59580.0,
18/08/2010,6.543,6.857,6.474,6.857,116480.0,
19/08/2010,6.406,6.543,6.234,6.543,633620.0,
20/08/2010,6.406,6.406,6.196,6.406,62610.0,
23/08/2010,6.196,6.37,6.196,6.37,78390.0,
24/08/2010,5.889,6.025,5.889,5.927,151070.0,
25/08/2010,5.613,5.717,5.613,5.717,97210.0,
26/08/2010,5.514,5.687,5.373,5.546,325630.0,
27/08/2010,5.408,5.514,5.269,5.306,91820.0,
30/08/2010,5.649,5.649,5.582,5.649,156300.0,
31/08/2010,5.927,5.927,5.823,5.854,213580.0,
01/09/2010,6.196,6.196,6.128,6.196,391970.0,
06/09/2010,6.511,6.511,6.511,6.511,17010.0,
07/09/2010,6.819,6.819,6.819,6.819,39990.0,
08/09/2010,7.133,7.133,6.646,7.06,980120.0,
09/09/2010,7.231,7.403,6.924,7.133,386740.0,
10/09/2010,6.887,7.269,6.887,7.096,203170.0,
13/09/2010,6.543,6.924,6.543,6.646,252850.0,
14/09/2010,6.543,6.579,6.302,6.543,120850.0,
15/09/2010,6.37,6.646,6.272,6.646,110470.0,
16/09/2010,6.272,6.37,6.196,6.234,109590.0,
17/09/2010,6.579,6.579,6.543,6.543,101220.0,
