transDate,close,high,low,open,volume,event
22/01/2010,6.42,6.944,6.128,6.858,10000,
25/01/2010,6.128,6.917,6.07,6.917,22000,
26/01/2010,5.746,6.567,5.746,6.567,5500,
27/01/2010,6.07,6.07,6.07,6.07,0,
28/01/2010,6.07,6.07,6.07,6.07,0,
29/01/2010,5.66,5.66,5.66,5.66,2000,
01/02/2010,5.282,5.282,5.282,5.282,8500,
02/02/2010,4.933,4.933,4.933,4.933,1500,
03/02/2010,4.612,4.668,4.612,4.612,19400,
04/02/2010,4.846,4.846,4.612,4.787,9300,
05/02/2010,4.376,5.017,4.376,5.017,11200,
08/02/2010,4.376,4.376,4.376,4.376,2000,
09/02/2010,4.668,4.668,4.668,4.668,100,
10/02/2010,4.349,4.408,4.349,4.408,3500,
11/02/2010,4.144,4.612,4.117,4.612,3500,
12/02/2010,4.408,4.408,4.408,4.408,200,
22/02/2010,4.64,4.64,4.64,4.64,100,
23/02/2010,4.64,4.64,4.64,4.64,0,
24/02/2010,4.317,4.408,4.317,4.408,4300,
25/02/2010,4.376,4.408,4.317,4.408,3100,
26/02/2010,4.376,4.376,4.376,4.376,2000,
01/03/2010,4.085,4.144,4.085,4.144,2000,
02/03/2010,4.144,4.144,4.144,4.144,0,
03/03/2010,4.376,4.376,4.376,4.376,4000,
04/03/2010,4.64,4.64,4.612,4.612,1600,
05/03/2010,4.612,4.612,4.612,4.612,100,
08/03/2010,4.612,4.612,4.612,4.612,0,
09/03/2010,4.29,4.317,4.29,4.29,2500,
10/03/2010,4.376,4.376,4.376,4.376,100,
11/03/2010,4.436,4.523,4.436,4.523,500,
12/03/2010,4.668,4.668,4.29,4.29,5500,
15/03/2010,4.468,4.668,4.171,4.171,41200,
16/03/2010,4.64,4.727,4.436,4.436,35100,
17/03/2010,4.58,4.58,4.376,4.468,7000,
18/03/2010,4.668,4.668,4.468,4.468,1600,
19/03/2010,4.846,4.846,4.727,4.814,64800,
22/03/2010,5.165,5.165,5.11,5.165,20300,
23/03/2010,5.516,5.516,5.516,5.516,26400,
24/03/2010,5.719,5.895,5.223,5.895,102100,
25/03/2010,5.341,5.4,5.341,5.4,66600,
26/03/2010,5.282,5.516,4.991,4.991,23100,
29/03/2010,4.959,5.456,4.959,5.456,13800,
30/03/2010,4.668,5.017,4.668,4.959,29200,
31/03/2010,4.668,4.814,4.612,4.699,24400,
01/04/2010,4.959,4.959,4.64,4.64,18500,
02/04/2010,5.017,5.254,5.017,5.222,11600,
05/04/2010,4.846,5.11,4.787,4.959,10000,
06/04/2010,4.873,4.873,4.814,4.814,19900,
07/04/2010,4.959,4.959,4.873,4.904,10200,
08/04/2010,4.959,4.991,4.904,4.991,7400,
09/04/2010,5.196,5.282,4.991,5.017,20800,
12/04/2010,5.165,5.254,4.933,5.254,6700,
13/04/2010,4.959,4.959,4.959,4.959,1000,
14/04/2010,4.933,5.222,4.873,5.222,2200,
15/04/2010,5.077,5.165,4.814,5.165,9500,
16/04/2010,5.05,5.11,4.959,5.11,21900,
19/04/2010,4.959,5.017,4.727,4.727,9900,
20/04/2010,5.254,5.254,4.959,4.959,64300,
21/04/2010,5.547,5.575,5.341,5.575,47600,
22/04/2010,5.196,5.807,5.165,5.807,6600,
26/04/2010,5.077,5.254,5.077,5.254,7600,
27/04/2010,5.222,5.254,5.017,5.165,11600,
28/04/2010,5.137,5.196,5.077,5.165,17700,
29/04/2010,5.137,5.428,5.11,5.4,25200,
04/05/2010,5.516,5.516,5.254,5.254,50100,
05/05/2010,5.547,5.547,5.254,5.254,14500,DIVIDEND
06/05/2010,5.746,5.746,5.4,5.746,104800,
07/05/2010,5.456,6.098,5.4,6.098,41000,
10/05/2010,5.31,5.341,5.31,5.341,31300,
11/05/2010,5.254,5.633,5.222,5.4,9200,
12/05/2010,4.991,5.222,4.991,5.222,21500,
13/05/2010,4.959,5.017,4.668,5.017,30500,
14/05/2010,4.959,4.959,4.814,4.846,4600,
17/05/2010,4.933,5.165,4.814,5.165,3600,
18/05/2010,4.758,4.758,4.64,4.699,11400,
19/05/2010,4.668,4.991,4.523,4.959,6800,
20/05/2010,4.668,4.668,4.64,4.64,24500,
21/05/2010,4.349,4.668,4.349,4.668,24700,
24/05/2010,4.668,4.668,4.436,4.436,5300,
25/05/2010,4.668,4.873,4.668,4.873,7100,
26/05/2010,4.64,4.959,4.612,4.959,15400,
27/05/2010,4.758,4.758,4.58,4.758,5800,
28/05/2010,4.814,4.933,4.814,4.904,11900,
31/05/2010,4.873,4.873,4.873,4.873,0,
01/06/2010,4.668,4.814,4.668,4.668,2500,
02/06/2010,4.668,4.699,4.668,4.668,4300,
03/06/2010,4.668,4.727,4.668,4.727,5600,
04/06/2010,4.64,4.814,4.58,4.814,11400,
07/06/2010,4.376,4.436,4.29,4.376,23600,
08/06/2010,4.523,4.612,4.523,4.612,1200,
09/06/2010,4.494,4.58,4.494,4.58,8700,
10/06/2010,4.523,4.612,4.29,4.29,1600,
11/06/2010,4.523,4.668,4.523,4.58,8300,
14/06/2010,4.523,4.58,4.376,4.58,20300,
15/06/2010,4.612,4.758,4.494,4.494,8600,
16/06/2010,4.933,4.933,4.668,4.668,34100,
17/06/2010,5.165,5.165,5.11,5.11,26400,
18/06/2010,5.516,5.516,5.165,5.516,203500,
