transDate,close,high,low,open,volume,event
17/06/2016,7.691,7.819,6.409,6.409,178100,
20/06/2016,7.755,7.883,7.627,7.755,122100,
21/06/2016,7.563,7.691,7.499,7.627,98800,
22/06/2016,7.563,7.627,7.242,7.499,107800,
23/06/2016,7.563,7.691,7.37,7.434,83100,
24/06/2016,7.37,7.627,7.242,7.563,106000,
27/06/2016,7.434,7.499,7.37,7.434,63700,
28/06/2016,7.434,7.499,7.306,7.37,82300,
29/06/2016,7.499,7.499,7.37,7.37,83200,
30/06/2016,7.627,7.691,7.434,7.434,110200,
01/07/2016,7.563,7.691,7.499,7.499,65300,
04/07/2016,7.627,7.627,7.499,7.563,37800,
05/07/2016,7.499,7.691,7.434,7.627,40200,
06/07/2016,7.563,7.627,7.499,7.563,30400,
07/07/2016,7.563,7.627,7.434,7.563,34300,
08/07/2016,7.434,7.563,7.434,7.563,34200,
11/07/2016,7.37,7.499,7.05,7.05,22200,
12/07/2016,7.37,7.499,7.37,7.434,18900,
13/07/2016,7.37,7.499,7.37,7.434,24100,
14/07/2016,7.434,7.434,7.37,7.37,21500,
15/07/2016,7.434,7.499,7.37,7.37,19900,
18/07/2016,7.37,7.434,7.242,7.434,23800,
19/07/2016,7.37,7.434,7.306,7.37,19600,
20/07/2016,7.37,7.37,7.242,7.37,15200,
21/07/2016,7.37,7.434,7.37,7.37,25600,
22/07/2016,7.563,7.563,7.434,7.434,14000,
25/07/2016,7.499,7.499,7.434,7.434,15800,
26/07/2016,7.434,7.434,7.37,7.434,14000,
27/07/2016,7.499,7.499,7.499,7.499,23500,
28/07/2016,7.434,7.499,7.434,7.499,16000,
29/07/2016,7.37,7.499,7.37,7.499,14200,
01/08/2016,7.37,7.434,7.37,7.37,28500,
02/08/2016,7.434,7.434,7.37,7.434,11500,
03/08/2016,7.434,7.434,7.306,7.434,18600,
04/08/2016,7.306,7.37,7.306,7.37,17300,
05/08/2016,7.306,7.37,7.306,7.37,11000,
08/08/2016,7.306,7.306,7.306,7.306,12300,
09/08/2016,7.242,7.306,7.242,7.306,23000,
10/08/2016,7.178,7.306,7.178,7.306,12000,
11/08/2016,7.178,7.178,7.178,7.178,13500,
12/08/2016,7.115,7.178,7.05,7.178,17200,
15/08/2016,7.115,7.115,6.986,6.986,4100,
16/08/2016,6.986,7.115,6.986,7.05,10300,
17/08/2016,6.986,7.05,6.986,7.05,13800,
18/08/2016,7.306,8.012,6.986,6.986,41700,
19/08/2016,7.115,7.115,6.922,6.986,20300,
