transDate,close,high,low,open,volume,event
05/01/2017,11.153,15.494,11.153,15.494,14300,
06/01/2017,11.977,11.977,11.602,11.602,5400,
09/01/2017,13.324,13.324,11.977,11.977,400,
10/01/2017,11.977,12.051,11.977,12.051,6000,
11/01/2017,12.125,12.125,11.977,12.051,5000,
12/01/2017,12.051,12.051,12.051,12.051,0,
13/01/2017,12.125,12.125,11.977,11.977,1300,
16/01/2017,12.051,12.051,12.051,12.051,0,
17/01/2017,12.35,12.35,12.125,12.125,1000,
18/01/2017,12.276,12.276,12.276,12.276,0,
19/01/2017,12.276,12.276,12.276,12.276,0,
20/01/2017,12.276,12.276,12.276,12.276,0,
23/01/2017,12.276,12.276,12.276,12.276,0,
24/01/2017,14.072,14.072,14.072,14.072,500,
25/01/2017,11.977,12.051,11.977,11.977,1100,
02/02/2017,11.977,11.977,11.977,11.977,0,
03/02/2017,11.977,11.977,11.977,11.977,2000,
06/02/2017,11.902,11.902,11.902,11.902,100,
07/02/2017,11.826,11.977,11.826,11.977,6900,
08/02/2017,11.826,11.826,11.826,11.826,0,
09/02/2017,11.826,11.826,11.826,11.826,0,
10/02/2017,11.826,11.826,11.826,11.826,0,
13/02/2017,11.826,11.826,11.826,11.826,0,
14/02/2017,11.977,11.977,11.826,11.826,3300,
15/02/2017,12.35,12.35,12.35,12.35,100,
16/02/2017,12.35,12.35,12.35,12.35,0,
17/02/2017,12.35,12.35,12.35,12.35,0,
20/02/2017,12.35,12.35,12.35,12.35,0,
21/02/2017,12.35,12.35,12.35,12.35,0,
22/02/2017,12.35,12.35,12.35,12.35,1600,
23/02/2017,12.35,12.35,12.35,12.35,0,
24/02/2017,12.35,12.35,12.35,12.35,0,
27/02/2017,12.35,12.35,12.35,12.35,0,
28/02/2017,12.35,12.35,12.35,12.35,0,
01/03/2017,12.35,12.35,12.35,12.35,0,
02/03/2017,12.35,12.35,12.35,12.35,0,
03/03/2017,12.35,12.35,12.35,12.35,0,
06/03/2017,12.35,12.35,12.35,12.35,0,
07/03/2017,12.35,12.35,12.35,12.35,0,
08/03/2017,12.35,12.35,12.35,12.35,0,
09/03/2017,12.35,12.35,12.35,12.35,0,
10/03/2017,12.35,12.35,12.35,12.35,0,
13/03/2017,12.35,12.35,12.35,12.35,0,
14/03/2017,12.35,12.35,12.35,12.35,0,
15/03/2017,12.35,12.35,12.35,12.35,0,
16/03/2017,12.35,12.35,12.35,12.35,0,
17/03/2017,12.35,12.35,12.35,12.35,0,
20/03/2017,12.35,12.35,12.35,12.35,0,
21/03/2017,12.35,12.35,12.35,12.35,0,
22/03/2017,12.35,12.35,12.35,12.35,0,
23/03/2017,12.35,12.35,12.35,12.35,0,
24/03/2017,12.35,12.35,12.35,12.35,0,
27/03/2017,12.35,12.35,12.35,12.35,0,
28/03/2017,12.276,12.276,12.276,12.276,100,
29/03/2017,12.276,12.276,12.276,12.276,0,
30/03/2017,11.676,11.676,11.676,11.676,100,
31/03/2017,11.676,11.676,11.676,11.676,0,
03/04/2017,11.676,11.676,11.676,11.676,2300,
04/04/2017,11.676,11.676,11.676,11.676,0,
05/04/2017,11.676,11.676,11.676,11.676,0,
07/04/2017,11.676,11.676,11.676,11.676,0,
10/04/2017,11.676,11.676,11.676,11.676,0,
11/04/2017,11.676,11.676,11.676,11.676,0,
12/04/2017,11.676,11.676,11.676,11.676,0,
13/04/2017,11.676,11.676,11.676,11.676,0,
14/04/2017,11.676,11.676,11.676,11.676,0,
17/04/2017,11.676,11.676,11.676,11.676,0,
18/04/2017,11.676,11.676,11.676,11.676,0,
19/04/2017,11.676,11.676,11.676,11.676,0,
20/04/2017,11.676,11.676,11.676,11.676,0,
21/04/2017,11.676,11.676,11.676,11.676,0,
24/04/2017,11.676,11.676,11.676,11.676,0,
25/04/2017,11.676,11.676,11.676,11.676,0,
26/04/2017,11.676,11.676,11.676,11.676,0,
27/04/2017,11.676,11.676,11.676,11.676,0,
28/04/2017,11.676,11.676,11.676,11.676,0,
03/05/2017,11.676,11.676,11.676,11.676,0,
04/05/2017,11.676,11.676,11.676,11.676,0,
05/05/2017,11.676,11.676,11.676,11.676,0,
08/05/2017,11.676,11.676,11.676,11.676,100,
09/05/2017,12.125,12.125,12.125,12.125,1000,
10/05/2017,12.125,12.125,12.125,12.125,0,
11/05/2017,12.125,12.125,12.125,12.125,0,
12/05/2017,12.125,12.125,12.125,12.125,0,DIVIDEND
15/05/2017,12.125,12.125,12.125,12.125,0,
16/05/2017,12.125,12.125,12.125,12.125,0,
17/05/2017,12.125,12.125,12.125,12.125,0,
18/05/2017,12.125,12.125,12.125,12.125,0,
19/05/2017,12.125,12.125,12.125,12.125,0,
22/05/2017,12.681,12.681,12.681,12.681,200,
23/05/2017,12.681,12.681,12.681,12.681,0,
24/05/2017,12.681,12.681,12.681,12.681,0,
25/05/2017,12.681,12.681,12.681,12.681,0,
26/05/2017,12.681,12.681,12.681,12.681,0,
29/05/2017,12.681,12.681,12.681,12.681,100,
30/05/2017,12.681,12.681,12.681,12.681,0,
31/05/2017,12.681,12.681,12.681,12.681,0,
01/06/2017,12.681,12.681,12.681,12.681,200,
02/06/2017,12.681,12.681,12.681,12.681,0,
05/06/2017,12.681,12.681,12.681,12.681,0,
06/06/2017,11.888,12.681,11.888,12.681,1100,
07/06/2017,12.047,12.047,12.047,12.047,0,
08/06/2017,11.888,11.888,11.888,11.888,300,
09/06/2017,11.888,11.888,11.888,11.888,0,
12/06/2017,10.382,10.382,10.303,10.303,1300,
13/06/2017,10.382,10.382,10.382,10.382,600,
14/06/2017,10.382,10.382,10.382,10.382,400,
15/06/2017,10.382,10.382,10.382,10.382,0,
16/06/2017,10.382,10.382,10.382,10.382,0,
19/06/2017,10.382,10.382,10.382,10.382,0,
20/06/2017,11.096,11.096,11.096,11.096,8300,
21/06/2017,11.255,11.255,11.255,11.255,700,
22/06/2017,11.255,11.255,11.255,11.255,0,
23/06/2017,11.255,11.255,11.255,11.255,0,
26/06/2017,12.285,12.285,12.285,12.285,100,
27/06/2017,12.285,12.285,12.285,12.285,0,
28/06/2017,12.285,12.285,12.285,12.285,0,
29/06/2017,12.681,12.681,12.681,12.681,100,
30/06/2017,12.681,12.681,11.888,11.888,500,
03/07/2017,12.364,12.364,12.364,12.364,2000,
04/07/2017,12.364,12.364,12.364,12.364,500,
05/07/2017,12.364,12.364,12.364,12.364,0,
06/07/2017,12.364,12.364,12.364,12.364,0,
07/07/2017,12.364,12.364,12.364,12.364,0,
10/07/2017,12.364,12.364,12.364,12.364,0,
11/07/2017,12.364,12.364,12.364,12.364,0,
12/07/2017,12.364,12.364,12.364,12.364,0,
13/07/2017,12.364,12.364,12.364,12.364,0,
