transDate,close,high,low,open,volume,event
15/11/2006,8.81,8.81,8.81,8.81,10900.0,
16/11/2006,9.2,9.2,9.12,9.12,13190.0,
17/11/2006,9.6,9.6,9.6,9.6,53180.0,
20/11/2006,9.99,9.99,9.99,9.99,123400.0,
21/11/2006,10.46,10.46,10.46,10.46,84500.0,
22/11/2006,10.94,10.94,10.94,10.94,189800.0,
23/11/2006,11.41,11.41,11.41,11.41,199700.0,
24/11/2006,11.96,11.96,11.96,11.96,183690.0,
27/11/2006,12.51,12.51,12.43,12.43,238520.0,
28/11/2006,13.06,13.06,13.06,13.06,179400.0,
29/11/2006,13.14,13.7,13.14,13.14,190030.0,
30/11/2006,13.06,13.14,12.49,13.14,117530.0,
01/12/2006,13.06,13.06,12.9,13.06,183130.0,
04/12/2006,13.06,13.22,12.9,13.06,87600.0,
05/12/2006,13.06,13.06,12.74,13.06,207520.0,
06/12/2006,13.37,13.37,13.05,13.05,296750.0,
07/12/2006,14.0,14.0,14.0,14.0,352160.0,
08/12/2006,14.63,14.63,14.63,14.63,29700.0,
11/12/2006,15.26,15.34,15.26,15.26,436210.0,
12/12/2006,15.58,15.9,15.58,15.58,291540.0,
13/12/2006,15.58,15.9,15.58,15.58,328550.0,
14/12/2006,15.73,15.89,15.57,15.57,422960.0,
15/12/2006,15.89,15.89,15.73,15.73,490610.0,
18/12/2006,15.26,15.9,15.18,15.9,318460.0,
19/12/2006,15.26,15.42,15.26,15.42,140780.0,
20/12/2006,14.79,15.11,14.79,15.11,125650.0,
21/12/2006,14.08,14.24,14.08,14.24,114650.0,
22/12/2006,13.45,13.45,13.45,13.45,63300.0,
25/12/2006,14.08,14.08,12.79,13.44,104790.0,
26/12/2006,14.47,14.47,14.47,14.47,71550.0,
27/12/2006,14.47,14.64,14.47,14.47,28810.0,
28/12/2006,14.24,14.24,14.16,14.24,117620.0,
29/12/2006,14.24,14.24,13.92,14.24,78130.0,
02/01/2007,14.47,14.47,14.47,14.47,61390.0,
03/01/2007,14.16,14.16,14.0,14.16,60500.0,
04/01/2007,14.63,14.79,14.63,14.63,124380.0,
05/01/2007,15.34,15.34,15.1,15.1,293840.0,
08/01/2007,15.26,15.34,15.26,15.34,183380.0,
09/01/2007,15.42,15.58,15.42,15.42,285470.0,
10/01/2007,15.89,15.89,15.41,15.41,341260.0,
11/01/2007,16.52,16.52,16.52,16.52,718250.0,
12/01/2007,17.31,17.31,17.31,17.31,119950.0,
15/01/2007,18.09,18.09,18.09,18.09,64450.0,
16/01/2007,18.88,18.88,18.88,18.88,26660.0,
17/01/2007,19.66,19.66,19.66,19.66,34270.0,
18/01/2007,20.61,20.61,20.61,20.61,117790.0,
19/01/2007,21.55,21.55,21.55,21.55,70160.0,
22/01/2007,22.34,22.5,21.54,21.54,656780.0,
23/01/2007,22.34,22.34,22.34,22.34,319050.0,
24/01/2007,21.24,22.36,21.24,22.36,185700.0,
25/01/2007,20.29,20.29,20.29,20.29,256300.0,
26/01/2007,21.24,21.24,20.76,20.76,158920.0,
29/01/2007,21.55,21.55,21.23,21.23,126630.0,
30/01/2007,22.5,22.5,22.34,22.34,216680.0,
31/01/2007,22.34,23.62,22.34,22.5,371040.0,
01/02/2007,23.13,23.13,22.33,22.33,487770.0,
02/02/2007,22.5,22.5,22.5,22.5,125450.0,
05/02/2007,23.6,23.6,22.17,22.48,229750.0,
06/02/2007,24.7,24.7,22.95,23.59,325440.0,
07/02/2007,23.6,24.72,23.6,24.72,129780.0,
08/02/2007,22.5,22.5,22.5,22.5,115570.0,
09/02/2007,21.4,21.4,21.4,21.4,100610.0,
12/02/2007,22.34,22.34,21.22,21.38,348860.0,
13/02/2007,22.34,22.34,22.34,22.34,205750.0,
14/02/2007,23.44,23.44,22.33,22.33,238190.0,
15/02/2007,23.44,23.44,23.44,23.44,147270.0,
26/02/2007,24.54,24.54,24.54,24.54,233760.0,
27/02/2007,25.65,25.65,25.65,25.65,149920.0,
28/02/2007,26.9,26.9,26.74,26.74,488260.0,
01/03/2007,26.9,27.38,26.9,26.9,267530.0,
02/03/2007,28.07,28.07,26.92,28.07,201840.0,DIVIDEND
05/03/2007,29.39,29.39,29.39,29.39,197650.0,
06/03/2007,28.26,30.74,28.26,29.4,148310.0,
07/03/2007,28.63,28.63,26.92,28.25,162270.0,
08/03/2007,28.07,28.64,27.87,28.64,123780.0,
09/03/2007,28.26,28.26,28.06,28.06,122720.0,
12/03/2007,28.26,29.59,28.26,28.26,184090.0,
13/03/2007,28.26,28.26,27.68,28.26,139300.0,
14/03/2007,28.07,28.07,26.92,28.07,136150.0,
15/03/2007,26.94,26.94,26.74,26.94,125280.0,
16/03/2007,28.26,28.26,27.68,27.68,133200.0,
19/03/2007,28.63,29.59,28.63,28.63,147210.0,
20/03/2007,27.5,28.65,27.5,28.65,135710.0,
21/03/2007,27.5,27.69,27.5,27.5,69610.0,
22/03/2007,27.5,27.5,26.93,27.5,50000.0,
23/03/2007,26.94,27.51,26.94,27.51,84290.0,
26/03/2007,27.5,27.69,27.5,27.5,122190.0,
27/03/2007,26.18,27.13,26.18,27.13,54500.0,
28/03/2007,25.8,25.8,25.04,25.8,59940.0,
29/03/2007,26.94,26.94,26.74,26.74,73850.0,
30/03/2007,27.31,27.69,26.93,26.93,96770.0,
02/04/2007,27.31,27.31,26.36,27.31,103360.0,
03/04/2007,26.94,27.32,26.74,26.94,97900.0,
04/04/2007,26.94,26.94,26.74,26.94,126640.0,
05/04/2007,27.12,27.31,27.12,27.12,105360.0,
06/04/2007,27.12,27.12,26.36,27.12,70880.0,
09/04/2007,26.94,26.94,26.74,26.94,87560.0,
10/04/2007,26.94,26.94,26.55,26.94,165780.0,
11/04/2007,26.75,26.75,26.36,26.75,67490.0,
12/04/2007,26.75,26.75,26.56,26.75,106980.0,
13/04/2007,26.56,26.56,26.56,26.56,113570.0,
16/04/2007,26.56,26.75,26.37,26.56,167600.0,
17/04/2007,26.37,26.37,25.41,26.37,70330.0,
18/04/2007,26.75,26.75,26.17,26.36,123260.0,
19/04/2007,26.56,26.75,26.56,26.56,82220.0,
20/04/2007,26.75,26.75,25.41,26.56,111840.0,
23/04/2007,25.42,25.42,25.42,25.42,27490.0,
24/04/2007,25.42,25.42,24.28,25.42,70080.0,
25/04/2007,25.23,25.23,24.47,25.23,43840.0,
02/05/2007,25.23,25.81,25.23,25.23,82250.0,
03/05/2007,25.23,25.23,25.23,25.23,115610.0,
04/05/2007,25.23,25.23,24.66,25.23,135210.0,
07/05/2007,25.42,25.42,25.04,25.23,157280.0,
08/05/2007,26.18,26.18,25.8,25.8,169120.0,
09/05/2007,26.18,26.18,26.18,26.18,155610.0,
10/05/2007,25.8,26.18,25.8,25.8,67050.0,
