transDate,close,high,low,open,volume,event
19/10/2009,19.575,19.575,19.575,19.575,10,
20/10/2009,20.463,20.463,20.463,20.463,10,
21/10/2009,21.359,21.359,21.359,21.359,10,
22/10/2009,22.396,22.396,22.396,22.396,10,
23/10/2009,23.434,23.434,23.434,23.434,10,
26/10/2009,24.473,24.473,24.473,24.473,5000,
27/10/2009,25.654,25.654,25.654,25.654,22210,
28/10/2009,26.842,26.842,26.842,26.842,11260,
29/10/2009,28.182,28.182,28.032,28.182,1005860,
30/10/2009,28.475,29.514,28.475,29.514,562020,
02/11/2009,27.144,27.286,27.144,27.144,164630,
03/11/2009,25.805,26.399,25.805,26.105,147000,
04/11/2009,24.616,26.105,24.616,24.616,497630,
05/11/2009,24.766,25.068,23.728,24.616,441350,
06/11/2009,24.323,25.805,24.323,25.805,261240,
09/11/2009,23.134,24.172,23.134,24.029,190180,
10/11/2009,22.095,23.434,22.095,23.134,494270,
11/11/2009,23.134,23.134,21.953,22.245,403310,
12/11/2009,24.172,24.172,23.434,23.878,256580,
13/11/2009,25.36,25.36,24.323,24.473,818180,
16/11/2009,26.55,26.55,26.55,26.55,547420,
17/11/2009,26.993,27.286,26.105,26.692,923900,
18/11/2009,26.993,26.993,26.105,26.692,479910,
19/11/2009,26.105,27.437,26.105,26.55,430360,
20/11/2009,25.955,26.55,25.805,26.105,397800,
23/11/2009,24.766,25.955,24.766,25.955,368660,
24/11/2009,23.878,25.068,23.728,24.616,349010,
25/11/2009,22.69,23.728,22.69,23.577,609420,
26/11/2009,21.359,21.652,21.359,21.359,236250,DIVIDEND
27/11/2009,22.396,22.396,20.321,20.321,506230,
30/11/2009,23.134,23.284,22.095,22.396,334120,
01/12/2009,22.991,23.434,22.69,23.284,348700,
02/12/2009,21.953,22.991,21.953,22.245,329960,
03/12/2009,21.359,22.095,20.913,21.803,240390,
04/12/2009,21.953,22.396,21.359,21.953,307180,
07/12/2009,22.396,22.396,21.652,22.095,199210,
08/12/2009,21.502,22.245,21.502,21.953,295040,
09/12/2009,20.463,20.913,20.463,20.763,332840,
10/12/2009,19.575,21.057,19.575,20.463,394320,
11/12/2009,18.687,19.132,18.687,19.132,324530,
14/12/2009,19.575,19.575,18.687,19.425,410800,
15/12/2009,19.132,20.019,18.982,19.425,179010,
16/12/2009,18.243,18.537,18.243,18.537,124070,
17/12/2009,18.093,18.093,17.349,17.65,285380,
18/12/2009,18.982,18.982,18.093,18.687,209940,
21/12/2009,19.876,19.876,18.982,19.282,201810,
22/12/2009,19.425,20.321,19.132,19.876,213240,
23/12/2009,19.425,19.876,19.132,19.282,229850,
