transDate,close,high,low,open,volume,event
21/06/2011,13.896,14.009,13.896,13.896,3000.0,
22/06/2011,13.224,13.224,13.224,13.224,1880.0,
23/06/2011,13.84,13.84,12.608,12.608,570.0,
24/06/2011,13.84,13.952,13.168,13.168,13330.0,
27/06/2011,13.168,13.168,13.168,13.168,16310.0,
28/06/2011,12.551,12.551,12.551,12.551,1260.0,
29/06/2011,11.935,11.935,11.935,11.935,200.0,
30/06/2011,11.375,11.39,11.375,11.39,10.0,
01/07/2011,11.319,11.319,11.319,11.319,5000.0,
04/07/2011,10.759,10.759,10.759,10.759,110.0,
05/07/2011,10.253,10.253,10.253,10.253,4890.0,
06/07/2011,9.749,9.749,9.749,9.749,740.0,
07/07/2011,9.302,9.302,9.302,9.302,150.0,
08/07/2011,8.854,8.854,8.854,8.854,8330.0,
11/07/2011,8.462,8.462,8.462,8.462,430.0,
12/07/2011,8.069,8.293,8.069,8.069,74560.0,
13/07/2011,8.069,8.181,7.732,8.069,26890.0,
14/07/2011,7.844,7.844,7.732,7.844,8810.0,
15/07/2011,7.452,8.012,7.452,8.012,10020.0,
18/07/2011,7.732,7.788,7.565,7.732,206.0,
19/07/2011,7.509,7.956,7.509,7.956,5620.0,
20/07/2011,7.509,7.788,7.452,7.788,2570.0,
21/07/2011,7.732,7.788,7.509,7.509,1580.0,
22/07/2011,7.395,7.565,7.395,7.395,16790.0,
25/07/2011,7.284,7.565,7.284,7.565,4810.0,
26/07/2011,6.948,7.452,6.948,7.061,17330.0,
27/07/2011,7.284,7.284,6.724,7.284,2330.0,
28/07/2011,6.948,7.284,6.948,7.284,9020.0,
29/07/2011,6.668,6.948,6.668,6.948,36110.0,
01/08/2011,6.668,6.892,6.388,6.724,18690.0,
02/08/2011,6.78,6.836,6.388,6.668,35150.0,
03/08/2011,7.004,7.004,6.668,6.836,23280.0,
04/08/2011,7.229,7.229,6.892,6.892,36000.0,
05/08/2011,7.004,7.395,7.004,7.229,9950.0,
08/08/2011,6.668,6.724,6.668,6.668,10020.0,
09/08/2011,6.388,6.388,6.388,6.388,43470.0,
10/08/2011,6.555,6.668,6.108,6.668,12970.0,
11/08/2011,6.724,6.724,6.724,6.724,10.0,
12/08/2011,6.444,6.724,6.388,6.444,40100.0,
15/08/2011,6.612,6.612,6.388,6.388,520.0,
16/08/2011,6.612,6.612,6.612,6.612,31200.0,
17/08/2011,6.612,6.724,6.444,6.444,11010.0,
18/08/2011,6.668,6.668,6.5,6.5,10410.0,
19/08/2011,6.555,6.555,6.5,6.5,16950.0,
22/08/2011,6.555,6.724,6.555,6.724,680.0,
23/08/2011,6.724,6.724,6.5,6.5,2010.0,
24/08/2011,6.444,6.555,6.444,6.444,41000.0,
25/08/2011,6.612,6.612,6.444,6.444,21470.0,
26/08/2011,6.612,6.612,6.388,6.388,25590.0,
29/08/2011,6.444,6.612,6.444,6.612,18910.0,
30/08/2011,6.668,6.724,6.5,6.724,19810.0,
31/08/2011,6.668,6.668,6.668,6.668,0.0,
01/09/2011,6.724,6.724,6.612,6.668,38270.0,
05/09/2011,6.612,6.78,6.612,6.78,2380.0,
06/09/2011,6.612,6.668,6.555,6.555,7810.0,
07/09/2011,6.668,6.668,6.5,6.555,8010.0,
08/09/2011,6.444,6.724,6.444,6.668,35970.0,
09/09/2011,6.555,6.612,6.276,6.276,730.0,
12/09/2011,6.668,6.668,6.5,6.612,36180.0,
13/09/2011,6.724,6.892,6.668,6.668,36190.0,
14/09/2011,6.724,6.836,6.724,6.724,15160.0,
15/09/2011,6.836,6.836,6.612,6.836,36890.0,
16/09/2011,6.892,7.172,6.668,6.892,40170.0,
19/09/2011,7.004,7.172,6.555,7.172,22530.0,
20/09/2011,7.116,7.116,6.724,7.116,34900.0,
21/09/2011,7.172,7.452,7.116,7.172,18480.0,
22/09/2011,7.509,7.509,7.284,7.509,28110.0,
23/09/2011,7.844,7.844,7.677,7.788,39440.0,
26/09/2011,7.956,8.181,7.844,7.956,15530.0,
27/09/2011,7.901,8.125,7.565,7.901,19920.0,
28/09/2011,8.237,8.237,7.509,8.237,109410.0,
29/09/2011,8.517,8.517,7.844,8.517,60620.0,
30/09/2011,8.125,8.741,8.125,8.741,17370.0,
03/10/2011,8.293,8.293,7.732,7.732,49100.0,
04/10/2011,8.684,8.684,7.901,8.293,96190.0,
05/10/2011,9.077,9.077,8.684,9.077,74240.0,
06/10/2011,9.526,9.526,8.965,9.19,53700.0,
07/10/2011,9.862,9.917,9.749,9.862,4990.0,
10/10/2011,10.142,10.309,9.413,9.413,85400.0,
11/10/2011,10.253,10.366,9.862,10.142,23440.0,
12/10/2011,10.253,10.253,10.253,10.253,7020.0,
13/10/2011,10.703,10.703,9.749,9.749,123400.0,
14/10/2011,11.151,11.151,10.59,10.59,53100.0,
17/10/2011,10.759,11.151,10.759,11.151,7590.0,
18/10/2011,10.926,10.926,10.253,10.253,53110.0,
19/10/2011,11.319,11.319,10.422,10.422,205000.0,
20/10/2011,11.263,11.431,10.759,11.263,174760.0,
21/10/2011,10.703,11.151,10.703,11.151,91520.0,
24/10/2011,10.197,10.479,10.197,10.309,88880.0,
25/10/2011,9.806,10.253,9.694,9.694,169190.0,
26/10/2011,9.357,9.806,9.357,9.357,143000.0,
27/10/2011,8.965,9.806,8.91,8.91,101240.0,
28/10/2011,8.572,9.413,8.572,9.357,174190.0,
31/10/2011,8.854,8.965,8.181,8.91,150070.0,
01/11/2011,9.021,9.19,8.462,9.19,160720.0,
02/11/2011,8.572,9.021,8.572,9.021,134580.0,
03/11/2011,8.572,8.684,8.181,8.181,124110.0,
04/11/2011,8.572,8.572,8.181,8.406,184180.0,
07/11/2011,8.406,8.517,8.181,8.517,132970.0,
08/11/2011,8.012,8.462,8.012,8.462,96670.0,
09/11/2011,7.621,8.181,7.621,8.181,111280.0,
10/11/2011,7.284,7.844,7.284,7.844,119550.0,
11/11/2011,6.948,7.284,6.948,6.948,154720.0,
14/11/2011,6.948,6.948,6.612,6.836,89220.0,
15/11/2011,7.284,7.284,6.948,7.229,238100.0,
16/11/2011,7.452,7.509,6.948,7.172,287620.0,
17/11/2011,7.788,7.788,7.116,7.172,250760.0,
18/11/2011,7.844,7.844,7.452,7.509,274120.0,
21/11/2011,8.125,8.125,7.452,7.844,225930.0,
22/11/2011,8.35,8.35,7.732,8.125,250740.0,
23/11/2011,7.956,8.462,7.956,8.462,177760.0,
24/11/2011,7.565,8.069,7.565,7.621,178380.0,
25/11/2011,7.901,7.901,7.229,7.509,249080.0,
28/11/2011,7.844,8.181,7.509,7.621,386630.0,
29/11/2011,8.069,8.069,7.452,7.844,563380.0,
30/11/2011,8.293,8.293,7.677,7.788,493740.0,
01/12/2011,8.406,8.406,7.901,8.237,382140.0,
