transDate,close,high,low,open,volume,event
30/06/2008,31.19,31.19,31.19,31.19,220.0,
01/07/2008,30.281,30.281,30.281,30.281,70.0,
02/07/2008,29.43,29.43,29.43,29.43,20.0,
03/07/2008,28.586,28.586,28.586,28.586,10.0,
04/07/2008,27.744,27.744,27.744,27.744,10.0,
07/07/2008,26.967,26.967,26.967,26.967,10.0,
08/07/2008,32.355,32.355,32.355,32.355,0.0,
09/07/2008,32.355,32.355,32.355,32.355,0.0,
10/07/2008,26.182,26.182,26.182,26.182,10.0,
11/07/2008,31.422,31.422,31.422,31.422,0.0,
14/07/2008,25.405,25.405,25.405,25.405,10.0,
15/07/2008,24.686,24.686,24.686,24.686,70.0,
16/07/2008,23.975,23.975,23.975,23.975,60.0,
17/07/2008,23.256,23.256,23.256,23.256,80.0,
18/07/2008,22.612,22.612,22.612,22.612,10.0,
21/07/2008,22.091,22.091,22.091,22.091,100.0,
22/07/2008,26.513,26.513,26.513,26.513,0.0,
23/07/2008,21.438,21.438,21.438,21.438,10.0,
24/07/2008,20.859,20.859,20.859,20.859,10.0,
25/07/2008,20.273,20.273,20.273,20.273,920.0,
28/07/2008,19.686,19.686,19.686,19.686,20.0,
29/07/2008,19.099,19.099,19.099,19.099,10.0,
30/07/2008,22.925,22.925,22.925,22.925,0.0,
31/07/2008,18.578,18.578,18.578,18.578,10.0,
01/08/2008,18.066,18.066,18.066,18.066,20.0,
04/08/2008,17.545,17.545,17.545,17.545,20.0,
05/08/2008,21.05,21.05,21.05,21.05,0.0,
06/08/2008,17.025,17.025,17.025,17.025,10.0,
07/08/2008,16.57,16.57,16.57,16.57,19620.0,
08/08/2008,16.115,16.115,16.115,16.115,15010.0,
11/08/2008,15.661,15.661,15.661,15.661,13950.0,
12/08/2008,15.206,15.206,15.206,15.206,310.0,
13/08/2008,14.752,14.752,14.752,14.752,14020.0,
14/08/2008,14.355,14.355,14.355,14.355,1180.0,
15/08/2008,13.967,13.967,13.967,13.967,34440.0,
18/08/2008,13.323,13.323,13.323,13.323,790.0,
19/08/2008,12.669,12.669,12.669,12.669,1920.0,
20/08/2008,12.083,12.083,12.083,12.083,12410.0,
21/08/2008,11.505,11.505,11.505,11.505,410.0,
22/08/2008,10.984,10.984,10.984,10.984,3880.0,
25/08/2008,11.505,11.505,10.463,10.463,1185260.0,
26/08/2008,12.016,12.016,12.016,12.016,210300.0,
27/08/2008,12.604,12.604,12.604,12.604,73710.0,
28/08/2008,13.19,13.19,12.016,13.19,265520.0,
29/08/2008,12.537,12.537,12.537,12.537,97850.0,
03/09/2008,11.959,12.537,11.959,11.959,631710.0,
04/09/2008,11.372,11.438,11.372,11.372,211600.0,
