transDate,close,high,low,open,volume,event
02/03/2016,8.32,9.309,8.32,9.309,287620,
03/03/2016,7.744,7.744,7.744,7.744,84630,
04/03/2016,7.25,7.662,7.25,7.25,473110,
07/03/2016,7.332,7.662,7.085,7.25,514860,
08/03/2016,7.332,7.414,7.25,7.332,499550,
09/03/2016,6.837,7.168,6.837,6.837,253220,
10/03/2016,6.508,6.92,6.425,6.425,530580,
11/03/2016,6.59,6.672,6.343,6.508,554630,
14/03/2016,6.508,6.59,6.425,6.59,481700,
15/03/2016,6.425,6.508,6.261,6.508,552220,
16/03/2016,6.343,6.425,6.096,6.425,666140,
17/03/2016,6.343,6.343,6.096,6.343,546180,
18/03/2016,6.261,6.425,6.096,6.343,607070,
21/03/2016,6.179,6.343,6.096,6.261,519320,
22/03/2016,6.179,6.261,6.014,6.179,537990,
23/03/2016,6.59,6.59,6.096,6.179,692310,
24/03/2016,6.837,7.002,6.59,6.59,638530,
25/03/2016,6.837,7.085,6.672,6.837,797720,
28/03/2016,7.002,7.085,6.837,6.837,645470,
29/03/2016,6.672,7.085,6.59,7.002,820140,
30/03/2016,6.672,6.837,6.425,6.425,499870,
31/03/2016,6.425,6.672,6.343,6.672,243280,
01/04/2016,6.425,6.425,6.261,6.425,769820,
04/04/2016,6.59,6.59,6.343,6.425,601660,
05/04/2016,6.672,6.672,6.425,6.59,508470,
06/04/2016,6.425,6.672,6.425,6.672,771970,
07/04/2016,6.672,6.672,6.343,6.425,692000,
08/04/2016,6.59,6.672,6.343,6.672,682080,
11/04/2016,6.755,6.755,6.508,6.508,568930,
12/04/2016,6.672,6.755,6.343,6.59,395230,
13/04/2016,6.672,6.672,6.508,6.672,226720,
14/04/2016,6.672,6.672,6.508,6.672,328200,
15/04/2016,6.672,6.672,6.508,6.672,254690,
19/04/2016,6.672,6.672,6.508,6.672,241930,
20/04/2016,6.59,6.672,6.425,6.59,243590,
21/04/2016,6.508,6.59,6.425,6.59,260810,
22/04/2016,6.59,6.59,6.343,6.508,450890,
25/04/2016,6.508,6.59,6.508,6.59,298350,
26/04/2016,6.508,6.508,6.343,6.425,159900,
27/04/2016,6.425,6.59,6.343,6.508,280490,
28/04/2016,6.343,6.508,6.343,6.425,177700,
29/04/2016,6.343,6.508,6.261,6.343,197590,
04/05/2016,6.343,6.425,6.261,6.425,238060,
05/05/2016,6.755,6.755,6.343,6.343,337580,
06/05/2016,6.92,7.085,6.755,6.755,220340,
09/05/2016,7.085,7.085,6.672,6.92,264960,
10/05/2016,7.085,7.25,6.92,7.085,228900,
11/05/2016,7.497,7.579,7.002,7.085,356830,
12/05/2016,7.827,7.827,7.414,7.497,325230,
13/05/2016,7.909,7.909,7.662,7.827,410840,
16/05/2016,7.991,8.239,7.744,7.827,471960,
17/05/2016,7.827,8.074,7.579,7.991,395610,
18/05/2016,7.662,7.991,7.579,7.662,417420,
19/05/2016,7.25,7.662,7.168,7.579,307930,
20/05/2016,7.332,7.332,6.755,6.837,329180,
23/05/2016,7.414,7.414,7.168,7.332,250560,
24/05/2016,7.662,7.744,7.332,7.414,267460,
25/05/2016,7.662,7.744,7.414,7.497,286490,
26/05/2016,7.827,8.074,7.579,7.744,280440,
27/05/2016,7.744,7.827,7.662,7.827,340240,
30/05/2016,7.744,7.744,7.579,7.744,314000,
31/05/2016,7.744,7.744,7.579,7.744,312420,
01/06/2016,7.662,7.744,7.497,7.579,264410,
02/06/2016,7.579,7.662,7.497,7.579,326820,
03/06/2016,7.662,7.662,7.414,7.579,315170,
06/06/2016,7.497,7.662,7.332,7.579,306470,
07/06/2016,7.497,7.579,7.414,7.579,258130,
08/06/2016,7.414,7.497,7.414,7.497,264980,
09/06/2016,7.497,7.497,7.332,7.497,260500,
10/06/2016,7.414,7.414,7.332,7.414,271780,
13/06/2016,7.168,7.414,7.002,7.085,296270,
14/06/2016,7.25,7.25,6.92,6.92,285520,
15/06/2016,7.332,7.332,7.085,7.168,321420,
16/06/2016,7.332,7.332,7.168,7.332,287100,
17/06/2016,7.25,7.332,7.085,7.085,315270,
20/06/2016,7.25,7.25,7.085,7.25,270530,
21/06/2016,7.414,7.414,7.168,7.25,311730,
22/06/2016,7.414,7.414,7.332,7.414,14140,
23/06/2016,7.332,7.414,7.25,7.332,103590,
24/06/2016,6.92,7.332,6.837,7.332,117130,
27/06/2016,6.92,6.92,6.755,6.755,18500,
28/06/2016,6.92,6.92,6.755,6.92,22050,
29/06/2016,6.837,6.92,6.837,6.92,13910,
30/06/2016,7.002,7.002,6.837,6.837,19700,
01/07/2016,7.002,7.002,6.755,6.92,54990,
04/07/2016,6.92,7.002,6.755,6.92,113330,
05/07/2016,6.755,7.002,6.755,6.92,53800,
06/07/2016,6.508,6.59,6.425,6.425,37840,
07/07/2016,6.343,6.672,6.343,6.508,108630,
08/07/2016,6.672,6.672,6.179,6.261,29320,
11/07/2016,6.59,6.755,6.343,6.425,117890,
12/07/2016,6.59,6.59,6.343,6.508,115550,
13/07/2016,6.508,6.59,6.261,6.508,177230,
14/07/2016,6.425,6.425,6.261,6.261,105350,
15/07/2016,6.343,6.425,6.343,6.343,107330,
18/07/2016,6.508,6.508,6.261,6.261,106050,
19/07/2016,6.508,6.508,6.261,6.261,82560,
20/07/2016,6.508,6.508,6.343,6.508,126990,
21/07/2016,6.096,6.425,6.096,6.425,99850,
22/07/2016,6.508,6.508,5.932,5.932,101550,
25/07/2016,6.59,6.59,6.425,6.59,92960,
26/07/2016,6.837,7.002,6.261,6.261,120900,
27/07/2016,6.837,6.92,6.59,6.59,101580,
28/07/2016,6.92,7.002,6.755,7.002,102310,
29/07/2016,6.508,6.92,6.508,6.755,111960,
01/08/2016,6.755,6.755,6.096,6.096,15200,
02/08/2016,6.755,6.755,6.59,6.755,12880,
03/08/2016,6.837,6.837,6.755,6.755,5600,
04/08/2016,6.837,6.837,6.837,6.837,7240,
05/08/2016,6.425,6.837,6.425,6.837,6800,
08/08/2016,6.59,6.672,6.425,6.672,4760,
09/08/2016,6.343,6.59,6.261,6.59,35560,
10/08/2016,6.343,6.425,6.261,6.343,50600,
11/08/2016,6.425,6.425,6.343,6.343,50500,
12/08/2016,6.425,6.508,6.261,6.425,68300,
15/08/2016,6.343,6.508,6.261,6.425,75100,
16/08/2016,6.425,6.425,6.261,6.343,152200,
17/08/2016,6.425,6.508,6.343,6.425,211910,
18/08/2016,6.425,6.508,6.261,6.343,182460,
19/08/2016,6.343,6.508,6.261,6.425,158900,
22/08/2016,6.343,6.508,6.179,6.261,201800,
23/08/2016,6.425,6.425,6.179,6.425,223500,
24/08/2016,6.261,6.508,6.096,6.343,237300,
25/08/2016,6.261,6.343,6.096,6.343,246870,
26/08/2016,6.343,6.508,6.179,6.179,454400,
29/08/2016,6.261,6.343,6.096,6.261,385400,
30/08/2016,6.179,6.343,6.096,6.261,492620,
31/08/2016,6.014,6.261,5.932,6.096,258600,
01/09/2016,6.014,6.096,5.849,6.096,248260,
05/09/2016,6.096,6.179,5.849,5.932,211600,
06/09/2016,6.014,6.096,5.849,6.096,136800,
07/09/2016,6.096,6.096,5.932,6.096,211200,
08/09/2016,6.343,6.343,5.932,6.096,233650,
09/09/2016,6.179,6.343,6.096,6.343,112900,
12/09/2016,5.751,6.302,5.751,6.17,167900,
13/09/2016,5.89,6.014,5.519,5.767,268390,
14/09/2016,5.916,6.006,5.849,5.89,265500,
15/09/2016,5.882,5.947,5.767,5.907,289630,
16/09/2016,5.882,5.932,5.602,5.932,154600,
19/09/2016,5.684,5.89,5.684,5.882,127680,
20/09/2016,5.767,5.767,5.289,5.602,28910,
21/09/2016,5.676,5.767,5.364,5.767,39500,
22/09/2016,5.676,5.676,5.519,5.676,121410,
23/09/2016,5.519,5.676,5.437,5.676,200750,
26/09/2016,5.519,5.643,5.478,5.519,151230,
27/09/2016,5.437,5.495,5.141,5.141,335890,
28/09/2016,5.191,5.354,5.058,5.058,98730,
29/09/2016,5.165,5.191,5.066,5.066,96400,
30/09/2016,5.058,5.191,4.943,5.026,94850,
03/10/2016,4.901,5.058,4.712,4.943,79860,
04/10/2016,5.191,5.191,4.564,4.943,19320,
05/10/2016,5.191,5.191,5.108,5.191,38270,
06/10/2016,4.943,5.191,4.943,5.191,47420,
07/10/2016,4.943,5.108,4.696,4.943,37310,
10/10/2016,4.943,4.943,4.614,4.943,43270,
11/10/2016,4.852,4.943,4.605,4.943,44860,
12/10/2016,4.852,4.943,4.531,4.531,76560,
13/10/2016,4.852,4.852,4.581,4.581,68740,
14/10/2016,4.696,4.852,4.531,4.852,63140,
17/10/2016,4.655,4.696,4.531,4.696,64170,
18/10/2016,4.655,4.655,4.531,4.655,63160,
19/10/2016,4.629,4.639,4.539,4.539,55910,
20/10/2016,4.605,4.655,4.531,4.531,89130,
21/10/2016,4.531,4.621,4.531,4.597,72300,
24/10/2016,4.655,4.655,4.49,4.531,110510,
25/10/2016,4.688,4.703,4.614,4.655,141620,
26/10/2016,4.729,4.762,4.688,4.688,141420,
27/10/2016,4.877,4.877,4.696,4.696,177930,
28/10/2016,4.901,5.173,4.778,4.885,331190,
31/10/2016,4.82,4.885,4.696,4.861,215240,
01/11/2016,4.992,5.108,4.746,4.778,296250,
02/11/2016,5.009,5.091,4.82,4.894,210960,
03/11/2016,5.017,5.042,4.861,5.009,173950,
04/11/2016,4.778,5.05,4.737,4.943,201050,
07/11/2016,4.894,5.108,4.778,4.786,306130,
08/11/2016,4.901,4.943,4.828,4.828,204790,
09/11/2016,5.231,5.231,4.778,4.82,431700,
10/11/2016,5.593,5.593,5.231,5.273,299690,
11/11/2016,5.849,5.98,5.684,5.767,43060,
14/11/2016,6.096,6.096,5.767,5.849,53330,
15/11/2016,6.425,6.425,5.849,6.343,33550,
16/11/2016,6.665,6.672,6.425,6.425,36730,
17/11/2016,6.796,6.837,6.343,6.672,173760,
18/11/2016,6.672,6.83,6.425,6.796,97940,
21/11/2016,6.665,6.672,6.425,6.425,57560,
22/11/2016,6.212,6.672,6.212,6.672,62710,
23/11/2016,6.642,6.642,6.343,6.642,34350,DIVIDEND
24/11/2016,6.796,6.796,6.633,6.66,18600,
25/11/2016,7.267,7.267,7.25,7.25,112380,
28/11/2016,7.775,7.775,7.775,7.775,117060,
29/11/2016,8.318,8.318,8.301,8.301,176620,
30/11/2016,8.898,8.898,8.88,8.889,162950,
01/12/2016,9.515,9.515,9.424,9.515,162640,
02/12/2016,10.149,10.149,10.058,10.149,196900,
05/12/2016,10.24,10.828,10.104,10.828,214960,
06/12/2016,10.24,10.42,9.786,10.24,125370,
07/12/2016,10.149,10.33,9.695,10.33,34810,
08/12/2016,9.968,10.149,9.605,10.149,97790,
09/12/2016,9.968,10.149,9.786,9.968,113670,
12/12/2016,9.877,9.877,9.695,9.877,96090,
13/12/2016,10.149,10.194,9.877,9.877,51760,
