transDate,close,high,low,open,volume,event
25/03/2010,7.15,7.731,6.522,6.522,63400,
26/03/2010,6.813,7.493,6.721,7.493,16300,
29/03/2010,7.011,7.011,7.011,7.011,2400,
30/03/2010,7.011,7.011,7.011,7.011,1100,
31/03/2010,6.522,6.813,6.522,6.813,13000,
01/04/2010,6.522,6.621,6.522,6.621,2000,
02/04/2010,6.139,6.522,6.139,6.522,9800,
05/04/2010,6.284,6.284,6.139,6.238,16000,
06/04/2010,6.667,6.667,6.238,6.238,3000,
07/04/2010,6.522,6.959,6.475,6.959,12200,
08/04/2010,6.959,6.959,6.767,6.767,12600,
09/04/2010,6.767,7.15,6.721,7.15,5400,
12/04/2010,6.767,6.959,6.621,6.912,57700,
13/04/2010,6.667,7.15,6.667,7.15,3100,
14/04/2010,7.011,7.103,6.522,7.103,15400,
15/04/2010,6.912,7.15,6.522,7.058,26400,
16/04/2010,7.394,7.394,6.959,7.202,60700,
19/04/2010,7.784,7.784,7.394,7.394,75000,
20/04/2010,8.267,8.267,8.167,8.214,35400,
21/04/2010,8.795,8.795,8.795,8.795,53700,
22/04/2010,8.842,9.377,8.842,9.377,90600,
26/04/2010,9.423,9.905,8.702,9.905,41700,
27/04/2010,9.667,9.905,9.186,9.859,58000,
28/04/2010,10.15,10.15,9.232,9.232,61200,
29/04/2010,10.441,10.533,9.667,10.394,72300,
04/05/2010,11.022,11.022,10.487,10.969,76100,
05/05/2010,11.597,11.743,10.533,11.306,81400,
06/05/2010,12.224,12.224,11.358,11.451,104300,
07/05/2010,12.224,12.806,11.841,11.841,36700,
10/05/2010,11.551,12.37,11.551,12.086,34900,
11/05/2010,10.969,11.795,10.969,11.597,22100,
12/05/2010,10.295,10.295,10.295,10.295,1700,
13/05/2010,9.614,9.76,9.614,9.614,40500,
14/05/2010,10.15,10.15,8.986,8.986,51300,
17/05/2010,9.186,9.232,8.941,9.232,3400,
18/05/2010,8.558,8.749,8.558,8.749,80700,
19/05/2010,7.784,7.878,7.784,7.878,28300,DIVIDEND
20/05/2010,7.976,8.214,7.249,7.394,34600,
21/05/2010,7.103,7.295,7.103,7.249,51800,
