transDate,close,high,low,open,volume,event
18/11/2008,8.591,8.591,8.591,8.591,20,
19/11/2008,8.165,8.165,8.165,8.165,10,
20/11/2008,7.766,7.766,7.766,7.766,10,
21/11/2008,7.395,7.395,7.395,7.395,10,
24/11/2008,7.038,7.038,7.038,7.038,3410,
25/11/2008,6.695,6.695,6.695,6.695,3110,
26/11/2008,6.372,6.372,6.372,6.372,8110,
27/11/2008,6.07,6.07,6.07,6.07,2010,
28/11/2008,5.782,5.782,5.782,5.782,2110,
01/12/2008,5.494,5.494,5.494,5.494,2500,
02/12/2008,5.225,5.225,5.225,5.225,24010,
03/12/2008,4.979,5.032,4.979,4.979,205250,
04/12/2008,4.566,4.656,4.566,4.566,393620,DIVIDEND
05/12/2008,4.367,4.456,4.353,4.367,340450,
08/12/2008,4.58,4.58,4.58,4.58,41980,
09/12/2008,4.799,4.799,4.799,4.799,17600,
10/12/2008,4.799,4.799,4.621,4.669,138430,
11/12/2008,5.032,5.032,4.943,4.943,141980,
12/12/2008,5.281,5.281,5.281,5.281,26950,
15/12/2008,5.533,5.533,5.533,5.533,4110,
16/12/2008,5.802,5.802,5.549,5.802,367980,
17/12/2008,5.713,6.035,5.549,5.549,54180,
18/12/2008,5.713,5.816,5.549,5.713,28280,
19/12/2008,5.981,5.981,5.981,5.981,23970,
22/12/2008,6.262,6.262,6.262,6.262,28460,
23/12/2008,6.571,6.571,6.084,6.571,120790,
24/12/2008,6.447,6.715,6.283,6.283,84960,
25/12/2008,6.585,6.625,6.262,6.625,26100,
26/12/2008,6.805,6.908,6.66,6.805,136580,
29/12/2008,6.949,6.949,6.674,6.949,49470,
30/12/2008,7.161,7.161,6.715,6.805,89600,
31/12/2008,7.519,7.519,6.983,7.072,214730,
02/01/2009,7.896,7.896,7.841,7.896,92860,
05/01/2009,7.553,8.219,7.499,8.219,129310,
06/01/2009,7.43,7.697,7.285,7.574,83890,
07/01/2009,7.176,7.717,7.176,7.697,62310,
08/01/2009,7.176,7.176,6.819,6.894,145290,
09/01/2009,7.34,7.34,7.141,7.141,34710,
12/01/2009,7.409,7.519,7.34,7.34,22270,
13/01/2009,7.052,7.34,7.052,7.25,37270,
14/01/2009,6.805,7.321,6.765,6.859,89440,
15/01/2009,6.805,6.894,6.765,6.765,47780,
16/01/2009,7.141,7.141,6.983,7.072,121950,
19/01/2009,7.306,7.34,7.161,7.34,42500,
20/01/2009,7.36,7.519,7.321,7.519,98520,
21/01/2009,7.141,7.34,7.141,7.216,21580,
22/01/2009,7.161,7.231,7.127,7.127,60740,
23/01/2009,7.161,7.196,7.127,7.141,28410,
02/02/2009,7.038,7.161,7.038,7.141,43650,
03/02/2009,6.695,6.859,6.695,6.859,63970,
04/02/2009,6.372,6.73,6.372,6.571,41550,
05/02/2009,6.07,6.07,6.07,6.07,18000,
06/02/2009,6.262,6.338,5.782,5.782,121010,
09/02/2009,6.427,6.447,6.262,6.427,27800,
10/02/2009,6.124,6.427,6.124,6.427,20780,
11/02/2009,5.871,5.995,5.871,5.871,22790,
12/02/2009,5.624,5.816,5.624,5.638,31900,
13/02/2009,5.549,5.816,5.549,5.638,28300,
16/02/2009,5.335,5.802,5.335,5.802,28990,
17/02/2009,5.102,5.225,5.081,5.171,83190,
18/02/2009,5.122,5.281,5.013,5.013,50800,
19/02/2009,5.335,5.335,5.191,5.335,76230,
20/02/2009,5.444,5.444,5.191,5.191,24190,
23/02/2009,5.171,5.444,5.171,5.444,47540,
24/02/2009,4.923,5.013,4.923,5.013,47480,
25/02/2009,5.157,5.157,4.943,5.102,53460,
26/02/2009,5.157,5.157,4.958,5.013,8710,
27/02/2009,5.122,5.281,5.013,5.013,25980,
02/03/2009,5.122,5.136,5.013,5.013,15610,
03/03/2009,5.102,5.122,4.958,5.122,17130,
04/03/2009,5.157,5.191,5.157,5.191,13560,
05/03/2009,5.39,5.39,5.048,5.335,59020,
06/03/2009,5.37,5.39,5.301,5.39,17850,
09/03/2009,5.246,5.549,5.225,5.459,85180,
10/03/2009,5.494,5.494,5.171,5.39,211070,
11/03/2009,5.761,5.761,5.761,5.761,89720,
12/03/2009,6.049,6.049,5.658,5.761,243980,
13/03/2009,6.303,6.338,6.084,6.317,265280,
16/03/2009,6.249,6.262,5.995,6.035,208600,
17/03/2009,6.462,6.462,6.262,6.262,211100,
18/03/2009,6.447,6.585,6.174,6.585,142710,
19/03/2009,6.124,6.358,6.124,6.262,128720,
20/03/2009,5.89,6.124,5.816,5.946,203630,
23/03/2009,5.658,5.837,5.658,5.837,52760,
24/03/2009,5.926,5.926,5.857,5.926,166230,
25/03/2009,6.159,6.214,5.726,5.726,89310,
26/03/2009,6.124,6.174,5.995,6.124,179850,
27/03/2009,5.96,6.159,5.96,6.14,174300,
30/03/2009,5.816,5.96,5.726,5.726,30210,
31/03/2009,5.658,5.802,5.624,5.713,51980,
01/04/2009,5.802,5.837,5.604,5.726,130790,
02/04/2009,6.084,6.084,6.035,6.084,493780,
03/04/2009,6.392,6.392,6.392,6.392,123550,
07/04/2009,6.695,6.695,6.625,6.695,579330,
08/04/2009,6.805,7.017,6.695,6.805,578220,
09/04/2009,6.859,6.983,6.715,6.949,290310,
10/04/2009,7.196,7.196,7.196,7.196,279060,
13/04/2009,7.553,7.553,7.553,7.553,18620,
14/04/2009,7.931,7.931,7.931,7.931,37420,
15/04/2009,8.322,8.322,8.322,8.322,247420,
16/04/2009,8.734,8.734,8.322,8.734,584210,
17/04/2009,8.308,8.576,8.308,8.308,644050,
20/04/2009,7.896,7.896,7.896,7.896,27710,
21/04/2009,7.499,8.143,7.499,7.499,435520,
22/04/2009,7.519,7.676,7.141,7.499,454650,
23/04/2009,7.896,7.896,7.875,7.896,790100,
24/04/2009,8.287,8.287,8.054,8.287,374780,
27/04/2009,8.075,8.679,8.054,8.679,196550,
28/04/2009,8.088,8.143,7.91,8.02,291140,
29/04/2009,8.487,8.487,7.951,7.986,381920,
04/05/2009,8.899,8.899,8.899,8.899,22370,
05/05/2009,9.31,9.31,9.31,9.31,7900,
06/05/2009,9.757,9.757,9.242,9.332,827920,
07/05/2009,10.203,10.203,9.777,9.777,383950,
08/05/2009,10.649,10.649,10.293,10.293,412050,
11/05/2009,10.828,11.095,10.203,10.649,376360,
12/05/2009,11.37,11.37,10.471,11.095,263450,
13/05/2009,11.0,11.433,10.739,11.0,489100,DIVIDEND
14/05/2009,10.828,11.275,10.828,10.918,368780,
15/05/2009,11.37,11.37,11.007,11.275,237070,
18/05/2009,11.007,11.46,11.007,11.095,679270,
19/05/2009,11.46,11.549,11.095,11.46,395560,
20/05/2009,11.37,11.549,11.275,11.46,345380,
21/05/2009,11.37,11.906,11.095,11.37,395230,
22/05/2009,11.37,11.46,11.007,11.007,272490,
25/05/2009,11.906,11.906,11.46,11.549,232530,
26/05/2009,12.442,12.442,11.728,12.085,271080,
27/05/2009,12.977,12.977,12.62,12.977,636430,
28/05/2009,13.602,13.602,13.245,13.423,517690,
29/05/2009,13.967,14.145,13.156,14.145,286680,
01/06/2009,14.056,14.235,13.967,14.145,247920,
02/06/2009,14.235,14.68,14.235,14.68,243230,
03/06/2009,14.858,14.858,14.145,14.235,520890,
04/06/2009,15.573,15.573,15.394,15.394,302150,
05/06/2009,16.287,16.287,16.287,16.287,127470,
08/06/2009,17.097,17.097,16.829,17.097,456760,
09/06/2009,17.901,17.901,17.188,17.812,533050,
10/06/2009,17.008,17.901,17.008,17.812,594880,
11/06/2009,17.812,17.812,17.544,17.812,379890,
12/06/2009,18.614,18.614,18.437,18.614,665290,
15/06/2009,18.979,19.336,18.08,18.614,700470,
16/06/2009,18.08,18.979,18.08,18.258,573810,
17/06/2009,17.188,17.722,17.188,17.188,481890,
18/06/2009,16.383,17.365,16.383,17.365,476950,
19/06/2009,15.573,16.472,15.573,16.472,635860,
22/06/2009,14.858,15.305,14.858,15.037,493520,
23/06/2009,14.145,14.145,14.145,14.145,309060,
24/06/2009,14.77,14.77,14.77,14.77,59480,DIVIDEND
25/06/2009,15.442,15.442,15.037,15.442,555830,
26/06/2009,14.901,15.711,14.901,15.711,542720,
29/06/2009,14.235,14.633,14.235,14.365,286630,
30/06/2009,13.561,13.967,13.561,13.828,148470,
01/07/2009,12.889,12.889,12.889,12.889,89320,
02/07/2009,12.861,13.396,12.244,12.244,836400,
03/07/2009,12.62,12.62,12.244,12.244,496030,
06/07/2009,13.239,13.239,13.156,13.239,252150,
07/07/2009,13.828,13.828,13.423,13.828,451350,
08/07/2009,14.502,14.502,13.828,13.967,1145140,
09/07/2009,14.097,14.77,14.097,14.502,304660,
10/07/2009,13.691,13.967,13.396,13.967,586760,
13/07/2009,13.053,13.561,13.025,13.561,366820,
14/07/2009,13.053,13.156,12.484,13.053,243530,
15/07/2009,13.321,13.561,13.053,13.129,182360,
16/07/2009,13.423,13.561,13.184,13.321,312840,
17/07/2009,13.293,13.561,13.293,13.423,337830,
20/07/2009,12.648,12.944,12.648,12.944,262330,
21/07/2009,12.648,12.861,12.51,12.51,184730,
22/07/2009,12.353,12.73,12.353,12.353,284800,
23/07/2009,12.97,12.97,12.298,12.298,249000,
24/07/2009,13.561,13.561,13.561,13.561,36040,
27/07/2009,14.235,14.235,14.235,14.235,187390,
28/07/2009,14.502,14.901,14.502,14.901,1548190,
29/07/2009,15.037,15.175,14.77,15.175,1078880,
30/07/2009,14.365,15.037,14.365,14.633,801440,
31/07/2009,15.037,15.037,15.037,15.037,43740,
03/08/2009,15.711,15.711,15.037,15.711,721410,
04/08/2009,16.246,16.383,15.978,16.383,2155520,
05/08/2009,16.383,16.513,15.841,15.978,648920,
06/08/2009,16.513,17.188,16.383,16.383,674360,
07/08/2009,16.383,16.652,16.108,16.513,588490,
10/08/2009,17.188,17.188,16.246,16.513,820420,
11/08/2009,17.99,17.99,16.919,16.919,870430,
12/08/2009,18.793,18.793,18.258,18.793,722300,
13/08/2009,18.793,19.734,18.793,19.734,1860100,
14/08/2009,18.663,19.198,18.395,18.526,1121170,
17/08/2009,18.258,19.068,18.258,18.526,604550,
18/08/2009,19.068,19.068,18.127,18.127,1496750,
19/08/2009,20.002,20.002,19.336,19.604,876670,
20/08/2009,20.942,20.942,20.406,20.545,987080,
21/08/2009,20.406,21.882,20.406,21.752,1147180,
