transDate,close,high,low,open,volume,event
08/10/2009,12.744,12.744,12.567,12.567,11030,
09/10/2009,13.28,13.28,13.28,13.28,27020,
12/10/2009,13.815,13.815,13.815,13.815,36550,
13/10/2009,14.404,14.404,14.404,14.404,21130,
14/10/2009,14.992,14.992,14.992,14.992,35100,
15/10/2009,15.635,15.635,15.635,15.635,3090,
16/10/2009,16.278,16.278,16.278,16.278,460,
19/10/2009,16.92,16.92,16.92,16.92,15160,
20/10/2009,17.724,17.724,17.724,17.724,29790,
21/10/2009,18.419,18.419,18.419,18.419,46910,
22/10/2009,19.169,19.169,19.169,19.169,50780,
23/10/2009,19.652,19.983,19.153,19.983,510140,
26/10/2009,19.652,20.315,19.153,19.153,352540,
27/10/2009,18.901,19.571,18.901,19.068,180970,
28/10/2009,18.152,18.152,18.152,18.152,130310,
29/10/2009,17.402,17.402,17.402,17.402,25650,
30/10/2009,18.152,18.152,16.47,17.311,626330,
02/11/2009,18.152,18.318,17.311,17.311,208100,
03/11/2009,17.402,18.249,17.402,17.911,110470,
04/11/2009,16.652,17.332,16.652,16.652,183260,
05/11/2009,16.385,16.93,15.839,16.048,244680,
06/11/2009,17.081,17.081,16.909,17.081,346780,
09/11/2009,16.491,17.172,16.321,16.664,140630,
10/11/2009,15.743,16.834,15.743,16.834,100670,
11/11/2009,16.01,16.181,15.667,15.705,85700,
12/11/2009,16.01,16.588,16.01,16.01,110670,
13/11/2009,16.76,16.76,15.807,15.978,205200,
16/11/2009,17.402,17.402,17.231,17.402,319240,
17/11/2009,16.652,17.638,16.652,17.638,159120,
18/11/2009,16.652,16.684,16.144,16.684,117600,
19/11/2009,17.294,17.294,16.615,16.786,428310,
20/11/2009,16.652,17.67,16.652,17.161,164720,
23/11/2009,16.01,16.996,15.978,16.996,76060,
24/11/2009,15.421,16.695,15.421,16.695,127190,
25/11/2009,14.725,15.555,14.725,15.555,121240,
26/11/2009,14.082,14.082,14.082,14.082,8050,
27/11/2009,13.547,14.779,13.547,13.547,195300,
30/11/2009,12.958,13.879,12.958,12.958,105670,
01/12/2009,13.333,13.472,13.333,13.333,169980,
02/12/2009,12.797,13.472,12.797,12.937,91100,
03/12/2009,12.476,13.365,12.262,12.476,31870,
04/12/2009,12.53,12.882,12.422,12.882,31420,
07/12/2009,12.744,12.744,12.669,12.669,45300,DIVIDEND
08/12/2009,12.208,12.829,12.208,12.829,56280,
09/12/2009,11.726,11.726,11.726,11.726,21920,
10/12/2009,11.298,11.523,11.298,11.523,24370,
11/12/2009,10.87,10.87,10.87,10.87,6960,
14/12/2009,10.388,10.918,10.388,10.388,92740,
15/12/2009,10.12,10.312,10.007,10.12,112180,
16/12/2009,9.745,9.863,9.745,9.863,92980,
17/12/2009,9.745,9.745,9.279,9.323,111800,
18/12/2009,10.067,10.067,10.029,10.029,70460,
21/12/2009,10.495,10.495,10.42,10.495,101790,
22/12/2009,10.495,10.95,10.458,10.719,83660,
23/12/2009,10.87,10.87,10.307,10.307,111530,
24/12/2009,11.298,11.298,10.779,10.891,104220,
25/12/2009,11.726,11.726,11.726,11.726,31180,
28/12/2009,12.208,12.208,11.33,12.064,130060,
29/12/2009,12.208,12.685,12.027,12.171,107440,
30/12/2009,12.476,12.658,12.042,12.112,152680,
31/12/2009,12.958,13.028,12.775,12.958,103640,
04/01/2010,13.494,13.494,13.349,13.424,51620,
05/01/2010,14.028,14.028,14.028,14.028,58230,
06/01/2010,14.617,14.617,13.595,13.595,219800,
07/01/2010,15.154,15.154,14.458,14.875,208940,
08/01/2010,14.564,15.48,14.564,15.48,84400,
11/01/2010,13.975,14.19,13.975,14.012,48730,
12/01/2010,13.386,13.386,13.386,13.386,49520,
13/01/2010,12.851,12.851,12.851,12.851,149120,
14/01/2010,13.333,13.333,12.728,13.188,148600,
15/01/2010,12.851,13.681,12.851,13.033,55220,
18/01/2010,12.369,12.991,12.369,12.991,90030,
19/01/2010,12.583,12.658,11.967,11.967,185660,
20/01/2010,13.064,13.064,12.706,13.064,213810,
21/01/2010,12.958,13.499,12.599,13.247,97370,
22/01/2010,12.904,13.156,12.509,12.509,102480,
25/01/2010,12.476,13.017,12.369,12.551,71770,
26/01/2010,13.011,13.011,12.759,12.942,151740,
27/01/2010,12.53,13.397,12.493,13.397,89800,
28/01/2010,12.047,12.744,12.047,12.744,121290,
29/01/2010,12.047,12.412,11.683,12.047,138290,
01/02/2010,12.637,12.637,12.593,12.637,27880,
02/02/2010,12.744,12.92,12.031,12.031,80490,
03/02/2010,12.958,13.001,12.513,12.513,116540,
04/02/2010,13.011,13.145,12.92,13.145,97920,
05/02/2010,13.011,13.011,12.518,12.567,129550,
08/02/2010,13.172,13.172,12.679,12.679,67170,
09/02/2010,13.011,13.145,12.744,13.145,83780,
10/02/2010,13.333,13.376,12.931,13.376,44030,
11/02/2010,13.333,13.333,13.333,13.333,31320,
12/02/2010,13.547,13.639,13.145,13.639,32600,
22/02/2010,13.494,13.719,13.494,13.719,5490,
23/02/2010,12.797,13.241,12.797,13.241,48700,
24/02/2010,12.744,12.878,12.518,12.786,59060,
