transDate,close,high,low,open,volume,event
21/12/2009,14.858,15.764,13.515,15.764,3500,
22/12/2009,14.411,14.411,14.411,14.411,100,
23/12/2009,15.316,15.404,15.316,15.404,500,
24/12/2009,14.858,15.764,14.858,14.858,3800,
25/12/2009,14.683,14.683,14.138,14.235,7800,
28/12/2009,13.515,13.515,13.242,13.242,5500,
29/12/2009,13.515,13.515,13.515,13.515,100,
30/12/2009,12.609,12.794,12.609,12.794,2100,
31/12/2009,11.801,13.417,11.801,13.417,10500,
04/01/2010,12.697,12.697,12.522,12.522,3700,
05/01/2010,13.417,13.417,13.417,13.417,6800,
06/01/2010,14.235,14.235,14.235,14.235,100,
07/01/2010,13.242,14.411,13.242,14.411,4900,
08/01/2010,12.609,13.778,12.609,12.609,11100,
11/01/2010,12.609,12.969,12.609,12.969,1300,
12/01/2010,11.889,12.609,11.889,12.609,7200,
13/01/2010,12.522,12.522,11.081,11.713,2600,
14/01/2010,11.976,11.976,11.976,11.976,400,
15/01/2010,12.794,12.794,12.794,12.794,900,
18/01/2010,12.969,12.969,12.969,12.969,100,
19/01/2010,12.969,12.969,12.969,12.969,0,
20/01/2010,12.161,12.161,12.161,12.161,3200,
21/01/2010,12.161,12.161,12.161,12.161,0,
22/01/2010,12.161,12.161,12.161,12.161,0,
25/01/2010,12.161,12.161,12.161,12.161,2000,
26/01/2010,11.889,11.889,11.889,11.889,100,
27/01/2010,11.353,11.616,11.353,11.616,2000,
28/01/2010,11.256,11.713,11.256,11.713,3500,
29/01/2010,11.256,11.256,11.256,11.256,1500,
01/02/2010,11.256,11.256,10.808,10.808,6800,
02/02/2010,11.713,11.713,11.713,11.713,100,
03/02/2010,10.993,10.993,10.993,10.993,1800,
04/02/2010,10.808,10.808,10.808,10.808,2000,
05/02/2010,11.256,11.256,11.256,11.256,1000,
08/02/2010,10.535,11.256,10.535,11.256,11500,
09/02/2010,9.912,10.087,9.912,10.087,18200,
10/02/2010,10.633,10.633,10.633,10.633,100,
11/02/2010,11.256,11.256,11.256,11.256,100,
12/02/2010,11.528,11.528,11.528,11.528,100,
22/02/2010,11.801,11.801,11.801,11.801,1000,
23/02/2010,11.801,11.801,11.801,11.801,0,
24/02/2010,11.801,11.801,11.801,11.801,0,
25/02/2010,11.801,11.801,11.801,11.801,0,
26/02/2010,11.801,11.801,11.801,11.801,0,
01/03/2010,11.713,11.713,10.993,10.993,600,
02/03/2010,10.448,10.448,10.448,10.448,1000,
03/03/2010,10.896,10.896,10.896,10.896,100,
04/03/2010,10.896,11.256,10.36,11.256,4200,
05/03/2010,10.36,10.633,10.36,10.633,1400,
08/03/2010,11.168,11.168,10.448,10.448,13800,
09/03/2010,11.528,11.528,11.256,11.256,3800,
10/03/2010,11.713,12.161,11.713,12.161,6900,
11/03/2010,11.976,12.161,11.081,12.161,600,
12/03/2010,11.801,11.801,10.993,11.081,6200,
15/03/2010,11.976,11.976,11.713,11.801,3300,
16/03/2010,11.801,11.801,11.168,11.168,1200,
17/03/2010,11.256,11.801,11.256,11.801,1400,
18/03/2010,11.976,11.976,11.976,11.976,100,
19/03/2010,11.713,11.713,11.713,11.713,500,
22/03/2010,11.889,11.889,11.256,11.616,13600,
23/03/2010,12.522,12.522,12.161,12.161,40100,
24/03/2010,13.33,13.33,13.242,13.242,50700,
25/03/2010,12.434,14.05,12.434,14.05,10800,
26/03/2010,12.794,13.417,11.889,13.417,1900,
29/03/2010,12.434,13.057,11.441,13.057,2300,
30/03/2010,11.528,12.161,11.528,12.161,14200,
31/03/2010,11.081,11.168,10.993,10.993,3200,
01/04/2010,11.441,11.441,11.256,11.256,1100,
02/04/2010,11.713,11.713,11.441,11.441,1100,
05/04/2010,12.161,12.161,11.256,11.256,200,
06/04/2010,11.168,11.889,10.896,10.896,4700,
07/04/2010,11.889,11.889,11.616,11.616,9100,
08/04/2010,12.249,12.609,12.161,12.609,22900,
09/04/2010,12.522,12.522,11.801,11.889,12500,
12/04/2010,12.882,13.242,12.609,13.057,15600,
13/04/2010,12.161,13.515,12.161,13.515,10300,
14/04/2010,12.161,12.609,11.713,12.609,24800,
15/04/2010,12.522,12.609,12.161,12.609,24900,
