transDate,close,high,low,open,volume,event
15/09/2010,24.92,27.79,21.71,21.71,192800,
16/09/2010,21.97,24.13,21.8,24.13,121900,
17/09/2010,23.71,23.71,22.32,22.32,124200,
20/09/2010,28.8,28.8,26.4,27.2,175300,
21/09/2010,23.45,23.53,23.45,23.45,86700,
22/09/2010,25.36,25.71,24.92,24.92,142400,
23/09/2010,24.32,24.75,23.45,24.32,78600,
24/09/2010,23.88,24.78,23.88,24.78,15100,
27/09/2010,23.45,23.88,23.45,23.88,6600,
28/09/2010,23.88,24.32,23.45,24.23,64500,
29/09/2010,22.14,24.32,22.14,24.32,46900,
30/09/2010,23.19,23.19,23.19,23.19,1000,
01/10/2010,23.01,23.36,23.01,23.36,36500,
04/10/2010,21.71,22.58,21.19,22.58,32800,
05/10/2010,27.0,27.0,27.0,27.0,40000,
06/10/2010,26.9,26.9,25.5,26.0,9800,
07/10/2010,23.88,23.88,23.88,23.88,235000,
08/10/2010,23.45,23.45,23.01,23.36,13000,
11/10/2010,23.01,23.45,23.01,23.45,20700,
12/10/2010,23.36,23.36,23.19,23.19,9000,
13/10/2010,23.01,23.88,23.01,23.88,11300,
14/10/2010,23.45,23.45,23.36,23.36,5600,
15/10/2010,23.36,23.36,23.36,23.36,300,
18/10/2010,23.36,23.36,23.36,23.36,1300,
19/10/2010,21.71,23.27,21.71,23.27,43900,
20/10/2010,20.84,23.27,20.84,23.27,7000,
21/10/2010,23.45,23.45,23.45,23.45,10000,
22/10/2010,26.9,26.9,25.0,25.0,400,
25/10/2010,26.9,26.9,26.9,26.9,5000,
26/10/2010,26.9,27.4,25.0,27.4,11300,
27/10/2010,27.2,27.2,27.2,27.2,0,
28/10/2010,25.0,26.9,25.0,25.0,13000,
29/10/2010,26.8,26.8,26.8,26.8,10000,
01/11/2010,21.02,22.49,21.02,21.28,13000,
02/11/2010,23.36,23.36,23.36,23.36,8000,
03/11/2010,25.18,25.18,25.18,25.18,5000,
04/11/2010,25.18,25.18,25.18,25.18,0,
05/11/2010,25.18,25.18,25.18,25.18,0,
08/11/2010,25.18,25.18,25.18,25.18,0,
09/11/2010,25.18,25.18,25.18,25.18,0,
10/11/2010,25.18,25.18,25.18,25.18,0,
11/11/2010,22.67,22.67,22.67,22.67,10000,
12/11/2010,23.27,23.27,23.27,23.27,10000,
15/11/2010,23.27,23.27,23.27,23.27,0,
16/11/2010,22.67,22.67,22.67,22.67,7300,
17/11/2010,23.45,23.45,22.93,22.93,24900,
18/11/2010,22.93,25.18,22.93,25.18,10500,
19/11/2010,26.92,31.98,26.92,31.98,5000,
22/11/2010,26.57,26.57,26.57,26.57,11400,
23/11/2010,30.6,30.6,30.6,30.6,0,
24/11/2010,30.6,30.6,30.6,30.6,0,
25/11/2010,23.97,23.97,23.97,23.97,2000,
26/11/2010,21.62,23.88,21.62,21.62,22500,
29/11/2010,23.62,23.62,23.62,23.62,500,
30/11/2010,22.49,22.49,19.19,19.19,21500,
01/12/2010,20.06,23.01,20.06,23.01,6800,
02/12/2010,22.49,22.49,20.06,20.06,27500,
03/12/2010,22.58,23.01,20.15,23.01,13000,
06/12/2010,23.01,23.01,22.58,22.58,5000,
07/12/2010,23.79,23.79,23.19,23.19,20500,
08/12/2010,23.36,23.36,23.36,23.36,5000,
09/12/2010,23.36,23.36,23.36,23.36,0,
10/12/2010,22.93,22.93,22.93,22.93,20000,
13/12/2010,22.93,22.93,22.93,22.93,0,
14/12/2010,22.14,22.14,22.14,22.14,100,
15/12/2010,28.0,28.0,25.4,25.4,12000,
16/12/2010,24.14,24.14,24.14,24.14,0,
17/12/2010,27.8,27.8,27.8,27.8,0,
20/12/2010,24.14,24.14,23.45,23.45,2500,
21/12/2010,27.3,27.3,27.3,27.3,0,
22/12/2010,27.3,27.3,27.3,27.3,0,
23/12/2010,27.3,27.3,27.3,27.3,0,
24/12/2010,25.1,25.1,23.45,23.45,1100,
27/12/2010,22.06,22.58,22.06,22.58,2700,
28/12/2010,28.0,28.0,28.0,28.0,5000,
29/12/2010,21.88,26.05,21.88,26.05,6900,
30/12/2010,22.492,22.492,22.492,22.492,400,
31/12/2010,23.187,23.361,20.321,23.361,11500,
04/01/2011,22.926,22.926,22.926,22.926,0,
05/01/2011,22.926,22.926,22.926,22.926,0,
06/01/2011,24.75,24.75,24.75,24.75,7500,
07/01/2011,22.318,25.184,22.318,25.184,8000,
10/01/2011,23.013,25.184,22.145,22.579,96600,
11/01/2011,22.579,25.097,22.579,25.097,11800,
12/01/2011,23.882,24.75,23.447,23.447,7800,
13/01/2011,24.142,24.142,24.142,24.142,0,
14/01/2011,24.316,24.316,24.316,24.316,500,
17/01/2011,23.274,23.361,22.145,23.361,5700,
18/01/2011,24.316,24.75,24.316,24.316,14000,
19/01/2011,22.318,22.318,22.318,22.318,1000,
20/01/2011,24.489,24.489,24.489,24.489,10000,
21/01/2011,24.229,24.229,24.229,24.229,1700,
24/01/2011,24.229,24.229,24.229,24.229,0,
25/01/2011,24.055,24.055,24.055,24.055,4800,
26/01/2011,21.711,23.361,21.711,23.361,9600,
27/01/2011,25.184,25.184,25.184,25.184,156500,
28/01/2011,26.921,26.921,26.921,26.921,7200,
08/02/2011,24.316,29.613,24.316,29.613,4900,
09/02/2011,29.961,29.961,29.961,29.961,1300,
10/02/2011,29.961,29.961,29.961,29.961,0,
11/02/2011,27.008,27.008,27.008,27.008,1700,
14/02/2011,24.75,24.75,24.75,24.75,2000,
15/02/2011,24.837,25.011,22.318,25.011,8500,
16/02/2011,21.971,25.097,21.971,23.882,189500,
17/02/2011,24.837,24.837,24.75,24.75,1000,
18/02/2011,24.489,25.618,22.579,25.618,5300,
21/02/2011,25.184,25.184,25.184,25.184,19500,
22/02/2011,25.184,25.184,25.184,25.184,0,
23/02/2011,22.666,24.663,22.666,24.663,1700,
24/02/2011,24.142,24.142,21.016,21.016,7500,
25/02/2011,23.708,23.708,23.708,23.708,0,
28/02/2011,25.792,25.792,25.792,25.792,3500,
01/03/2011,25.792,25.792,25.792,25.792,0,
02/03/2011,25.792,25.792,25.792,25.792,20000,
03/03/2011,23.274,23.274,23.274,23.274,100,
04/03/2011,25.184,25.184,25.184,25.184,3000,
07/03/2011,22.666,22.666,22.666,22.666,29300,
08/03/2011,22.753,22.753,20.408,20.408,53000,
09/03/2011,19.279,23.013,19.279,23.013,2200,
10/03/2011,21.797,21.797,21.797,21.797,0,
11/03/2011,23.013,23.013,23.013,23.013,600,
14/03/2011,20.755,20.755,20.755,20.755,52100,
15/03/2011,22.579,22.579,22.579,22.579,3500,
16/03/2011,22.926,22.926,20.842,20.842,3800,
17/03/2011,21.711,21.711,21.711,21.711,100,
18/03/2011,21.711,21.711,21.711,21.711,65900,
21/03/2011,22.926,22.926,22.926,22.926,1500,
22/03/2011,22.579,22.579,22.579,22.579,14700,
23/03/2011,22.579,22.579,22.579,22.579,0,
