transDate,close,high,low,open,volume,event
26/04/2010,14.327,16.654,14.327,15.23,5800,
27/04/2010,14.988,16.18,14.751,15.703,6500,
28/04/2010,14.514,15.23,14.514,14.988,4900,
29/04/2010,14.988,14.988,14.751,14.988,12200,
04/05/2010,14.799,14.894,14.279,14.894,1800,
05/05/2010,15.184,15.23,14.657,14.657,8900,
06/05/2010,15.23,15.23,15.23,15.23,12000,
07/05/2010,15.23,15.23,14.279,14.279,1600,
10/05/2010,14.941,14.941,14.514,14.514,5400,
11/05/2010,14.279,14.899,14.279,14.894,18200,
12/05/2010,14.514,14.609,14.514,14.514,24100,
13/05/2010,14.038,14.038,14.038,14.038,200,
14/05/2010,14.988,14.988,14.468,14.514,10100,
17/05/2010,14.085,14.563,14.085,14.085,400,
18/05/2010,14.373,14.373,14.373,14.373,100,
19/05/2010,13.37,14.373,13.37,14.373,2500,
20/05/2010,14.514,14.514,13.322,13.322,10700,
21/05/2010,13.322,13.563,12.661,13.563,12100,
24/05/2010,12.183,12.372,12.183,12.372,2400,
25/05/2010,11.374,12.042,11.374,12.042,30400,
26/05/2010,12.135,12.135,11.948,12.135,6000,
27/05/2010,12.85,12.85,11.421,12.614,4400,
28/05/2010,13.322,13.322,13.276,13.276,3900,
31/05/2010,12.992,12.992,12.945,12.945,1300,
01/06/2010,13.229,13.322,13.229,13.322,300,
02/06/2010,13.276,13.276,12.898,13.276,2400,
03/06/2010,13.706,13.706,13.706,13.706,100,
04/06/2010,12.898,12.898,12.898,12.898,1000,
07/06/2010,12.042,12.898,12.042,12.089,4700,
08/06/2010,12.898,12.898,12.325,12.325,2000,
09/06/2010,12.85,12.85,12.85,12.85,100,
10/06/2010,12.804,12.804,12.804,12.804,1000,
11/06/2010,11.993,11.993,11.993,11.993,100,
14/06/2010,12.804,12.804,12.372,12.372,1300,
15/06/2010,12.85,13.563,12.85,13.563,1200,
16/06/2010,12.372,12.804,12.372,12.372,18700,
17/06/2010,12.418,13.135,12.372,13.135,4900,
18/06/2010,12.372,12.372,12.372,12.372,200,
21/06/2010,12.372,12.418,12.372,12.418,800,
22/06/2010,12.85,12.85,11.9,12.372,1300,
23/06/2010,12.804,12.804,12.135,12.135,2700,
24/06/2010,12.089,12.183,12.089,12.183,9200,
25/06/2010,11.9,11.9,11.9,11.9,600,
28/06/2010,11.9,12.708,11.9,12.708,1100,
29/06/2010,12.372,12.614,12.372,12.614,1200,
30/06/2010,11.9,11.9,11.658,11.9,2300,
01/07/2010,11.562,11.9,11.562,11.9,4000,
02/07/2010,11.515,11.852,11.515,11.658,4300,
05/07/2010,11.562,12.418,11.562,12.277,2200,
06/07/2010,11.421,11.752,11.421,11.752,4300,
07/07/2010,12.372,12.372,12.372,12.372,100,
08/07/2010,11.515,11.515,11.515,11.515,13000,
09/07/2010,11.9,11.9,11.9,11.9,100,
12/07/2010,11.515,12.418,11.421,12.418,6200,
13/07/2010,11.515,12.277,11.515,12.277,4800,
14/07/2010,11.515,11.9,11.421,11.9,6100,
15/07/2010,11.421,11.752,11.421,11.752,300,
16/07/2010,11.9,11.9,11.9,11.9,100,
19/07/2010,11.515,11.515,11.421,11.515,3200,
20/07/2010,11.658,11.658,11.421,11.468,5200,
21/07/2010,11.515,11.852,11.515,11.852,1400,
22/07/2010,11.421,11.611,11.421,11.611,4000,
23/07/2010,11.9,11.9,11.9,11.9,100,
26/07/2010,11.374,11.374,11.186,11.186,2200,
27/07/2010,10.565,11.658,10.565,11.658,3100,
28/07/2010,10.612,10.8,10.565,10.707,69900,
29/07/2010,11.279,11.279,11.186,11.279,17500,
30/07/2010,11.421,12.042,11.421,12.042,2300,
02/08/2010,11.704,11.993,11.704,11.993,1200,
03/08/2010,10.944,11.421,10.944,11.043,6900,
04/08/2010,10.944,10.944,10.283,10.612,5000,
05/08/2010,11.043,11.043,11.043,11.043,100,
06/08/2010,11.421,11.421,11.421,11.421,100,
09/08/2010,10.659,11.468,10.659,11.468,9200,
10/08/2010,10.039,10.039,10.039,10.039,4700,
11/08/2010,10.422,10.422,10.422,10.422,100,
12/08/2010,10.901,10.901,10.901,10.901,0,
13/08/2010,10.422,10.422,10.422,10.422,2000,
16/08/2010,11.138,11.138,11.138,11.138,1500,
17/08/2010,11.562,11.658,11.562,11.658,10600,
18/08/2010,10.754,10.754,10.754,10.754,3200,
19/08/2010,11.043,11.043,10.754,10.944,28500,
20/08/2010,11.45,11.45,11.45,11.45,0,
23/08/2010,10.707,10.707,10.707,10.707,2500,
