transDate,close,high,low,open,volume,event
14/02/2011,4.68,4.68,4.011,4.011,1600,
15/02/2011,4.332,4.332,4.332,4.332,300,
16/02/2011,4.625,4.625,4.625,4.625,1900,
17/02/2011,4.625,4.625,4.625,4.625,0,
18/02/2011,4.625,4.625,4.625,4.625,0,
21/02/2011,4.36,4.36,4.36,4.36,500,
22/02/2011,4.36,4.36,4.36,4.36,0,
23/02/2011,4.36,4.36,4.36,4.36,0,
24/02/2011,4.36,4.36,4.36,4.36,0,
25/02/2011,4.332,4.332,4.332,4.332,300,
28/02/2011,4.332,4.332,4.332,4.332,0,
01/03/2011,4.332,4.332,4.332,4.332,1500,
02/03/2011,4.038,4.038,4.038,4.038,100,
03/03/2011,3.851,3.93,3.851,3.93,400,
04/03/2011,4.173,4.173,4.173,4.173,300,
07/03/2011,3.904,3.904,3.904,3.904,300,
08/03/2011,3.638,3.638,3.638,3.638,300,
09/03/2011,3.397,3.743,3.397,3.743,800,
10/03/2011,3.209,3.209,3.209,3.209,700,
11/03/2011,3.209,3.209,3.209,3.209,0,
14/03/2011,3.209,3.209,3.209,3.209,0,
15/03/2011,3.423,3.423,3.423,3.423,100,
16/03/2011,3.423,3.423,3.423,3.423,0,
17/03/2011,3.638,3.638,3.638,3.638,100,
18/03/2011,3.638,3.638,3.638,3.638,0,
21/03/2011,3.878,3.878,3.878,3.878,100,
22/03/2011,3.878,3.878,3.878,3.878,0,
23/03/2011,3.878,3.878,3.878,3.878,0,
24/03/2011,3.878,3.878,3.878,3.878,0,
25/03/2011,3.878,3.878,3.878,3.878,0,
28/03/2011,3.878,3.878,3.878,3.878,200,
29/03/2011,4.064,4.064,4.064,4.064,500,
30/03/2011,4.064,4.064,4.064,4.064,0,
31/03/2011,4.064,4.064,4.064,4.064,0,
01/04/2011,4.064,4.064,4.064,4.064,0,
04/04/2011,4.064,4.064,4.064,4.064,0,
05/04/2011,4.011,4.011,4.011,4.011,300,
06/04/2011,4.011,4.011,4.011,4.011,0,
07/04/2011,4.011,4.011,4.011,4.011,0,
08/04/2011,4.011,4.011,4.011,4.011,0,DIVIDEND
13/04/2011,3.735,3.735,3.735,3.735,500,
14/04/2011,3.735,3.735,3.735,3.735,0,
15/04/2011,3.735,3.735,3.735,3.735,0,
18/04/2011,3.735,3.735,3.735,3.735,0,
19/04/2011,3.735,3.735,3.735,3.735,0,
20/04/2011,3.597,3.597,3.597,3.597,400,
21/04/2011,3.597,3.597,3.597,3.597,0,
22/04/2011,3.597,3.597,3.597,3.597,0,
25/04/2011,3.846,3.846,3.846,3.846,100,
26/04/2011,3.846,3.846,3.846,3.846,0,
27/04/2011,3.846,3.846,3.846,3.846,0,
28/04/2011,3.846,3.846,3.846,3.846,0,
29/04/2011,3.846,3.846,3.846,3.846,0,
04/05/2011,3.846,3.846,3.846,3.846,0,
05/05/2011,3.846,3.846,3.846,3.846,0,
06/05/2011,3.846,3.846,3.846,3.846,0,
09/05/2011,3.846,3.846,3.846,3.846,0,
10/05/2011,3.873,3.873,3.873,3.873,1000,
11/05/2011,3.873,3.873,3.873,3.873,0,
12/05/2011,3.873,3.873,3.873,3.873,0,
13/05/2011,3.873,3.873,3.873,3.873,0,
16/05/2011,3.873,3.873,3.873,3.873,0,
17/05/2011,3.873,3.873,3.873,3.873,0,
18/05/2011,3.873,3.873,3.873,3.873,0,
19/05/2011,3.873,3.873,3.873,3.873,0,
20/05/2011,3.873,3.873,3.873,3.873,0,
23/05/2011,3.873,3.873,3.873,3.873,0,
24/05/2011,3.873,3.873,3.873,3.873,0,
25/05/2011,3.873,3.873,3.873,3.873,0,
26/05/2011,3.873,3.873,3.873,3.873,0,
27/05/2011,3.873,3.873,3.873,3.873,0,
30/05/2011,3.873,3.873,3.873,3.873,0,
31/05/2011,3.873,3.873,3.873,3.873,0,
01/06/2011,3.818,3.818,3.818,3.818,100,
02/06/2011,3.57,3.57,3.57,3.57,1000,
03/06/2011,3.57,3.57,3.32,3.32,1500,
