transDate,close,high,low,open,volume,event
13/12/2010,20.4,25.0,19.9,21.0,42500,
14/12/2010,19.4,20.0,19.4,19.4,26500,
15/12/2010,18.3,18.5,18.3,18.3,68400,
16/12/2010,17.1,17.3,17.1,17.1,29100,
17/12/2010,16.0,18.2,16.0,18.0,11400,
20/12/2010,16.1,17.2,16.1,17.2,6700,
21/12/2010,15.8,16.6,15.8,16.6,97000,
22/12/2010,15.3,16.0,14.8,15.9,59700,
23/12/2010,14.3,14.5,14.3,14.5,16400,
24/12/2010,15.2,15.2,15.2,15.2,30000,
27/12/2010,15.3,15.9,15.0,15.9,43800,
28/12/2010,15.6,15.8,15.6,15.8,5100,
29/12/2010,15.0,15.5,15.0,15.5,300,
30/12/2010,14.5,14.5,14.5,14.5,100,
31/12/2010,14.5,15.0,13.6,15.0,48300,
04/01/2011,15.4,15.4,13.7,15.4,5300,
05/01/2011,14.8,14.9,13.3,14.9,2500,
06/01/2011,12.8,14.4,12.8,14.4,1800,
07/01/2011,13.7,13.7,12.3,12.3,600,
10/01/2011,12.7,12.7,12.6,12.7,5800,
11/01/2011,12.0,13.5,12.0,13.4,3300,
12/01/2011,13.2,13.2,13.2,13.2,0,
13/01/2011,13.5,13.5,12.4,13.4,1900,
14/01/2011,13.3,13.3,13.3,13.3,0,
17/01/2011,13.8,13.9,12.4,13.9,3400,
18/01/2011,13.9,14.0,13.9,14.0,6000,
19/01/2011,14.0,14.0,14.0,14.0,0,
20/01/2011,13.2,14.0,13.2,14.0,2300,
21/01/2011,12.4,13.8,12.4,13.8,13200,
24/01/2011,11.7,13.2,11.7,13.2,15100,
25/01/2011,11.0,12.4,10.9,12.4,21400,
26/01/2011,11.0,11.7,10.4,10.4,37600,
27/01/2011,10.7,11.5,10.7,11.5,7400,
28/01/2011,10.2,11.5,10.2,11.5,65500,
08/02/2011,10.2,10.2,10.1,10.1,13500,
09/02/2011,10.2,10.5,9.7,10.5,4400,
10/02/2011,10.4,10.4,10.0,10.4,1200,
11/02/2011,10.2,10.2,10.2,10.2,1600,
14/02/2011,9.5,9.8,9.5,9.8,11300,
15/02/2011,9.8,9.8,9.0,9.1,6400,
16/02/2011,9.4,9.4,8.8,8.8,30500,
17/02/2011,8.2,9.0,8.2,9.0,20500,
18/02/2011,7.8,8.0,7.8,8.0,41600,
21/02/2011,7.3,7.5,7.3,7.5,6600,
22/02/2011,6.8,7.3,6.8,7.3,6700,
23/02/2011,6.6,6.8,6.4,6.4,156500,
24/02/2011,6.8,6.8,6.0,6.1,104800,
25/02/2011,6.7,6.7,6.7,6.7,100,
28/02/2011,7.1,7.1,7.1,7.1,700,
01/03/2011,7.5,7.5,7.5,7.5,2300,
02/03/2011,8.0,8.0,7.5,8.0,212500,
03/03/2011,8.4,8.4,8.0,8.4,61200,
04/03/2011,7.8,8.3,7.8,8.3,52000,
07/03/2011,7.8,7.8,7.4,7.8,10700,
08/03/2011,7.9,7.9,7.7,7.7,2500,
09/03/2011,7.3,7.8,7.3,7.8,25600,
10/03/2011,7.9,7.9,6.9,6.9,26700,
11/03/2011,7.8,8.1,7.2,8.0,41200,
14/03/2011,7.4,7.7,7.4,7.7,6100,
15/03/2011,7.0,7.1,7.0,7.1,40400,
16/03/2011,7.4,7.4,7.1,7.1,16200,
17/03/2011,7.6,7.9,7.2,7.9,18300,
18/03/2011,8.1,8.1,7.6,7.8,45000,
21/03/2011,8.0,8.4,8.0,8.3,29100,
22/03/2011,7.8,8.0,7.8,8.0,37900,
23/03/2011,7.4,7.9,7.4,7.9,5900,
24/03/2011,7.8,8.0,7.8,8.0,7800,
25/03/2011,7.5,7.5,7.5,7.5,4800,
28/03/2011,7.8,7.8,7.0,7.2,15800,
29/03/2011,7.2,8.1,7.2,7.8,18200,
30/03/2011,7.2,7.9,7.2,7.9,14200,
31/03/2011,7.3,7.7,7.2,7.7,18800,
01/04/2011,7.1,7.2,7.0,7.2,39800,
04/04/2011,7.2,7.4,7.0,7.1,25900,
05/04/2011,7.1,7.5,7.1,7.5,9000,
06/04/2011,7.0,7.5,7.0,7.5,13000,
07/04/2011,6.9,7.0,6.9,7.0,18300,
08/04/2011,6.7,7.1,6.7,6.8,23200,
13/04/2011,6.6,6.9,6.6,6.9,2000,
14/04/2011,7.1,7.1,6.4,6.4,12600,
15/04/2011,6.5,6.8,6.5,6.5,3800,
18/04/2011,6.2,6.3,6.1,6.3,16500,
19/04/2011,6.1,6.2,5.9,6.0,5200,
20/04/2011,6.4,6.4,6.2,6.3,28000,
21/04/2011,6.7,6.7,6.3,6.5,18000,
22/04/2011,6.3,6.8,6.3,6.8,1900,
25/04/2011,6.6,6.7,6.5,6.7,5600,
26/04/2011,6.2,6.7,6.2,6.7,3200,
27/04/2011,6.3,6.4,6.1,6.4,3200,
28/04/2011,6.0,6.4,6.0,6.4,3100,
29/04/2011,6.1,6.2,5.9,6.2,6700,
04/05/2011,6.1,6.3,6.1,6.3,4800,
05/05/2011,6.2,6.5,6.2,6.5,600,
06/05/2011,6.1,6.5,6.1,6.5,2500,
09/05/2011,6.2,6.4,6.2,6.4,8700,
10/05/2011,6.2,6.5,6.2,6.5,9100,
11/05/2011,6.2,6.4,6.1,6.4,4800,
12/05/2011,6.4,6.4,6.4,6.4,100,
13/05/2011,6.3,6.4,6.2,6.3,19800,
16/05/2011,5.9,6.5,5.9,5.9,13100,
17/05/2011,5.5,6.2,5.5,6.2,22200,
18/05/2011,5.3,5.7,5.3,5.4,14700,
19/05/2011,5.1,5.7,5.1,5.7,18800,
20/05/2011,5.5,5.5,5.3,5.3,35000,
23/05/2011,5.2,5.5,5.2,5.5,10500,
24/05/2011,5.1,5.4,5.1,5.4,4500,
25/05/2011,5.0,5.4,5.0,5.3,28800,
26/05/2011,4.8,4.8,4.8,4.8,12400,
27/05/2011,5.0,5.0,5.0,5.0,3200,
30/05/2011,4.8,5.1,4.8,5.1,1500,
31/05/2011,5.0,5.0,5.0,5.0,0,
01/06/2011,4.9,5.0,4.9,4.9,1900,
02/06/2011,5.0,5.0,5.0,5.0,11900,
03/06/2011,5.0,5.2,4.8,5.0,9400,
06/06/2011,5.1,5.1,5.0,5.0,5200,
07/06/2011,5.3,5.4,5.2,5.4,800,
08/06/2011,5.0,5.4,5.0,5.4,8400,
09/06/2011,5.2,5.3,5.0,5.3,6400,
10/06/2011,5.4,5.4,5.2,5.2,19100,
13/06/2011,5.5,5.5,5.1,5.5,8400,
14/06/2011,5.6,5.6,5.3,5.3,34500,
15/06/2011,5.3,5.6,5.3,5.4,14400,
16/06/2011,5.4,5.4,5.4,5.4,4000,
17/06/2011,5.2,5.3,5.2,5.3,6400,
20/06/2011,5.0,5.1,5.0,5.1,6500,
21/06/2011,4.8,5.1,4.8,4.8,21700,
22/06/2011,5.1,5.1,4.8,4.8,15600,
23/06/2011,5.3,5.3,5.3,5.3,28700,
24/06/2011,5.6,5.6,5.6,5.6,32900,
27/06/2011,5.7,5.7,5.7,5.7,100,
28/06/2011,5.4,6.0,5.4,6.0,2500,
29/06/2011,5.2,5.2,5.2,5.2,4500,
30/06/2011,4.9,5.1,4.9,4.9,42400,
01/07/2011,5.1,5.2,4.9,5.2,3400,
04/07/2011,5.2,5.2,5.2,5.2,200,
05/07/2011,5.5,5.5,5.5,5.5,100,
06/07/2011,5.2,5.8,5.2,5.8,3300,
07/07/2011,5.4,5.4,5.4,5.4,200,
08/07/2011,5.1,5.7,5.1,5.7,6700,
