transDate,close,high,low,open,volume,event
06/03/2017,6.942,6.942,6.942,6.942,0,
07/03/2017,6.942,6.942,6.942,6.942,0,
08/03/2017,6.942,6.942,6.942,6.942,0,
09/03/2017,9.695,9.695,9.695,9.695,100,
10/03/2017,9.695,9.695,9.695,9.695,0,
13/03/2017,11.132,11.132,11.132,11.132,100,
14/03/2017,12.747,12.747,12.747,12.747,100,
15/03/2017,14.603,14.603,14.603,14.603,100,
16/03/2017,16.757,16.757,16.757,16.757,500,
17/03/2017,17.355,19.27,14.961,19.27,3300,
20/03/2017,17.535,17.535,15.56,15.56,3000,
21/03/2017,17.355,17.355,17.355,17.355,600,
22/03/2017,14.961,14.961,14.782,14.782,600,
23/03/2017,16.158,16.158,16.158,16.158,100,
24/03/2017,16.158,16.158,16.158,16.158,0,
27/03/2017,13.825,14.363,13.825,14.363,700,
28/03/2017,14.183,14.183,14.183,14.183,0,
29/03/2017,14.961,14.961,14.961,14.961,100,
30/03/2017,13.166,13.885,13.166,13.885,1200,
31/03/2017,13.765,13.765,13.765,13.765,1090,
03/04/2017,13.765,13.765,13.765,13.765,0,
04/04/2017,15.56,15.56,11.73,11.73,200,
05/04/2017,11.969,11.969,11.969,11.969,600,
07/04/2017,11.969,11.969,11.969,11.969,0,
10/04/2017,11.969,11.969,11.969,11.969,0,
11/04/2017,12.568,12.568,12.568,12.568,100,
12/04/2017,12.568,12.568,12.568,12.568,0,
13/04/2017,12.568,12.568,12.568,12.568,0,
14/04/2017,12.568,12.568,12.568,12.568,0,
17/04/2017,13.704,13.704,13.704,13.704,100,
18/04/2017,13.704,13.704,13.704,13.704,0,
19/04/2017,12.568,12.568,12.508,12.568,600,
20/04/2017,12.568,12.568,12.568,12.568,0,
21/04/2017,12.568,12.568,12.568,12.568,0,
24/04/2017,12.568,12.568,12.568,12.568,0,
25/04/2017,12.568,12.568,12.568,12.568,0,
26/04/2017,12.568,12.568,12.568,12.568,0,
27/04/2017,12.568,12.568,12.568,12.568,0,
28/04/2017,12.089,12.089,11.969,11.969,700,
03/05/2017,12.029,12.029,12.029,12.029,0,
04/05/2017,12.029,12.029,12.029,12.029,0,
05/05/2017,12.029,12.029,11.969,11.969,600,
08/05/2017,11.969,11.969,11.969,11.969,500,
09/05/2017,11.969,11.969,11.969,11.969,0,
10/05/2017,11.969,11.969,11.969,11.969,0,
11/05/2017,11.969,11.969,11.969,11.969,0,
12/05/2017,11.969,11.969,11.969,11.969,0,
15/05/2017,11.969,11.969,11.969,11.969,0,
16/05/2017,11.91,11.91,11.91,11.91,2100,
17/05/2017,11.969,11.969,11.969,11.969,1000,
18/05/2017,12.568,12.568,12.269,12.269,2000,
19/05/2017,12.448,12.448,12.448,12.448,0,
22/05/2017,12.448,12.448,12.448,12.448,0,
23/05/2017,12.448,12.448,12.448,12.448,0,
24/05/2017,12.448,12.448,12.448,12.448,0,
25/05/2017,11.969,11.969,11.969,11.969,1000,
26/05/2017,13.166,13.166,13.166,13.166,1000,
29/05/2017,13.166,13.166,13.166,13.166,0,
30/05/2017,13.166,13.166,13.166,13.166,0,DIVIDEND
31/05/2017,11.294,11.294,11.294,11.294,2900,
01/06/2017,12.972,12.972,12.972,12.972,3100,
02/06/2017,12.972,12.972,12.972,12.972,0,
05/06/2017,13.553,14.135,13.553,14.135,4400,
06/06/2017,13.94,13.94,13.94,13.94,0,
07/06/2017,13.94,13.94,13.94,13.94,0,
08/06/2017,13.94,13.94,13.94,13.94,0,
09/06/2017,13.94,13.94,13.94,13.94,0,
12/06/2017,13.94,13.94,13.94,13.94,0,
13/06/2017,13.94,13.94,13.94,13.94,0,
14/06/2017,13.94,13.94,13.94,13.94,0,
15/06/2017,13.94,13.94,13.94,13.94,0,
16/06/2017,13.94,13.94,13.94,13.94,0,
19/06/2017,13.876,13.876,13.876,13.876,2000,
20/06/2017,13.876,13.876,13.876,13.876,115,
21/06/2017,13.553,13.553,13.553,13.553,100,
22/06/2017,13.489,13.489,13.489,13.489,1600,
23/06/2017,13.489,13.489,13.489,13.489,0,
26/06/2017,12.004,13.553,11.617,13.489,8990,
27/06/2017,12.263,12.263,12.263,12.263,0,
28/06/2017,12.263,12.263,12.263,12.263,0,
29/06/2017,11.359,11.359,11.359,11.359,100,
30/06/2017,11.359,11.359,11.359,11.359,0,
03/07/2017,11.359,11.359,11.359,11.359,0,
04/07/2017,13.037,13.037,13.037,13.037,100,
05/07/2017,13.037,13.037,13.037,13.037,0,
06/07/2017,13.037,13.037,13.037,13.037,0,
07/07/2017,13.037,13.037,13.037,13.037,0,
10/07/2017,14.457,14.457,14.457,14.457,100,
11/07/2017,12.327,16.587,12.327,16.587,200,
12/07/2017,12.327,12.327,12.327,12.327,100,
13/07/2017,10.649,10.649,10.649,10.649,800,
14/07/2017,12.198,12.198,12.198,12.198,1400,
17/07/2017,12.198,12.198,12.198,12.198,0,
