transDate,close,high,low,open,volume,event
26/11/2009,8.786,12.207,7.815,8.786,14300,
27/11/2009,8.887,9.279,8.887,9.279,8000,
30/11/2009,9.033,9.62,8.692,9.62,60000,
01/12/2009,9.518,9.518,9.033,9.033,78300,
02/12/2009,10.055,10.105,9.279,9.475,86400,
03/12/2009,10.548,10.548,10.25,10.25,82200,
04/12/2009,11.135,11.135,10.983,11.135,92400,
07/12/2009,11.135,11.816,11.135,11.672,86600,
08/12/2009,10.744,11.331,10.548,11.135,98100,
09/12/2009,10.012,10.012,10.012,10.012,32700,
10/12/2009,9.323,9.323,9.323,9.323,46000,
11/12/2009,9.279,9.279,8.692,8.692,71100,
14/12/2009,9.323,9.323,9.228,9.323,83900,
15/12/2009,9.425,9.765,9.323,9.765,30400,
16/12/2009,9.126,10.301,9.083,10.25,106400,
17/12/2009,9.475,9.475,9.475,9.475,32200,
18/12/2009,9.569,9.714,8.837,9.475,69800,
21/12/2009,10.206,10.206,9.62,9.765,173600,
22/12/2009,10.25,10.744,9.765,10.744,69300,
23/12/2009,9.518,10.25,9.518,10.25,20400,
24/12/2009,10.156,10.206,9.569,10.105,27100,
25/12/2009,10.744,10.744,10.055,10.055,193800,
28/12/2009,10.693,10.888,10.012,10.888,23200,
29/12/2009,11.033,11.085,10.156,11.085,23000,
30/12/2009,11.765,11.765,10.352,10.352,56100,
31/12/2009,11.715,12.156,11.715,12.106,14100,
04/01/2010,11.961,11.961,11.331,11.961,36500,
05/01/2010,12.012,12.156,11.867,12.012,16800,
06/01/2010,11.179,12.106,11.179,12.106,44800,
07/01/2010,11.085,11.135,11.085,11.135,14600,
08/01/2010,10.403,11.085,10.352,10.744,34900,
11/01/2010,10.693,10.744,9.765,9.815,16800,
12/01/2010,10.744,10.744,10.012,10.25,3600,
13/01/2010,9.815,10.888,9.815,10.888,6300,
14/01/2010,10.548,10.548,10.548,10.548,15800,
15/01/2010,11.28,11.28,10.983,11.229,16700,
18/01/2010,11.331,12.012,11.331,11.911,22000,
19/01/2010,12.063,12.063,11.229,11.715,32700,
20/01/2010,10.888,11.475,10.888,11.475,25400,
21/01/2010,11.765,11.765,11.229,11.229,4500,
22/01/2010,11.229,11.715,11.229,11.715,9500,
25/01/2010,10.983,11.331,10.983,11.331,15000,
26/01/2010,11.867,11.867,11.475,11.715,20200,
27/01/2010,12.012,12.106,12.012,12.012,5000,
28/01/2010,11.475,11.475,11.475,11.475,5000,
29/01/2010,11.961,11.961,10.693,11.475,30500,
01/02/2010,12.156,12.156,11.715,11.715,7700,
02/02/2010,12.156,12.156,11.867,12.063,19000,
03/02/2010,11.715,11.765,11.715,11.765,7500,
04/02/2010,12.498,12.498,11.816,11.816,26500,
05/02/2010,12.89,12.89,12.447,12.447,18400,
08/02/2010,13.723,13.723,12.838,12.838,16800,
09/02/2010,14.549,14.549,14.405,14.405,3100,
10/02/2010,15.477,15.477,15.477,15.477,2000,
11/02/2010,16.55,16.55,15.622,15.622,8400,
12/02/2010,16.354,17.427,16.354,17.427,2600,
22/02/2010,17.087,17.087,15.92,15.92,5000,
23/02/2010,15.136,15.136,15.136,15.136,19200,
24/02/2010,14.107,14.107,14.107,14.107,2200,
25/02/2010,13.179,13.425,13.135,13.425,20800,
26/02/2010,12.694,12.694,12.353,12.353,17500,
01/03/2010,13.476,13.476,12.694,12.694,24400,
02/03/2010,13.425,13.425,13.135,13.331,6200,
03/03/2010,13.672,13.672,13.28,13.28,5400,
04/03/2010,13.672,13.918,13.622,13.918,5600,
05/03/2010,12.744,13.28,12.744,12.795,12600,
08/03/2010,12.94,13.672,12.94,13.672,9000,
09/03/2010,12.94,13.28,12.94,13.28,7700,
10/03/2010,12.447,12.744,12.404,12.694,60100,
11/03/2010,12.548,13.375,12.303,13.179,40200,
12/03/2010,12.694,13.179,12.404,13.135,37000,
15/03/2010,12.795,12.942,12.746,12.94,3500,
16/03/2010,12.447,12.694,12.447,12.694,9700,
17/03/2010,11.867,12.447,11.867,12.447,17700,
18/03/2010,12.599,12.599,12.404,12.404,13500,
19/03/2010,12.548,12.89,12.548,12.89,5300,
22/03/2010,12.643,12.744,12.643,12.744,2700,
23/03/2010,12.744,12.795,12.694,12.694,12900,
24/03/2010,12.94,12.94,12.404,12.795,17600,
25/03/2010,12.89,13.085,12.694,12.694,9300,
26/03/2010,13.23,13.23,12.94,12.94,10000,
29/03/2010,13.375,13.375,12.94,13.179,12700,
30/03/2010,13.179,13.28,13.179,13.179,4500,
31/03/2010,13.425,13.425,12.838,13.28,5700,
01/04/2010,13.672,13.672,13.035,13.035,20500,
02/04/2010,13.425,13.622,13.425,13.425,10800,
05/04/2010,13.918,13.918,12.94,12.94,22100,
06/04/2010,14.107,14.107,12.353,13.672,57400,
07/04/2010,14.354,14.354,13.476,14.354,266200,
08/04/2010,14.991,14.991,14.941,14.991,93800,
09/04/2010,16.014,16.014,15.92,16.014,67100,
12/04/2010,17.087,17.087,14.941,16.065,137400,
13/04/2010,15.383,16.601,15.383,16.601,78400,
14/04/2010,15.23,16.115,14.651,14.795,138000,
15/04/2010,16.55,16.55,15.477,15.622,82900,
16/04/2010,17.477,17.477,17.087,17.087,38500,
19/04/2010,18.602,18.602,18.065,18.456,64800,
20/04/2010,18.602,19.775,17.333,19.58,130200,
21/04/2010,18.551,18.551,16.847,18.065,123700,
22/04/2010,18.115,18.115,16.405,17.087,94900,
26/04/2010,16.354,18.115,16.014,18.065,200600,
27/04/2010,16.847,17.384,15.136,16.115,100300,
