transDate,close,high,low,open,volume,event
17/09/2015,10.361,14.563,10.144,14.563,920000,
18/09/2015,10.289,10.507,10.216,10.507,319450,
21/09/2015,9.999,10.289,9.782,10.289,382800,
22/09/2015,9.492,9.926,9.347,9.854,347400,
23/09/2015,10.941,10.941,9.347,9.564,906050,
24/09/2015,11.159,11.521,10.868,10.941,682250,
25/09/2015,11.086,11.376,10.868,11.303,320000,
28/09/2015,10.796,11.23,10.724,10.868,201500,
29/09/2015,10.507,10.724,10.361,10.724,220500,
30/09/2015,10.507,10.868,10.507,10.578,206300,
01/10/2015,10.796,10.796,10.578,10.578,210900,
02/10/2015,10.434,10.796,10.434,10.796,323500,
05/10/2015,10.507,10.578,10.434,10.507,153600,
06/10/2015,10.434,10.651,10.144,10.578,257812,
07/10/2015,10.289,10.578,10.289,10.507,102200,
08/10/2015,10.216,10.361,10.144,10.361,132400,
09/10/2015,10.072,10.216,10.072,10.144,197900,
12/10/2015,9.926,10.216,9.854,10.216,129300,
13/10/2015,9.999,9.999,9.854,9.854,85302,
14/10/2015,10.289,10.507,9.854,9.999,281700,
15/10/2015,10.216,10.361,10.216,10.216,143810,
16/10/2015,10.144,10.289,10.144,10.216,116410,
19/10/2015,10.216,10.216,10.072,10.216,280800,
20/10/2015,10.072,10.144,9.999,10.144,110510,
21/10/2015,10.072,10.144,9.999,10.144,76300,
22/10/2015,9.999,10.072,9.926,9.999,124900,
23/10/2015,10.072,10.144,9.999,10.072,226000,
26/10/2015,9.926,10.072,9.926,10.072,78700,
27/10/2015,9.782,9.926,9.564,9.854,215600,
28/10/2015,9.709,9.854,9.419,9.419,195800,
29/10/2015,9.636,9.999,9.636,9.636,80100,
30/10/2015,9.636,9.709,9.492,9.709,91600,
02/11/2015,9.419,9.709,9.347,9.709,253000,
03/11/2015,9.347,9.419,9.274,9.347,182220,
04/11/2015,9.492,9.636,9.347,9.492,112900,
05/11/2015,9.419,9.492,9.347,9.492,47500,
06/11/2015,9.274,9.419,9.201,9.419,53000,
09/11/2015,9.347,9.419,9.201,9.347,102850,
10/11/2015,9.13,9.274,9.057,9.274,55500,
11/11/2015,9.347,9.636,8.984,9.057,163000,
12/11/2015,9.201,9.419,8.84,9.274,81900,
13/11/2015,9.057,9.13,8.912,9.13,86500,
16/11/2015,8.912,8.984,8.767,8.984,73100,
17/11/2015,8.84,8.984,8.84,8.84,53200,
18/11/2015,8.622,8.84,8.549,8.84,216600,
19/11/2015,8.912,9.057,8.622,8.622,185900,
20/11/2015,8.84,9.057,8.84,8.84,25200,
23/11/2015,8.912,8.912,8.767,8.912,46600,
24/11/2015,8.767,9.057,8.767,8.912,88300,
25/11/2015,8.767,8.84,8.622,8.84,71300,
26/11/2015,8.478,8.767,8.478,8.695,78700,
27/11/2015,8.405,8.622,8.332,8.622,169700,
30/11/2015,7.826,8.332,7.826,8.332,207200,
01/12/2015,7.826,8.043,7.826,7.97,56400,
02/12/2015,7.897,7.97,7.897,7.897,26400,
03/12/2015,8.695,8.767,7.97,7.97,250310,
04/12/2015,8.984,9.057,8.26,8.695,240600,
07/12/2015,8.695,9.057,8.695,9.057,53700,
08/12/2015,8.767,8.912,8.332,8.622,118400,
09/12/2015,8.695,8.912,8.478,8.767,36300,
10/12/2015,8.549,8.695,8.478,8.622,84400,
11/12/2015,8.332,8.478,8.332,8.405,73000,
14/12/2015,8.405,8.478,8.332,8.332,13400,
