transDate,close,high,low,open,volume,event
10/05/2016,9.319,9.755,8.71,9.755,859300,
11/05/2016,9.494,9.581,8.971,9.145,678600,
12/05/2016,9.494,9.668,8.971,9.319,948100,
13/05/2016,9.406,9.668,9.058,9.145,1023000,
16/05/2016,9.581,9.581,9.058,9.232,865500,
17/05/2016,9.755,9.929,9.145,9.319,1141400,
18/05/2016,9.668,10.016,9.581,9.581,494600,
19/05/2016,9.842,10.016,9.494,9.581,639100,
20/05/2016,9.755,9.929,9.494,9.668,589600,
23/05/2016,9.755,10.103,9.581,9.842,496500,
24/05/2016,10.016,10.19,9.581,9.668,585700,
25/05/2016,10.277,10.452,9.755,9.842,628400,
26/05/2016,10.016,10.103,9.668,9.929,693200,
27/05/2016,10.103,10.19,9.842,9.842,473300,
30/05/2016,10.277,10.365,9.494,10.103,875800,
31/05/2016,10.016,10.19,9.929,10.103,355100,
01/06/2016,10.365,10.539,9.929,10.016,991200,
02/06/2016,10.19,10.452,9.842,10.103,1041900,
03/06/2016,10.452,10.539,9.929,10.016,623200,
06/06/2016,10.452,10.539,10.277,10.365,437300,
07/06/2016,10.8,10.8,10.19,10.19,935300,
08/06/2016,10.974,11.061,10.452,10.8,892600,
09/06/2016,10.8,11.061,10.539,10.8,1044900,
10/06/2016,10.8,11.061,10.452,10.887,926800,
13/06/2016,10.539,10.974,10.365,10.8,434500,
14/06/2016,10.277,10.626,10.016,10.539,658400,
15/06/2016,9.319,10.19,9.319,10.19,547100,
16/06/2016,8.535,8.71,8.448,8.448,114300,
17/06/2016,7.839,8.797,7.752,7.839,57400,
20/06/2016,7.839,8.187,7.055,7.055,199500,
21/06/2016,7.839,7.839,7.055,7.839,29900,
22/06/2016,7.055,7.839,7.055,7.839,8600,
23/06/2016,7.752,7.752,6.358,6.881,64900,
24/06/2016,7.752,7.752,7.055,7.49,51800,
27/06/2016,7.752,7.839,7.316,7.752,50800,
28/06/2016,7.839,7.839,7.316,7.403,66100,
29/06/2016,7.839,7.926,7.229,7.577,65600,
30/06/2016,8.013,8.1,7.752,7.839,120000,
01/07/2016,7.839,7.839,7.577,7.665,188800,
04/07/2016,7.926,7.926,7.665,7.665,194800,
05/07/2016,7.926,7.926,7.665,7.752,174900,
06/07/2016,7.926,7.926,7.142,7.752,174400,
07/07/2016,8.013,8.013,7.752,7.752,298400,
08/07/2016,8.1,8.1,7.665,7.665,235900,
11/07/2016,7.839,7.926,7.49,7.665,323300,
12/07/2016,7.839,7.839,7.49,7.577,327100,
13/07/2016,7.839,7.926,7.577,7.577,287300,
14/07/2016,7.752,7.839,7.403,7.49,331600,
15/07/2016,7.752,7.839,7.403,7.577,249900,
18/07/2016,7.926,8.1,7.403,7.577,275400,
19/07/2016,7.926,8.1,7.49,7.752,392700,
20/07/2016,7.839,7.839,7.665,7.752,248700,
21/07/2016,7.926,8.1,7.577,7.665,275000,
22/07/2016,7.839,7.926,7.665,7.839,294300,
25/07/2016,7.926,7.926,7.577,7.752,304300,
26/07/2016,7.752,8.187,7.49,7.926,279900,
27/07/2016,7.926,7.926,7.665,7.665,299400,
28/07/2016,7.926,8.013,7.752,7.839,328300,
29/07/2016,8.1,8.1,7.577,7.752,285600,
01/08/2016,8.1,8.1,7.839,7.839,258300,
02/08/2016,8.013,8.187,7.926,7.926,311100,
03/08/2016,8.013,8.274,7.926,7.926,288000,
04/08/2016,8.013,8.187,7.839,7.839,424400,
05/08/2016,7.839,8.1,7.752,7.752,303300,
08/08/2016,7.752,7.926,7.577,7.752,334900,
09/08/2016,7.839,8.013,7.752,7.752,290700,
10/08/2016,7.926,8.013,7.839,7.839,248200,
11/08/2016,8.535,8.535,7.665,7.839,430100,
12/08/2016,8.623,8.797,8.361,8.361,293000,
15/08/2016,8.623,8.71,8.535,8.535,259000,
16/08/2016,8.535,8.797,8.361,8.535,355700,
17/08/2016,8.535,8.623,8.448,8.448,340600,
18/08/2016,8.623,8.71,8.448,8.448,297700,
19/08/2016,8.448,8.535,8.448,8.535,222100,
22/08/2016,8.274,8.448,8.274,8.361,359100,
23/08/2016,8.448,8.448,8.187,8.187,459000,
24/08/2016,8.797,8.971,8.274,8.361,394400,
25/08/2016,8.71,8.797,8.623,8.71,295000,
26/08/2016,8.71,8.71,8.535,8.623,319900,
29/08/2016,8.797,8.884,8.623,8.623,384100,
