transDate,close,high,low,open,volume,event
14/10/2016,10.743,10.743,10.743,10.743,400,
17/10/2016,10.743,10.743,10.743,10.743,0,
18/10/2016,10.743,10.743,10.743,10.743,0,
19/10/2016,9.176,9.176,9.176,9.176,100,
20/10/2016,9.176,9.176,9.176,9.176,0,
21/10/2016,8.952,10.519,7.833,10.519,701,
24/10/2016,8.952,8.952,8.504,8.504,600,
25/10/2016,10.146,10.146,10.146,10.146,500,
26/10/2016,9.996,11.19,8.654,11.19,1600,
27/10/2016,8.43,10.146,8.43,8.43,700,
28/10/2016,8.057,8.057,8.057,8.057,300,
31/10/2016,6.938,9.101,6.938,9.101,300,
01/11/2016,8.355,8.355,8.355,8.355,0,
02/11/2016,8.206,8.206,7.162,7.162,200,
03/11/2016,6.639,6.639,6.639,6.639,100,
04/11/2016,7.459,7.459,5.67,5.67,600,
07/11/2016,7.534,7.534,7.534,7.534,100,
08/11/2016,8.579,8.654,8.579,8.654,900,
09/11/2016,7.386,9.847,7.311,9.847,3900,
10/11/2016,9.847,9.847,9.847,9.847,500,
11/11/2016,11.264,11.264,8.43,8.43,2100,
14/11/2016,11.488,11.488,11.488,11.488,300,
15/11/2016,12.905,12.905,9.772,9.772,1400,
16/11/2016,10.146,10.146,10.146,10.146,100,
17/11/2016,8.654,11.637,8.654,11.488,1100,
18/11/2016,8.803,11.787,8.803,11.712,18400,
21/11/2016,9.996,9.996,8.206,8.206,8800,
22/11/2016,7.982,9.922,7.908,9.922,3900,
23/11/2016,7.386,9.325,7.012,9.325,11700,
24/11/2016,7.684,8.877,7.459,8.877,6500,
25/11/2016,7.684,9.027,6.788,8.877,7700,
28/11/2016,8.728,8.877,8.654,8.803,4500,
29/11/2016,8.43,8.654,7.534,7.534,9000,
30/11/2016,9.548,9.548,9.548,9.548,3500,
01/12/2016,9.4,9.548,8.132,8.206,7400,
02/12/2016,7.833,10.295,7.609,10.295,8000,
05/12/2016,7.236,9.475,7.087,9.475,3300,
06/12/2016,8.43,8.43,8.43,8.43,500,
07/12/2016,7.386,8.952,7.311,8.579,3800,
08/12/2016,9.251,9.251,9.251,9.251,1000,
09/12/2016,9.101,9.101,7.908,7.908,1600,
12/12/2016,7.386,9.251,7.386,9.251,1100,
13/12/2016,9.251,9.251,9.251,9.251,100,
14/12/2016,8.132,9.698,7.908,7.908,1100,
15/12/2016,9.847,9.847,9.847,9.847,500,
16/12/2016,8.43,9.847,8.43,9.847,300,
19/12/2016,9.698,9.698,7.684,7.684,1200,
20/12/2016,9.548,9.548,9.548,9.548,0,
21/12/2016,9.548,9.548,9.548,9.548,0,
22/12/2016,9.548,9.548,9.548,9.548,100,
23/12/2016,9.548,9.548,9.548,9.548,0,
26/12/2016,9.548,9.548,8.132,8.132,1100,
27/12/2016,9.475,9.475,9.475,9.475,100,
28/12/2016,9.475,9.475,9.475,9.475,0,
29/12/2016,9.548,9.548,9.548,9.548,1000,
30/12/2016,9.251,9.251,8.132,8.132,4600,
03/01/2017,8.877,8.877,7.459,7.459,4600,
04/01/2017,6.863,9.251,6.863,9.251,4200,
05/01/2017,7.087,9.251,7.012,9.251,5200,
06/01/2017,8.579,8.579,8.579,8.579,4000,
09/01/2017,7.534,9.251,7.534,9.251,5800,
10/01/2017,7.162,8.877,7.162,8.877,2400,
11/01/2017,6.788,8.728,6.714,8.728,3700,
12/01/2017,8.654,8.654,6.564,6.564,9300,
13/01/2017,8.504,8.654,6.564,8.654,10300,
16/01/2017,8.206,8.355,7.236,8.355,15200,
17/01/2017,8.504,9.251,7.012,9.251,14200,
18/01/2017,8.504,8.952,6.863,8.952,12200,
19/01/2017,8.579,8.803,6.788,8.579,6500,
20/01/2017,8.504,8.504,7.012,8.504,11200,
23/01/2017,8.504,8.504,7.833,8.504,6500,
24/01/2017,8.206,9.325,8.057,9.325,11400,
25/01/2017,9.176,9.176,7.236,9.176,19000,
02/02/2017,8.355,8.803,6.863,6.938,7300,
03/02/2017,8.206,8.728,7.908,7.908,8400,
06/02/2017,8.206,8.206,7.609,7.609,12600,
07/02/2017,8.579,8.579,6.863,8.355,18900,
08/02/2017,8.43,8.43,7.759,8.43,17800,
09/02/2017,8.579,8.654,7.534,8.654,11500,
10/02/2017,7.982,9.176,7.982,9.176,7300,
13/02/2017,8.579,8.579,7.908,8.132,19499,
14/02/2017,8.504,9.101,7.162,9.101,17100,
15/02/2017,8.057,8.057,8.057,8.057,3500,
16/02/2017,8.654,8.654,7.908,7.908,9000,
17/02/2017,7.982,8.579,7.982,8.504,2600,
20/02/2017,8.43,8.43,8.132,8.43,7000,
21/02/2017,8.43,8.43,8.43,8.43,2000,
22/02/2017,8.206,9.623,8.206,9.623,3000,
23/02/2017,8.206,10.743,8.132,10.743,9000,
24/02/2017,8.28,10.369,8.132,10.369,7000,
27/02/2017,8.952,8.952,8.952,8.952,0,
28/02/2017,9.996,9.996,9.996,9.996,3000,
01/03/2017,8.504,11.488,8.504,11.488,10000,
02/03/2017,9.847,9.847,9.847,9.847,2300,
03/03/2017,8.43,10.594,8.43,9.996,10800,
06/03/2017,9.176,9.176,9.176,9.176,0,
07/03/2017,10.295,10.295,7.982,7.982,900,
08/03/2017,8.803,8.803,8.504,8.579,5600,
09/03/2017,9.772,9.772,9.772,9.772,1300,
10/03/2017,8.877,8.877,8.43,8.43,2200,
13/03/2017,7.982,8.803,7.908,7.908,2500,
14/03/2017,8.43,8.43,8.43,8.43,1000,
15/03/2017,7.534,8.504,7.534,7.908,1700,
16/03/2017,8.803,8.803,7.609,7.609,1100,
17/03/2017,8.654,8.654,7.609,7.609,600,
20/03/2017,9.176,9.176,7.386,7.386,600,
21/03/2017,8.728,8.728,7.982,7.982,1400,
22/03/2017,8.728,8.728,8.728,8.728,600,
23/03/2017,9.101,9.101,9.101,9.101,500,
24/03/2017,8.206,8.355,7.908,7.908,1000,
27/03/2017,7.459,8.057,7.459,8.057,4300,
28/03/2017,7.236,8.877,7.236,8.877,700,
29/03/2017,7.459,9.548,7.236,9.548,2300,
30/03/2017,7.087,7.833,6.491,7.833,1500,
31/03/2017,7.684,7.684,6.191,7.684,1900,
03/04/2017,7.459,7.459,6.043,6.043,7100,
04/04/2017,7.684,7.684,7.684,7.684,3000,
05/04/2017,7.684,7.684,7.162,7.609,2200,
07/04/2017,7.386,7.459,6.491,6.491,2200,
10/04/2017,7.311,8.43,6.416,8.43,500,
11/04/2017,8.057,8.579,6.714,8.579,700,
12/04/2017,8.504,8.504,8.504,8.504,500,
13/04/2017,8.206,8.206,8.206,8.206,500,
14/04/2017,7.087,8.206,7.087,8.206,400,
17/04/2017,7.534,7.534,6.788,7.459,2600,
18/04/2017,6.491,7.609,6.491,6.564,3000,
19/04/2017,7.759,7.908,6.491,7.908,3300,
20/04/2017,7.609,7.609,6.714,6.714,2600,
21/04/2017,7.684,7.684,6.639,6.639,2800,
24/04/2017,7.759,7.759,7.759,7.759,2900,
25/04/2017,7.311,7.534,6.714,7.534,7100,
26/04/2017,6.341,7.162,6.266,6.266,1200,
27/04/2017,7.162,7.684,6.043,7.684,1200,
28/04/2017,7.459,7.459,7.459,7.459,1000,
03/05/2017,7.459,7.459,7.459,7.459,0,
04/05/2017,7.459,7.459,7.459,7.459,0,
05/05/2017,7.236,7.236,6.341,6.341,1100,
08/05/2017,7.162,7.162,7.162,7.162,0,
09/05/2017,6.117,7.982,6.117,7.982,300,
10/05/2017,7.386,7.386,7.386,7.386,0,
11/05/2017,8.057,8.057,8.057,8.057,500,
12/05/2017,8.057,8.057,8.057,8.057,0,
15/05/2017,6.863,8.504,6.863,7.459,600,
16/05/2017,6.863,6.863,6.863,6.863,100,
17/05/2017,5.968,7.684,5.968,7.534,700,
18/05/2017,7.684,7.684,7.684,7.684,300,
19/05/2017,6.564,7.311,6.564,7.311,200,
22/05/2017,5.968,7.236,5.968,7.236,200,
23/05/2017,7.311,7.311,7.311,7.311,500,
24/05/2017,7.162,7.162,6.266,6.266,600,
25/05/2017,6.938,6.938,5.968,5.968,500,
26/05/2017,7.311,7.311,7.311,7.311,500,
29/05/2017,7.311,7.311,7.311,7.311,0,
30/05/2017,7.311,7.311,7.311,7.311,0,
31/05/2017,6.863,6.863,6.266,6.266,1100,
01/06/2017,5.819,7.162,5.819,7.162,600,
02/06/2017,6.639,6.639,6.341,6.341,1500,
05/06/2017,6.863,6.863,6.863,6.863,500,
06/06/2017,6.491,6.491,6.117,6.117,700,
07/06/2017,5.521,7.311,5.521,7.311,400,
08/06/2017,6.639,6.639,5.893,5.968,1800,
09/06/2017,5.968,7.162,5.968,7.162,2000,
12/06/2017,6.788,6.788,5.744,5.744,2000,
13/06/2017,6.564,6.564,6.564,6.564,0,
14/06/2017,6.266,6.266,5.596,5.596,1100,
15/06/2017,5.893,5.893,5.371,5.371,1100,
16/06/2017,5.073,6.639,4.998,6.639,400,
19/06/2017,6.043,6.191,4.998,4.998,2100,
20/06/2017,4.998,4.998,4.998,4.998,100,
21/06/2017,4.327,5.744,4.327,5.744,600,
22/06/2017,5.67,5.67,5.67,5.67,500,
23/06/2017,6.341,6.341,6.341,6.341,500,
26/06/2017,6.266,6.266,5.737,5.737,600,DIVIDEND
27/06/2017,6.341,6.341,6.341,6.341,300,
28/06/2017,5.435,5.435,5.435,5.435,100,
29/06/2017,5.888,5.888,4.982,4.982,1000,
30/06/2017,5.209,5.964,4.982,4.982,1300,
03/07/2017,5.888,5.888,5.057,5.057,600,
04/07/2017,6.416,6.416,6.416,6.416,1000,
05/07/2017,6.19,6.341,6.19,6.341,17000,
06/07/2017,6.416,6.416,5.36,5.36,1100,
07/07/2017,7.247,7.247,7.247,7.247,300,
10/07/2017,7.247,7.247,7.247,7.247,0,
11/07/2017,7.247,7.247,7.247,7.247,0,
12/07/2017,6.19,6.19,6.19,6.19,100,
13/07/2017,7.02,7.02,7.02,7.02,300,
14/07/2017,6.04,6.04,6.04,6.04,200,
17/07/2017,6.341,6.341,6.341,6.341,600,
18/07/2017,6.341,6.341,6.341,6.341,0,
19/07/2017,6.341,6.341,6.341,6.341,0,
20/07/2017,6.341,6.341,6.341,6.341,10,
21/07/2017,6.341,6.341,6.341,6.341,90,
24/07/2017,6.115,6.115,5.435,5.435,700,
25/07/2017,5.133,5.133,5.133,5.133,100,
26/07/2017,5.36,5.737,5.36,5.737,400,
27/07/2017,6.115,6.115,4.831,4.831,1100,
28/07/2017,5.284,5.737,5.133,5.133,1800,
31/07/2017,6.04,6.04,4.756,4.756,1100,
01/08/2017,5.813,5.813,5.057,5.057,1100,
02/08/2017,5.813,5.813,4.982,4.982,1100,
03/08/2017,4.906,5.662,4.906,4.982,2900,
04/08/2017,5.662,5.662,4.529,4.529,1100,
07/08/2017,5.586,5.586,4.831,4.831,600,
08/08/2017,5.284,5.284,4.831,4.831,600,
09/08/2017,5.586,5.586,4.454,4.454,1100,
10/08/2017,5.209,5.209,5.209,5.209,500,
