transDate,close,high,low,open,volume,event
25/01/2017,26.724,30.365,25.562,30.365,18700,
02/02/2017,27.188,29.434,27.033,29.434,11000,
03/02/2017,26.802,27.808,25.562,27.808,20845,
06/02/2017,24.013,27.808,24.013,27.808,13200,
07/02/2017,22.464,25.871,22.464,25.871,7500,
08/02/2017,22.542,22.542,22.464,22.464,3410,
09/02/2017,23.935,23.935,23.935,23.935,191,
10/02/2017,23.625,24.788,22.618,22.618,3910,
13/02/2017,23.083,25.795,22.928,25.795,13940,
14/02/2017,24.245,24.71,23.083,24.71,6791,
15/02/2017,23.625,24.71,23.625,24.71,5732,
16/02/2017,22.618,23.935,22.542,23.935,10817,
17/02/2017,22.618,23.549,22.618,23.549,10317,
20/02/2017,22.464,23.16,22.464,23.16,8900,
21/02/2017,22.618,23.16,22.464,23.16,11300,
22/02/2017,22.542,22.542,22.542,22.542,2666,
23/02/2017,21.689,22.774,21.689,22.774,6601,
24/02/2017,20.915,23.083,20.915,23.083,1600,
27/02/2017,21.689,21.843,21.689,21.689,6800,
28/02/2017,21.301,22.386,21.301,21.689,16800,
01/03/2017,21.689,21.689,21.689,21.689,20,
02/03/2017,21.379,22.308,21.301,22.308,14900,
03/03/2017,21.301,21.767,21.301,21.767,18100,
06/03/2017,21.379,21.379,21.379,21.379,11500,
07/03/2017,21.689,21.689,21.301,21.301,14800,
08/03/2017,21.457,21.457,21.457,21.457,14500,
09/03/2017,21.457,21.457,21.379,21.379,19600,
10/03/2017,21.457,21.689,21.457,21.457,4000,
13/03/2017,21.301,21.379,21.301,21.379,17264,
14/03/2017,21.457,21.457,20.992,21.457,12600,
15/03/2017,21.224,21.224,21.224,21.224,2500,
16/03/2017,21.224,21.301,20.992,21.224,5100,
17/03/2017,21.224,21.379,21.224,21.379,9847,
20/03/2017,21.379,21.611,21.379,21.533,6100,
21/03/2017,21.301,21.379,21.301,21.301,6810,
22/03/2017,21.147,21.147,20.915,21.069,13617,
23/03/2017,21.457,23.238,21.379,21.379,600,
24/03/2017,21.301,21.689,21.301,21.689,15847,
27/03/2017,21.379,21.379,21.379,21.379,900,
28/03/2017,21.379,21.379,21.069,21.069,4100,
29/03/2017,21.922,21.922,21.922,21.922,2000,
30/03/2017,21.922,21.922,21.922,21.922,95,
31/03/2017,21.843,21.843,21.379,21.379,1400,
03/04/2017,21.689,21.689,21.689,21.689,3400,
04/04/2017,21.533,21.689,21.457,21.689,31220,
05/04/2017,21.533,21.533,21.533,21.533,0,
07/04/2017,21.301,21.301,21.224,21.224,2500,
10/04/2017,21.224,21.224,21.224,21.224,0,
11/04/2017,24.4,24.4,24.4,24.4,100,
12/04/2017,24.4,24.4,24.4,24.4,0,
13/04/2017,21.147,21.147,20.915,20.915,2502,
14/04/2017,24.013,24.013,24.013,24.013,100,
17/04/2017,20.526,20.915,20.526,20.915,2600,
18/04/2017,20.14,20.14,20.14,20.14,300,
19/04/2017,20.295,20.295,20.217,20.217,2032,
20/04/2017,20.217,20.217,20.217,20.217,100,
21/04/2017,20.372,20.372,20.372,20.372,100,
24/04/2017,21.224,21.533,20.992,21.533,3300,
25/04/2017,20.295,20.45,20.14,20.14,3300,
26/04/2017,20.372,20.372,20.217,20.217,2100,
27/04/2017,21.689,21.689,21.533,21.533,24500,
28/04/2017,21.611,21.843,21.533,21.611,27364,
03/05/2017,21.379,21.379,20.526,20.526,7200,
04/05/2017,21.147,21.611,21.147,21.379,2600,
05/05/2017,21.611,21.843,20.682,20.682,800,
08/05/2017,21.611,21.611,21.611,21.611,1000,
09/05/2017,21.224,21.301,21.224,21.301,1100,
10/05/2017,21.611,21.611,20.526,20.526,2200,
11/05/2017,21.689,21.689,21.379,21.611,10032,
12/05/2017,24.4,24.788,22.308,22.308,72501,
15/05/2017,24.013,24.788,24.013,24.788,15556,
16/05/2017,24.4,24.4,24.245,24.4,18720,
17/05/2017,23.238,24.323,23.238,23.238,7900,
18/05/2017,24.168,24.168,23.238,23.238,7074,
19/05/2017,24.245,24.245,24.013,24.168,4410,
22/05/2017,24.4,24.4,24.013,24.013,3509,
23/05/2017,24.452,25.738,24.452,25.738,13778,DIVIDEND
24/05/2017,24.881,25.138,24.795,25.138,61105,
25/05/2017,24.023,24.452,23.508,23.508,8992,
26/05/2017,24.023,24.109,24.023,24.109,3000,
29/05/2017,24.194,24.194,23.508,23.508,14900,
30/05/2017,23.68,24.023,23.508,24.023,5630,
31/05/2017,23.68,23.68,23.68,23.68,1700,
01/06/2017,23.68,23.68,23.68,23.68,0,
02/06/2017,23.68,23.68,23.251,23.251,3000,
05/06/2017,23.68,23.68,23.68,23.68,300,
06/06/2017,23.422,23.422,23.422,23.422,400,
07/06/2017,23.422,23.422,23.422,23.422,0,
08/06/2017,23.422,23.422,23.422,23.422,5,
09/06/2017,22.393,23.594,22.393,23.594,1000,
12/06/2017,23.851,23.851,22.565,22.565,10617,
13/06/2017,24.023,24.023,23.766,23.766,6810,
14/06/2017,23.937,23.937,23.937,23.937,100,
15/06/2017,23.937,23.937,23.937,23.937,0,
16/06/2017,24.023,24.023,22.736,22.736,900,
19/06/2017,23.508,23.508,23.508,23.508,100,
20/06/2017,23.937,23.937,23.594,23.594,3023,
21/06/2017,22.393,22.393,21.02,21.02,899,
22/06/2017,23.165,23.251,23.165,23.165,6916,
23/06/2017,23.337,23.337,23.337,23.337,2649,
26/06/2017,23.337,23.337,23.337,23.337,0,
27/06/2017,22.822,24.023,22.822,24.023,200,
28/06/2017,24.452,24.881,20.677,24.023,8200,
29/06/2017,21.877,21.877,21.877,21.877,100,
30/06/2017,23.851,23.851,18.961,18.961,300,
03/07/2017,23.165,23.68,22.221,23.594,11313,
04/07/2017,23.851,23.851,19.819,19.819,2032,
05/07/2017,24.023,24.023,21.277,21.277,2300,
06/07/2017,24.28,24.28,24.109,24.28,4137,
07/07/2017,24.023,24.023,24.023,24.023,2010,
10/07/2017,24.023,24.023,23.165,23.165,703,
11/07/2017,23.851,23.851,23.851,23.851,0,
12/07/2017,24.023,24.023,24.023,24.023,2100,
13/07/2017,24.023,24.023,24.023,24.023,9250,
14/07/2017,24.023,25.738,24.023,25.738,13700,
17/07/2017,24.28,24.28,24.023,24.023,1500,
18/07/2017,25.738,26.596,24.452,24.452,97928,
19/07/2017,25.653,26.082,25.224,26.082,7522,
20/07/2017,25.224,25.395,25.224,25.31,4500,
21/07/2017,25.395,25.738,25.052,25.567,13100,
24/07/2017,25.567,25.567,24.881,24.881,6200,
25/07/2017,25.738,25.738,25.738,25.738,100,
26/07/2017,25.91,25.91,24.881,24.881,1000,
27/07/2017,25.738,25.738,25.138,25.138,13500,
28/07/2017,25.738,26.51,25.738,26.51,8032,
31/07/2017,25.738,25.738,25.738,25.738,7120,
01/08/2017,25.738,25.738,25.738,25.738,14800,
02/08/2017,26.339,26.339,26.339,26.339,1100,
03/08/2017,30.028,30.2,25.395,26.596,23099,
04/08/2017,29.771,29.771,26.253,26.253,920,
07/08/2017,29.171,29.171,29.171,29.171,3027,
08/08/2017,25.395,25.91,25.395,25.91,1430,
09/08/2017,28.227,28.227,25.481,25.481,4400,
10/08/2017,29.857,29.857,29.857,29.857,2500,
11/08/2017,25.653,25.653,25.653,25.653,120,
14/08/2017,25.738,25.824,25.738,25.824,9200,
15/08/2017,25.824,25.824,25.824,25.824,0,
16/08/2017,27.369,27.369,25.824,25.824,5100,
17/08/2017,27.369,27.369,27.369,27.369,2000,
18/08/2017,27.369,27.369,27.369,27.369,0,
21/08/2017,25.824,25.824,25.824,25.824,1500,
22/08/2017,27.198,27.198,25.738,25.738,2300,
23/08/2017,25.738,26.51,25.738,25.738,1600,
24/08/2017,26.94,26.94,24.881,24.881,1200,
25/08/2017,27.198,27.198,27.026,27.198,3006,
28/08/2017,25.738,27.112,25.738,27.112,3300,
29/08/2017,27.198,27.198,27.198,27.198,200,
30/08/2017,27.198,27.198,27.198,27.198,0,
31/08/2017,26.167,26.596,26.167,26.596,500,
01/09/2017,26.596,26.596,26.596,26.596,100,
05/09/2017,27.198,27.198,27.198,27.198,100,
06/09/2017,27.198,27.198,27.198,27.198,0,
07/09/2017,26.596,26.596,26.596,26.596,5000,
08/09/2017,27.026,27.026,25.738,25.738,700,
11/09/2017,26.855,26.855,26.855,26.855,0,
12/09/2017,26.596,26.596,26.596,26.596,4820,
13/09/2017,26.596,26.596,26.596,26.596,59,
14/09/2017,27.112,27.112,27.112,27.112,11000,
15/09/2017,27.026,27.026,27.026,27.026,1000,
18/09/2017,27.026,27.026,27.026,27.026,3000,
19/09/2017,27.026,27.026,27.026,27.026,0,
20/09/2017,25.91,27.026,25.91,27.026,6105,
21/09/2017,25.996,27.026,25.996,27.026,4700,
22/09/2017,30.028,30.972,30.028,30.972,3378,
25/09/2017,29.599,29.599,26.596,26.596,1600,
26/09/2017,25.824,25.996,25.824,25.996,1000,
27/09/2017,28.227,28.227,28.227,28.227,400,
28/09/2017,25.996,25.996,25.996,25.996,100,
29/09/2017,25.996,25.996,25.996,25.996,100,
02/10/2017,27.455,27.455,27.455,27.455,100,
03/10/2017,27.455,27.455,27.455,27.455,10,
04/10/2017,24.966,24.966,24.966,24.966,100,
05/10/2017,25.567,26.596,25.567,26.596,3200,
06/10/2017,25.481,28.399,24.881,28.399,4038,
09/10/2017,27.026,27.026,26.253,26.596,7400,
10/10/2017,26.682,26.682,26.51,26.51,12368,
11/10/2017,25.91,25.91,25.91,25.91,120,
12/10/2017,26.167,26.167,26.167,26.167,500,
13/10/2017,26.94,26.94,25.91,25.91,820,
16/10/2017,25.91,27.455,25.91,27.455,2000,
17/10/2017,26.94,27.026,26.94,27.026,10000,
18/10/2017,26.596,27.026,26.596,27.026,8010,
19/10/2017,26.596,27.369,26.596,27.369,12020,
20/10/2017,26.768,26.768,26.768,26.768,63,
23/10/2017,26.768,26.768,26.768,26.768,0,
