transDate,close,high,low,open,volume,event
18/02/2009,7.361,8.176,7.361,7.361,561490,
19/02/2009,7.361,7.429,7.016,7.016,175760,
20/02/2009,7.324,7.324,7.016,7.053,109820,
23/02/2009,7.016,7.324,7.016,7.324,180970,
24/02/2009,6.714,7.324,6.714,6.714,95490,
25/02/2009,7.016,7.016,7.016,7.016,37340,
26/02/2009,7.361,7.361,7.121,7.157,119680,
27/02/2009,7.361,7.46,7.053,7.053,68350,
02/03/2009,7.157,7.46,7.053,7.46,28060,
03/03/2009,7.189,7.189,7.121,7.157,60960,
04/03/2009,7.225,7.361,7.225,7.361,49400,
05/03/2009,7.225,7.324,7.225,7.225,68370,
06/03/2009,7.565,7.565,7.157,7.225,98720,
09/03/2009,7.596,7.94,7.497,7.731,62000,
10/03/2009,7.663,7.663,7.497,7.663,39700,
11/03/2009,7.836,7.905,7.663,7.663,105180,
12/03/2009,8.212,8.212,7.663,7.836,102530,
13/03/2009,8.347,8.451,8.176,8.451,31040,
16/03/2009,8.588,8.687,8.451,8.687,48640,
17/03/2009,8.791,8.791,8.619,8.724,46100,
18/03/2009,8.791,8.959,8.655,8.959,58160,
19/03/2009,8.791,8.823,8.588,8.588,63710,
20/03/2009,8.551,8.724,8.416,8.588,45560,
23/03/2009,8.588,8.859,8.52,8.52,91310,
24/03/2009,8.959,8.995,8.588,8.588,70900,
25/03/2009,8.859,8.891,8.655,8.891,54730,DIVIDEND
26/03/2009,8.891,8.959,8.859,8.859,56810,
27/03/2009,8.859,8.927,8.859,8.891,53970,
30/03/2009,8.859,8.927,8.687,8.687,26830,
31/03/2009,8.655,8.859,8.655,8.859,68820,
01/04/2009,8.687,8.859,8.687,8.859,64550,
02/04/2009,8.588,8.687,8.379,8.687,39990,
03/04/2009,8.859,8.859,8.551,8.588,172740,
07/04/2009,9.304,9.304,8.655,8.859,255740,
08/04/2009,8.859,9.673,8.859,9.673,85740,
09/04/2009,9.304,9.304,9.198,9.304,298310,
10/04/2009,9.741,9.741,9.741,9.741,2000,
13/04/2009,10.222,10.222,10.222,10.222,13920,
14/04/2009,10.734,10.734,10.185,10.222,163690,
15/04/2009,11.245,11.245,10.734,10.734,346530,
16/04/2009,11.245,11.788,10.9,11.788,165200,
17/04/2009,10.697,11.245,10.697,11.245,90340,
20/04/2009,10.185,10.185,10.185,10.185,20880,
21/04/2009,9.71,9.71,9.71,9.71,6270,
22/04/2009,9.71,9.883,9.235,9.371,229470,
23/04/2009,9.402,9.71,9.266,9.71,121780,
24/04/2009,9.538,9.538,9.062,9.1,70370,
27/04/2009,9.538,9.575,9.371,9.538,70760,
28/04/2009,9.538,9.538,9.402,9.439,87180,
29/04/2009,9.605,9.642,9.506,9.538,138810,
04/05/2009,10.087,10.087,10.087,10.087,42230,
05/05/2009,10.426,10.561,10.222,10.561,255000,
06/05/2009,10.185,10.222,9.789,9.85,174450,
07/05/2009,9.734,9.963,9.473,9.963,170420,
08/05/2009,10.154,10.222,9.778,9.778,141070,
11/05/2009,10.321,10.358,10.049,10.358,157560,
12/05/2009,10.833,10.833,10.289,10.321,260490,
13/05/2009,11.344,11.344,10.435,10.697,274600,
14/05/2009,11.892,11.892,11.856,11.892,131470,
15/05/2009,12.471,12.471,12.264,12.471,130960,
18/05/2009,12.675,12.947,12.471,12.774,176200,
19/05/2009,12.675,12.91,12.435,12.91,231660,
20/05/2009,12.978,13.286,12.503,12.503,376250,
21/05/2009,13.625,13.625,12.978,12.978,282780,
22/05/2009,13.663,14.273,13.459,13.699,177460,
25/05/2009,13.971,14.106,13.699,13.971,206310,
26/05/2009,13.286,13.625,13.286,13.625,246250,
27/05/2009,13.594,13.594,12.639,12.774,446380,
28/05/2009,13.151,13.459,12.947,13.119,227560,
29/05/2009,12.608,13.151,12.571,13.151,98550,
01/06/2009,12.879,13.119,12.608,12.608,144180,
02/06/2009,12.947,13.422,12.947,13.422,262310,
03/06/2009,12.639,12.879,12.608,12.706,215270,
04/06/2009,12.947,13.082,12.639,12.639,463100,
