transDate,close,high,low,open,volume,event
27/12/2006,2.607,2.607,2.538,2.538,300,
28/12/2006,2.56,2.56,2.56,2.56,0,
29/12/2006,2.56,2.56,2.56,2.56,0,
02/01/2007,2.812,2.812,2.812,2.812,100,
03/01/2007,3.089,3.089,3.089,3.089,10000,
04/01/2007,3.392,3.392,3.392,3.392,2000,
05/01/2007,3.732,3.732,3.732,3.732,1000,
08/01/2007,4.097,4.097,4.097,4.097,200,
09/01/2007,4.506,4.506,4.506,4.506,100,
10/01/2007,4.951,4.951,4.951,4.951,500,
11/01/2007,5.444,5.444,5.444,5.444,800,
12/01/2007,5.988,5.988,5.96,5.96,4000,
15/01/2007,6.579,6.579,6.579,6.579,5000,
16/01/2007,7.234,7.234,7.193,7.193,4300,
17/01/2007,7.263,7.941,7.263,7.263,17600,
18/01/2007,6.974,7.05,6.974,6.974,4400,
19/01/2007,7.05,7.193,6.347,6.967,16600,
22/01/2007,6.769,7.193,6.769,6.967,4500,
23/01/2007,6.488,6.627,6.353,6.513,2700,
24/01/2007,6.133,6.488,6.133,6.316,11200,
25/01/2007,5.71,6.204,5.696,5.914,11900,
26/01/2007,5.853,5.922,5.499,5.809,11100,
29/01/2007,5.783,5.783,5.572,5.641,6800,
30/01/2007,6.204,6.204,6.204,6.204,1500,
31/01/2007,6.824,6.824,6.634,6.634,15900,
01/02/2007,7.474,7.496,7.193,7.193,9200,
02/02/2007,7.474,7.755,7.405,7.42,3000,
05/02/2007,7.05,7.193,7.05,7.093,3800,
06/02/2007,6.908,7.05,6.769,6.904,4100,
07/02/2007,6.701,6.769,6.701,6.733,2700,
08/02/2007,6.072,6.733,6.072,6.572,7000,
09/02/2007,6.415,6.415,6.347,6.353,1200,
12/02/2007,6.353,6.353,6.347,6.353,6100,
13/02/2007,6.558,6.701,6.347,6.353,9200,
14/02/2007,7.178,7.234,7.05,7.05,15400,
15/02/2007,7.299,7.905,7.193,7.193,10100,
26/02/2007,7.405,7.496,7.193,7.354,20400,
27/02/2007,7.12,7.616,7.12,7.339,19600,
28/02/2007,7.12,7.544,7.05,7.215,17400,
01/03/2007,6.981,6.981,6.756,6.912,2300,
02/03/2007,6.769,7.405,6.627,6.824,5400,
05/03/2007,6.838,7.05,6.807,6.824,8600,
06/03/2007,6.807,7.405,6.204,6.809,10400,
07/03/2007,6.74,6.993,6.74,6.813,3700,DIVIDEND
08/03/2007,6.423,6.776,6.349,6.627,6600,
09/03/2007,6.85,6.85,6.423,6.627,15500,
12/03/2007,6.776,7.277,6.455,6.693,27500,
13/03/2007,6.566,6.993,6.199,6.756,27200,
14/03/2007,6.423,6.74,6.423,6.484,13600,
15/03/2007,6.207,6.423,6.133,6.178,13100,
16/03/2007,6.776,6.79,6.142,6.178,6000,
19/03/2007,6.708,6.85,6.634,6.634,9700,
20/03/2007,6.423,6.993,6.423,6.598,6600,
21/03/2007,6.415,6.423,6.349,6.415,2000,
22/03/2007,6.349,6.418,6.133,6.291,4700,
23/03/2007,6.258,6.349,6.126,6.185,2600,
26/03/2007,6.006,6.207,5.572,6.014,4200,
27/03/2007,5.415,6.207,5.415,5.437,3700,
28/03/2007,5.848,5.848,4.893,5.315,2400,
29/03/2007,5.842,5.842,5.842,5.842,900,
30/03/2007,5.922,6.423,5.781,5.842,8600,
02/04/2007,5.437,5.437,5.437,5.437,700,
03/04/2007,5.386,5.386,5.324,5.356,7700,
04/04/2007,5.467,5.467,5.28,5.356,7300,
05/04/2007,5.505,5.505,5.349,5.386,4400,
06/04/2007,5.137,5.137,4.995,5.002,2600,
09/04/2007,5.174,5.324,5.137,5.137,6400,
10/04/2007,5.349,5.415,5.315,5.315,7300,
11/04/2007,5.349,5.422,5.349,5.349,1900,
12/04/2007,5.174,5.422,5.064,5.159,19100,
13/04/2007,4.922,5.207,4.922,5.017,3900,
16/04/2007,4.637,4.885,4.524,4.779,11800,
17/04/2007,4.637,4.637,4.494,4.579,9700,
18/04/2007,5.035,5.035,4.779,4.779,5800,
19/04/2007,4.845,5.137,4.637,4.86,5600,
20/04/2007,4.571,4.736,4.565,4.615,3800,
23/04/2007,4.338,4.637,4.159,4.246,4300,
24/04/2007,4.426,4.568,4.389,4.389,2700,
25/04/2007,4.568,4.637,4.568,4.568,5900,
02/05/2007,4.601,4.765,4.601,4.608,2500,
03/05/2007,4.571,4.637,4.451,4.553,6900,
04/05/2007,4.538,4.565,4.494,4.538,7900,
07/05/2007,4.888,4.922,4.71,4.71,31800,
08/05/2007,5.031,5.207,4.922,4.922,14000,
09/05/2007,5.28,5.349,4.995,5.024,26100,
10/05/2007,4.929,5.273,4.827,4.929,4600,
11/05/2007,5.207,5.349,4.995,5.039,12900,
14/05/2007,5.422,5.601,5.349,5.349,15300,
15/05/2007,5.137,5.629,5.137,5.287,10400,
16/05/2007,5.137,5.137,5.101,5.13,4200,
17/05/2007,5.528,5.528,5.13,5.13,8900,
18/05/2007,5.28,5.349,5.166,5.295,17200,
21/05/2007,5.315,5.353,5.214,5.295,15700,
22/05/2007,5.407,5.495,5.331,5.331,17400,
23/05/2007,5.344,5.564,5.344,5.378,15700,
24/05/2007,5.249,5.451,5.174,5.249,8500,
25/05/2007,5.315,5.315,4.995,5.107,13800,
28/05/2007,5.349,5.422,5.137,5.137,17800,
29/05/2007,5.28,5.422,5.28,5.287,5600,
30/05/2007,5.28,5.349,5.273,5.295,4300,
31/05/2007,5.159,5.265,5.137,5.22,5500,
01/06/2007,5.207,5.22,5.137,5.166,12600,
04/06/2007,5.031,5.174,4.995,5.064,9300,
05/06/2007,4.922,5.064,4.922,4.959,6900,
06/06/2007,5.031,5.031,4.816,4.959,35600,
07/06/2007,5.05,5.064,5.042,5.042,3000,
08/06/2007,4.959,5.174,4.936,4.995,8800,
11/06/2007,4.951,5.028,4.922,4.965,6600,
12/06/2007,4.915,4.959,4.885,4.915,9400,
13/06/2007,4.888,4.945,4.868,4.9,2600,
14/06/2007,4.888,4.9,4.853,4.882,8000,
15/06/2007,4.907,4.973,4.893,4.893,10600,
18/06/2007,5.064,5.078,5.031,5.031,10800,
19/06/2007,5.086,5.166,5.042,5.058,22300,
20/06/2007,5.031,5.086,5.031,5.058,12200,
21/06/2007,5.031,5.058,4.995,5.05,5100,
