transDate,close,high,low,open,volume,event
02/12/2015,6.578,6.578,6.578,6.578,100,
03/12/2015,6.578,6.578,6.578,6.578,0,
04/12/2015,6.578,6.578,6.578,6.578,0,
07/12/2015,6.578,6.578,6.578,6.578,1,
08/12/2015,7.552,7.552,7.552,7.552,100,
09/12/2015,8.673,8.673,8.673,8.673,100,
10/12/2015,9.974,9.974,9.974,9.974,100,
11/12/2015,11.454,11.454,11.454,11.454,100,
14/12/2015,13.154,13.154,13.154,13.154,100,
15/12/2015,13.154,13.154,13.154,13.154,0,
16/12/2015,15.105,15.105,15.105,15.105,100,
17/12/2015,17.345,17.345,17.345,17.345,100,
18/12/2015,19.947,19.947,19.947,19.947,2100,
21/12/2015,22.91,22.91,22.91,22.91,2000,
22/12/2015,26.342,26.342,26.342,26.342,1100,
23/12/2015,28.548,30.281,28.548,30.281,18150,
24/12/2015,26.379,29.632,26.017,29.632,5620,
25/12/2015,26.922,26.922,24.211,25.296,12600,
28/12/2015,28.945,28.945,25.585,25.585,200,
29/12/2015,28.907,28.907,28.907,28.907,300,
30/12/2015,29.632,30.354,29.306,30.354,1250,
31/12/2015,29.704,29.704,29.704,29.704,0,
04/01/2016,26.74,26.74,26.74,26.74,1000,
05/01/2016,26.74,26.74,26.74,26.74,0,
06/01/2016,27.101,27.101,27.101,27.101,2400,
07/01/2016,27.101,27.101,27.101,27.101,200,
08/01/2016,27.463,27.463,25.656,25.656,2500,
11/01/2016,27.101,27.101,26.74,27.101,2130,
12/01/2016,27.824,27.824,27.031,27.283,6500,
13/01/2016,26.956,27.101,26.813,27.101,1000,
14/01/2016,27.101,27.138,26.74,26.74,4000,
15/01/2016,27.463,27.463,27.463,27.463,100,
18/01/2016,27.463,27.463,27.463,27.463,0,
19/01/2016,26.017,27.101,25.296,25.656,6400,
20/01/2016,26.017,26.017,25.656,25.656,7000,
21/01/2016,25.656,26.017,25.296,25.296,4910,
22/01/2016,24.933,25.656,24.933,25.656,5300,
25/01/2016,25.296,25.656,25.114,25.656,1200,
26/01/2016,25.114,25.114,25.114,25.114,300,
27/01/2016,24.933,24.933,24.933,24.933,1100,
28/01/2016,24.609,24.609,24.609,24.609,500,
29/01/2016,24.211,24.574,24.211,24.574,1030,
01/02/2016,24.248,24.248,24.248,24.248,20,
02/02/2016,24.248,24.248,24.248,24.248,0,
03/02/2016,24.211,24.211,24.211,24.211,4700,
04/02/2016,24.211,24.211,24.211,24.211,1400,
05/02/2016,24.211,24.211,24.211,24.211,900,
15/02/2016,24.211,24.211,24.211,24.211,0,
16/02/2016,24.361,24.361,24.361,24.361,500,DIVIDEND
17/02/2016,23.986,24.361,23.986,24.361,800,
18/02/2016,24.361,24.736,24.361,24.361,400,
19/02/2016,24.548,24.548,24.548,24.548,0,
22/02/2016,23.986,24.361,23.986,24.361,700,
23/02/2016,24.023,24.023,24.023,24.023,0,
24/02/2016,24.023,24.023,24.023,24.023,0,
25/02/2016,23.986,23.986,23.986,23.986,1000,
26/02/2016,23.61,24.023,23.61,24.023,700,
29/02/2016,23.686,23.686,23.686,23.686,0,
01/03/2016,23.686,23.686,23.686,23.686,0,
02/03/2016,23.61,23.61,23.61,23.61,500,
03/03/2016,23.61,23.61,23.61,23.61,0,
04/03/2016,23.61,23.61,23.61,23.61,0,
07/03/2016,22.487,22.487,22.487,22.487,600,
08/03/2016,23.238,23.238,22.487,22.487,1400,
09/03/2016,23.61,24.361,23.238,23.238,1200,
10/03/2016,23.761,23.761,23.761,23.761,0,
11/03/2016,23.238,23.61,23.238,23.61,1700,
14/03/2016,23.986,23.986,23.986,23.986,300,
15/03/2016,26.235,26.235,24.361,24.361,2800,
16/03/2016,25.485,25.485,25.485,25.485,1600,
17/03/2016,25.485,25.485,25.485,25.485,100,
18/03/2016,23.799,23.799,23.799,23.799,900,
21/03/2016,23.799,23.799,23.799,23.799,0,
22/03/2016,26.048,26.235,26.048,26.048,2100,
23/03/2016,26.422,26.609,26.235,26.572,10300,
24/03/2016,26.609,26.985,26.609,26.985,11200,
25/03/2016,26.648,26.985,26.609,26.648,4700,
28/03/2016,26.609,26.985,26.609,26.609,2000,
29/03/2016,26.985,27.546,26.235,26.235,5100,
30/03/2016,27.734,27.734,26.985,26.985,6600,
31/03/2016,27.997,28.108,27.922,27.922,4200,
01/04/2016,27.734,27.734,27.734,27.734,100,
04/04/2016,27.36,27.546,26.985,27.546,700,
05/04/2016,27.546,27.66,27.36,27.36,2200,
06/04/2016,27.36,27.36,27.36,27.36,10300,
07/04/2016,26.985,26.985,26.985,26.985,300,
08/04/2016,27.696,27.734,26.985,26.985,7240,
11/04/2016,28.296,28.671,27.734,28.108,15700,
12/04/2016,28.108,28.483,27.772,28.483,5700,
13/04/2016,27.734,28.108,27.734,28.108,4828,
14/04/2016,27.734,27.734,27.734,27.734,600,
15/04/2016,27.734,27.734,27.734,27.734,0,
19/04/2016,27.734,27.734,27.734,27.734,0,
20/04/2016,27.36,27.36,26.985,26.985,5700,
21/04/2016,28.483,29.233,28.108,28.108,27516,
22/04/2016,27.546,28.671,27.36,28.671,9900,
25/04/2016,27.809,28.108,26.985,26.985,5000,
26/04/2016,27.922,28.108,27.922,28.108,4000,
27/04/2016,28.108,28.409,27.734,28.409,3200,
28/04/2016,28.071,28.108,28.071,28.108,1000,
29/04/2016,28.108,28.108,27.922,28.108,1900,
04/05/2016,28.071,28.483,27.922,28.108,9400,
05/05/2016,28.108,28.447,28.108,28.447,2900,
06/05/2016,28.108,28.108,28.108,28.108,2600,
09/05/2016,28.108,28.296,28.108,28.108,3300,
10/05/2016,28.108,28.184,27.997,28.184,7300,
11/05/2016,27.922,28.108,27.922,28.108,1900,
12/05/2016,28.108,28.108,27.959,28.108,8350,
13/05/2016,28.108,28.296,28.108,28.108,6300,
16/05/2016,28.147,28.147,28.108,28.108,3300,
17/05/2016,28.483,28.483,28.108,28.108,1400,
18/05/2016,28.255,28.681,27.907,28.642,5700,DIVIDEND
19/05/2016,29.029,29.803,28.642,28.642,4100,
20/05/2016,29.183,29.415,28.255,28.255,2300,
23/05/2016,29.221,29.338,29.221,29.338,2200,
24/05/2016,28.834,29.067,28.834,29.029,2500,
25/05/2016,29.029,29.029,29.029,29.029,800,
26/05/2016,29.183,29.221,28.99,29.029,6400,
27/05/2016,28.834,28.834,28.602,28.642,600,
30/05/2016,28.447,28.642,28.447,28.642,1200,
31/05/2016,28.525,29.029,28.525,28.642,6596,
01/06/2016,28.564,28.602,28.564,28.602,1000,
02/06/2016,28.602,28.642,28.332,28.642,1300,
03/06/2016,29.145,29.145,28.255,28.447,900,
06/06/2016,28.953,28.953,28.488,28.642,810,
07/06/2016,29.029,29.029,28.719,28.719,4300,
08/06/2016,29.029,29.029,29.029,29.029,4700,
09/06/2016,28.834,29.029,28.834,29.029,3100,
10/06/2016,29.029,29.029,29.029,29.029,836,
13/06/2016,28.681,29.029,28.642,29.029,2400,
14/06/2016,28.642,28.834,28.564,28.834,4800,
15/06/2016,28.642,28.834,28.642,28.834,4600,
16/06/2016,29.029,29.029,28.953,28.953,6000,
17/06/2016,28.642,29.067,28.642,29.067,3500,
20/06/2016,28.642,29.029,28.642,29.029,7914,
21/06/2016,29.338,29.338,28.719,28.719,14000,
22/06/2016,32.473,32.513,29.338,29.415,20000,
23/06/2016,33.673,34.639,32.901,34.639,32190,
24/06/2016,33.866,34.06,32.126,34.06,11900,
27/06/2016,31.622,32.782,30.577,32.782,20000,
28/06/2016,32.435,32.901,32.126,32.126,3900,
29/06/2016,32.667,33.673,32.513,33.673,5410,
30/06/2016,32.706,32.901,32.513,32.901,6510,
01/07/2016,32.706,32.706,32.513,32.513,6200,
04/07/2016,33.015,33.054,32.513,32.901,9400,
05/07/2016,33.479,33.479,33.286,33.286,6900,
06/07/2016,33.286,33.479,33.093,33.132,1700,
07/07/2016,33.286,33.517,33.286,33.286,1600,
08/07/2016,33.866,33.983,33.635,33.673,19300,
11/07/2016,34.254,34.254,33.866,34.06,8600,
12/07/2016,34.254,34.254,34.06,34.06,3800,
13/07/2016,37.428,37.428,34.834,34.834,7190,
14/07/2016,37.854,37.931,36.189,36.228,6300,
15/07/2016,37.543,39.091,35.609,37.737,4800,
18/07/2016,36.034,36.77,35.996,36.383,3600,
19/07/2016,35.996,36.77,35.996,36.77,4200,
20/07/2016,36.77,36.77,36.77,36.77,200,
21/07/2016,36.189,36.614,34.834,35.84,8100,
22/07/2016,35.609,35.996,34.834,35.996,3000,
25/07/2016,36.189,36.189,35.609,36.189,4800,
26/07/2016,35.996,36.77,35.996,35.996,2500,
27/07/2016,35.996,36.112,35.996,36.112,1300,
28/07/2016,35.917,35.917,35.609,35.609,600,
29/07/2016,35.338,35.725,35.338,35.648,2010,
01/08/2016,35.221,35.377,35.028,35.028,3000,
02/08/2016,34.834,34.912,34.254,34.912,5900,
03/08/2016,34.834,34.834,34.834,34.834,3200,
04/08/2016,34.834,35.377,34.834,35.067,7900,
05/08/2016,34.834,35.221,34.834,35.221,4400,
08/08/2016,34.834,34.873,34.834,34.834,5900,
09/08/2016,34.834,34.912,34.834,34.834,6300,
10/08/2016,34.639,34.99,34.639,34.873,6250,
11/08/2016,34.912,34.912,34.834,34.834,14520,
12/08/2016,35.415,36.77,34.834,36.77,8756,
15/08/2016,34.834,35.53,34.834,35.53,1600,
16/08/2016,34.834,35.106,34.834,34.834,5100,
17/08/2016,34.834,35.144,34.834,35.144,2800,
18/08/2016,34.834,34.834,34.834,34.834,1500,
19/08/2016,34.834,34.834,34.834,34.834,5700,
22/08/2016,34.834,35.221,34.834,35.221,8400,
23/08/2016,34.834,34.834,34.834,34.834,4300,
24/08/2016,35.144,35.144,34.834,34.873,5950,
25/08/2016,35.996,36.77,35.996,36.77,1400,
26/08/2016,35.221,36.305,35.221,36.305,2700,
29/08/2016,35.917,35.917,35.917,35.917,200,
30/08/2016,35.415,35.415,34.873,35.221,1600,
31/08/2016,35.53,35.53,35.53,35.53,100,
01/09/2016,35.221,36.383,35.221,35.415,1500,
05/09/2016,35.028,35.028,34.834,34.834,2800,
06/09/2016,34.834,35.183,34.834,35.183,1800,
07/09/2016,34.834,34.834,34.834,34.834,400,
08/09/2016,35.028,35.221,34.834,34.834,3400,
09/09/2016,35.609,35.609,35.221,35.221,12100,
12/09/2016,35.609,35.609,35.53,35.53,1368,
13/09/2016,35.609,35.996,35.609,35.996,7900,
14/09/2016,35.957,36.189,35.028,36.189,4200,
15/09/2016,35.803,36.151,35.803,36.151,2310,
16/09/2016,35.609,35.957,35.609,35.609,1710,
19/09/2016,35.609,36.305,35.609,36.305,1200,
20/09/2016,35.609,35.957,35.609,35.609,9900,
21/09/2016,35.609,35.957,35.609,35.957,2100,
22/09/2016,36.77,36.77,35.917,35.917,1400,
23/09/2016,35.609,36.731,35.609,36.693,1700,
26/09/2016,35.609,35.609,35.609,35.609,100,
27/09/2016,36.77,36.77,35.609,35.609,18400,
28/09/2016,36.421,36.421,36.421,36.421,0,
29/09/2016,35.996,35.996,35.028,35.028,400,
30/09/2016,36.266,36.266,36.266,36.266,800,
03/10/2016,35.609,36.151,35.609,36.151,1600,
04/10/2016,35.57,35.57,35.221,35.338,2900,
05/10/2016,34.834,35.803,34.834,35.609,1300,
06/10/2016,35.492,35.492,34.448,34.448,900,
07/10/2016,35.57,35.57,34.137,34.448,2500,
10/10/2016,35.221,35.221,35.221,35.221,312,
11/10/2016,34.834,34.99,34.834,34.99,600,
12/10/2016,34.796,34.834,34.448,34.834,1300,
13/10/2016,34.757,34.757,34.757,34.757,200,
14/10/2016,34.448,34.757,34.448,34.757,500,
17/10/2016,35.917,35.917,34.448,34.448,500,
18/10/2016,34.834,35.067,34.834,35.067,1500,
19/10/2016,34.06,34.06,34.06,34.06,1000,
20/10/2016,34.06,34.06,34.06,34.06,200,
21/10/2016,33.673,34.834,33.673,34.06,1100,
24/10/2016,35.221,35.609,34.639,34.834,10576,
25/10/2016,34.796,34.834,34.757,34.757,2300,
26/10/2016,34.834,36.383,34.834,34.834,4100,
27/10/2016,34.718,35.221,34.718,35.221,6600,
28/10/2016,35.609,35.957,34.796,34.834,17220,
31/10/2016,35.57,38.318,34.834,34.834,17800,
01/11/2016,38.017,40.22,36.914,38.568,13900,
02/11/2016,39.669,39.669,38.568,39.669,23100,
03/11/2016,38.677,40.22,38.568,38.568,14500,
04/11/2016,38.568,39.283,38.568,39.063,17700,
07/11/2016,37.465,39.063,36.914,38.292,11800,
08/11/2016,38.017,38.954,37.741,38.017,11700,
09/11/2016,38.017,38.512,36.914,38.017,9600,
10/11/2016,39.155,41.459,38.58,39.73,3600,DIVIDEND
11/11/2016,38.292,39.444,38.292,39.444,6100,
14/11/2016,36.851,39.444,36.851,39.444,5300,
15/11/2016,37.715,38.292,35.7,38.004,3600,
