transDate,close,high,low,open,volume,event
21/04/2011,2.485,4.359,2.397,3.923,492500,
22/04/2011,2.376,2.594,2.376,2.572,65800,
25/04/2011,2.332,2.507,2.31,2.397,53000,
26/04/2011,2.266,2.549,2.266,2.485,69000,
27/04/2011,2.244,2.397,2.201,2.354,215900,
28/04/2011,2.354,2.376,2.244,2.289,214800,
29/04/2011,2.419,2.442,2.397,2.397,79100,
04/05/2011,2.332,2.463,2.289,2.463,14200,
05/05/2011,2.289,2.376,2.201,2.332,55300,
06/05/2011,2.223,2.397,2.179,2.397,47400,
09/05/2011,2.289,2.31,2.201,2.289,47100,
10/05/2011,2.289,2.354,2.289,2.354,37700,
11/05/2011,2.266,2.266,2.179,2.266,76500,
12/05/2011,2.376,2.376,2.289,2.289,215300,
13/05/2011,2.507,2.507,2.463,2.463,291400,
16/05/2011,2.549,2.659,2.528,2.549,147000,
17/05/2011,2.442,2.572,2.397,2.572,141600,
18/05/2011,2.485,2.549,2.31,2.332,201900,
19/05/2011,2.507,2.594,2.485,2.549,256100,
20/05/2011,2.528,2.572,2.419,2.572,132800,
23/05/2011,2.376,2.549,2.332,2.528,147800,
24/05/2011,2.289,2.463,2.289,2.442,69300,
25/05/2011,2.223,2.376,2.179,2.354,57000,
26/05/2011,2.201,2.244,2.071,2.223,209400,
27/05/2011,2.179,2.244,2.092,2.223,110000,
30/05/2011,2.049,2.289,2.049,2.289,26700,
31/05/2011,2.049,2.136,2.005,2.113,92300,
01/06/2011,2.113,2.157,2.005,2.092,84000,
02/06/2011,2.223,2.223,2.113,2.157,92200,
03/06/2011,2.179,2.354,2.092,2.201,34800,
06/06/2011,2.136,2.289,2.113,2.266,44000,
07/06/2011,2.157,2.223,2.136,2.201,80600,
08/06/2011,2.157,2.223,2.092,2.201,44400,
09/06/2011,2.179,2.266,2.179,2.223,51800,
10/06/2011,2.266,2.31,2.201,2.266,48500,
13/06/2011,2.266,2.354,2.201,2.332,46600,
14/06/2011,2.157,2.332,2.136,2.332,74000,
15/06/2011,2.049,2.244,2.049,2.244,63200,
16/06/2011,2.071,2.136,2.071,2.092,8100,
17/06/2011,1.962,2.092,1.962,2.071,88200,
20/06/2011,2.005,2.005,1.939,2.005,50300,
21/06/2011,2.027,2.049,1.962,2.049,20300,
22/06/2011,1.897,1.962,1.897,1.962,68100,
23/06/2011,1.787,1.874,1.787,1.874,87200,
24/06/2011,1.917,1.917,1.808,1.831,50100,
27/06/2011,1.962,1.962,1.852,1.897,45200,
28/06/2011,1.897,1.983,1.874,1.983,18000,
29/06/2011,1.852,1.852,1.808,1.852,43100,
30/06/2011,1.831,1.897,1.808,1.897,46900,
