transDate,close,high,low,open,volume,event
20/11/2015,20.891,20.891,20.891,20.891,100,
23/11/2015,20.891,20.891,20.891,20.891,0,
24/11/2015,20.891,20.891,20.891,20.891,0,
25/11/2015,20.891,20.891,20.891,20.891,0,
26/11/2015,20.891,20.891,20.891,20.891,0,
27/11/2015,23.741,23.741,23.741,23.741,100,
30/11/2015,23.741,23.741,23.741,23.741,0,
01/12/2015,23.741,23.741,23.741,23.741,1000,
02/12/2015,23.741,23.741,23.741,23.741,0,
03/12/2015,23.741,23.741,23.741,23.741,0,
04/12/2015,20.215,20.215,20.215,20.215,100,
07/12/2015,17.229,17.229,17.229,17.229,100,
08/12/2015,14.923,14.923,14.923,14.923,1200,
09/12/2015,14.923,14.923,14.923,14.923,0,
10/12/2015,17.162,17.162,17.162,17.162,100,
11/12/2015,17.162,17.162,17.162,17.162,0,
14/12/2015,19.673,19.673,19.673,19.673,100,
15/12/2015,19.673,19.673,19.673,19.673,0,
16/12/2015,19.673,19.673,19.673,19.673,0,
17/12/2015,17.297,17.297,17.297,17.297,1000,
18/12/2015,17.297,17.297,17.297,17.297,1800,
21/12/2015,17.297,17.297,17.297,17.297,0,
22/12/2015,17.297,17.297,17.297,17.297,100,
23/12/2015,17.297,17.297,17.297,17.297,2900,
24/12/2015,17.297,17.297,17.297,17.297,0,
25/12/2015,17.297,17.297,17.297,17.297,1600,
28/12/2015,17.297,17.297,17.297,17.297,1000,
29/12/2015,17.297,17.297,17.297,17.297,500,
30/12/2015,17.297,17.297,17.297,17.297,0,
31/12/2015,17.636,17.636,17.636,17.636,800,
04/01/2016,17.636,17.636,17.636,17.636,0,
05/01/2016,17.569,17.569,17.569,17.569,2200,
06/01/2016,17.569,17.569,17.569,17.569,0,
07/01/2016,17.569,17.569,17.569,17.569,0,
08/01/2016,17.569,17.569,17.569,17.569,0,
11/01/2016,17.569,17.569,17.569,17.569,0,
12/01/2016,18.992,18.992,18.992,18.992,1400,
13/01/2016,18.992,18.992,18.992,18.992,0,
14/01/2016,18.992,18.992,18.992,18.992,0,
15/01/2016,18.992,18.992,18.992,18.992,0,
18/01/2016,18.992,18.992,18.992,18.992,0,
19/01/2016,18.992,18.992,18.992,18.992,0,
20/01/2016,18.992,18.992,18.992,18.992,0,
21/01/2016,18.992,18.992,18.992,18.992,0,
22/01/2016,18.992,18.992,18.992,18.992,0,
25/01/2016,18.992,18.992,18.992,18.992,0,DIVIDEND
26/01/2016,18.992,18.992,18.992,18.992,0,
27/01/2016,18.992,18.992,18.992,18.992,0,
28/01/2016,18.368,18.368,18.368,18.368,15000,
29/01/2016,18.368,18.368,18.368,18.368,0,
01/02/2016,19.409,19.409,19.063,19.063,13500,
02/02/2016,21.974,21.974,21.974,21.974,100,
03/02/2016,20.795,20.795,20.101,20.101,12000,
04/02/2016,20.795,20.795,20.795,20.795,10800,
05/02/2016,19.131,19.131,19.131,19.131,200,
15/02/2016,19.131,19.131,19.131,19.131,0,
16/02/2016,21.974,21.974,17.33,17.33,27600,
17/02/2016,21.556,21.556,21.556,21.556,0,
18/02/2016,24.191,24.191,24.191,24.191,100,
19/02/2016,24.191,24.191,24.191,24.191,0,
22/02/2016,24.191,24.191,24.191,24.191,0,
23/02/2016,24.191,24.191,24.191,24.191,0,
24/02/2016,24.191,24.191,24.191,24.191,0,
25/02/2016,20.588,20.588,20.588,20.588,200,
26/02/2016,17.676,17.676,17.676,17.676,1000,
29/02/2016,18.368,18.368,18.368,18.368,800,
