transDate,close,high,low,open,volume,event
15/09/2010,10.441,13.92,10.441,11.931,2700,
16/09/2010,11.207,11.207,11.207,11.207,2100,
17/09/2010,10.431,11.733,10.431,11.733,9700,
20/09/2010,11.097,11.097,10.48,10.48,300,
21/09/2010,9.943,9.943,9.943,9.943,800,
22/09/2010,9.248,9.248,9.248,9.248,300,
23/09/2010,8.601,8.601,8.601,8.601,100,
24/09/2010,8.947,8.947,8.003,8.003,18300,
27/09/2010,8.452,8.57,8.023,8.57,31900,
28/09/2010,8.165,8.741,8.154,8.354,17200,
29/09/2010,8.143,8.849,8.104,8.849,20600,
30/09/2010,7.895,8.251,7.895,8.104,14400,
01/10/2010,7.915,7.975,7.905,7.955,17200,
04/10/2010,7.663,7.854,7.663,7.854,14500,
05/10/2010,7.576,7.747,7.576,7.747,10800,
06/10/2010,7.854,7.854,7.659,7.659,400,
07/10/2010,7.707,7.805,7.707,7.805,1600,
08/10/2010,7.659,7.747,7.659,7.747,2500,
11/10/2010,7.476,7.607,7.476,7.607,8100,
12/10/2010,7.955,7.955,7.557,7.557,1700,
13/10/2010,7.846,7.846,7.659,7.659,500,
14/10/2010,7.707,7.905,7.707,7.905,200,
15/10/2010,7.756,7.805,7.756,7.805,200,
18/10/2010,7.756,7.756,7.756,7.756,200,
19/10/2010,7.756,7.756,7.659,7.707,7800,
20/10/2010,7.659,7.659,7.659,7.659,4500,
21/10/2010,7.659,7.663,7.659,7.663,600,
22/10/2010,7.659,7.707,7.659,7.707,12500,
25/10/2010,7.663,7.663,7.663,7.663,0,
26/10/2010,7.905,7.955,7.678,7.678,3800,
27/10/2010,8.053,8.053,7.905,7.905,15200,
28/10/2010,7.756,7.955,7.659,7.955,13500,
29/10/2010,7.915,7.955,7.905,7.905,28800,
01/11/2010,7.905,7.915,7.905,7.915,18000,
02/11/2010,7.905,7.915,7.905,7.915,19700,
03/11/2010,7.925,7.936,7.915,7.925,4700,
04/11/2010,7.915,7.915,7.915,7.915,5100,
05/11/2010,8.143,8.143,7.955,7.955,9800,
08/11/2010,8.104,8.143,8.053,8.143,6000,
09/11/2010,8.123,8.173,8.123,8.133,8000,
10/11/2010,8.154,8.193,8.113,8.154,18400,
11/11/2010,8.143,8.154,7.963,7.963,12000,
12/11/2010,8.104,8.104,7.963,7.963,9200,
15/11/2010,8.053,8.053,8.003,8.003,8100,
16/11/2010,7.905,7.955,7.873,7.955,12400,
17/11/2010,7.975,7.975,7.775,7.854,13000,
18/11/2010,8.104,8.104,8.014,8.014,13500,
19/11/2010,8.053,8.062,8.053,8.053,14500,
22/11/2010,7.984,7.984,7.984,7.984,3400,
23/11/2010,16.061,16.081,16.061,16.061,21700,
24/11/2010,7.984,7.984,7.975,7.984,18900,
25/11/2010,7.984,8.003,7.984,8.003,19000,
26/11/2010,7.984,8.085,7.984,8.085,5400,
29/11/2010,7.728,7.854,7.728,7.854,3900,
30/11/2010,7.775,7.775,7.775,7.775,100,
01/12/2010,7.854,8.093,7.854,8.093,7100,
02/12/2010,7.955,7.955,7.955,7.955,500,
03/12/2010,8.154,8.356,8.154,8.356,1400,
06/12/2010,7.864,8.053,7.864,7.963,4000,
07/12/2010,7.684,7.756,7.684,7.756,2500,
08/12/2010,7.854,7.854,7.854,7.854,100,DIVIDEND
09/12/2010,7.854,7.854,7.735,7.735,1500,
10/12/2010,7.767,7.975,7.767,7.975,4200,
13/12/2010,8.282,8.282,8.035,8.035,9800,
14/12/2010,7.955,8.251,7.955,8.104,11800,
15/12/2010,7.963,8.093,7.955,8.053,14800,
