transDate,close,high,low,open,volume,event
16/12/2005,4.352,4.352,4.352,4.352,1100,
19/12/2005,4.142,4.142,4.142,4.142,3420,
20/12/2005,3.951,3.951,3.951,3.951,4550,
21/12/2005,3.897,3.897,3.897,3.897,7710,
22/12/2005,3.973,3.973,3.879,3.897,5590,
23/12/2005,4.065,4.065,3.972,3.972,3100,
26/12/2005,4.254,4.254,4.2,4.2,10930,
27/12/2005,4.464,4.464,4.464,4.464,1200,
28/12/2005,4.538,4.557,4.538,4.538,4730,
29/12/2005,4.693,4.693,4.542,4.542,440,
30/12/2005,4.632,4.69,4.632,4.632,800,
03/01/2006,4.632,4.632,4.632,4.632,40,
04/01/2006,4.538,4.632,4.538,4.538,830,
05/01/2006,4.632,4.67,4.632,4.632,1240,
06/01/2006,4.557,4.632,4.557,4.557,200,
09/01/2006,4.538,4.557,4.538,4.538,200,
10/01/2006,4.503,4.503,4.425,4.503,500,
11/01/2006,4.538,4.538,4.501,4.501,1650,
12/01/2006,4.538,4.538,4.538,4.538,1390,
13/01/2006,4.538,4.538,4.538,4.538,4730,
17/01/2006,4.538,4.538,4.538,4.538,530,
18/01/2006,4.728,4.728,4.538,4.538,260,
19/01/2006,4.918,4.918,4.728,4.728,510,
20/01/2006,4.673,4.673,4.673,4.673,2000,
23/01/2006,4.673,4.728,4.673,4.673,1000,
24/01/2006,4.728,4.728,4.67,4.67,530,
25/01/2006,4.821,4.821,4.728,4.728,10,
26/01/2006,4.784,4.784,4.784,4.784,30,
27/01/2006,5.013,5.013,4.577,4.784,20,
06/02/2006,4.918,4.918,4.786,4.918,280,
07/02/2006,5.049,5.049,4.918,4.918,30,
08/02/2006,5.085,5.085,5.047,5.047,140,
09/02/2006,5.085,5.085,5.085,5.085,10,
10/02/2006,5.085,5.085,5.085,5.085,0,
13/02/2006,5.085,5.085,5.085,5.085,100,
14/02/2006,5.049,5.088,5.049,5.049,600,
15/02/2006,5.2,5.2,5.2,5.2,3140,
16/02/2006,5.372,5.372,5.372,5.372,3090,
17/02/2006,5.295,5.372,5.295,5.295,520,
20/02/2006,5.295,5.295,5.295,5.295,780,
21/02/2006,5.295,5.295,5.295,5.295,410,
22/02/2006,5.071,5.295,5.071,5.295,1160,
23/02/2006,5.105,5.105,5.105,5.105,1450,
24/02/2006,5.013,5.105,5.013,5.013,2330,DIVIDEND
27/02/2006,5.013,5.013,5.013,5.013,300,
28/02/2006,5.013,5.013,5.013,5.013,0,
01/03/2006,4.918,5.013,4.918,5.013,1760,
02/03/2006,5.013,5.013,4.915,4.915,1850,
03/03/2006,5.105,5.105,5.013,5.013,1630,
06/03/2006,5.295,5.295,5.105,5.105,130,
07/03/2006,5.295,5.295,5.295,5.295,0,
08/03/2006,5.295,5.295,5.295,5.295,900,
09/03/2006,5.295,5.295,5.295,5.295,0,
10/03/2006,5.105,5.295,5.105,5.105,250,
13/03/2006,5.105,5.143,5.105,5.105,1710,
14/03/2006,5.105,5.105,5.105,5.105,1510,
15/03/2006,5.353,5.353,5.276,5.276,3630,
16/03/2006,5.616,5.616,5.616,5.616,3550,
17/03/2006,5.881,5.881,5.881,5.881,2680,
20/03/2006,6.052,6.052,6.052,6.052,5400,
21/03/2006,6.052,6.165,6.052,6.052,3900,
22/03/2006,6.052,6.337,6.052,6.052,400,
23/03/2006,6.052,6.052,6.052,6.052,3680,
24/03/2006,5.975,5.975,5.975,5.975,4000,
27/03/2006,5.863,5.978,5.863,5.863,4970,
28/03/2006,5.863,5.863,5.863,5.863,3630,
29/03/2006,5.863,6.052,5.863,5.863,8490,
30/03/2006,6.052,6.052,6.052,6.052,8240,
31/03/2006,6.091,6.091,6.091,6.091,5450,
03/04/2006,6.391,6.391,6.391,6.391,7650,
04/04/2006,6.694,6.694,6.694,6.694,3610,
05/04/2006,6.62,6.694,6.62,6.694,1280,
06/04/2006,6.522,6.62,6.522,6.62,5360,
07/04/2006,6.431,6.522,6.431,6.522,3470,
10/04/2006,6.431,6.431,6.26,6.431,2710,
11/04/2006,6.242,6.242,6.242,6.242,6580,
12/04/2006,6.242,6.242,6.204,6.242,5120,
13/04/2006,6.542,6.542,6.542,6.542,6000,
14/04/2006,6.864,6.864,6.864,6.864,5330,
17/04/2006,7.206,7.206,7.206,7.206,6320,
18/04/2006,7.565,7.565,7.565,7.565,3670,
19/04/2006,7.941,7.941,7.941,7.941,6640,
20/04/2006,8.341,8.341,8.341,8.341,2800,
21/04/2006,8.757,8.757,8.757,8.757,4470,
24/04/2006,9.189,9.189,9.189,9.189,1800,
25/04/2006,9.644,9.644,9.194,9.194,5070,
26/04/2006,10.12,10.12,10.12,10.12,16760,
27/04/2006,9.644,10.12,9.644,10.12,2700,
28/04/2006,9.174,9.644,9.174,9.644,1060,
03/05/2006,9.55,9.55,8.719,9.174,13580,
04/05/2006,9.457,9.835,9.457,9.55,10000,
05/05/2006,8.983,9.079,8.983,9.079,4500,
08/05/2006,8.55,8.55,8.55,8.55,1100,
09/05/2006,8.13,8.13,8.13,8.13,240,
10/05/2006,7.735,7.735,7.735,7.735,110,
11/05/2006,7.359,7.376,7.359,7.376,6620,
12/05/2006,7.716,7.716,7.716,7.716,140,
15/05/2006,8.093,8.093,8.093,8.093,260,
16/05/2006,7.716,8.093,7.716,8.093,7200,
17/05/2006,8.077,8.077,7.565,7.716,3160,
18/05/2006,7.753,8.077,7.753,8.077,730,
19/05/2006,7.433,7.433,7.413,7.433,7270,
22/05/2006,7.091,7.091,7.091,7.091,4600,
23/05/2006,7.091,7.091,7.091,7.091,2060,
24/05/2006,7.433,7.433,6.753,7.094,5780,
25/05/2006,7.471,7.773,7.471,7.471,1650,
26/05/2006,7.375,7.375,7.11,7.375,1110,
29/05/2006,7.375,7.375,7.375,7.375,1020,
30/05/2006,7.018,7.018,7.018,7.018,1050,
31/05/2006,6.677,6.677,6.677,6.677,1600,
01/06/2006,6.81,6.81,6.679,6.679,510,
02/06/2006,6.998,6.998,6.489,6.807,1600,
05/06/2006,7.319,7.319,7.281,7.281,4200,
06/06/2006,7.565,7.565,7.565,7.565,4900,
07/06/2006,7.187,7.281,7.187,7.281,1310,
08/06/2006,7.359,7.359,7.187,7.187,1210,
09/06/2006,7.471,7.471,7.471,7.471,3800,
12/06/2006,7.375,7.375,7.375,7.375,3590,
13/06/2006,7.433,7.433,7.376,7.376,880,
14/06/2006,7.148,7.433,7.148,7.148,2620,
15/06/2006,7.375,7.375,7.091,7.148,180,
16/06/2006,7.018,7.525,7.018,7.375,3340,
19/06/2006,7.037,7.359,7.018,7.018,490,
20/06/2006,7.018,7.037,7.018,7.018,2000,
21/06/2006,6.81,7.018,6.81,6.81,810,
22/06/2006,7.148,7.148,6.807,6.807,1800,
23/06/2006,7.091,7.091,7.018,7.091,1310,
26/06/2006,6.998,7.167,6.998,7.091,2190,
27/06/2006,7.091,7.091,6.903,6.998,3700,
28/06/2006,7.091,7.091,7.091,7.091,2000,
29/06/2006,7.132,7.132,7.132,7.132,1000,
30/06/2006,7.072,7.128,7.072,7.072,1930,
03/07/2006,7.072,7.091,7.072,7.072,1060,
04/07/2006,6.998,7.072,6.998,6.998,480,
05/07/2006,6.998,6.998,6.998,6.998,1270,
06/07/2006,7.091,7.091,6.998,6.998,2000,
07/07/2006,6.998,7.091,6.998,6.998,100,
10/07/2006,6.978,6.978,6.978,6.978,100,
11/07/2006,6.998,6.998,6.978,6.978,800,
12/07/2006,6.901,6.998,6.901,6.901,190,
13/07/2006,7.187,7.187,6.903,6.903,390,
14/07/2006,7.187,7.187,7.187,7.187,0,
17/07/2006,7.187,7.187,7.187,7.187,0,
18/07/2006,7.187,7.187,7.187,7.187,0,
19/07/2006,6.827,7.186,6.827,6.827,950,
20/07/2006,6.62,6.827,6.522,6.62,1360,
21/07/2006,6.581,6.62,6.581,6.62,1490,
24/07/2006,6.263,6.263,6.263,6.263,1100,
25/07/2006,5.956,5.956,5.956,5.956,1810,
26/07/2006,5.671,5.671,5.671,5.671,1950,
27/07/2006,5.671,5.671,5.671,5.671,1930,
28/07/2006,5.956,5.956,5.956,5.956,1700,
31/07/2006,5.863,5.96,5.863,5.863,2100,
01/08/2006,5.768,5.768,5.671,5.768,1020,
02/08/2006,5.768,5.768,5.487,5.768,1270,
03/08/2006,6.031,6.031,5.765,5.765,2000,
04/08/2006,6.145,6.145,6.145,6.145,2620,
07/08/2006,6.145,6.145,6.145,6.145,580,
08/08/2006,6.145,6.145,6.145,6.145,700,
09/08/2006,6.242,6.242,6.145,6.145,20,
10/08/2006,6.337,6.431,6.337,6.337,2800,
11/08/2006,6.431,6.431,6.431,6.431,1250,DIVIDEND
14/08/2006,6.62,6.62,6.431,6.431,1910,
15/08/2006,6.713,6.81,6.713,6.713,3100,
16/08/2006,6.998,6.998,6.713,6.713,2570,
17/08/2006,7.281,7.281,7.281,7.281,2450,
18/08/2006,7.281,7.281,7.281,7.281,1300,
21/08/2006,7.281,7.281,7.281,7.281,1780,
22/08/2006,7.091,7.281,7.091,7.281,2100,
23/08/2006,7.281,7.281,7.094,7.094,580,
24/08/2006,7.187,7.376,7.187,7.281,830,
25/08/2006,7.187,7.187,7.187,7.187,400,
28/08/2006,7.281,7.281,7.187,7.187,2070,
29/08/2006,7.375,7.375,7.281,7.281,1900,
30/08/2006,7.565,7.565,7.375,7.375,3040,
31/08/2006,7.565,7.658,7.565,7.565,1500,
01/09/2006,7.565,7.735,7.565,7.565,4220,
05/09/2006,7.66,7.66,7.565,7.565,15190,
06/09/2006,7.66,7.66,7.66,7.66,20430,
07/09/2006,7.565,7.658,7.565,7.658,4500,
08/09/2006,7.471,7.565,7.471,7.471,3050,
11/09/2006,7.471,7.471,7.471,7.471,3770,
12/09/2006,7.375,7.375,7.375,7.375,1250,
13/09/2006,7.375,7.375,7.037,7.375,2320,
14/09/2006,7.281,7.376,7.281,7.376,3120,
