transDate,close,high,low,open,volume,event
14/01/2011,8.499,8.527,7.107,8.527,954580,
17/01/2011,8.897,8.897,8.129,8.129,1282900,
18/01/2011,9.323,9.323,8.527,8.897,1244920,
19/01/2011,9.778,9.778,8.954,8.954,1070570,
20/01/2011,10.177,10.262,9.323,9.323,1150840,
21/01/2011,9.692,10.177,9.692,9.749,907920,
24/01/2011,9.209,9.295,9.209,9.238,155800,
25/01/2011,8.755,8.812,8.755,8.755,633610,
26/01/2011,8.414,8.755,8.357,8.755,403060,
27/01/2011,8.527,8.527,8.129,8.414,525180,
28/01/2011,8.329,8.556,8.243,8.272,313890,
08/02/2011,8.357,8.527,8.329,8.329,130100,
09/02/2011,8.129,8.385,8.129,8.243,250030,
10/02/2011,8.157,8.157,8.016,8.129,235720,
11/02/2011,7.817,8.157,7.817,8.129,309650,
14/02/2011,7.789,7.902,7.789,7.789,151730,
15/02/2011,7.703,7.817,7.589,7.674,146650,
16/02/2011,7.674,7.703,7.617,7.617,74800,
17/02/2011,7.504,7.589,7.333,7.589,46720,
18/02/2011,7.39,7.56,7.39,7.56,207480,
21/02/2011,7.021,7.134,7.021,7.134,345160,
22/02/2011,7.021,7.362,6.737,6.737,166260,
23/02/2011,7.107,7.362,7.107,7.305,75210,
24/02/2011,7.248,7.248,6.879,6.964,82130,
25/02/2011,7.333,7.333,7.049,7.049,73270,
28/02/2011,7.107,7.475,7.049,7.475,142270,
01/03/2011,7.107,7.107,6.964,7.021,31410,
02/03/2011,6.794,7.107,6.765,7.107,151410,
03/03/2011,6.652,6.794,6.509,6.509,186200,
04/03/2011,6.509,6.679,6.509,6.679,52020,
07/03/2011,6.822,6.822,6.282,6.282,34800,
08/03/2011,6.652,6.964,6.652,6.822,39460,
09/03/2011,6.481,6.652,6.481,6.652,59020,
10/03/2011,6.537,6.679,6.537,6.537,142370,
11/03/2011,6.85,6.85,6.822,6.822,315760,
14/03/2011,6.879,7.021,6.822,7.021,399140,
