transDate,close,high,low,open,volume,event
05/03/2015,7.111,7.111,7.111,7.111,0,
06/03/2015,7.111,7.111,7.111,7.111,0,
09/03/2015,7.111,7.111,7.111,7.111,0,
10/03/2015,7.111,7.111,7.111,7.111,0,
11/03/2015,7.111,7.111,7.111,7.111,0,
12/03/2015,7.111,7.111,7.111,7.111,0,
13/03/2015,7.111,7.111,7.111,7.111,0,
16/03/2015,7.111,7.111,7.111,7.111,0,
17/03/2015,7.111,7.111,7.111,7.111,0,
18/03/2015,7.111,7.111,7.111,7.111,0,
19/03/2015,7.111,7.111,7.111,7.111,0,
20/03/2015,7.111,7.111,7.111,7.111,0,
23/03/2015,7.111,7.111,7.111,7.111,0,
24/03/2015,7.111,7.111,7.111,7.111,0,
25/03/2015,7.111,7.111,7.111,7.111,0,
26/03/2015,7.111,7.111,7.111,7.111,0,
27/03/2015,7.111,7.111,7.111,7.111,0,
30/03/2015,7.111,7.111,7.111,7.111,0,
31/03/2015,7.111,7.111,7.111,7.111,0,
01/04/2015,7.111,7.111,7.111,7.111,0,
02/04/2015,7.111,7.111,7.111,7.111,0,
03/04/2015,7.111,7.111,7.111,7.111,0,
06/04/2015,7.111,7.111,7.111,7.111,0,
07/04/2015,7.111,7.111,7.111,7.111,0,
08/04/2015,7.111,7.111,7.111,7.111,0,
09/04/2015,7.111,7.111,7.111,7.111,0,
10/04/2015,7.111,7.111,7.111,7.111,0,
13/04/2015,7.111,7.111,7.111,7.111,0,
14/04/2015,7.111,7.111,7.111,7.111,0,
15/04/2015,7.111,7.111,7.111,7.111,0,
16/04/2015,7.111,7.111,7.111,7.111,0,
17/04/2015,7.111,7.111,7.111,7.111,0,
20/04/2015,7.111,7.111,7.111,7.111,0,
21/04/2015,7.111,7.111,7.111,7.111,0,
22/04/2015,7.111,7.111,7.111,7.111,0,
23/04/2015,7.111,7.111,7.111,7.111,0,
24/04/2015,7.111,7.111,7.111,7.111,0,
27/04/2015,7.111,7.111,7.111,7.111,0,
04/05/2015,7.111,7.111,7.111,7.111,0,
05/05/2015,7.111,7.111,7.111,7.111,0,
06/05/2015,7.111,7.111,7.111,7.111,0,
07/05/2015,7.111,7.111,7.111,7.111,0,
08/05/2015,7.111,7.111,7.111,7.111,0,
11/05/2015,7.111,7.111,7.111,7.111,0,
12/05/2015,7.111,7.111,7.111,7.111,0,
13/05/2015,7.111,7.111,7.111,7.111,0,
14/05/2015,7.111,7.111,7.111,7.111,0,
15/05/2015,7.111,7.111,7.111,7.111,0,
18/05/2015,7.111,7.111,7.111,7.111,0,
19/05/2015,7.111,7.111,7.111,7.111,0,DIVIDEND
20/05/2015,7.111,7.111,7.111,7.111,0,
21/05/2015,4.843,5.153,4.843,5.153,10000,
22/05/2015,4.895,4.895,4.895,4.895,0,
25/05/2015,4.895,4.895,4.895,4.895,0,
26/05/2015,4.895,4.895,4.895,4.895,0,
27/05/2015,4.895,4.895,4.895,4.895,0,
28/05/2015,4.895,4.895,4.895,4.895,0,
29/05/2015,4.895,4.895,4.895,4.895,0,
01/06/2015,4.895,4.895,4.895,4.895,0,
02/06/2015,4.895,4.895,4.895,4.895,0,
03/06/2015,4.895,4.895,4.895,4.895,0,
04/06/2015,4.895,4.895,4.895,4.895,0,
05/06/2015,4.895,4.895,4.895,4.895,0,
08/06/2015,4.895,4.895,4.895,4.895,0,
09/06/2015,4.895,4.895,4.895,4.895,0,
10/06/2015,4.895,4.895,4.895,4.895,0,
11/06/2015,4.895,4.895,4.895,4.895,0,
12/06/2015,4.895,4.895,4.895,4.895,0,
15/06/2015,4.895,4.895,4.895,4.895,0,
16/06/2015,4.895,4.895,4.895,4.895,0,
17/06/2015,4.895,4.895,4.895,4.895,0,
18/06/2015,4.895,4.895,4.895,4.895,0,
19/06/2015,4.638,4.638,4.638,4.638,10400,
22/06/2015,4.638,4.638,4.638,4.638,0,
23/06/2015,4.638,4.638,4.638,4.638,0,
24/06/2015,4.638,4.638,4.638,4.638,0,
25/06/2015,4.638,4.638,4.638,4.638,0,
26/06/2015,4.638,4.638,4.638,4.638,0,
29/06/2015,4.638,4.638,4.638,4.638,0,
30/06/2015,4.638,4.638,4.638,4.638,0,
01/07/2015,4.638,4.638,4.638,4.638,0,
02/07/2015,4.638,4.638,4.638,4.638,0,
03/07/2015,5.307,5.307,5.307,5.307,1000,
06/07/2015,6.079,6.079,4.638,4.638,1700,
07/07/2015,4.689,4.689,4.689,4.689,1200,
08/07/2015,5.359,5.359,5.359,5.359,100,
09/07/2015,6.133,6.133,6.133,6.133,100,
10/07/2015,7.007,7.007,7.007,7.007,5500,
13/07/2015,7.729,7.729,7.729,7.729,1500,
14/07/2015,8.811,8.811,8.76,8.76,2100,
15/07/2015,7.729,7.729,7.729,7.729,1400,
16/07/2015,7.729,8.862,7.729,8.862,2100,
17/07/2015,8.502,8.502,8.502,8.502,100,
20/07/2015,7.265,8.76,7.265,8.76,5700,
21/07/2015,7.316,7.316,7.316,7.316,0,
22/07/2015,7.316,7.316,7.316,7.316,0,
23/07/2015,6.441,6.441,6.441,6.441,300,
24/07/2015,6.441,6.441,6.441,6.441,0,
27/07/2015,6.441,6.441,6.441,6.441,0,
28/07/2015,6.441,6.441,6.441,6.441,0,
29/07/2015,7.369,7.369,7.369,7.369,2000,
30/07/2015,7.369,7.369,7.369,7.369,0,
31/07/2015,7.369,7.369,7.369,7.369,0,
03/08/2015,7.214,7.214,6.697,6.697,1600,
04/08/2015,7.162,7.162,7.162,7.162,0,
05/08/2015,7.162,7.162,7.162,7.162,0,
06/08/2015,7.162,7.162,7.162,7.162,0,
07/08/2015,7.162,7.162,7.162,7.162,0,
10/08/2015,7.677,7.677,7.677,7.677,100,
11/08/2015,7.677,7.677,7.677,7.677,0,
12/08/2015,7.677,7.677,7.677,7.677,0,
13/08/2015,7.677,7.677,7.677,7.677,0,
14/08/2015,7.472,7.472,7.472,7.472,1000,
17/08/2015,7.472,7.472,7.472,7.472,0,
18/08/2015,7.472,7.472,7.472,7.472,0,
19/08/2015,7.472,7.472,7.472,7.472,0,
20/08/2015,7.472,7.472,7.472,7.472,0,
21/08/2015,7.472,7.472,7.472,7.472,0,
24/08/2015,7.472,7.472,7.472,7.472,0,
25/08/2015,7.472,7.472,7.472,7.472,0,
26/08/2015,7.472,7.472,7.472,7.472,0,
27/08/2015,7.472,7.472,7.472,7.472,0,
28/08/2015,7.729,7.729,7.729,7.729,1900,
31/08/2015,7.729,7.729,7.729,7.729,0,
01/09/2015,7.729,7.729,7.729,7.729,0,
03/09/2015,7.729,7.729,7.729,7.729,0,
04/09/2015,7.729,7.729,7.729,7.729,0,
07/09/2015,7.729,7.729,7.729,7.729,0,
08/09/2015,7.934,7.934,7.934,7.934,100,
09/09/2015,7.934,7.934,7.934,7.934,0,
10/09/2015,7.934,7.934,7.934,7.934,0,
11/09/2015,7.934,7.934,7.934,7.934,0,
14/09/2015,7.934,7.934,7.934,7.934,0,
15/09/2015,7.934,7.934,7.934,7.934,0,
16/09/2015,7.934,7.934,7.934,7.934,0,
17/09/2015,7.934,7.934,7.934,7.934,0,
18/09/2015,7.934,7.934,7.934,7.934,0,
21/09/2015,7.934,7.934,7.934,7.934,0,
22/09/2015,7.729,7.729,7.729,7.729,2000,
23/09/2015,7.214,7.729,7.214,7.729,7400,
24/09/2015,7.419,7.419,7.419,7.419,0,
25/09/2015,7.419,7.419,7.419,7.419,0,
28/09/2015,7.419,7.419,7.419,7.419,0,
29/09/2015,7.419,7.419,7.419,7.419,0,
30/09/2015,7.419,7.419,7.419,7.419,0,
01/10/2015,7.419,7.419,7.419,7.419,0,
02/10/2015,7.419,7.419,7.419,7.419,0,
05/10/2015,7.419,7.419,7.419,7.419,0,
