transDate,close,high,low,open,volume,event
21/12/2007,17.133,17.133,15.673,16.752,253280,
24/12/2007,17.959,17.959,17.894,17.959,46600,
25/12/2007,18.842,18.842,18.398,18.842,108430,
26/12/2007,18.779,18.908,18.275,18.339,118370,
27/12/2007,18.779,18.972,18.147,18.972,109040,
28/12/2007,18.656,18.72,18.528,18.72,50930,
02/01/2008,18.275,18.528,18.275,18.528,27400,
03/01/2008,17.635,17.959,17.635,17.959,92650,
04/01/2008,17.635,17.894,17.635,17.635,42980,
07/01/2008,17.133,17.635,17.004,17.635,58040,
08/01/2008,17.256,17.635,17.256,17.578,47960,
09/01/2008,16.939,17.256,16.876,17.256,44220,
10/01/2008,16.436,16.687,16.436,16.622,109530,
11/01/2008,16.499,16.752,16.499,16.622,49130,
14/01/2008,16.054,16.499,16.054,16.499,38030,
15/01/2008,15.48,16.054,15.48,16.054,120580,
16/01/2008,16.243,16.243,16.054,16.243,51700,
17/01/2008,16.372,16.558,16.177,16.558,81270,
18/01/2008,17.133,17.133,16.499,16.499,77540,
21/01/2008,17.321,17.512,16.876,16.876,114500,
22/01/2008,16.939,17.133,16.939,17.004,67410,
23/01/2008,16.436,16.939,16.436,16.939,90840,
24/01/2008,16.622,17.004,16.499,16.499,79670,
25/01/2008,17.321,17.321,16.816,16.816,94690,
28/01/2008,18.082,18.082,17.321,17.578,107440,
29/01/2008,18.972,18.972,17.894,18.082,177500,
30/01/2008,19.858,19.858,19.735,19.858,140470,
31/01/2008,19.54,19.606,18.908,19.036,174260,
01/02/2008,19.036,19.8,19.036,19.8,91890,
12/02/2008,18.21,19.036,18.21,19.036,47250,
13/02/2008,17.701,18.21,17.512,18.21,40240,
14/02/2008,17.83,18.398,17.765,17.765,48680,
15/02/2008,17.83,18.082,17.578,18.082,66850,
18/02/2008,17.45,17.45,17.133,17.384,60140,
19/02/2008,17.321,17.512,17.004,17.384,86820,
20/02/2008,16.499,17.256,16.499,16.499,65410,
21/02/2008,15.673,15.673,15.673,15.673,17910,
22/02/2008,14.913,14.913,14.913,14.913,134000,
25/02/2008,15.48,15.61,15.228,15.228,100260,
26/02/2008,14.719,15.035,14.719,15.035,43010,
27/02/2008,14.02,14.783,14.02,14.02,107250,
28/02/2008,13.897,14.274,13.641,14.02,77690,
29/02/2008,13.259,13.323,13.259,13.259,53740,
03/03/2008,12.627,12.627,12.627,12.627,13250,
04/03/2008,12.053,12.053,12.053,12.053,6130,
05/03/2008,11.485,11.485,11.485,11.485,95990,
06/03/2008,12.053,12.053,11.737,12.053,320860,
07/03/2008,12.627,12.627,12.433,12.627,95760,
10/03/2008,12.433,13.195,12.116,13.195,96650,
11/03/2008,11.864,11.864,11.864,11.864,84570,
12/03/2008,11.296,11.929,11.296,11.296,162870,
13/03/2008,10.786,11.356,10.786,11.296,160190,
14/03/2008,10.342,10.535,10.342,10.342,62290,
17/03/2008,9.832,9.96,9.832,9.832,113260,
18/03/2008,9.392,9.392,9.392,9.392,71460,
19/03/2008,8.946,9.328,8.946,8.946,136830,
20/03/2008,8.502,8.567,8.502,8.502,121580,
21/03/2008,8.121,8.121,8.121,8.121,1950,
24/03/2008,7.74,7.804,7.74,7.804,450,
25/03/2008,7.36,7.36,7.36,7.36,420,
26/03/2008,7.043,7.043,7.043,7.043,6570,
27/03/2008,7.107,7.107,6.98,6.98,122070,
28/03/2008,7.171,7.171,7.171,7.171,26580,
31/03/2008,7.23,7.23,7.23,7.23,5020,
01/04/2008,7.294,7.294,7.294,7.294,3500,
02/04/2008,7.36,7.36,7.36,7.36,2450,
03/04/2008,7.424,7.424,7.424,7.424,600,
04/04/2008,7.489,7.489,7.489,7.489,620,
07/04/2008,7.611,7.611,7.611,7.611,1850,
08/04/2008,7.489,7.74,7.489,7.74,145730,
09/04/2008,7.36,7.36,7.36,7.36,27280,
10/04/2008,7.23,7.23,7.23,7.23,8710,
