transDate,close,high,low,open,volume,event
24/01/2008,35.835,43.583,30.024,43.583,840900,
25/01/2008,38.643,38.643,35.835,37.384,288000,
28/01/2008,38.74,38.74,37.772,38.256,174900,
29/01/2008,38.159,39.031,37.287,38.643,199300,
30/01/2008,39.612,39.709,37.287,38.546,196300,
31/01/2008,38.45,38.74,37.287,38.159,28200,
01/02/2008,40.29,40.29,37.772,37.772,215500,
12/02/2008,38.256,40.677,37.772,40.677,8700,
13/02/2008,38.062,39.224,36.803,39.224,35000,
14/02/2008,37.384,38.256,37.287,37.287,19700,
15/02/2008,36.9,37.77,36.9,37.77,5500,
18/02/2008,35.6,40.73,33.86,40.73,33600,
19/02/2008,37.8,38.09,34.89,36.73,95400,
20/02/2008,36.6,37.96,36.6,37.76,62600,
21/02/2008,34.3,36.72,33.82,35.75,83800,
22/02/2008,36.8,37.28,32.05,32.05,74800,
25/02/2008,37.8,38.67,32.37,32.95,100900,
26/02/2008,35.8,38.7,33.96,33.96,98100,
27/02/2008,34.8,37.89,34.8,37.89,44800,
28/02/2008,37.2,40.2,35.84,40.2,59100,
29/02/2008,35.3,41.01,35.3,41.01,44400,
03/03/2008,36.6,41.05,33.89,40.18,209400,
04/03/2008,36.7,36.7,34.47,35.34,66200,
05/03/2008,36.3,36.69,34.94,35.82,87500,
06/03/2008,39.9,39.9,36.7,36.7,400000,
07/03/2008,43.5,43.5,37.95,37.95,350000,
10/03/2008,43.3,47.58,42.42,44.95,120700,
11/03/2008,39.5,48.23,39.5,48.23,136600,
12/03/2008,38.7,40.15,37.05,37.44,180600,
13/03/2008,38.2,39.75,37.33,39.27,106600,
14/03/2008,37.6,42.25,37.12,42.15,75500,
17/03/2008,36.0,40.65,35.81,39.19,84900,
18/03/2008,33.0,39.08,33.0,34.74,127800,
19/03/2008,34.6,36.24,31.89,35.18,121900,
20/03/2008,34.6,36.63,32.96,36.63,112000,
21/03/2008,33.7,35.34,33.31,34.57,121800,
24/03/2008,31.0,33.31,31.0,33.21,86900,
25/03/2008,28.2,33.57,28.2,28.3,130100,
26/03/2008,33.3,33.3,29.92,29.92,373600,
27/03/2008,33.5,33.5,33.5,33.5,8800,
28/03/2008,34.1,34.1,34.1,34.1,5300,
31/03/2008,34.8,34.8,34.8,34.8,12000,
01/04/2008,35.5,35.5,35.5,35.5,100,
02/04/2008,36.2,36.2,36.2,36.2,2000,
03/04/2008,36.9,36.9,36.9,36.9,36100,
04/04/2008,37.6,37.6,37.6,37.6,118800,DIVIDEND
