transDate,close,high,low,open,volume,event
30/03/2010,28.8,28.8,28.8,28.8,14000,
31/03/2010,30.2,30.2,30.2,30.2,22000,
01/04/2010,31.7,31.7,31.7,31.7,95000,
02/04/2010,33.2,33.2,33.2,33.2,28700,
05/04/2010,34.8,34.8,34.8,34.8,59250,
06/04/2010,36.5,36.5,36.5,36.5,127400,
07/04/2010,36.0,38.2,34.7,38.2,134360,
08/04/2010,35.0,36.0,34.9,34.9,105340,
09/04/2010,36.7,36.7,35.0,35.0,161560,
12/04/2010,36.7,36.7,36.7,36.7,41720,
13/04/2010,35.2,36.7,35.2,35.2,20060,
14/04/2010,34.3,35.0,33.6,34.0,33690,
15/04/2010,33.3,34.6,33.1,34.2,32790,
16/04/2010,34.0,34.5,33.3,34.5,41570,
19/04/2010,33.0,33.5,32.8,33.1,16730,
20/04/2010,31.4,32.4,31.4,31.7,74630,
21/04/2010,32.9,32.9,32.9,32.9,73690,
22/04/2010,33.1,34.1,33.1,34.0,72670,
26/04/2010,33.0,33.0,31.8,31.8,15270,
27/04/2010,31.8,32.8,31.8,31.9,49590,
28/04/2010,32.4,32.6,31.7,32.6,115130,
29/04/2010,32.4,32.8,32.3,32.4,72690,
04/05/2010,34.0,34.0,32.9,32.9,213590,
05/05/2010,35.7,35.7,35.7,35.7,216460,
06/05/2010,37.4,37.4,37.4,37.4,97230,
07/05/2010,39.2,39.2,38.5,38.5,680090,
10/05/2010,37.3,39.2,37.3,39.2,200190,
11/05/2010,36.1,38.9,36.0,38.9,212750,
12/05/2010,37.5,37.5,34.3,36.1,109970,
13/05/2010,35.7,38.0,35.7,38.0,152520,
14/05/2010,34.3,36.5,34.1,34.7,40940,
17/05/2010,32.6,35.7,32.6,35.7,62420,
18/05/2010,32.6,33.4,31.3,32.6,88230,
19/05/2010,31.0,31.5,31.0,31.2,152260,
20/05/2010,31.5,31.5,29.5,29.5,105760,
21/05/2010,30.0,30.0,30.0,30.0,107960,
24/05/2010,31.0,31.0,29.0,29.0,44800,
25/05/2010,29.6,31.0,29.6,31.0,14050,
26/05/2010,30.0,30.7,28.7,28.7,111180,
27/05/2010,31.0,31.5,30.0,30.3,76700,
28/05/2010,32.5,32.5,32.3,32.5,73000,
31/05/2010,32.9,33.9,32.4,32.6,115900,
01/06/2010,33.0,33.1,32.1,32.2,84480,
02/06/2010,33.0,33.0,31.7,32.0,101440,
03/06/2010,34.6,34.6,33.3,33.9,112350,
04/06/2010,35.4,36.1,34.5,34.6,204060,
07/06/2010,35.0,35.4,33.7,33.7,132860,
08/06/2010,34.6,34.9,33.5,33.5,135550,
09/06/2010,33.1,35.0,33.1,34.9,120950,
10/06/2010,34.1,34.2,33.5,33.8,23280,
11/06/2010,34.1,34.9,34.0,34.9,37760,
14/06/2010,33.9,34.1,33.3,34.1,52570,
15/06/2010,32.4,33.5,32.4,33.4,83280,
16/06/2010,34.0,34.0,32.0,33.6,166650,
17/06/2010,35.7,35.7,34.0,35.7,274700,
18/06/2010,37.4,37.4,37.4,37.4,675040,
21/06/2010,39.2,39.2,37.5,37.9,434790,
22/06/2010,40.2,40.8,39.2,39.5,261990,
23/06/2010,42.0,42.2,38.3,38.3,285400,
24/06/2010,40.5,41.5,40.0,40.3,174740,
25/06/2010,39.4,41.5,39.0,39.1,259900,
28/06/2010,37.5,39.9,37.5,39.5,195740,
29/06/2010,38.4,39.3,36.8,36.8,202120,
30/06/2010,39.0,39.0,36.5,38.4,81350,
01/07/2010,37.9,39.1,37.1,39.0,184570,
02/07/2010,38.0,38.8,36.5,38.8,200180,
05/07/2010,39.0,39.6,37.9,38.9,237390,
06/07/2010,38.0,38.8,37.1,37.5,125050,
07/07/2010,37.5,38.5,36.1,38.5,153030,
08/07/2010,36.8,37.7,35.7,36.1,119220,
09/07/2010,35.3,37.0,35.3,37.0,79590,
12/07/2010,36.3,36.5,34.1,35.4,16530,
13/07/2010,36.2,36.8,36.0,36.5,68370,
14/07/2010,38.0,38.0,36.2,36.2,353380,
15/07/2010,37.6,38.3,37.5,38.0,94080,
16/07/2010,36.1,38.3,36.0,37.7,134250,
19/07/2010,36.1,37.0,35.5,35.5,43440,
20/07/2010,36.4,37.3,36.1,37.3,53320,
21/07/2010,36.5,37.0,35.0,36.4,127550,
22/07/2010,34.8,36.5,34.8,35.5,132270,
23/07/2010,34.9,35.5,33.3,34.8,202210,
26/07/2010,34.9,35.8,34.9,35.8,70640,
27/07/2010,36.3,36.6,34.9,34.9,184740,
28/07/2010,35.9,36.3,35.0,35.0,103470,
29/07/2010,36.2,36.9,35.4,35.4,151760,
30/07/2010,36.0,36.2,35.5,35.5,14530,
02/08/2010,34.7,36.0,34.7,34.9,47900,
03/08/2010,34.5,35.6,34.4,35.6,39510,
04/08/2010,33.1,34.3,32.9,33.9,48220,
05/08/2010,33.9,34.0,33.1,34.0,32980,
06/08/2010,33.5,34.9,33.1,33.1,151770,
09/08/2010,32.2,33.5,32.2,33.1,33980,
10/08/2010,30.6,33.1,30.6,33.1,78560,
11/08/2010,32.1,32.1,30.3,30.6,120400,
12/08/2010,30.5,31.9,30.5,31.5,247670,
13/08/2010,30.7,30.7,29.7,30.5,94060,
16/08/2010,32.2,32.2,31.1,31.1,245940,
17/08/2010,32.9,33.4,31.2,32.2,190890,
18/08/2010,32.0,33.2,31.8,32.5,143930,
19/08/2010,32.6,32.9,32.0,32.5,163910,
20/08/2010,31.9,32.6,31.0,31.7,234880,
23/08/2010,30.9,31.4,30.8,30.8,74710,
24/08/2010,29.4,30.9,29.4,30.9,111340,
25/08/2010,28.0,29.2,28.0,28.7,159790,
26/08/2010,28.5,28.8,27.0,27.5,132470,
27/08/2010,28.9,28.9,27.1,27.5,86090,
30/08/2010,30.3,30.3,29.4,29.4,24780,
31/08/2010,30.6,30.6,30.0,30.0,18390,
01/09/2010,30.0,30.5,29.4,29.4,19550,
06/09/2010,31.5,31.5,30.0,30.0,166290,
07/09/2010,31.5,31.5,30.0,30.6,35520,
08/09/2010,32.8,32.8,30.3,30.4,252080,
