transDate,close,high,low,open,volume,event
30/10/2008,15.272,15.272,15.272,15.272,600,
31/10/2008,14.536,14.536,14.536,14.536,250,
03/11/2008,13.928,13.928,13.928,13.928,360,
04/11/2008,13.316,13.316,13.316,13.316,900,
05/11/2008,12.704,12.704,12.704,12.704,2000,
06/11/2008,12.069,12.069,12.069,12.069,110,
07/11/2008,11.486,11.486,11.486,11.486,160,
10/11/2008,10.92,10.92,10.92,10.92,210,
11/11/2008,10.385,10.385,10.385,10.385,1360,
12/11/2008,9.87,9.87,9.87,9.87,40,
13/11/2008,9.382,9.382,9.382,9.382,60,
14/11/2008,8.915,9.529,8.915,8.915,81310,
17/11/2008,8.478,8.501,8.478,8.478,25150,
18/11/2008,8.061,8.061,8.061,8.061,2230,
19/11/2008,7.673,7.673,7.673,7.673,17200,
20/11/2008,7.306,7.306,7.306,7.306,5550,
21/11/2008,6.965,6.986,6.965,6.986,2430,
24/11/2008,6.621,6.621,6.621,6.621,2300,
25/11/2008,6.303,6.303,6.303,6.303,1910,
26/11/2008,6.327,6.599,6.012,6.012,142180,
27/11/2008,6.303,6.55,6.057,6.55,28420,
28/11/2008,6.351,6.55,6.351,6.55,35720,
01/12/2008,6.107,6.351,6.037,6.351,46090,
02/12/2008,5.816,5.865,5.816,5.84,41810,
03/12/2008,5.547,5.816,5.547,5.816,65560,
04/12/2008,5.276,5.471,5.152,5.152,32360,DIVIDEND
05/12/2008,5.059,5.129,5.036,5.129,67760,
08/12/2008,4.888,5.059,4.813,4.888,13590,
09/12/2008,5.129,5.129,5.084,5.084,4810,
10/12/2008,5.374,5.374,5.374,5.374,3810,
11/12/2008,5.643,5.643,5.496,5.643,154440,
12/12/2008,5.914,5.914,5.914,5.914,2390,
15/12/2008,6.207,6.207,6.207,6.207,19000,
16/12/2008,6.499,6.499,6.303,6.499,233980,
17/12/2008,6.499,6.719,6.255,6.255,85360,
18/12/2008,6.376,6.572,6.351,6.499,14520,
19/12/2008,6.475,6.475,6.303,6.327,35930,
22/12/2008,6.695,6.744,6.475,6.744,74180,
23/12/2008,6.449,6.55,6.4,6.499,42110,
24/12/2008,6.426,6.449,6.228,6.228,28110,
25/12/2008,6.475,6.599,6.426,6.599,5190,
26/12/2008,6.499,6.521,6.351,6.351,26570,
29/12/2008,6.599,6.599,6.376,6.376,27610,
30/12/2008,6.695,6.719,6.599,6.621,40230,
31/12/2008,6.67,6.793,6.499,6.695,17060,
02/01/2009,6.572,6.67,6.55,6.67,5500,
05/01/2009,6.621,6.621,6.475,6.599,25000,
06/01/2009,6.67,6.793,6.621,6.793,35710,
07/01/2009,6.695,6.769,6.67,6.67,48800,
08/01/2009,6.599,6.719,6.55,6.55,13720,
09/01/2009,6.67,6.695,6.67,6.695,2900,
12/01/2009,6.621,6.621,6.572,6.599,13950,
13/01/2009,6.599,6.647,6.499,6.621,10310,
14/01/2009,6.499,6.621,6.499,6.599,23760,
15/01/2009,6.475,6.572,6.475,6.499,2620,
16/01/2009,6.599,6.793,6.475,6.793,18410,
19/01/2009,6.647,6.719,6.599,6.719,4800,
20/01/2009,6.67,6.695,6.599,6.695,2560,
21/01/2009,6.621,6.67,6.599,6.67,12530,
22/01/2009,6.67,6.67,6.621,6.621,6260,
23/01/2009,6.647,6.719,6.647,6.719,670,
02/02/2009,6.499,6.647,6.499,6.647,390,
03/02/2009,6.255,6.351,6.228,6.303,34190,
04/02/2009,6.277,6.303,6.255,6.255,2600,
05/02/2009,6.207,6.351,6.131,6.351,15210,
06/02/2009,6.499,6.499,6.228,6.228,34560,
09/02/2009,6.572,6.621,6.55,6.621,7970,
10/02/2009,6.4,6.572,6.327,6.572,12620,
11/02/2009,6.426,6.449,6.228,6.376,8440,
12/02/2009,6.426,6.475,6.426,6.426,10040,
13/02/2009,6.426,6.599,6.426,6.599,2530,
16/02/2009,6.327,6.449,6.277,6.277,1690,
17/02/2009,6.131,6.228,6.107,6.228,22360,
18/02/2009,6.057,6.107,6.057,6.107,7310,
19/02/2009,6.179,6.327,6.156,6.156,6450,
20/02/2009,6.081,6.228,6.081,6.207,17200,
23/02/2009,5.938,6.107,5.938,6.107,16770,
24/02/2009,5.793,5.793,5.743,5.743,4790,
25/02/2009,6.057,6.057,6.057,6.057,20200,
26/02/2009,6.107,6.179,6.057,6.179,6470,
27/02/2009,6.107,6.228,6.107,6.107,21420,
02/03/2009,6.131,6.228,6.131,6.131,5100,
03/03/2009,6.037,6.037,6.037,6.037,1810,
04/03/2009,6.179,6.228,6.081,6.081,10550,
05/03/2009,6.255,6.303,6.207,6.228,21810,
06/03/2009,6.303,6.303,6.255,6.255,29770,
09/03/2009,6.599,6.599,6.303,6.327,17610,
10/03/2009,6.572,6.599,6.475,6.599,6750,
11/03/2009,6.376,6.621,6.376,6.599,9860,
12/03/2009,6.228,6.255,6.207,6.228,17800,
13/03/2009,6.351,6.475,6.277,6.475,1560,
16/03/2009,6.277,6.351,6.277,6.351,3210,
17/03/2009,6.376,6.475,6.351,6.475,5060,
18/03/2009,6.67,6.67,6.499,6.55,20740,
19/03/2009,6.475,6.67,6.475,6.67,7640,
20/03/2009,6.475,6.475,6.475,6.475,6680,
23/03/2009,6.376,6.475,6.351,6.376,9790,
24/03/2009,6.599,6.647,6.599,6.647,10620,
25/03/2009,6.599,6.647,6.475,6.475,10320,
26/03/2009,6.599,6.599,6.499,6.599,9010,
27/03/2009,6.521,6.572,6.499,6.55,6630,
30/03/2009,6.303,6.376,6.277,6.277,10660,
31/03/2009,6.228,6.228,6.179,6.179,3670,
01/04/2009,6.499,6.499,6.303,6.499,3390,
02/04/2009,6.475,6.55,6.351,6.55,33030,
03/04/2009,6.695,6.769,6.647,6.647,25400,
07/04/2009,6.719,6.769,6.55,6.55,66060,
08/04/2009,6.499,6.719,6.426,6.426,33830,
09/04/2009,6.521,6.55,6.499,6.499,34390,
10/04/2009,6.819,6.842,6.793,6.842,160050,
13/04/2009,7.133,7.133,7.084,7.133,162500,
14/04/2009,7.477,7.477,7.477,7.477,26800,
15/04/2009,7.843,7.843,7.843,7.843,17990,
16/04/2009,8.234,8.234,8.234,8.234,29530,
17/04/2009,8.551,8.626,7.843,8.626,299580,
20/04/2009,8.135,8.135,8.135,8.135,6650,
21/04/2009,7.747,7.747,7.747,7.747,10650,
22/04/2009,7.576,7.821,7.378,7.821,77590,
23/04/2009,7.206,7.428,7.206,7.329,98120,
24/04/2009,6.965,7.084,6.867,6.965,53310,
27/04/2009,7.306,7.306,7.306,7.306,57650,
28/04/2009,7.649,7.649,7.623,7.649,113530,
29/04/2009,7.964,7.964,7.795,7.938,119860,
04/05/2009,8.26,8.26,8.26,8.26,27010,DIVIDEND
05/05/2009,8.65,8.65,8.65,8.65,28230,
06/05/2009,8.798,8.798,8.139,8.139,376240,
07/05/2009,9.698,9.698,9.644,9.698,128470,
08/05/2009,8.892,9.407,8.892,9.285,119500,
11/05/2009,9.038,9.138,8.915,8.915,115660,
12/05/2009,9.112,9.138,8.798,8.798,91200,
13/05/2009,9.138,9.285,9.015,9.21,87210,
14/05/2009,9.038,9.038,8.915,8.991,35350,
15/05/2009,9.285,9.285,8.915,8.915,87000,
18/05/2009,9.382,9.382,9.21,9.236,67870,
19/05/2009,9.407,9.627,9.382,9.627,27290,
20/05/2009,9.407,9.432,9.089,9.089,74790,
21/05/2009,9.236,9.308,9.185,9.285,36680,
22/05/2009,9.236,9.285,9.038,9.258,60430,
25/05/2009,9.676,9.676,9.236,9.236,71790,
26/05/2009,10.016,10.064,9.703,10.064,53460,
27/05/2009,10.039,10.262,10.016,10.262,36030,
28/05/2009,9.627,9.777,9.554,9.603,44680,
29/05/2009,10.016,10.016,9.456,9.529,33020,
01/06/2009,10.262,10.262,10.016,10.238,83550,
02/06/2009,10.774,10.774,10.63,10.774,89370,
03/06/2009,11.313,11.313,10.262,10.747,86710,
04/06/2009,11.873,11.873,11.873,11.873,26410,
05/06/2009,12.462,12.462,12.462,12.462,50870,
08/06/2009,13.07,13.07,13.07,13.07,49260,
09/06/2009,13.682,13.682,12.462,13.07,131080,
10/06/2009,13.682,13.682,13.07,13.07,95900,
11/06/2009,14.293,14.293,14.049,14.172,123220,
12/06/2009,14.42,14.78,14.172,14.78,79940,
15/06/2009,13.805,14.657,13.805,13.805,74480,
16/06/2009,13.194,13.194,13.194,13.194,1550,
17/06/2009,12.581,12.581,12.581,12.581,6270,
18/06/2009,12.217,13.07,11.971,12.581,105610,
19/06/2009,12.827,12.827,11.898,11.898,90710,
22/06/2009,12.191,12.827,12.191,12.827,27320,
23/06/2009,11.608,11.947,11.608,11.608,55140,
24/06/2009,12.169,12.169,12.119,12.169,44920,
25/06/2009,11.583,12.217,11.583,12.169,46990,
26/06/2009,12.142,12.142,11.24,11.726,34570,
29/06/2009,12.217,12.462,11.679,11.679,7930,
30/06/2009,12.581,12.581,11.608,12.217,54410,
01/07/2009,11.971,11.971,11.971,11.971,37480,
02/07/2009,12.191,12.191,12.191,12.191,550,
03/07/2009,11.608,12.092,11.608,11.608,15020,
06/07/2009,12.169,12.169,12.119,12.119,16560,
07/07/2009,11.825,12.217,11.749,11.749,3860,
08/07/2009,12.069,12.069,11.679,11.679,9730,
09/07/2009,11.776,12.069,11.776,11.971,23300,
10/07/2009,11.608,11.971,11.486,11.971,4100,
13/07/2009,11.118,11.29,11.118,11.166,25850,
14/07/2009,11.362,11.608,10.994,11.608,5500,
15/07/2009,10.872,11.608,10.872,11.362,23030,
16/07/2009,11.044,11.362,11.044,11.362,17550,
17/07/2009,10.945,11.118,10.945,11.118,1320,
20/07/2009,10.945,10.945,10.409,10.557,21950,
21/07/2009,10.994,10.994,10.747,10.747,5450,
22/07/2009,10.994,11.24,10.896,10.896,9610,
