transDate,close,high,low,open,volume,event
12/12/2006,5.347,5.347,5.347,5.347,70840,
13/12/2006,5.617,5.617,5.617,5.617,83780,
14/12/2006,5.897,5.897,5.617,5.617,14140,
15/12/2006,6.191,6.191,6.191,6.191,8000,
18/12/2006,6.499,6.499,6.499,6.499,34250,
19/12/2006,6.82,6.82,6.82,6.82,41800,
20/12/2006,7.153,7.153,7.153,7.153,108950,
21/12/2006,6.955,7.486,6.955,7.153,116940,
22/12/2006,6.605,6.955,6.605,6.955,12270,
25/12/2006,6.286,6.605,6.286,6.605,5680,
26/12/2006,6.594,6.594,5.975,6.282,83400,
27/12/2006,6.754,6.754,6.685,6.685,46270,
28/12/2006,6.685,6.754,6.685,6.754,36400,
29/12/2006,6.685,6.685,6.418,6.685,36120,
02/01/2007,6.418,6.552,6.379,6.552,36830,
03/01/2007,6.418,6.418,6.349,6.418,20330,
04/01/2007,6.685,6.685,6.418,6.418,125140,
05/01/2007,6.685,6.685,6.685,6.685,137190,
08/01/2007,6.619,6.754,6.619,6.685,68960,
09/01/2007,6.66,6.66,6.552,6.619,56880,
10/01/2007,6.685,6.685,6.685,6.685,89200,
11/01/2007,6.349,6.418,6.349,6.418,55530,
12/01/2007,6.485,6.485,6.349,6.349,64900,
15/01/2007,6.552,6.552,6.552,6.552,51970,
16/01/2007,6.418,6.552,6.418,6.552,23540,
17/01/2007,6.286,6.299,6.286,6.299,32960,
18/01/2007,6.017,6.017,5.989,6.017,62010,
19/01/2007,6.286,6.286,6.149,6.149,67070,
22/01/2007,6.149,6.282,6.149,6.282,35150,
23/01/2007,6.379,6.379,6.286,6.286,46780,
24/01/2007,6.349,6.379,6.349,6.379,36360,
25/01/2007,6.286,6.349,6.286,6.349,13750,
26/01/2007,6.149,6.282,6.149,6.282,22400,
29/01/2007,6.286,6.286,6.149,6.149,34240,
30/01/2007,6.594,6.594,6.594,6.594,22970,
31/01/2007,6.887,6.887,6.619,6.619,40540,
01/02/2007,6.887,6.955,6.887,6.887,25240,
02/02/2007,6.887,6.887,6.887,6.887,29910,
05/02/2007,7.22,7.22,7.22,7.22,95960,
06/02/2007,7.556,7.556,7.556,7.556,50930,
07/02/2007,7.888,7.888,7.888,7.888,123380,
08/02/2007,7.556,7.888,7.556,7.888,57580,
09/02/2007,7.22,7.556,7.22,7.556,6050,
12/02/2007,7.019,7.156,6.887,7.156,61130,
13/02/2007,7.21,7.21,7.142,7.142,7860,DIVIDEND
14/02/2007,7.21,7.21,7.21,7.21,19990,
15/02/2007,7.21,7.21,7.21,7.21,13900,
26/02/2007,7.21,7.21,7.21,7.21,16990,
27/02/2007,5.076,5.076,5.03,5.076,49800,
28/02/2007,7.346,7.346,7.346,7.346,38230,
