transDate,close,high,low,open,volume,event
16/11/2016,23.969,24.081,23.133,24.081,862130,
17/11/2016,25.641,25.641,24.415,24.527,873160,
18/11/2016,27.342,27.425,27.257,27.425,1068000,
21/11/2016,25.446,27.313,25.446,27.313,607680,
22/11/2016,24.247,25.697,24.025,24.527,465470,
23/11/2016,22.576,24.247,22.576,23.969,2309890,
24/11/2016,21.015,21.739,21.015,21.293,913610,
25/11/2016,20.624,20.624,19.566,19.955,1011670,
28/11/2016,20.067,21.182,19.287,20.624,238470,
29/11/2016,20.122,20.736,20.067,20.067,179150,
30/11/2016,20.346,20.429,20.067,20.067,325960,
01/12/2016,20.736,21.071,20.317,20.317,255910,
02/12/2016,20.624,20.959,20.568,20.736,279530,
05/12/2016,20.402,20.68,20.29,20.624,386860,
06/12/2016,20.513,20.513,20.122,20.29,275940,
07/12/2016,20.624,20.736,20.178,20.178,204120,
08/12/2016,20.402,20.876,20.402,20.68,83490,
09/12/2016,20.402,20.624,20.29,20.402,149510,
12/12/2016,20.234,20.346,20.178,20.234,328030,
13/12/2016,20.262,20.402,20.178,20.178,227040,
14/12/2016,20.987,21.293,20.262,20.29,289320,
15/12/2016,20.903,21.127,20.624,21.127,121460,
16/12/2016,20.624,20.903,20.513,20.903,273060,
19/12/2016,20.652,20.82,20.485,20.82,366210,
20/12/2016,20.624,20.876,20.597,20.876,178430,
21/12/2016,20.597,20.736,20.568,20.624,127890,
22/12/2016,20.597,20.652,20.541,20.568,214740,
23/12/2016,20.597,20.624,20.346,20.541,185720,
26/12/2016,20.568,20.597,20.373,20.597,166100,
27/12/2016,20.568,20.568,20.402,20.402,132930,
28/12/2016,20.541,20.568,20.29,20.568,280890,
29/12/2016,20.29,20.513,20.178,20.346,117820,
30/12/2016,20.067,20.457,20.067,20.346,92090,
03/01/2017,20.067,20.234,19.51,20.234,136180,
04/01/2017,20.457,20.513,19.788,20.067,98230,
05/01/2017,20.346,20.457,20.122,20.234,24630,
06/01/2017,20.29,20.346,20.067,20.122,44520,
09/01/2017,20.011,20.29,20.011,20.29,49080,
10/01/2017,19.955,20.178,19.788,19.955,150940,
11/01/2017,20.122,20.29,19.955,19.955,274730,
12/01/2017,20.262,20.262,20.067,20.178,111900,
13/01/2017,20.178,20.262,20.011,20.067,160790,
16/01/2017,19.51,20.178,19.51,20.178,91380,
17/01/2017,19.788,19.9,19.51,19.566,59720,
18/01/2017,19.566,20.067,19.51,20.067,62300,
19/01/2017,19.844,19.9,19.482,19.844,130150,
20/01/2017,20.067,20.067,19.622,19.788,160040,
23/01/2017,20.067,20.122,19.788,19.955,60460,
24/01/2017,19.622,20.067,19.622,19.788,23470,
25/01/2017,19.9,19.955,19.566,19.622,10780,
02/02/2017,20.067,20.122,19.844,19.844,59260,
03/02/2017,20.178,20.178,20.011,20.067,136920,
06/02/2017,20.067,20.178,19.9,20.178,43430,
07/02/2017,20.067,20.067,19.955,20.067,107220,
08/02/2017,20.039,20.067,19.788,20.067,74850,
09/02/2017,19.9,19.955,19.733,19.9,16720,
10/02/2017,19.622,19.955,19.51,19.9,88090,
13/02/2017,20.067,20.095,19.51,19.788,186900,
14/02/2017,19.788,19.955,19.788,19.955,9420,
15/02/2017,19.844,20.011,19.677,19.733,40470,
16/02/2017,19.649,19.844,19.649,19.677,48850,
17/02/2017,19.9,20.067,19.51,19.761,180280,
20/02/2017,19.9,20.011,19.705,19.733,20890,
21/02/2017,20.206,20.346,19.566,19.788,233940,
22/02/2017,20.067,20.346,19.733,20.346,157790,
23/02/2017,19.955,20.122,19.844,19.844,116850,
24/02/2017,19.788,19.955,19.733,19.955,104280,
27/02/2017,19.733,19.788,19.649,19.733,103270,
28/02/2017,20.513,20.624,19.733,19.733,315860,
01/03/2017,21.182,21.739,20.29,20.29,406210,
02/03/2017,20.959,21.461,20.903,21.405,192790,
03/03/2017,20.959,21.015,20.736,20.959,156670,
06/03/2017,21.071,21.683,20.736,20.847,349680,
07/03/2017,22.017,22.185,21.071,21.071,476330,
08/03/2017,21.99,22.798,21.907,22.017,260880,
09/03/2017,21.99,22.073,21.517,22.017,102190,
10/03/2017,21.572,21.99,21.572,21.99,177600,
13/03/2017,21.851,21.907,21.405,21.405,170050,
