transDate,close,high,low,open,volume,event
30/07/2010,16.071,16.273,15.459,16.273,1006510,
02/08/2010,15.99,16.071,15.867,16.071,392660,
03/08/2010,16.029,16.192,15.99,16.192,250030,
04/08/2010,15.867,16.029,15.663,16.029,67000,
05/08/2010,15.826,15.826,15.541,15.826,83100,
06/08/2010,15.663,15.826,15.663,15.826,77410,
09/08/2010,15.459,15.663,15.459,15.663,91000,
10/08/2010,15.42,15.459,15.094,15.094,64940,
11/08/2010,15.42,15.42,15.337,15.42,49290,
12/08/2010,14.728,15.42,14.728,15.42,61370,
13/08/2010,14.767,14.849,14.24,14.728,23350,
16/08/2010,15.053,15.135,14.767,14.767,32770,
17/08/2010,15.012,15.053,14.971,15.053,48510,
18/08/2010,14.971,15.012,14.646,15.012,52520,
19/08/2010,14.89,14.971,14.849,14.971,24730,
20/08/2010,14.89,14.89,14.646,14.89,33000,
23/08/2010,14.767,14.89,14.767,14.89,33000,
24/08/2010,14.036,14.767,14.036,14.767,193930,
25/08/2010,13.425,14.036,13.425,14.036,119000,
26/08/2010,13.018,13.833,12.774,13.425,104200,
27/08/2010,13.67,13.67,13.222,13.425,50600,
30/08/2010,14.32,14.32,14.24,14.24,37050,
31/08/2010,14.565,14.565,14.32,14.443,22500,
01/09/2010,14.565,14.646,14.565,14.646,19550,
06/09/2010,14.646,14.849,14.565,14.849,19100,
07/09/2010,14.565,14.808,14.565,14.767,25700,
08/09/2010,14.443,14.646,14.443,14.646,26100,
09/09/2010,14.24,14.565,14.24,14.524,35480,
10/09/2010,14.198,14.24,14.198,14.24,15880,
13/09/2010,13.589,14.198,13.506,14.198,30600,
14/09/2010,14.198,14.198,13.547,13.547,69420,
15/09/2010,14.767,14.767,14.32,14.32,54380,
16/09/2010,14.931,14.931,14.728,14.767,130830,
17/09/2010,14.931,14.931,14.849,14.89,69580,
20/09/2010,15.012,15.582,14.931,15.582,68680,
21/09/2010,14.728,15.012,14.728,14.971,39230,
22/09/2010,14.687,14.808,14.646,14.646,24860,
