transDate,close,high,low,open,volume,event
28/12/2006,5.609,5.609,5.609,5.609,12560,
29/12/2006,5.883,5.883,5.858,5.858,49130,
02/01/2007,5.609,5.858,5.609,5.858,26320,
03/01/2007,5.334,5.481,5.334,5.481,16550,
04/01/2007,5.481,5.595,5.231,5.334,9130,
05/01/2007,5.359,5.669,5.359,5.481,25750,
08/01/2007,5.096,5.173,5.096,5.173,29870,
09/01/2007,5.347,5.347,5.109,5.109,30150,
10/01/2007,5.231,5.231,5.084,5.231,27600,
11/01/2007,5.109,5.231,5.109,5.231,23500,
12/01/2007,4.984,5.109,4.984,5.109,31600,
15/01/2007,4.984,4.984,4.861,4.984,30030,
16/01/2007,4.984,4.984,4.984,4.984,31400,
17/01/2007,5.231,5.231,5.231,5.231,51370,
18/01/2007,5.493,5.493,5.481,5.481,21800,
19/01/2007,5.731,5.757,5.731,5.731,67130,
22/01/2007,5.448,5.448,5.448,5.448,46490,
23/01/2007,5.448,5.448,5.198,5.448,38860,
24/01/2007,5.705,5.705,5.705,5.705,64890,
25/01/2007,5.481,5.731,5.481,5.705,53740,
26/01/2007,5.245,5.481,5.245,5.481,21460,
29/01/2007,5.502,5.502,5.478,5.478,4670,DIVIDEND
30/01/2007,5.773,5.773,5.773,5.773,12090,
31/01/2007,5.773,5.901,5.773,5.773,10870,
01/02/2007,5.528,5.773,5.528,5.773,8510,
02/02/2007,5.672,5.672,5.672,5.672,16830,
05/02/2007,5.414,5.672,5.414,5.672,30620,
06/02/2007,5.685,5.685,5.685,5.685,33250,
07/02/2007,5.968,5.968,5.968,5.968,123100,
08/02/2007,6.056,6.265,6.056,6.056,79940,
09/02/2007,6.056,6.124,6.056,6.056,52850,
12/02/2007,6.354,6.354,6.315,6.315,38460,
13/02/2007,6.637,6.637,6.637,6.637,14940,
14/02/2007,6.963,6.963,6.963,6.963,19670,
15/02/2007,7.285,7.285,7.285,7.285,36960,
26/02/2007,7.604,7.604,7.604,7.604,15100,
27/02/2007,7.927,7.927,7.927,7.927,6570,
28/02/2007,7.927,8.315,7.863,7.927,48100,
01/03/2007,8.311,8.311,8.311,8.311,52400,
02/03/2007,8.701,8.701,8.701,8.701,30940,
05/03/2007,9.085,9.085,9.085,9.085,42970,
06/03/2007,9.539,9.539,9.539,9.539,34240,
07/03/2007,9.99,9.99,9.99,9.99,77200,
08/03/2007,9.927,9.927,9.927,9.927,91110,
09/03/2007,9.474,9.668,9.474,9.668,54390,
12/03/2007,9.474,9.474,9.474,9.474,47380,
13/03/2007,9.474,9.668,9.474,9.474,37750,
14/03/2007,9.474,9.923,9.474,9.474,43640,
15/03/2007,9.474,9.923,9.474,9.474,116960,
16/03/2007,9.795,9.795,9.021,9.471,101640,
19/03/2007,10.245,10.245,10.245,10.245,54740,
20/03/2007,10.181,10.245,10.181,10.245,62680,
21/03/2007,9.728,9.728,9.728,9.728,33510,
22/03/2007,9.281,9.406,9.281,9.406,14150,
23/03/2007,8.827,8.827,8.827,8.827,27950,
26/03/2007,8.443,8.638,8.443,8.638,18090,
27/03/2007,8.058,8.058,8.058,8.058,3880,
28/03/2007,7.668,7.668,7.668,7.668,5330,
29/03/2007,7.991,7.991,7.478,7.668,42210,
30/03/2007,7.991,8.315,7.991,7.991,86330,
02/04/2007,7.604,7.668,7.604,7.604,15710,
03/04/2007,7.285,7.285,7.285,7.285,15810,
04/04/2007,7.089,7.089,6.963,7.089,41040,
05/04/2007,7.089,7.411,7.089,7.089,29780,
06/04/2007,6.767,6.767,6.767,6.767,20230,
09/04/2007,6.443,6.51,6.443,6.443,28320,
10/04/2007,6.315,6.446,6.315,6.315,17470,
11/04/2007,6.315,6.315,6.315,6.315,22100,
12/04/2007,6.252,6.315,6.252,6.252,12400,
13/04/2007,5.943,6.056,5.943,5.943,8580,
16/04/2007,5.647,5.647,5.647,5.647,8450,
17/04/2007,5.375,5.375,5.375,5.375,6480,
18/04/2007,5.63,5.63,5.156,5.375,14620,
19/04/2007,5.904,5.904,5.904,5.904,24830,
20/04/2007,5.735,5.799,5.735,5.735,13540,
23/04/2007,5.451,5.478,5.451,5.451,8080,
24/04/2007,5.414,5.414,5.414,5.414,5860,
25/04/2007,5.685,5.685,5.672,5.672,10440,
02/05/2007,5.685,5.799,5.685,5.685,5740,
03/05/2007,5.672,5.672,5.672,5.672,7740,
04/05/2007,5.544,5.544,5.414,5.544,6850,
07/05/2007,5.735,5.735,5.735,5.735,4130,
08/05/2007,5.93,5.93,5.799,5.799,18150,
09/05/2007,5.862,5.994,5.862,5.862,9470,
10/05/2007,5.799,5.799,5.799,5.799,4400,
11/05/2007,5.735,5.799,5.735,5.735,2900,
14/05/2007,6.019,6.019,5.876,5.876,23430,
15/05/2007,6.315,6.315,6.315,6.315,19720,
16/05/2007,6.188,6.446,6.188,6.188,26570,
17/05/2007,6.188,6.188,5.994,6.188,8740,
18/05/2007,6.188,6.188,6.188,6.188,14460,
21/05/2007,6.365,6.365,6.184,6.184,23570,
22/05/2007,6.573,6.573,6.446,6.446,25900,
23/05/2007,6.83,6.83,6.83,6.83,20710,
24/05/2007,6.51,6.83,6.51,6.51,10680,
25/05/2007,6.443,6.443,6.184,6.443,12240,
28/05/2007,6.443,6.767,6.443,6.443,24600,
29/05/2007,6.315,6.446,6.188,6.315,8670,
30/05/2007,6.315,6.315,6.252,6.315,13850,
31/05/2007,6.443,6.443,6.315,6.315,8830,
01/06/2007,6.443,6.443,6.443,6.443,14180,
04/06/2007,6.328,6.379,6.328,6.379,13260,
05/06/2007,6.188,6.213,6.188,6.213,12370,
06/06/2007,6.252,6.252,6.121,6.188,14980,
07/06/2007,6.51,6.51,6.51,6.51,41460,
08/06/2007,6.767,6.83,6.767,6.767,89030,
11/06/2007,6.767,7.025,6.767,6.767,43940,
12/06/2007,6.704,6.704,6.573,6.704,17350,
13/06/2007,6.573,6.704,6.573,6.704,18810,
14/06/2007,6.379,6.573,6.315,6.573,23270,
15/06/2007,6.637,6.637,6.637,6.637,6760,
18/06/2007,6.895,6.958,6.7,6.7,72040,
19/06/2007,6.767,6.895,6.767,6.895,33230,
20/06/2007,6.767,6.767,6.637,6.767,12450,
21/06/2007,6.573,6.573,6.446,6.573,14460,
22/06/2007,6.637,6.637,6.51,6.573,23380,
25/06/2007,6.51,6.64,6.51,6.64,25570,
26/06/2007,6.573,6.704,6.573,6.573,22980,
27/06/2007,6.443,6.443,6.443,6.443,16390,
28/06/2007,6.391,6.446,6.391,6.446,10400,
29/06/2007,6.379,6.391,6.379,6.391,9580,
02/07/2007,6.069,6.315,6.069,6.315,14950,
03/07/2007,5.93,5.994,5.93,5.994,13110,
04/07/2007,6.056,6.056,5.799,5.93,8220,
05/07/2007,5.93,6.121,5.93,6.056,7360,
06/07/2007,5.994,5.994,5.93,5.93,10370,
09/07/2007,5.994,5.994,5.93,5.994,9450,
10/07/2007,6.056,6.056,5.904,5.994,8450,
11/07/2007,6.226,6.226,6.184,6.184,11730,
12/07/2007,6.069,6.226,6.069,6.226,9080,
13/07/2007,6.124,6.188,6.069,6.069,4500,
16/07/2007,6.056,6.056,6.056,6.056,5950,
17/07/2007,6.108,6.175,6.019,6.056,6310,
18/07/2007,6.045,6.175,6.045,6.108,3250,
19/07/2007,6.056,6.112,6.056,6.056,10260,
20/07/2007,6.159,6.159,6.095,6.095,13970,
23/07/2007,6.188,6.315,6.188,6.188,12380,
24/07/2007,6.188,6.188,6.188,6.188,8710,
25/07/2007,6.188,6.188,6.188,6.188,480,
26/07/2007,6.056,6.188,6.045,6.188,7900,
27/07/2007,5.93,5.93,5.913,5.93,5240,
30/07/2007,5.799,5.93,5.799,5.93,4050,
31/07/2007,5.544,5.799,5.544,5.799,5560,
01/08/2007,5.812,5.812,5.541,5.541,7640,
02/08/2007,5.994,6.099,5.994,6.099,34750,
03/08/2007,5.862,6.056,5.862,5.994,15450,
06/08/2007,5.93,5.93,5.862,5.862,5870,
07/08/2007,5.994,6.045,5.994,5.994,5850,
08/08/2007,5.968,5.994,5.799,5.994,6890,
09/08/2007,6.188,6.188,5.968,5.968,21970,
10/08/2007,6.188,6.315,6.175,6.315,36240,
13/08/2007,6.175,6.175,6.056,6.056,7660,
14/08/2007,6.443,6.443,6.443,6.443,12910,
15/08/2007,6.767,6.767,6.767,6.767,9770,
16/08/2007,7.089,7.089,7.089,7.089,11880,
