transDate,close,high,low,open,volume,event
27/12/2006,6.107,6.577,5.731,6.388,24900,
28/12/2006,6.672,7.008,6.538,7.008,12200,
29/12/2006,6.707,7.026,6.388,7.026,26800,
02/01/2007,6.767,6.858,6.577,6.68,22500,
03/01/2007,6.858,7.222,6.792,6.858,26300,
04/01/2007,6.953,6.953,6.719,6.736,17100,
05/01/2007,7.139,7.238,7.044,7.044,9600,
08/01/2007,6.858,7.073,6.792,6.858,4600,
09/01/2007,6.905,6.905,6.762,6.801,17500,
10/01/2007,6.953,7.0,6.858,6.858,6300,
11/01/2007,7.048,7.095,6.935,6.935,17700,
12/01/2007,7.505,7.694,7.095,7.095,21000,
15/01/2007,7.893,8.247,7.893,7.893,21000,
16/01/2007,7.989,9.02,7.989,8.204,12400,
17/01/2007,7.893,8.183,7.893,7.95,2600,
18/01/2007,7.518,7.872,7.329,7.734,3700,
19/01/2007,7.329,7.694,7.329,7.496,4900,
22/01/2007,7.048,8.221,7.048,7.423,3900,
23/01/2007,7.095,7.376,6.858,7.017,8200,
24/01/2007,7.16,7.45,7.017,7.017,10500,DIVIDEND
25/01/2007,7.254,7.254,7.16,7.16,11000,
26/01/2007,7.315,7.638,7.315,7.315,7100,
29/01/2007,7.647,7.734,7.638,7.638,11300,
30/01/2007,7.923,8.208,7.923,7.923,18700,
31/01/2007,8.208,8.593,7.638,8.057,11100,
01/02/2007,8.403,8.977,8.26,8.26,9500,
02/02/2007,8.687,8.782,8.545,8.64,11500,
05/02/2007,8.45,9.499,8.403,8.477,4900,
06/02/2007,8.355,8.403,8.143,8.294,8400,
07/02/2007,8.26,8.26,7.544,8.165,38100,
08/02/2007,8.114,8.2,7.829,8.136,3800,
09/02/2007,7.923,8.088,7.923,7.932,2400,
12/02/2007,8.114,8.213,8.018,8.018,3800,
13/02/2007,8.238,8.294,8.114,8.114,18900,
14/02/2007,8.294,8.355,8.208,8.208,7300,
15/02/2007,8.394,8.403,8.346,8.346,1700,
26/02/2007,8.878,9.222,8.593,8.593,9400,
27/02/2007,8.972,9.451,8.886,8.886,11700,
28/02/2007,8.782,9.071,8.782,8.986,19200,
01/03/2007,8.831,9.071,8.735,8.947,10000,
02/03/2007,8.925,8.977,8.925,8.947,3400,
05/03/2007,8.925,8.977,8.687,8.899,16000,
06/03/2007,8.065,9.071,8.065,8.86,17000,
07/03/2007,8.972,9.071,8.593,8.86,18500,
