transDate,close,high,low,open,volume,event
09/10/2009,33.803,35.791,23.862,23.862,9700,
12/10/2009,31.021,32.649,29.83,32.649,15300,
13/10/2009,28.952,30.622,28.952,30.221,7100,
14/10/2009,27.241,27.241,27.241,27.241,3700,
15/10/2009,25.371,25.371,25.371,25.371,25700,
16/10/2009,23.626,23.626,23.626,23.626,15000,
19/10/2009,21.989,21.989,21.989,21.989,6600,
20/10/2009,23.506,23.506,20.48,20.48,200400,
21/10/2009,22.708,22.708,22.708,22.708,27500,
22/10/2009,24.261,24.261,23.943,24.261,63500,
23/10/2009,23.261,25.932,22.669,25.853,26300,
26/10/2009,23.345,23.345,23.345,23.345,8700,
27/10/2009,21.717,21.717,21.717,21.717,1900,
28/10/2009,20.646,21.28,20.201,20.201,52000,
29/10/2009,20.598,20.646,19.489,19.882,18700,
30/10/2009,20.282,21.036,20.282,20.681,31800,
02/11/2009,19.364,20.681,19.364,20.681,10500,
03/11/2009,18.335,19.288,18.335,19.288,16000,
04/11/2009,17.738,18.374,17.338,17.699,10800,
05/11/2009,18.692,18.692,17.9,18.692,7400,
06/11/2009,18.374,19.288,18.293,19.288,4900,DIVIDEND
09/11/2009,17.418,17.582,17.183,17.582,6600,
10/11/2009,16.11,17.22,16.11,17.183,13800,
11/11/2009,15.91,15.91,15.274,15.91,9900,
12/11/2009,15.627,16.303,15.627,15.627,12000,
13/11/2009,15.51,16.546,15.51,16.303,15000,
16/11/2009,15.91,16.702,15.91,16.702,1600,
17/11/2009,15.313,15.51,15.313,15.51,1200,
18/11/2009,15.074,15.51,14.712,15.51,11000,
19/11/2009,14.755,14.912,14.712,14.912,11900,
20/11/2009,14.755,14.795,14.712,14.712,4800,
23/11/2009,14.122,14.519,14.077,14.519,2600,
24/11/2009,13.921,14.157,13.921,13.921,8400,
25/11/2009,13.048,13.683,13.048,13.683,12200,
26/11/2009,12.487,12.728,12.487,12.728,500,
27/11/2009,11.931,13.122,11.65,11.65,5900,
30/11/2009,12.804,12.804,12.332,12.728,10100,
01/12/2009,13.485,13.485,13.122,13.122,10000,
02/12/2009,13.403,13.957,13.122,13.324,5000,
03/12/2009,12.532,12.804,12.532,12.728,3200,
04/12/2009,12.685,12.685,12.685,12.685,900,
07/12/2009,12.685,12.685,12.685,12.685,0,
08/12/2009,12.532,12.532,11.931,12.332,5500,
09/12/2009,11.295,11.811,11.295,11.811,14600,
10/12/2009,10.941,11.333,10.814,11.333,4500,
11/12/2009,10.541,11.333,10.541,11.333,600,
14/12/2009,10.941,10.941,10.739,10.739,3400,
15/12/2009,10.941,10.941,10.941,10.941,1600,
16/12/2009,10.34,10.941,10.177,10.739,2800,
17/12/2009,10.494,10.494,10.459,10.459,1500,
18/12/2009,11.212,11.212,10.34,10.34,11700,
21/12/2009,11.893,11.893,10.777,11.132,7100,
22/12/2009,10.859,11.178,10.814,11.178,4000,
23/12/2009,11.731,11.731,11.132,11.132,2000,
24/12/2009,11.333,11.333,10.814,10.859,11100,
25/12/2009,11.457,11.531,10.941,11.531,3800,
28/12/2009,10.814,10.941,10.739,10.739,2200,
29/12/2009,10.739,10.777,10.739,10.739,6300,
30/12/2009,11.333,11.333,10.739,10.739,14300,
31/12/2009,11.931,11.931,11.295,11.731,20600,
04/01/2010,12.766,12.766,12.728,12.728,11400,
05/01/2010,13.639,13.639,13.639,13.639,8300,
06/01/2010,14.595,14.595,13.921,14.595,23200,
07/01/2010,15.228,15.228,15.112,15.228,15600,DIVIDEND
08/01/2010,14.712,16.228,14.476,16.11,41200,
11/01/2010,14.438,15.51,14.438,15.51,6100,
12/01/2010,13.721,13.757,13.721,13.721,8200,
13/01/2010,13.639,13.639,12.766,12.766,27000,
14/01/2010,13.602,13.639,12.804,13.639,2700,
15/01/2010,13.602,14.319,12.728,13.921,6000,
18/01/2010,12.487,13.203,12.487,13.122,6100,
19/01/2010,11.731,12.648,11.695,12.648,9500,
20/01/2010,12.13,12.13,11.731,11.731,6700,
21/01/2010,11.132,11.85,11.132,11.85,6400,
22/01/2010,11.531,11.531,11.132,11.132,4200,
25/01/2010,11.731,11.965,11.731,11.965,5200,
26/01/2010,12.448,12.532,11.731,11.731,7500,
27/01/2010,11.575,12.728,11.575,12.728,6800,
28/01/2010,11.531,11.531,11.017,11.333,8500,
29/01/2010,11.132,11.731,11.132,11.132,2000,
01/02/2010,11.178,11.893,11.132,11.132,2900,
02/02/2010,11.531,11.531,11.415,11.531,4000,
03/02/2010,11.65,12.13,11.531,11.931,2800,
04/02/2010,11.457,11.575,11.132,11.575,9700,
05/02/2010,11.333,11.415,11.333,11.333,2600,
08/02/2010,11.178,11.85,11.057,11.85,3000,
09/02/2010,11.132,11.212,11.132,11.132,5900,
10/02/2010,11.531,11.531,11.132,11.132,7600,
11/02/2010,11.695,11.731,11.333,11.333,3300,
12/02/2010,11.695,11.695,11.377,11.377,1000,
22/02/2010,11.531,11.531,11.492,11.531,4100,
23/02/2010,11.132,11.333,11.132,11.333,4200,
24/02/2010,11.531,11.531,11.457,11.457,3100,
25/02/2010,11.531,11.612,11.333,11.612,3700,
26/02/2010,11.695,11.695,11.492,11.531,4300,
01/03/2010,11.777,11.965,11.731,11.965,5100,
02/03/2010,11.731,11.731,11.575,11.731,4000,
03/03/2010,11.893,11.893,11.65,11.731,9200,
04/03/2010,12.013,12.212,11.931,11.931,10300,
05/03/2010,12.049,12.049,11.931,11.931,7700,
08/03/2010,11.965,11.965,11.893,11.965,2600,
09/03/2010,12.013,12.13,11.931,11.931,7000,
10/03/2010,12.049,12.049,11.965,11.965,8500,
11/03/2010,11.965,12.049,11.965,12.013,15600,
12/03/2010,12.093,12.093,11.893,11.931,14000,
15/03/2010,12.804,12.804,12.13,12.13,43100,
16/03/2010,13.639,13.639,13.167,13.639,86500,
17/03/2010,14.595,14.595,13.683,13.683,93800,
18/03/2010,15.074,15.51,14.712,15.51,67700,
19/03/2010,15.193,15.472,14.275,14.275,80500,
22/03/2010,15.828,15.828,14.712,14.712,167500,
23/03/2010,14.476,16.303,14.476,16.303,90300,
24/03/2010,14.319,15.71,14.319,15.545,37200,
25/03/2010,14.677,14.712,14.319,14.519,22500,
26/03/2010,14.476,14.712,13.921,14.319,15200,
29/03/2010,13.324,13.921,13.283,13.602,107400,
30/03/2010,13.122,13.921,12.921,13.485,9300,
31/03/2010,13.522,14.194,13.122,13.921,20900,
01/04/2010,13.122,14.712,13.004,13.522,23000,
02/04/2010,13.522,14.275,12.921,13.324,111600,
05/04/2010,13.522,13.522,13.283,13.522,22600,
06/04/2010,13.122,14.038,13.122,13.921,23800,
07/04/2010,13.122,13.721,13.122,13.721,14100,
08/04/2010,13.241,13.324,12.728,13.122,112500,
09/04/2010,13.921,14.002,13.921,13.921,48200,
12/04/2010,13.957,14.002,13.122,13.957,9100,
13/04/2010,13.203,14.122,13.167,14.122,10000,
14/04/2010,13.167,13.522,13.122,13.522,72900,
15/04/2010,13.122,13.241,13.122,13.241,41200,
16/04/2010,13.485,13.876,13.167,13.876,20500,
19/04/2010,13.122,13.283,13.122,13.283,19300,
20/04/2010,14.122,14.122,13.241,13.283,135800,
21/04/2010,14.874,14.874,14.319,14.874,113700,
22/04/2010,13.804,15.51,13.757,15.51,26800,
26/04/2010,13.558,14.077,13.324,14.077,3000,
27/04/2010,14.038,14.238,13.122,13.522,40400,
28/04/2010,13.522,13.921,13.522,13.921,38100,
29/04/2010,13.203,13.921,13.203,13.721,47200,
04/05/2010,13.921,13.957,13.403,13.522,46900,
05/05/2010,13.522,13.639,13.44,13.639,7300,
06/05/2010,13.721,13.876,13.44,13.44,31100,
07/05/2010,13.921,14.319,13.639,14.319,62100,
10/05/2010,13.403,14.122,13.324,14.122,12300,
11/05/2010,13.522,13.839,12.648,13.403,21300,
12/05/2010,12.685,13.602,12.685,12.921,32800,
13/05/2010,12.728,12.885,12.332,12.332,5200,
14/05/2010,13.324,13.324,12.728,12.766,27800,
17/05/2010,12.685,12.921,12.648,12.921,6500,
18/05/2010,12.532,12.685,12.448,12.532,7700,
19/05/2010,11.65,12.532,11.65,12.532,47000,
20/05/2010,11.893,11.931,11.017,11.531,31700,
21/05/2010,11.095,11.531,10.622,11.377,28100,
24/05/2010,11.492,11.531,10.941,11.333,6500,
25/05/2010,11.731,11.777,11.377,11.377,8000,
26/05/2010,12.13,12.13,11.777,11.777,7000,
27/05/2010,11.931,12.093,11.85,11.931,36300,
28/05/2010,12.13,12.167,11.931,12.049,29400,DIVIDEND
31/05/2010,12.013,12.013,11.931,12.013,12300,
01/06/2010,11.931,11.931,11.931,11.931,15200,
02/06/2010,11.931,12.013,11.931,11.965,16300,
03/06/2010,12.13,12.167,12.13,12.13,6300,
04/06/2010,12.13,12.13,11.931,12.13,3100,
07/06/2010,11.931,11.931,11.931,11.931,34200,
08/06/2010,11.965,11.965,11.931,11.931,13900,
09/06/2010,11.965,11.965,11.931,11.931,4500,
10/06/2010,11.965,12.332,11.931,11.931,9900,
11/06/2010,12.13,12.332,12.13,12.25,4400,
14/06/2010,12.332,12.332,11.931,11.931,3400,
15/06/2010,11.965,12.13,11.931,11.931,4500,
16/06/2010,12.332,12.332,12.332,12.332,2000,
17/06/2010,12.167,12.167,12.013,12.013,1700,
18/06/2010,11.965,12.167,11.931,12.13,5000,
