transDate,close,high,low,open,volume,event
20/04/2010,22.56,22.56,22.56,22.56,23510,
21/04/2010,23.496,23.496,23.496,23.496,21200,
22/04/2010,24.673,24.673,24.673,24.673,22090,
26/04/2010,24.439,25.375,24.439,25.375,603530,
27/04/2010,24.673,25.375,23.971,23.971,204680,
28/04/2010,24.673,24.907,24.439,24.673,215540,
29/04/2010,24.673,24.673,24.205,24.673,154290,
04/05/2010,24.439,24.673,24.439,24.673,180130,
05/05/2010,23.971,24.439,23.496,23.496,107890,
06/05/2010,24.205,24.439,23.971,24.439,89170,
07/05/2010,23.496,24.205,23.496,24.205,120110,
10/05/2010,23.496,24.205,23.45,24.205,50420,
11/05/2010,23.736,23.971,23.496,23.971,103630,
12/05/2010,23.075,23.736,22.934,22.981,63120,
13/05/2010,23.028,23.496,22.981,23.496,28290,
14/05/2010,23.262,23.45,23.028,23.45,41700,
17/05/2010,23.262,23.496,22.794,23.496,31640,
18/05/2010,22.794,23.262,22.794,23.028,5150,
19/05/2010,22.794,22.794,21.664,22.56,98650,
20/05/2010,22.56,22.794,21.851,21.851,102340,
21/05/2010,21.476,21.476,21.43,21.476,35460,
24/05/2010,21.383,21.617,21.195,21.43,25300,
25/05/2010,20.68,21.383,20.399,20.446,22570,
26/05/2010,21.149,21.711,21.149,21.149,8470,
27/05/2010,20.68,21.57,20.68,21.149,42260,
28/05/2010,21.711,21.711,20.961,21.149,58270,
31/05/2010,21.711,22.466,21.711,22.466,17640,
01/06/2010,21.149,21.149,20.961,21.149,11900,
02/06/2010,20.493,21.149,20.112,21.149,18900,
03/06/2010,20.68,21.383,20.68,21.383,22300,
04/06/2010,21.149,21.149,20.446,21.149,23710,
07/06/2010,20.212,21.102,20.212,20.212,178360,
08/06/2010,20.586,20.586,20.212,20.446,19030,
09/06/2010,20.68,20.68,20.305,20.305,9640,
10/06/2010,20.586,20.914,20.586,20.914,8310,
11/06/2010,20.446,20.821,20.446,20.821,25810,
14/06/2010,20.586,20.633,20.446,20.446,16330,
15/06/2010,20.586,20.68,20.493,20.68,25520,
16/06/2010,20.633,20.727,20.54,20.633,66770,
17/06/2010,20.165,20.493,19.831,20.493,21520,
18/06/2010,20.165,20.165,20.165,20.165,56270,
21/06/2010,20.212,21.149,19.972,20.018,62240,
22/06/2010,20.112,20.212,20.018,20.212,47220,
23/06/2010,20.112,20.212,20.112,20.112,14860,
24/06/2010,19.737,20.112,19.737,20.112,35260,
25/06/2010,19.737,20.065,19.316,19.831,55120,
28/06/2010,20.065,20.212,19.128,19.128,21280,
29/06/2010,19.784,20.112,19.784,20.065,65040,
30/06/2010,19.41,20.165,18.941,18.941,34680,
01/07/2010,18.988,19.503,18.988,19.503,21710,
02/07/2010,19.035,19.035,18.847,18.894,75900,
05/07/2010,19.737,19.737,18.801,18.847,57160,
06/07/2010,19.035,19.737,18.988,19.737,47270,
07/07/2010,18.801,19.035,18.801,19.035,10100,
08/07/2010,19.269,19.269,19.035,19.035,73320,
09/07/2010,19.456,19.456,19.128,19.269,29230,
12/07/2010,19.363,19.503,18.613,18.847,22910,
13/07/2010,19.878,19.878,18.941,19.269,22200,
14/07/2010,19.878,19.878,19.363,19.363,57240,
15/07/2010,19.878,19.972,19.503,19.503,43320,
16/07/2010,19.972,19.972,19.456,19.456,62430,
19/07/2010,20.212,20.68,20.212,20.258,59510,
20/07/2010,20.258,20.586,19.784,20.586,41890,
21/07/2010,20.065,20.446,20.065,20.112,21930,
22/07/2010,20.486,20.807,19.349,19.349,22510,DIVIDEND
23/07/2010,20.212,20.432,20.158,20.158,20260,
26/07/2010,20.212,20.212,20.105,20.212,24910,
27/07/2010,20.212,20.212,20.158,20.158,29960,
28/07/2010,19.296,19.617,19.296,19.617,12190,
29/07/2010,19.671,20.052,19.671,20.052,21230,
30/07/2010,19.189,19.189,19.189,19.189,14820,
02/08/2010,19.349,19.349,19.189,19.189,16100,
03/08/2010,18.593,19.945,18.593,19.349,19320,
04/08/2010,18.647,18.914,18.106,18.914,30060,
05/08/2010,18.54,19.563,18.373,19.563,16020,
06/08/2010,18.373,18.914,17.784,17.784,15670,
09/08/2010,17.838,18.593,17.564,17.564,24750,
10/08/2010,17.021,18.052,17.021,17.296,23920,
11/08/2010,17.021,17.021,16.32,17.021,1340,
12/08/2010,16.266,17.021,16.266,17.021,3870,
13/08/2010,17.082,17.082,16.7,16.7,30560,
16/08/2010,17.891,17.891,17.891,17.891,9770,
17/08/2010,18.754,18.754,18.754,18.754,11710,
18/08/2010,19.671,19.671,19.671,19.671,51440,
19/08/2010,19.998,20.432,19.671,20.432,51660,
20/08/2010,19.998,20.265,19.671,20.265,29760,
23/08/2010,19.998,20.265,19.998,20.265,4010,
24/08/2010,19.021,19.456,19.021,19.456,6800,
25/08/2010,18.106,18.159,18.106,18.106,51800,
26/08/2010,18.373,18.373,17.349,17.349,12640,
27/08/2010,17.838,18.914,17.617,18.914,5900,
30/08/2010,18.7,18.7,18.373,18.373,23140,
31/08/2010,18.968,19.456,18.914,19.456,20610,
01/09/2010,19.456,19.456,18.266,18.968,15330,
06/09/2010,19.349,19.838,19.349,19.838,32440,
07/09/2010,18.914,19.349,18.914,19.349,22030,
08/09/2010,18.914,19.403,18.266,18.266,8540,
09/09/2010,19.189,19.456,18.647,18.914,27000,
10/09/2010,18.914,18.914,18.647,18.647,22880,
13/09/2010,18.486,18.914,18.373,18.486,6500,
14/09/2010,18.486,19.082,18.106,18.106,19600,
15/09/2010,18.486,18.914,18.486,18.914,6130,
16/09/2010,18.593,18.647,18.266,18.647,8410,
17/09/2010,18.486,18.914,18.159,18.593,20010,
20/09/2010,18.266,18.593,18.213,18.54,34990,
21/09/2010,18.106,18.266,17.838,18.266,21250,
22/09/2010,18.106,18.106,17.891,18.106,2150,
23/09/2010,17.838,18.106,17.838,18.106,4060,
24/09/2010,17.403,17.891,17.349,17.731,27290,
27/09/2010,17.296,17.891,16.754,17.891,10540,
28/09/2010,17.021,17.349,17.021,17.296,18690,
29/09/2010,16.54,16.754,16.487,16.754,26290,
30/09/2010,15.999,16.54,15.999,16.487,23640,
01/10/2010,16.052,16.647,15.999,15.999,29030,
04/10/2010,15.296,16.106,15.296,15.51,12670,
05/10/2010,14.755,15.082,14.594,14.594,37730,
06/10/2010,15.457,15.457,14.648,14.648,32370,
07/10/2010,15.671,16.213,15.403,15.671,32490,
08/10/2010,15.457,15.671,15.457,15.671,13750,
11/10/2010,16.213,16.213,15.349,15.349,84140,
12/10/2010,16.213,16.647,15.945,16.213,48240,
13/10/2010,16.213,16.434,15.945,16.434,50270,
14/10/2010,16.213,16.914,16.213,16.914,49670,
15/10/2010,16.213,16.7,15.945,16.213,33140,
18/10/2010,16.213,16.32,16.213,16.213,41300,
19/10/2010,16.159,16.266,15.945,16.213,19510,
20/10/2010,15.892,15.945,15.403,15.671,82580,
21/10/2010,15.892,16.052,15.671,15.892,25700,
22/10/2010,15.892,15.945,15.838,15.945,41270,
25/10/2010,15.945,15.945,15.892,15.945,17400,
26/10/2010,16.213,16.647,16.213,16.213,23230,
27/10/2010,16.106,16.213,16.106,16.213,23340,
28/10/2010,16.159,16.213,16.106,16.213,25580,
29/10/2010,16.159,16.159,16.106,16.159,4850,
01/11/2010,16.213,16.266,16.159,16.266,12100,
02/11/2010,16.213,16.213,16.106,16.213,29850,
03/11/2010,16.213,16.213,16.106,16.213,19110,
04/11/2010,16.213,16.373,16.213,16.213,39880,
05/11/2010,16.32,16.434,16.213,16.213,7340,
08/11/2010,16.32,16.373,16.213,16.373,6300,
09/11/2010,16.32,16.32,15.945,16.213,60900,
10/11/2010,16.32,16.32,16.213,16.32,13360,
11/11/2010,16.052,16.106,16.052,16.106,15180,
12/11/2010,16.052,16.213,15.403,16.052,97160,
15/11/2010,15.892,16.052,15.457,15.457,10820,
16/11/2010,15.892,15.892,15.51,15.51,16830,
17/11/2010,15.838,16.213,15.838,16.213,15540,
18/11/2010,15.892,16.213,15.892,16.213,24000,
19/11/2010,15.671,16.32,15.671,15.892,48960,
22/11/2010,15.564,16.106,15.564,16.106,10860,
23/11/2010,15.564,16.213,15.403,16.213,16970,
24/11/2010,15.296,15.564,15.296,15.564,15000,
25/11/2010,15.242,15.296,15.189,15.296,35850,
26/11/2010,15.242,15.999,15.242,15.999,40100,
29/11/2010,15.242,15.617,15.082,15.242,17510,
30/11/2010,15.838,15.999,15.671,15.671,18790,
01/12/2010,15.731,16.434,15.671,16.434,11920,
02/12/2010,15.892,15.999,15.731,15.731,32110,
03/12/2010,15.945,16.434,15.945,15.945,24250,
06/12/2010,15.945,16.213,15.945,16.213,46160,
07/12/2010,15.838,15.945,15.564,15.564,14620,
08/12/2010,15.671,15.838,15.564,15.838,12830,
09/12/2010,15.51,15.838,15.51,15.671,76910,
10/12/2010,15.564,15.784,15.403,15.784,95240,
13/12/2010,16.32,16.32,15.671,15.671,289560,
14/12/2010,16.159,16.7,15.892,16.7,70550,
15/12/2010,15.945,16.213,15.838,16.159,32290,
16/12/2010,15.617,15.838,15.51,15.671,10320,
17/12/2010,15.242,15.945,15.242,15.945,75620,
20/12/2010,15.242,15.403,15.242,15.242,67390,
21/12/2010,15.403,15.403,15.135,15.242,134830,
22/12/2010,15.135,15.403,15.135,15.403,23650,
23/12/2010,15.135,15.242,15.082,15.242,67830,
24/12/2010,14.915,15.189,14.915,15.135,55440,
27/12/2010,14.594,14.915,14.594,14.915,95730,
28/12/2010,14.594,14.808,14.541,14.755,46210,
29/12/2010,14.808,14.808,14.594,14.755,23360,
30/12/2010,15.025,15.025,14.809,14.809,18610,
31/12/2010,15.457,15.457,15.025,15.08,20210,
