transDate,close,high,low,open,volume,event
23/09/2010,7.092,7.092,7.092,7.092,100,
24/09/2010,7.092,7.092,7.092,7.092,0,
27/09/2010,7.092,7.092,7.092,7.092,0,
28/09/2010,7.092,7.092,7.092,7.092,0,
29/09/2010,7.092,7.092,7.092,7.092,0,
30/09/2010,7.354,7.354,7.354,7.354,1900,
01/10/2010,7.354,7.354,7.354,7.354,0,
04/10/2010,7.354,7.354,7.354,7.354,0,
05/10/2010,7.354,7.354,7.354,7.354,0,
06/10/2010,7.354,7.354,7.354,7.354,0,
07/10/2010,7.354,7.354,7.354,7.354,0,
08/10/2010,7.354,7.354,7.354,7.354,0,
11/10/2010,7.354,7.354,7.354,7.354,0,
12/10/2010,7.354,7.354,7.354,7.354,0,
13/10/2010,7.354,7.354,7.354,7.354,0,
14/10/2010,7.354,7.354,7.354,7.354,0,
15/10/2010,7.354,7.354,7.354,7.354,0,
18/10/2010,7.354,7.354,7.354,7.354,0,
19/10/2010,7.354,7.354,7.354,7.354,0,
20/10/2010,7.354,7.354,7.354,7.354,0,
21/10/2010,7.354,7.354,7.354,7.354,0,
22/10/2010,7.354,7.354,7.354,7.354,0,
25/10/2010,7.354,7.354,7.354,7.354,0,
26/10/2010,7.354,7.354,7.354,7.354,0,
27/10/2010,7.354,7.354,7.354,7.354,0,
28/10/2010,7.354,7.354,7.354,7.354,0,
29/10/2010,7.354,7.354,7.354,7.354,0,
01/11/2010,5.934,5.934,5.934,5.934,0,
02/11/2010,5.934,5.934,5.934,5.934,0,
03/11/2010,5.934,5.934,5.934,5.934,0,
04/11/2010,5.934,5.934,5.934,5.934,0,
05/11/2010,5.934,5.934,5.934,5.934,0,
08/11/2010,5.934,5.934,5.934,5.934,0,
09/11/2010,5.934,5.934,5.934,5.934,0,
10/11/2010,5.934,5.934,5.934,5.934,0,
11/11/2010,5.934,5.934,5.934,5.934,0,
12/11/2010,5.934,5.934,5.934,5.934,0,
15/11/2010,5.934,5.934,5.934,5.934,0,
16/11/2010,5.934,5.934,5.934,5.934,0,
17/11/2010,5.934,5.934,5.934,5.934,0,
18/11/2010,5.934,5.934,5.934,5.934,0,
22/11/2010,5.934,5.934,5.934,5.934,0,
23/11/2010,5.934,5.934,5.934,5.934,0,
24/11/2010,5.934,5.934,5.934,5.934,0,
25/11/2010,5.934,5.934,5.934,5.934,0,
26/11/2010,5.934,5.934,5.934,5.934,0,
29/11/2010,5.934,5.934,5.934,5.934,0,
30/11/2010,5.934,5.934,5.934,5.934,0,
01/12/2010,5.934,5.934,5.934,5.934,0,
02/12/2010,5.934,5.934,5.934,5.934,0,
03/12/2010,5.934,5.934,5.934,5.934,0,
06/12/2010,5.934,5.934,5.934,5.934,0,
07/12/2010,5.934,5.934,5.934,5.934,0,
08/12/2010,5.934,5.934,5.934,5.934,0,
09/12/2010,4.239,4.239,4.239,4.239,100,
10/12/2010,4.239,4.239,4.239,4.239,0,
13/12/2010,4.239,4.239,4.239,4.239,0,
14/12/2010,4.239,4.239,4.239,4.239,0,
15/12/2010,5.256,5.256,5.256,5.256,0,
16/12/2010,4.239,4.239,4.239,4.239,0,
17/12/2010,5.256,5.256,5.256,5.256,0,
20/12/2010,4.239,4.239,4.239,4.239,0,
21/12/2010,5.256,5.256,5.256,5.256,0,
22/12/2010,5.256,5.256,5.256,5.256,0,
23/12/2010,5.256,5.256,5.256,5.256,0,
24/12/2010,5.256,5.256,5.256,5.256,0,
27/12/2010,5.256,5.256,5.256,5.256,0,
28/12/2010,5.256,5.256,5.256,5.256,0,
29/12/2010,4.239,4.239,4.239,4.239,0,
30/12/2010,4.237,4.237,4.237,4.237,0,
31/12/2010,4.237,4.237,4.237,4.237,0,
04/01/2011,4.237,4.237,4.237,4.237,0,
05/01/2011,4.237,4.237,4.237,4.237,0,
06/01/2011,4.237,4.237,4.237,4.237,0,
07/01/2011,4.237,4.237,4.237,4.237,0,
10/01/2011,4.237,4.237,4.237,4.237,0,
11/01/2011,4.237,4.237,4.237,4.237,0,
12/01/2011,4.237,4.237,4.237,4.237,0,
13/01/2011,4.237,4.237,4.237,4.237,0,
14/01/2011,4.237,4.237,4.237,4.237,0,
17/01/2011,4.237,4.237,4.237,4.237,0,
18/01/2011,4.237,4.237,4.237,4.237,0,
19/01/2011,4.237,4.237,4.237,4.237,0,
20/01/2011,4.237,4.237,4.237,4.237,0,
21/01/2011,4.237,4.237,4.237,4.237,0,
24/01/2011,4.237,4.237,4.237,4.237,0,
25/01/2011,4.237,4.237,4.237,4.237,0,
26/01/2011,4.237,4.237,4.237,4.237,0,
27/01/2011,4.237,4.237,4.237,4.237,0,
28/01/2011,4.237,4.237,4.237,4.237,0,
08/02/2011,4.237,4.237,4.237,4.237,0,
09/02/2011,4.237,4.237,4.237,4.237,0,
10/02/2011,4.237,4.237,4.237,4.237,0,
11/02/2011,4.237,4.237,4.237,4.237,0,
14/02/2011,4.237,4.237,4.237,4.237,0,
15/02/2011,4.237,4.237,4.237,4.237,0,
16/02/2011,4.237,4.237,4.237,4.237,0,
17/02/2011,4.237,4.237,4.237,4.237,0,
18/02/2011,4.237,4.237,4.237,4.237,0,
21/02/2011,4.237,4.237,4.237,4.237,0,
22/02/2011,4.237,4.237,4.237,4.237,0,
23/02/2011,4.237,4.237,4.237,4.237,0,
24/02/2011,4.237,4.237,4.237,4.237,0,
25/02/2011,4.237,4.237,4.237,4.237,0,
28/02/2011,4.237,4.237,4.237,4.237,0,
01/03/2011,4.237,4.237,4.237,4.237,0,
02/03/2011,4.237,4.237,4.237,4.237,0,
03/03/2011,4.237,4.237,4.237,4.237,0,
04/03/2011,4.237,4.237,4.237,4.237,0,
07/03/2011,2.542,2.542,2.542,2.542,1900,
08/03/2011,2.542,2.542,2.542,2.542,0,
09/03/2011,2.542,2.542,2.542,2.542,0,
10/03/2011,2.797,2.797,2.797,2.797,200,
11/03/2011,2.797,2.797,2.797,2.797,0,
14/03/2011,2.797,2.797,2.797,2.797,0,
15/03/2011,2.797,2.797,2.797,2.797,0,
16/03/2011,2.797,2.797,2.797,2.797,0,
17/03/2011,2.797,2.797,2.797,2.797,0,
18/03/2011,2.797,2.797,2.797,2.797,0,
21/03/2011,2.797,2.797,2.797,2.797,0,
22/03/2011,2.797,2.797,2.797,2.797,0,
23/03/2011,2.797,2.797,2.797,2.797,0,
24/03/2011,2.797,2.797,2.797,2.797,0,
25/03/2011,2.797,2.797,2.797,2.797,0,
28/03/2011,2.797,2.797,2.797,2.797,0,
29/03/2011,2.797,2.797,2.797,2.797,0,
30/03/2011,2.797,2.797,2.797,2.797,0,
31/03/2011,2.797,2.797,2.797,2.797,0,
01/04/2011,2.797,2.797,2.797,2.797,0,
04/04/2011,2.67,2.67,2.67,2.67,100,
05/04/2011,2.67,2.67,2.67,2.67,0,
06/04/2011,2.67,2.67,2.67,2.67,0,
07/04/2011,2.67,2.67,2.67,2.67,0,
08/04/2011,2.67,2.67,2.67,2.67,0,
13/04/2011,2.67,2.67,2.67,2.67,0,
14/04/2011,2.67,2.67,2.67,2.67,0,
15/04/2011,2.67,2.67,2.67,2.67,0,
18/04/2011,2.457,2.457,2.457,2.457,100,
19/04/2011,2.457,2.457,2.457,2.457,0,
20/04/2011,2.457,2.457,2.457,2.457,0,
21/04/2011,2.457,2.457,2.457,2.457,0,
22/04/2011,2.457,2.457,2.457,2.457,0,
25/04/2011,2.457,2.457,2.457,2.457,0,
26/04/2011,2.457,2.457,2.457,2.457,0,
27/04/2011,2.457,2.457,2.457,2.457,0,
28/04/2011,2.457,2.457,2.457,2.457,0,
29/04/2011,2.457,2.457,2.457,2.457,0,
04/05/2011,2.457,2.457,2.457,2.457,0,
05/05/2011,2.457,2.457,2.457,2.457,0,
06/05/2011,2.457,2.457,2.457,2.457,0,
09/05/2011,2.457,2.457,2.457,2.457,0,
10/05/2011,2.245,2.245,2.245,2.245,100,
11/05/2011,2.245,2.245,2.245,2.245,0,
12/05/2011,2.245,2.245,2.245,2.245,0,
13/05/2011,2.245,2.245,2.245,2.245,0,
16/05/2011,2.245,2.245,2.245,2.245,0,
17/05/2011,2.245,2.245,2.245,2.245,0,
18/05/2011,2.245,2.245,2.245,2.245,0,
19/05/2011,2.245,2.245,2.245,2.245,0,
20/05/2011,2.457,2.457,2.457,2.457,1000,
23/05/2011,2.457,2.457,2.457,2.457,0,
24/05/2011,2.457,2.457,2.457,2.457,0,
25/05/2011,2.457,2.457,2.457,2.457,0,
26/05/2011,2.457,2.457,2.457,2.457,0,
27/05/2011,2.457,2.457,2.457,2.457,0,
30/05/2011,2.245,2.245,2.245,2.245,100,
31/05/2011,2.245,2.245,2.245,2.245,0,
01/06/2011,2.245,2.245,2.245,2.245,0,
02/06/2011,2.034,2.034,2.034,2.034,300,
03/06/2011,2.034,2.034,2.034,2.034,0,
06/06/2011,2.034,2.034,2.034,2.034,0,
07/06/2011,2.034,2.034,2.034,2.034,0,
08/06/2011,2.034,2.034,2.034,2.034,0,
09/06/2011,2.034,2.034,2.034,2.034,0,
10/06/2011,2.034,2.034,2.034,2.034,0,
13/06/2011,2.034,2.034,2.034,2.034,0,
14/06/2011,1.907,2.034,1.907,2.034,1600,
15/06/2011,1.907,1.907,1.907,1.907,0,
16/06/2011,1.907,1.907,1.907,1.907,0,
17/06/2011,1.907,1.907,1.907,1.907,0,
20/06/2011,1.78,1.78,1.78,1.78,100,
21/06/2011,1.78,1.78,1.78,1.78,0,
22/06/2011,1.78,1.78,1.78,1.78,0,
23/06/2011,1.78,1.78,1.78,1.78,0,
24/06/2011,1.78,1.78,1.78,1.78,0,
27/06/2011,1.78,1.78,1.78,1.78,0,
28/06/2011,1.78,1.78,1.78,1.78,0,
29/06/2011,1.695,1.695,1.695,1.695,1900,
30/06/2011,1.525,1.525,1.525,1.525,100,
01/07/2011,1.525,1.525,1.525,1.525,0,
04/07/2011,1.525,1.525,1.525,1.525,0,
05/07/2011,1.525,1.525,1.525,1.525,0,
06/07/2011,1.525,1.525,1.525,1.525,0,
07/07/2011,1.525,1.525,1.525,1.525,0,
08/07/2011,1.525,1.525,1.525,1.525,0,
11/07/2011,1.525,1.525,1.525,1.525,0,
12/07/2011,1.525,1.525,1.525,1.525,0,
13/07/2011,1.525,1.525,1.525,1.525,0,
14/07/2011,1.525,1.525,1.525,1.525,0,
15/07/2011,1.525,1.525,1.525,1.525,0,
18/07/2011,1.611,1.611,1.611,1.611,1900,
19/07/2011,1.611,1.611,1.611,1.611,0,
20/07/2011,1.611,1.611,1.611,1.611,0,
21/07/2011,1.611,1.611,1.611,1.611,0,
22/07/2011,1.611,1.611,1.611,1.611,0,
25/07/2011,1.611,1.611,1.611,1.611,0,
26/07/2011,1.611,1.611,1.611,1.611,0,
27/07/2011,1.611,1.611,1.611,1.611,0,
28/07/2011,1.611,1.611,1.611,1.611,0,
29/07/2011,1.695,1.695,1.695,1.695,100,
01/08/2011,1.78,1.78,1.78,1.78,2000,
02/08/2011,1.78,1.78,1.78,1.78,2000,
03/08/2011,1.78,1.78,1.78,1.78,1900,
04/08/2011,1.949,1.949,1.949,1.949,700,
05/08/2011,1.78,2.118,1.78,2.118,200,
08/08/2011,1.78,1.78,1.78,1.78,100,
09/08/2011,1.949,1.949,1.949,1.949,100,
10/08/2011,1.949,1.949,1.949,1.949,0,
11/08/2011,1.949,1.949,1.949,1.949,0,
12/08/2011,1.78,1.78,1.78,1.78,100,
15/08/2011,1.611,1.949,1.611,1.949,200,
16/08/2011,1.78,1.78,1.78,1.78,0,
17/08/2011,1.949,1.949,1.949,1.949,100,
18/08/2011,1.949,1.949,1.949,1.949,0,
19/08/2011,1.949,1.949,1.949,1.949,0,
22/08/2011,1.949,1.949,1.949,1.949,0,
23/08/2011,1.78,1.78,1.78,1.78,100,
24/08/2011,1.949,1.949,1.611,1.611,200,
25/08/2011,1.78,1.78,1.78,1.78,0,
26/08/2011,1.78,1.78,1.78,1.78,0,
29/08/2011,1.611,1.611,1.611,1.611,100,
30/08/2011,1.483,1.483,1.483,1.483,100,
31/08/2011,1.483,1.483,1.483,1.483,0,
01/09/2011,1.483,1.483,1.483,1.483,0,
05/09/2011,1.398,1.398,1.398,1.398,100,
06/09/2011,1.314,1.314,1.314,1.314,100,
07/09/2011,1.314,1.314,1.314,1.314,0,
08/09/2011,1.314,1.314,1.314,1.314,0,
09/09/2011,1.314,1.314,1.314,1.314,0,
12/09/2011,1.314,1.314,1.314,1.314,0,
13/09/2011,1.314,1.314,1.314,1.314,0,
14/09/2011,1.314,1.314,1.314,1.314,0,
15/09/2011,1.441,1.441,1.441,1.441,100,
16/09/2011,1.441,1.441,1.441,1.441,0,
19/09/2011,1.441,1.441,1.441,1.441,0,
20/09/2011,1.441,1.441,1.441,1.441,0,
21/09/2011,1.441,1.441,1.441,1.441,0,
22/09/2011,1.441,1.441,1.441,1.441,0,
23/09/2011,1.441,1.441,1.441,1.441,0,
26/09/2011,1.441,1.441,1.441,1.441,0,
27/09/2011,1.441,1.441,1.441,1.441,0,
28/09/2011,1.441,1.441,1.441,1.441,0,
29/09/2011,1.441,1.441,1.441,1.441,0,
30/09/2011,1.441,1.441,1.441,1.441,0,
03/10/2011,1.441,1.441,1.441,1.441,0,
04/10/2011,1.441,1.441,1.441,1.441,0,
05/10/2011,1.441,1.441,1.441,1.441,0,
06/10/2011,1.441,1.441,1.441,1.441,0,
07/10/2011,1.441,1.441,1.441,1.441,0,
10/10/2011,1.441,1.441,1.441,1.441,0,
11/10/2011,1.441,1.441,1.441,1.441,0,
12/10/2011,1.441,1.441,1.441,1.441,0,
13/10/2011,1.441,1.441,1.441,1.441,0,
14/10/2011,1.441,1.441,1.441,1.441,0,
17/10/2011,1.441,1.441,1.441,1.441,0,
18/10/2011,1.441,1.441,1.441,1.441,0,
19/10/2011,1.441,1.441,1.441,1.441,0,
20/10/2011,1.441,1.441,1.441,1.441,0,
21/10/2011,1.441,1.441,1.441,1.441,0,
24/10/2011,1.441,1.441,1.441,1.441,0,
25/10/2011,1.441,1.441,1.441,1.441,0,
26/10/2011,0.931,0.931,0.931,0.931,100,
27/10/2011,0.931,0.931,0.931,0.931,0,
28/10/2011,0.931,0.931,0.931,0.931,0,
31/10/2011,0.931,0.931,0.931,0.931,0,
01/11/2011,0.931,0.931,0.931,0.931,0,
02/11/2011,0.931,0.931,0.931,0.931,0,
03/11/2011,0.931,0.931,0.931,0.931,0,
04/11/2011,0.931,0.931,0.931,0.931,0,
07/11/2011,0.931,0.931,0.931,0.931,0,
08/11/2011,0.931,0.931,0.931,0.931,0,
09/11/2011,0.931,0.931,0.931,0.931,0,
10/11/2011,0.931,0.931,0.931,0.931,0,
11/11/2011,0.931,0.931,0.931,0.931,0,
14/11/2011,0.931,0.931,0.931,0.931,0,
