transDate,close,high,low,open,volume,event
20/12/2006,31.91,31.91,31.91,31.91,700,
21/12/2006,31.58,35.06,31.58,35.06,1400,
22/12/2006,45.08,45.08,45.08,45.08,0,
25/12/2006,30.85,30.85,30.85,30.85,100,
26/12/2006,27.83,27.83,27.83,27.83,100,
27/12/2006,25.07,25.07,25.07,25.07,100,
28/12/2006,32.97,32.97,32.97,32.97,0,
29/12/2006,32.97,32.97,32.97,32.97,0,
02/01/2007,32.97,32.97,32.97,32.97,0,
03/01/2007,25.33,25.33,25.33,25.33,100,
04/01/2007,33.32,33.32,33.32,33.32,0,
05/01/2007,22.82,22.82,22.82,22.82,100,
08/01/2007,20.72,20.72,20.72,20.72,1000,
09/01/2007,22.04,22.37,22.04,22.04,500,
10/01/2007,22.5,22.5,22.5,22.5,200,
11/01/2007,29.59,29.59,29.59,29.59,0,
12/01/2007,23.02,23.02,23.02,23.02,100,
15/01/2007,20.72,20.72,20.72,20.72,1100,
16/01/2007,19.73,22.5,19.73,20.72,500,
17/01/2007,22.37,22.37,22.37,22.37,400,
18/01/2007,20.46,22.5,20.46,21.64,1000,
19/01/2007,19.53,22.03,19.53,20.59,700,
22/01/2007,21.05,22.04,21.05,21.05,500,
23/01/2007,19.73,22.23,19.73,21.38,1800,
24/01/2007,22.37,23.48,19.41,21.38,1200,
25/01/2007,19.86,22.76,19.86,20.85,1500,
26/01/2007,22.89,22.89,22.76,22.76,500,
29/01/2007,23.02,23.02,22.69,22.69,700,DIVIDEND
30/01/2007,23.02,23.02,22.89,22.96,700,
31/01/2007,30.2,30.2,30.2,30.2,0,
01/02/2007,20.72,22.96,20.72,22.04,1400,
02/02/2007,20.72,20.72,20.39,20.52,1500,
05/02/2007,21.18,21.31,20.72,20.72,2600,
06/02/2007,19.73,21.71,19.73,20.92,5200,
07/02/2007,20.06,22.1,20.06,20.79,1500,
08/02/2007,20.13,22.37,20.07,20.66,8400,
09/02/2007,19.73,21.51,19.4,20.52,2600,
12/02/2007,18.49,22.24,18.49,20.53,4200,
13/02/2007,19.4,22.43,19.4,20.33,5500,
14/02/2007,19.86,22.3,19.73,20.32,15800,
15/02/2007,20.39,22.5,20.39,20.52,8800,
26/02/2007,20.72,23.61,19.73,20.79,29600,
27/02/2007,22.37,22.83,21.71,21.71,33900,
28/02/2007,24.8,24.8,24.8,24.8,34700,
01/03/2007,27.23,27.23,26.31,26.31,44600,
02/03/2007,28.95,29.8,26.64,27.1,25600,
05/03/2007,26.97,29.93,26.31,27.5,23400,
06/03/2007,25.0,27.96,25.0,26.84,41200,
07/03/2007,27.5,29.47,26.84,26.84,65300,
08/03/2007,30.79,30.79,28.03,28.03,99800,
09/03/2007,33.28,33.28,30.85,30.85,98500,
12/03/2007,36.51,36.51,36.51,36.51,27600,
13/03/2007,36.18,40.13,36.18,36.51,58400,
14/03/2007,34.6,37.49,34.6,35.0,12400,
15/03/2007,31.51,31.51,31.51,31.51,700,
16/03/2007,29.6,30.26,28.42,29.01,95700,
19/03/2007,31.91,31.91,31.84,31.84,79400,
20/03/2007,32.89,35.06,28.95,31.91,77500,
21/03/2007,30.92,33.55,29.27,30.59,22800,
22/03/2007,29.6,31.25,27.56,28.95,17600,
23/03/2007,26.31,29.6,26.31,26.97,25500,
26/03/2007,25.13,26.97,24.67,25.19,16800,
27/03/2007,22.69,24.34,22.69,22.89,7200,
28/03/2007,25.0,25.0,20.72,22.76,42900,
29/03/2007,25.0,25.0,24.34,24.34,41000,
30/03/2007,26.97,27.23,26.31,26.31,39300,
02/04/2007,24.41,27.57,24.41,24.47,17400,
03/04/2007,23.02,23.68,22.1,23.16,19100,
04/04/2007,25.0,25.46,23.02,23.16,12500,
05/04/2007,24.67,25.13,24.34,24.34,6000,
06/04/2007,24.8,24.86,24.6,24.67,2500,
09/04/2007,24.34,25.33,24.34,24.47,5100,
10/04/2007,23.02,24.47,23.02,23.48,10100,
11/04/2007,22.69,23.02,22.37,22.63,4800,
12/04/2007,21.84,22.36,21.25,21.64,6000,
13/04/2007,20.92,21.64,20.39,20.52,15300,
16/04/2007,18.49,20.06,18.49,19.14,17200,
17/04/2007,17.89,18.02,17.5,17.82,12000,
18/04/2007,19.6,19.6,17.89,17.89,4500,
19/04/2007,19.73,20.65,19.73,19.73,19700,
20/04/2007,18.81,19.34,18.68,18.95,8400,
23/04/2007,18.75,19.08,18.42,18.61,7400,
