transDate,close,high,low,open,volume,event
07/01/2011,3.417,3.68,3.417,3.68,240000,
10/01/2011,3.365,3.521,3.311,3.443,93000,
11/01/2011,3.259,3.365,3.232,3.365,91800,
12/01/2011,3.18,3.285,3.128,3.232,53300,
13/01/2011,3.155,3.206,3.128,3.206,130000,
14/01/2011,3.155,3.155,3.128,3.155,115300,
17/01/2011,3.155,3.155,3.101,3.128,62100,
18/01/2011,3.128,3.155,3.049,3.155,95500,
19/01/2011,3.049,3.075,3.022,3.049,72600,
20/01/2011,3.049,3.259,3.022,3.101,108500,
21/01/2011,2.943,3.075,2.943,3.022,88400,
24/01/2011,2.812,2.97,2.812,2.97,86800,
25/01/2011,2.891,2.891,2.812,2.812,70200,
26/01/2011,2.891,2.918,2.812,2.812,30600,
27/01/2011,3.022,3.022,2.838,2.838,38200,
28/01/2011,3.101,3.101,2.943,3.101,53400,
08/02/2011,2.918,3.022,2.918,2.918,8400,
09/02/2011,2.918,2.996,2.918,2.918,41800,
10/02/2011,2.864,2.891,2.864,2.891,21100,
11/02/2011,2.838,2.838,2.812,2.812,23800,
14/02/2011,2.838,2.996,2.838,2.838,14800,
15/02/2011,2.812,2.838,2.76,2.786,28800,
16/02/2011,2.864,2.864,2.733,2.733,23000,
17/02/2011,2.76,2.786,2.76,2.76,17800,
18/02/2011,2.76,2.864,2.681,2.681,31700,
21/02/2011,2.575,2.655,2.575,2.627,51300,
22/02/2011,2.523,2.627,2.47,2.497,35000,
23/02/2011,2.549,2.575,2.47,2.47,21400,
24/02/2011,2.47,2.497,2.444,2.444,15200,
25/02/2011,2.627,2.627,2.418,2.418,75300,
28/02/2011,2.706,2.706,2.627,2.627,46700,
01/03/2011,2.864,2.864,2.864,2.864,121600,
02/03/2011,2.681,3.049,2.681,2.996,178200,
03/03/2011,2.786,2.786,2.706,2.706,88800,
04/03/2011,2.681,2.733,2.681,2.681,58200,
07/03/2011,2.733,2.864,2.549,2.549,69900,
08/03/2011,2.655,2.706,2.602,2.602,45100,
09/03/2011,2.655,2.655,2.523,2.627,64600,
10/03/2011,2.706,2.76,2.523,2.523,88800,
11/03/2011,2.812,2.812,2.733,2.76,156400,
14/03/2011,2.681,2.891,2.655,2.891,47000,
15/03/2011,2.627,2.627,2.602,2.602,27900,
16/03/2011,2.627,2.627,2.602,2.602,19300,
17/03/2011,2.733,2.733,2.733,2.733,6300,
18/03/2011,2.733,2.76,2.602,2.655,30000,
21/03/2011,2.655,2.838,2.655,2.76,54300,
22/03/2011,2.706,2.76,2.706,2.76,11000,
23/03/2011,2.812,2.838,2.733,2.733,75500,
24/03/2011,2.812,2.891,2.733,2.891,19200,
25/03/2011,2.733,2.812,2.733,2.812,15100,
28/03/2011,2.76,2.838,2.76,2.838,15900,
29/03/2011,2.706,2.786,2.706,2.786,39400,
30/03/2011,2.733,2.812,2.681,2.812,33600,
