transDate,close,high,low,open,volume,event
02/03/2016,10.587,10.587,10.587,10.587,0,
03/03/2016,10.587,10.587,10.587,10.587,0,
04/03/2016,13.726,13.726,13.726,13.726,100,
07/03/2016,15.04,15.04,15.04,15.04,100,
08/03/2016,15.04,15.04,15.04,15.04,0,
09/03/2016,16.501,16.501,16.501,16.501,100,
10/03/2016,16.501,16.501,16.501,16.501,0,
11/03/2016,16.501,16.501,16.501,16.501,0,
14/03/2016,16.501,16.501,16.501,16.501,0,
15/03/2016,14.967,14.967,14.967,14.967,200,
16/03/2016,14.967,14.967,14.967,14.967,0,
17/03/2016,14.967,14.967,14.967,14.967,0,
18/03/2016,14.967,14.967,14.967,14.967,0,
21/03/2016,14.967,14.967,14.967,14.967,0,
22/03/2016,14.967,14.967,14.967,14.967,0,
23/03/2016,14.967,14.967,14.967,14.967,0,
24/03/2016,14.967,14.967,14.967,14.967,0,
25/03/2016,14.967,14.967,14.967,14.967,0,
28/03/2016,14.967,14.967,14.967,14.967,0,
29/03/2016,14.967,14.967,14.967,14.967,0,
30/03/2016,14.967,14.967,14.967,14.967,0,
31/03/2016,14.967,14.967,14.967,14.967,0,
01/04/2016,14.967,14.967,14.967,14.967,0,
04/04/2016,14.967,14.967,14.967,14.967,0,
05/04/2016,14.967,14.967,14.967,14.967,0,
06/04/2016,14.967,14.967,14.967,14.967,0,
07/04/2016,14.967,14.967,14.967,14.967,0,
08/04/2016,14.967,14.967,14.967,14.967,0,
11/04/2016,14.967,14.967,14.967,14.967,0,
12/04/2016,14.967,14.967,14.967,14.967,0,
13/04/2016,14.967,14.967,14.967,14.967,0,
14/04/2016,13.508,13.508,13.508,13.508,423,
15/04/2016,13.508,13.508,13.508,13.508,0,
19/04/2016,13.508,13.508,13.508,13.508,0,
20/04/2016,13.508,13.508,13.508,13.508,0,
21/04/2016,13.508,13.508,13.508,13.508,0,
22/04/2016,13.508,13.508,13.508,13.508,0,
25/04/2016,13.508,13.508,13.508,13.508,0,
26/04/2016,13.508,13.508,13.508,13.508,0,
27/04/2016,13.508,13.508,13.508,13.508,0,
28/04/2016,13.508,13.508,13.508,13.508,0,
29/04/2016,13.508,13.508,13.508,13.508,0,
04/05/2016,13.508,13.508,13.508,13.508,0,
05/05/2016,13.508,13.508,13.508,13.508,0,
06/05/2016,13.508,13.508,13.508,13.508,200,
09/05/2016,13.508,13.508,13.508,13.508,0,
10/05/2016,13.508,13.508,13.508,13.508,0,
11/05/2016,13.508,13.508,13.508,13.508,0,
12/05/2016,13.508,13.508,13.508,13.508,100,
13/05/2016,13.143,13.143,13.143,13.143,200,
16/05/2016,13.143,13.143,13.143,13.143,0,DIVIDEND
17/05/2016,13.143,13.143,13.143,13.143,0,
18/05/2016,13.143,13.143,13.143,13.143,0,
19/05/2016,13.143,13.143,13.143,13.143,0,
20/05/2016,13.143,13.143,13.143,13.143,0,
23/05/2016,13.143,13.143,13.143,13.143,0,
24/05/2016,13.143,13.143,13.143,13.143,0,
25/05/2016,13.143,13.143,13.143,13.143,0,
26/05/2016,13.143,13.143,13.143,13.143,0,
